tweet,dates
"This #MothersDay, I want to thank all the mothers who sacrifice so much and commit themselves to protecting and serving us. Mothers truly are heroes—thank you! https://t.co/MEGqOa1llC",2020-05-10 15:54:51
"Congratulations to everyone who participated in this year’s Congressional Art Competition!
 
https://t.co/DhcHOi4lp2",2020-05-10 13:09:50
"After it was reported that the deceased were receiving coronavirus stimulus checks, I lead a group of bipartisan lawmakers to call for immediate action to prevent these improper payments and save taxpayer dollars. Read more from @NPR ⬇️
 
https://t.co/Q2727R7ynM",2020-05-09 21:24:42
"Looking for a good book to read while you’re at home? The Rockford Public Library has created a way to safely continue services for you to keep reading. Learn more about it from the @rrstar 📚⤵️
 
https://t.co/LdNDb99Zhw",2020-05-09 16:56:56
"As frontline health workers help us navigate #COVID19, we honor the care and dignity our nurses provide. Thank you for all you’ve done, and continue to do! #NationalNursesWeek

https://t.co/E1qhJWtWWO",2020-05-08 21:47:57
"Congratulations to our hard-working Girl Scouts! You should be proud of your dedication and innovation. I cannot wait to see what you will accomplish next.

https://t.co/aUTz7VYBAZ",2020-05-08 21:07:45
"I’m committed to ensuring our communities have the resources they need to get through this pandemic. That’s why in @AppropsDems this week, I stressed the importance of having access to affordable health care coverage and asked about the patient experience. https://t.co/JvR1DMrE6f",2020-05-08 19:21:39
"Much of rural America saw a delay in impact, but #coronavirus knows no borders. As Congress continues to focus our efforts on the #COVID19 response, I’ll keep fighting for our rural communities. In @AppropsDems this week, I took the opportunity to raise these questions. ⤵️ https://t.co/CEJPNi5LlW",2020-05-08 18:28:37
"#COVID19 is causing us all to adapt. Happy to see siblings working together to make the best out of it and spread the laughter. Read more from @wqad ⬇️

https://t.co/CG8Om9MutE",2020-05-08 15:22:15
"Yesterday in @AppropsDems, I raised questions about the potential cost of #COVID19 treatment for patients. It’s more critical than ever that Americans are able to access affordable health care coverage. Read more from @WNIJNews:

https://t.co/sihlDSJ3Cn",2020-05-07 20:51:41
"Heartened to know @dcpeoria is looking after their neighbors by donating groceries to those in need.
Read the full story from @WMBDNews:

https://t.co/a6crmFvBKq",2020-05-07 19:12:28
"As we navigate #COVID19, it’s vital we act cautiously and follow guidelines to promote the safety and wellbeing of our state. #AllInIllinois
Read more from @WMBDNews⬇️

https://t.co/HryV3Z6VEY",2020-05-07 18:17:56
"Thank you, Ellen Dixon. Happy to see heroes like you working to support our public health! https://t.co/1DmaDXdrhg",2020-05-07 17:35:35
"Every year, I’m blown away by the incredible talent on display during the Congressional Art Competition and look forward to sharing it. I’d like to congratulate this year’s winner, Megan Bowers, and all of the students who participated in this year’s contest on a job well done!⬇️",2020-05-07 16:36:30
"As I head back from Washington, I am committed to fighting for our local communities and aiding them in their battle against #COVID19. We must all stand together to fight #COVID19. https://t.co/BC04DeSRjN",2020-05-07 01:50:59
"The Trump Administration barred Dr. Anthony Fauci from participating in today’s bipartisan @AppropsDems hearing on #COVID19.

Dr. Fauci: Your reasoned voice has been a true asset to our country. I wish we’d heard it today. https://t.co/coeOKZOBzL",2020-05-07 01:11:56
"Congratulations to @RPS205 class of 2020! You should be proud of your accomplishments and I look forward to seeing the positive impact this year’s graduates have on our communities.
https://t.co/iIeV0lVVcm",2020-05-06 20:05:11
"This #NationalNursesDay, I join everyone in expressing my deepest gratitude for the work our heroes on the frontlines do every day. Thank you. https://t.co/MY1uqb80RE",2020-05-06 15:32:09
"The administration barred Dr. Fauci from testifying, but @AppropsDems are committed to finding the best path forward for our #COVID19 response and where aid is needed the most.",2020-05-06 14:11:55
"Tune in here with the @Dispatch_Argus to watch the final piece of the arch for the Iowa bound span of the I-74 bridge be installed!

https://t.co/ocbHZsF9nn",2020-05-06 14:06:41
"People are hurting from #COVID19 - including our family farms, small businesses &amp;seniors. They cannot be overlooked. That is why today I am meeting with the @AppropsDems Labor-HHS Subcommittee to investigate #COVID19 response &amp; ensure districts like ours aren’t left overwhelmed. https://t.co/N5DuiOlKr2",2020-05-06 13:48:19
Tonight I am flying out to Washington to join my colleagues on @AppropsDems to discuss our country’s response to #COVID19. https://t.co/dKZAXfWfMz,2020-05-06 01:44:24
"WATCH: Recently, I interviewed Dr. Rebecca Heick, Professor of Public Health at @Augustana_IL to discuss the impact of #COVID19 and what we need to know to best protect ourselves and our neighbors. https://t.co/hZjxFhnfV0",2020-05-05 22:38:04
"Proud of local businesses like Aero Ale House in Loves Park, IL, and Primetime Audio/Video in Rockford, IL working together to support our front-line workers. Together they donated over 200 meals to local health care workers. Learn more from @rrstar: 
https://t.co/7BmyVT7HqW",2020-05-05 17:45:18
"Pleased to see funding from the CARES Act come back directly to our local communities. Access to reliable housing is a crucial component of our efforts, and I’ll continue to do everything in my power to support our neighbors through programs like these. 
https://t.co/yPO2yfOVlC",2020-05-05 15:25:47
"Our servicemembers have faced many unforeseen impacts of #COVID19. Proud to stand with @RepMarkTakano, @SenatorTester,@RepMikeLevin &amp; @RepSpeier in calling the @DeptofDefense to compensate our servicemembers &amp; their families for costs they incurred due to the stop movement order. https://t.co/MzU65eTFjw",2020-05-04 23:43:14
"Thank you VNA Community Services for stepping up when #COVID19 increased the need for meals in the area and delivering 3,000 meals to about 300 seniors in Galesburg and Knox County in one day! Learn more from @Galesburg ⬇️
https://t.co/y3gXQSskih",2020-05-04 20:18:34
