tweet,dates
"I’d like to wish a Happy Mother’s Day to my beautiful wife, who has been a pillar of strength to me &amp; our 6 children, &amp; my mother who patiently raised 10 kids &amp; loved unconditionally. I am so grateful for them.

Take a moment to thank the mothers in your life today. #MothersDay https://t.co/sBd1SxhROS",2020-05-10 14:05:00
"HAPPENING NOW: Joining @LeeLons on @kslnewsradio to discuss the newly-formed China Task Force. Listen live below. ⬇️

https://t.co/pRxpiDJIbC",2020-05-08 20:02:03
"Today marks the 75th anniversary of the end of #WWII in Europe. My mom &amp; dad described it as one of the happiest days of their lives. They were eager to return to Utah, raise a family, and farm. 

This generation literally saved the free world. May we ever honor them.  #VEDay75 https://t.co/KGXLfSLGbD",2020-05-08 16:37:52
"General Flynn has had his reputation &amp; financial future destroyed by political hacks. 

Justice can be slow. But more justice is coming.

https://t.co/MHag2W7pfV",2020-05-07 19:39:32
I’m honored to serve on this important committee. https://t.co/0WgAfxwQ94,2020-05-07 18:34:38
"66% of hospitalizations in NYC are people who quarantined at home. Didn’t go to work. Didn’t Travel. 

We need to update our policies as new information comes in.

https://t.co/ecFCStaew9",2020-05-07 17:22:30
We are witnessing a generational geopolitical realignment as the world begins to recognize the true intent of Chinese leadership’s capabilities and ambitions.,2020-05-07 15:37:06
"America needs to reopen. Our country needs to return to work, especially Congress.",2020-05-06 15:47:21
"Congratulations to Anthony Parra. It’s always an honor to nominate stellar cadets to our military academies. I look forward to seeing the great things Anthony will accomplish. Go Air Force! 

https://t.co/mD6jZgUX6V",2020-05-05 15:24:59
Loosening restrictions in Southern Utah seems like an obvious choice. The infection rates are low and we need to get Utahns back to work. https://t.co/a0SZKhJhY6,2020-05-05 14:35:16
Congress needs to set the example that America can safely return to work. https://t.co/hGtQYrTRkA,2020-05-04 16:08:27
"During COVID-19, the Trump Administration has delivered thousands—in some cases millions—of essential medical supplies &amp; equipment to Utah. Thank you President @realDonaldTrump. https://t.co/BSOUBwQE4N",2020-05-02 15:54:51
I'm glad Utah is taking steps to reopen and get people back to work. https://t.co/sRwo7ER85P,2020-05-01 16:03:35
"If you care about liberty, freedom, or corruption at the highest levels of the government, you have to care about Gen. Flynn’s story. The fact that FBI/DOJ leadership conspired against an American hero is unbelievable.

https://t.co/TOgoBiSZuS",2020-04-30 02:24:15
"TUNE IN: Joining @LeeLons on @kslnewsradio at 2:35pm MDT. We’re discussing how I’m making  mental health resources more easily accessible by designating 9-8-8 as the National Suicide Hotline dialing code. 

Listen live below. ⬇️  
https://t.co/pRxpiDJIbC",2020-04-29 20:29:00
"Heroes honoring heroes. 

Thank you @usairforce &amp; @HAFB for honoring our amazing healthcare workers &amp; front-line responders.

We salute you. 🇺🇸 https://t.co/WYsvVA9oFC",2020-04-29 18:44:26
"It is imperative that we measure the public health impact of virus containment against the very real economic impacts on American workers, on vulnerable populations globally, and on our own security. 

Read my latest @DeseretNews op-ed below. ⬇️

https://t.co/HKLZ9bvR5u",2020-04-28 20:18:00
