tweet,dates
"Today, as we honor the amazing mothers in our lives, our family’s thoughts are with all the moms who are on the front lines fighting the pandemic and all the mothers who have lost loved ones in these difficult times. #MothersDay",2020-05-10 16:08:35
"The next time Trump boasts about the stock market going up, remember stocks surged yesterday on one of worst days ever for American workers and U.S. economy. How he measures success tells us who he really cares about.",2020-05-09 17:16:00
"Had a great time hosting a #KidsTownHall with @DrLeanaWen! Loved getting to hear directly from you on the questions you have—like about when school will start up again and why social distancing is important. Thanks to all the kids, parents, and Maryland partners who joined. https://t.co/FolqxwBlCs",2020-05-08 21:45:53
"We must mobilize national service to help with COVID-19 and key future priorities. Proud to work with @ChrisCoons, @SenMarkey, and others to deploy 750,000 workers to address public health, food insecurity, and the Homework Gap. Let’s get this passed! #Stand4Service https://t.co/VyseJPAJuq",2020-05-08 19:04:36
Maryland is lucky to have organizations like Lifebridge that have been helping produce protective gear for hospital staff. I have also urged the Trump Administration to step up its efforts to use the DPA to expand the production of PPE and testing equipment. https://t.co/rrhM5QY4sT,2020-05-08 17:32:29
The cold blooded murder of Ahmaud happened more than 73 days ago and yet only now are the perpetrators being charged—and only after the video came out a few days ago. Justice in America should not have to wait until a video emerges. #JusticeForAhmaud,2020-05-08 03:13:46
"We need many more workers to conduct the large-scale testing and contact tracing necessary to safely “re-open.” Congress should include our bill to expand AmeriCorps and other national service programs, and provide fair pay, in the next relief bill. https://t.co/qHRhQodyEF",2020-05-07 22:10:47
"This is a total assault on the rule of law and justice. Under AG Barr, the Department of Justice has become a glorified arm of the Trump campaign to help the President attack political adversaries and reward political friends. https://t.co/5ykVSBqSWA",2020-05-07 20:39:33
"The Supreme Court must act like the independent branch it was designed to be, not become an accessory to the Trump cover-up efforts. 
https://t.co/c0cNNd1ir6",2020-05-07 18:08:50
"Title III of the Defense Production Act has been totally underutilized despite our country's desperate need for supplies like swabs for testing, masks for medical workers, and more. Mr. President, you have the power and the funds—it’s long past time to put the pedal to the metal. https://t.co/q2Dh4BQkvQ",2020-05-06 23:08:11
"Hiding the death toll as part of a strategy to downplay his disastrous response to the pandemic? Not only despicable, but isn’t that what he accused China and Iran of doing? https://t.co/1s8W6wyw4S",2020-05-06 22:33:17
"Instead of focusing on the coronavirus crisis, the Trump Administration is continuing its all-out assault on women’s reproductive health and the ACA. Women’s access to affordable contraception should not be vetoed by their employers or anyone else. 
https://t.co/jvyXVooyBN",2020-05-06 21:55:14
"We must better protect and support our federal employees and contract workers, including maximizing telework, providing PPE on the job, and ensuring hazard pay. Teamed up with a bipartisan group to urge the Administration to use their existing powers to get this done. https://t.co/mtGL0INPP3",2020-05-06 00:05:58
"As a White House lawyer, Brian Miller personally participated in stonewalling the GAO inquiry that found Trump broke the law by withholding aid from Ukraine. Covering up is apparently the criteria for IG nominations by Trump. The IGs who actually do their jobs get fired. https://t.co/rZIzIWJKh3",2020-05-05 23:37:32
I have repeatedly asked Secretary Mnuchin to change Treasury’s regulations so that the Paycheck Protection Program works better for small businesses and restaurants. He should not shut the door on them. https://t.co/W7ytw0pTS0,2020-05-05 00:22:51
"Starting soon: my Telephone Town Hall with Dr. Lisa Maragakis, infectious disease expert from Johns Hopkins.

We're here to answer any questions you might have about COVID-19 and federal relief efforts.

Tune in live and submit questions here: https://t.co/KU1jG5xepk",2020-05-04 21:50:33
"Join my Telephone Town Hall Monday at 6:30 PM ET with special guest Dr. Lisa Maragakis, an infectious disease expert from Johns Hopkins. We'll provide the latest updates on COVID-19 and take your questions. Listen and submit questions here: https://t.co/KU1jG5xepk. https://t.co/mSogqIZVZr",2020-05-03 17:06:30
"From protecting our country’s interests abroad to helping stranded Americans return home during the pandemic—our #ForeignService Officers are vital to our success. Today marks the 96th Foreign Service Day. Let’s take a moment to thank our over 16,000 officers for their work! https://t.co/0NDvCc176p",2020-05-02 01:01:09
"Now Trump wants to impose a gag order to stop Fauci from testifying to Congress. His excuse? That it would be “counterproductive."" Translation: he doesn't want the public to hear the full truth, like “don’t inject disinfectants” or “we need more rapid testing."" Free Fauci! https://t.co/NYBqE592LT",2020-05-01 22:38:37
This is exactly why I’ve pressed @USGSA for details on what rent relief the Trump Hotel is requesting from them. Just see how American taxpayers are already footing the bill at Trump’s luxury hotel and lining his pockets. https://t.co/nCEHlcLXLd,2020-05-01 14:10:24
"Good point you bring up. Need to do both, provide them with the safety net of UI while finding a way to deploy their skills in the battle against COVID-19. @SenMarkey and I introduced the UNITE Act to do just that and we want to include it in the next bill. https://t.co/gDfKsMHcsM",2020-04-29 22:27:05
"The Senate has important work to do, but McConnell must put in place safeguards to protect Capitol Hill workers, including many Marylanders on support staff, cafeteria employees, and police. We should support, not undermine, the efforts of DC, MD, and VA to stop the spread. https://t.co/SUL7lfTIV6",2020-04-29 19:03:51
"Nursing homes have been hit especially hard by COVID-19. In Maryland alone, 2/3 of all long-term care facilities have COVID-19 cases. Time is of the essence. We need the Trump Administration to release the $200 million from the CARES Act to help nursing homes, seniors, and staff. https://t.co/Q2idRNshmL",2020-04-29 18:24:44
The American people deserve to know that the President isn’t giving any secret favors to Deutsche Bank. It’s entirely unacceptable that the bank’s executives are refusing to disclose their recent deals with him. https://t.co/kTu8c2yZfN,2020-04-29 13:06:37
"The Fed’s original guidance completely shut out many cities and counties from direct access to a key lending program. I'm glad they revisited this issue so now localities, like Baltimore City, will have direct access to this program. https://t.co/4KES33ZeaH",2020-04-28 22:51:08
Good news. They were in limbo but we just learned that thousands of evacuated Peace Corps volunteers who were required to return from overseas posts will qualify to receive unemployment compensation. I also hope they can return to their missions as soon as it is safe to do so!,2020-04-28 20:54:16
"Deporting Dreamers like Jonathan Rodas from Towson, who are working on the front lines of the battle against COVID-19 isn’t just a violation of our promises to them—it is plain stupid. We have invested in them and when they succeed, we all win. https://t.co/qyjzbzudyP",2020-04-28 00:32:28
Happening now: #HomeworkGap Twitter Townhall with @JRosenworcel. Tune in live. https://t.co/pqYljKIOQf,2020-04-27 20:01:49
Thanks to everyone who submitted questions for my #HomeworkGap Twitter Townhall with @JRosenworcel. We’ll be going live today at 4pm ET to answer as many as we can in the time we have.,2020-04-27 19:04:16
"Today we remember the 1.5 million Armenians murdered by the Ottoman Empire. Last year, Congress officially recognized and remembered this crime against humanity by passing the #ArmenianGenocide resolution. The first step in learning from history is to recognize it.",2020-04-25 01:13:14
"Have heard from many Marylanders today having trouble accessing the state’s unemployment site. Been in touch with the MD Dept. of Labor to share those concerns and urge them to get it fully up and running. When you do file, your claim will be backdated to your eligibility date.",2020-04-24 22:04:05
