tweet,dates
"Senators Murphy, Coons, Graham, Kaine, Isakson, Booker on the removal of Sudanese President Omar al-Bashir
https://t.co/CSxZTRXUAM",2019-04-12 17:50:33
"Murphy Votes for U.S. Ambassador to Saudi Arabia
https://t.co/xUpJYVJOHW",2019-04-10 19:32:41
"Murphy Challenges Pompeo on Saudi Arabia and Trump Administration’s Compliance with Magnitsky Act
https://t.co/8usLiBeSXU",2019-04-09 22:08:02
"Murphy Highlights Tolland Manufacturer, Environics, as this Week’s “Murphy’s Monday Manufacturer”
https://t.co/orfdTuwK1r",2019-04-08 20:43:42
"Murphy, Toomey, Bipartisan Colleagues Announce HALOS Act to Support Startup Jobs, Innovation and Small Businesses
https://t.co/iTW2840sf2",2019-04-08 20:40:42
"Support Grows For Murphy’s “Madness Inc.” Report &amp; Call on NCAA to Compensate Student-Athletes
https://t.co/WNhhGKhOvf",2019-04-08 20:38:02
"Murphy Presses Secretary Azar on Budget Cuts to Medicaid, Hurting People Fighting Opioid Addiction
https://t.co/KnMnz2Mqu7",2019-04-05 17:05:24
"House Sends Murphy’s Resolution to End U.S. Involvement In Saudi-Led War in Yemen to The President’s Desk
https://t.co/yQ4Fcjlsfw",2019-04-04 16:18:45
"Murphy Presses Secretary Carson on Proposal to Eliminate Program that Helps Connecticut Homeowners Hurt by Crumbling Foundations
https://t.co/hXvq84EddY",2019-04-04 15:30:44
"Following NATO Secretary General Speech to Congress, Murphy Calls For Action to Address New Threats from Russia
https://t.co/sPKPj3SpUn",2019-04-04 15:27:12
"During Hearing Marking the 70th Anniversary Of NATO, Murphy Presses on Ways to Expand NATO Contributions Beyond Military Options
https://t.co/DCsco8SU6M",2019-04-04 15:22:55
"Murphy: If You End the Affordable Care Act with No Replacement, it is a Humanitarian Catastrophe for this Country
https://t.co/eOfINsmEO7",2019-04-04 15:22:01
"Murphy, Blumenthal, Colleagues: Include Legal Protections for Military Families in Privatized Housing in Defense Bill
https://t.co/v0VU3SLUUV",2019-04-02 17:37:19
"Murphy &amp; Blumenthal Join Colleagues to Pressure Trump Administration to Verify CDC’s Firearm Injury Data Accuracy
https://t.co/aCf2SZRqGm",2019-04-01 17:34:07
"Murphy, Blumenthal, Senators Urge Implementation of Farm Bill Dairy Improvements
https://t.co/qWMJVktBKD",2019-04-01 15:11:59
"Murphy, Bipartisan Group of Senators Introduce Legislation in Recognition of NATO 70th Anniversary
https://t.co/jF2Sh4Mr5a",2019-04-01 15:10:52
"Murphy Questions DeVos on Failure to Implement Rule for Students of Color and Students With Disabilities Despite Court Order
https://t.co/kgbtdeHJTU",2019-04-01 15:08:58
"Murphy Releases “Madness Inc.” Report, Calls on NCAA to Compensate Student Athletes
https://t.co/khhhlA9ini",2019-04-01 15:06:14
"Murphy Presses Trump Nominees on Combating Russian Influence in Eastern Europe and Holding Saudi Arabia Accountable
https://t.co/vfRhDky5R3",2019-04-01 15:04:15
"Murphy Presses Chao on Department of Transportation Budget Cuts to Northeast Rail Corridor
https://t.co/XzrH3rkSuF",2019-04-01 15:00:52
"Murphy Highlights Haven’s Harvest as “Murphy’s Innovator of the Month”
https://t.co/ler5Sqtr2H",2019-04-01 14:57:46
"Murphy, Johnson Applaud House Passage of their Bipartisan Bill to Combat Russian Influence, Aid European Security
https://t.co/B9B8K8PVsc",2019-03-26 18:58:14
"Murphy Slams Latest Trump Administration Action to Sabotage Health Care System
https://t.co/SSZHzsyNzA",2019-03-26 18:56:54
"Murphy, Democratic Senators Press for Answers Following Transfer Military Funding to Pay for President Trump’s Wall
https://t.co/NxV7PK2czp",2019-03-26 18:53:20
"After Seeing Conditions Firsthand, Murphy, Blumenthal, Larson Urge HUD to Improve Affordable Housing in the North End
https://t.co/iVBWvTqeAc",2019-03-26 18:49:36
"Murphy Highlights Berlin Manufacturer, Precision Punch and Tooling Corporation, as this Week’s “Murphy’s Monday Manufacturer”
https://t.co/qP7G7aAHiM",2019-03-25 16:42:00
"Murphy to Barr: Make Entire Mueller Report Public
https://t.co/EwWmr1Dfbm",2019-03-25 13:14:36
"Murphy Statement on Release of Special Counsel Mueller’s Report to the Attorney General
https://t.co/2bEcAfq238",2019-03-22 21:23:27
"Murphy, Blumenthal, Larson, Courtney Statement on Approval of East Windsor Casino
https://t.co/fMu26Q5L3J",2019-03-21 20:25:52
"Murphy Awards Service Medals to Terryville Vietnam Veteran
https://t.co/OmUOFA8pMK",2019-03-21 18:30:56
"Murphy Statement on Senate Vote Rejecting Trump’s National Emergency Declaration
https://t.co/PRM441sKHH",2019-03-14 21:48:56
"Murphy, Hayes Resolution: Keep Guns Out of Classrooms
https://t.co/nrOqwHdYJf",2019-03-14 21:47:56
"Murphy, Johnson Applaud House Committee Passage of Bill to Combat Russian Influence, Aid European Security
https://t.co/XIBaBhf2sD",2019-03-14 21:34:33
"Murphy Receives National PTA’s Congressional Voice for Children Award 
https://t.co/c6ng8fpfn5",2019-03-14 21:22:06
"Senate Passes Murphy’s Resolution to End U.S. Involvement in Saudi-Led War in Yemen
https://t.co/kLeD6n9w1w",2019-03-13 22:37:16
"Murphy on President Trump’s Budget Request: “Dead on Arrival”
https://t.co/NjYLeXLO6h",2019-03-12 18:34:30
"Murphy Joins Democratic Senators in Unveiling Legislation to Thwart Trump Admin Efforts to Twist Climate Change Science and Eliminate its Utility for National Security Planning
https://t.co/ZUmHtXHbxM",2019-03-12 18:29:22
"Murphy Applauds New Report Showing Progress in Veterans’ Mental Health Care Following Passage of his ‘Honor our Commitment’ Law
https://t.co/lDY4T2f7PJ",2019-03-12 18:29:06
"Murphy, Blumenthal Join Senators in Pressing President Trump to Designate Venezuela for TPS
https://t.co/cJ0vWLef7E",2019-03-11 15:55:03
"Murphy, Blumenthal Applaud Maintenance Contract for USS JOHN WARNER  
https://t.co/hbOaBYqObq",2019-03-07 17:54:08
"Murphy, Thune Reintroduce Bill to Encourage Healthy Living
https://t.co/CiRq6oJxwk",2019-03-06 21:35:29
"Murphy Leads 38 Democrats in Calling on Chairman Graham to Hold Hearings on Gun Violence Prevention Legislation 
https://t.co/P0b8TIdVCE",2019-03-06 19:35:38
"Connecticut Congressional Delegation Urges Defense Department to Preserve Full F-35 Funding in Defense Budget Request
https://t.co/Qf0QvGRL62",2019-03-06 19:35:11
"Murphy Votes Against Nominee Who Sided with Trump Administration to Strip Away Protections for People with Pre-Existing Conditions
https://t.co/jI8OrT4SJE",2019-03-05 23:05:36
"Murphy Highlights New Haven Innovator, Quantum Circuits, Inc., as “Murphy’s Innovator of the Month”
https://t.co/KzMDBCBr4H",2019-03-04 17:56:24
