tweet,dates
#HappyMothersDay to all the mothers in MS. I hope you have a wonderful Sunday with your family! https://t.co/PU57kkshGu,2020-05-10 12:03:34
.@EPA is providing $1.46M in Brownfield grants to @CityofCantonMS @CityofVicksburg @trpdd @WPSGreenwave for cleanup assessments. Thank you @EPAAWheeler &amp; Region 4 Admin. Walker. https://t.co/g35N3maVpo https://t.co/Rzs8zEWaQQ,2020-05-08 17:06:51
"#OnThisDay, 75 years ago, peace came to Europe as Second Word War hostilities ended there. We honor the brave men and women, especially those from Mississippi, who joined the fight and sacrificed for #freedom. #VEDay75 https://t.co/ic5qk49Oco",2020-05-08 14:25:24
MS will receive $1.53M in #CARES Act fishery disaster relief funds from @CommerceGov. This will help to begin addressing #COVID19 economic harm. https://t.co/Hj6JPxdbIc,2020-05-07 22:30:32
An additional $6.72M from @HHSGov is going to 20 MS Community Health Centers to support their #COVID19 testing capabilities. @CHCsofMS Details on MS grantees: https://t.co/HiDefwdPbe https://t.co/8mzDLEVFPI,2020-05-07 18:39:26
Congratulations to Maj. Gen. Diana M. Holland for her promotion to commander of the @MVD_USACE. Looking forward to working with you &amp; @USACEHQ. https://t.co/wV9AHJrxY4 https://t.co/7syfYMRXlL,2020-05-07 15:44:02
"Pleased to join @SenatorWicker on this resolution to honor nurses as patient advocates, acting to protect the lives of individuals under their care at all times. https://t.co/WeN1d3h1rp",2020-05-07 15:16:04
"“Be joyful in hope, patient in affliction, faithful in prayer.”  Romans 12:12.  @realdonaldtrump has declared today, May 7, a #NationalDayofPrayer. Let’s continue to pray for the health and recovery of Mississippi and our nation. https://t.co/4oTMWEYM47",2020-05-07 13:47:33
"On #NationalNursesDay we honor and thank our front-line warriors in the #COVID19 fight. If you know a nurse, reach out to them today to let them know just how appreciated they are. @UMMCnews @mnanurses https://t.co/9P1Z9cMrkQ",2020-05-06 16:05:12
Very good work by @fema to deliver #PPE to Mississippi for distribution by @MSEMA @nationalguardMS! Thank you @realdonaldtrump for your leadership to see that our front-line heroes have what they need to treat #COVID19 patients. #InThisTogether https://t.co/oGfL9bGSqM,2020-05-05 20:01:54
"If you’re an eligible MS ag producer/business hit hard by #COVID19, consider applying for @SBAgov Economic Injury Disaster Loan assistance. More info here: https://t.co/Ilo02SBaj6 https://t.co/CESK8DCrCh",2020-05-05 18:54:34
"This semester, many parents are learning just how much respect our teachers deserve! #HappyTeachersDay to MS educators for their dedication to our children’s education. https://t.co/Z2u2UlzaPC",2020-05-05 18:06:08
"Hurricane Season is right around the corner, and this week is #HurricanePreparednessWeek. Check in with @msema for topics on #HurricanePrep. #BePrepared https://t.co/Qb1n2FXQ34 https://t.co/J8pP966f4p",2020-05-04 21:10:57
"We must be diligent to ensure #COVID19 pandemic isn’t used to infringe on our constitutional Second Amendment rights, whether that means wrongly denying @sbagov relief for law-abiding #firearms businesses or undue background check delays. #2A Read more: https://t.co/a59ytoysPz https://t.co/EeZtBD3cZm",2020-05-04 20:18:30
"The @USDA will purchase $30M in surplus catfish. Since #COVID19 has severely depressed the market, its good news for MS producers/processors that @SecretarySonny has directed the USDA to support American #ag. https://t.co/Qcxk5Whe4V https://t.co/cmcWfKgWnu",2020-05-04 17:04:23
"If your kids are getting #COVIDー19 cabin fever, there is no reason they can’t go outside and play so long as everyone takes proper precautions. Family bike rides are a great choice, and be sure to set a good example: helmets for everyone! @safekids https://t.co/87lT4eDbGE",2020-05-03 18:08:05
"A lot of #COVID19 aid is based on Mississippi’s 2010 Census response. Shows why responding to the 2020 Census is important. If you haven’t done so during the #quarantine, take a few minutes to fill out your #Census2020 form. ➡️ https://t.co/UpZng7Ekq0 https://t.co/i8prx8XPn2",2020-05-03 12:12:03
Update: @CMSGov has answered the call for an increase in #Medicare payments for ‘audio-only’ #teleheath services. This is excellent news for Mississippians with limited access to broadband service. https://t.co/cctvRmqnB5 https://t.co/gyJyrkZRfW,2020-05-01 20:02:45
Restoring @msgulfcoast passenger rail service has been a long-held dream. @SenatorWicker @CongPalazzo &amp; I announce a $5.45 M @USDOT grant to help get it done; renewing opportunities for more tourism &amp; jobs in our state. @USDOTFRA @SouthernRailCms https://t.co/kmhHA72T5c https://t.co/jpauEbgfFD,2020-05-01 18:22:34
"On this #SilverStarServiceBannerDay we recognize those who have been awarded the Silver Star Medal, and honor the sacrifices of our wounded service members &amp; veterans. https://t.co/IyF57Vcd5R",2020-05-01 17:42:12
THANK YOU to every last Mississippian and American doing your part to ensure our nation’s recovery. It is because of you that we will defeat this invisible enemy. #InThisTogether #COVID19 https://t.co/SL3RDQeOmu,2020-05-01 16:18:18
Thank you @tatereeves for inviting @SenatorWicker and I to today’s #COVID19 briefing. I appreciate the opportunity to update Mississippians on our mutual efforts to help our state fight the pandemic. #InThisTogether  https://t.co/fSU3KcJg1S,2020-04-29 22:10:06
#Telehealth is proving vital during the #COVID19Pandemic. @Sen_JoeManchin @SenatorShaheen @JerryMoran &amp; I lead an effort to have @HHSGov @CMSGov increase #Medicare payments for ‘audio-only’ telehealth services in areas without broadband service. https://t.co/cctvRmHYZF https://t.co/0TTvddkK4y,2020-04-29 21:03:29
"As more attention is given to reopening our economy, @EPA @CDCgov issue guidance for cleaning &amp; disinfecting workplaces, businesses, schools &amp; homes. Learn more:  https://t.co/2LMkJrwJk7 https://t.co/6AfswaXZma",2020-04-29 17:53:51
#COVID19 doesn’t eliminate the need for necessary infrastructure upgrades at local MS airports. @SenatorWicker &amp; I announce $10.45M @FAANews grants to 13 MS airports to help make necessary upgrades to improve safety and efficiency. https://t.co/pnmM1WHzEl https://t.co/0LTqLjYuql,2020-04-28 17:12:12
"If you’re eligible for a #COVID19 Economic Impact Payment and haven’t received it, you can check the status of your payment at enhanced @IRSnews site here. https://t.co/2SPyzpLJls https://t.co/vB1EkNwTMf",2020-04-27 22:08:37
"Happy Birthday to both our first ladies, @FLOTUS and 
@firstladyofms! Thank you for your inspiring leadership on behalf of women and youth across the globe. https://t.co/RKsoxpVuhT",2020-04-26 17:18:33
"Good news for MS: @realdonaldtrump approved @tatereeves disaster declaration, which will be immensely useful for the counties still working to recover from storms, flooding, and mudslides back in February. https://t.co/MwiDPntJiA",2020-04-24 20:10:31
The @USTreasury is acting to make small public hospitals eligible for @SBAgov #PPP loans. This can help ensure the survival of these facilities for rural citizens during the #COVID19Pandemic. @JerryMoran &amp; I pushed for this earlier this month. Read here. https://t.co/GLIKzQuQlG https://t.co/ltNPZHVhWB,2020-04-24 18:35:50
Much needed help for MS small businesses/health providers is on its way to @realdonaldtrump today. #PaycheckProtectionProgram #COVID19 https://t.co/XkZpp3Me2r https://t.co/GL8RZ3OEHz,2020-04-23 21:06:48
"MS will receive more than $6.5 million from the @CDCgov to build its #COVID19 testing, contact tracing, and containment capacities as we take steps to safely #OpenUpAmerica. https://t.co/qhjo9TKxiU https://t.co/mjO1tlJAhQ",2020-04-23 18:00:42
"In the spirit of #WorldBookDay, pick up a book and start reading! It can be something new or an old favorite. #ReadersAreLeaders https://t.co/Y4JO18qLAg",2020-04-23 16:41:18
"I’m asking @US_FDA Commissioner @SteveFDA to use emergency authority to review @UMMCnews Dr. Charles Robertson’s innovative ventilator, which could offer hospitals life-saving ventilator options at a low cost. #COVID19 
https://t.co/oG4AFEaaou https://t.co/uDkjNYW0B0",2020-04-22 21:38:03
"Manufactures across Mississippi, large and small, are doing their part in the fight against #COVID19 and to keep our economy going. Thank you! @MSManufacturers  #InThisTogether https://t.co/TQNQooMXkO",2020-04-22 15:58:30
"Happy #EarthDay2020! If you’re a parent currently using distance learning, check @EPA resources for #EarthDayAtHome. 

https://t.co/hSBGYYvMzY https://t.co/FO6fI5wHPG",2020-04-22 13:23:38
"The longer the #COVID19 economic shutdown, the greater the harm to workers and small businesses. New relief bill offers new funding for #PaycheckProtectionProgram as we work to safely reopen MS and the nation. https://t.co/XkZpp43Pr1 https://t.co/i8FU3ckKss",2020-04-21 21:27:23
"The recent storms have devastated MS ag producers at an already trying time due to #COVID19. Fortunately, @USDA  disaster programs offer help. Read more: https://t.co/NcC1PKwz6x https://t.co/sxPIP0ToGZ",2020-04-21 19:08:36
"From the @IRSnews:  SSA, RRB recipients with eligible children need to act by 11 am CDT Wednesday to quickly add money to their automatic Economic Impact Payment. Take action. https://t.co/KYGiMc1RjL",2020-04-21 15:13:35
"As the nation marks  #NationalCrimeVictimsRightsWeek, let’s all do our part to support hope and justice for victims of all crimes. @OJPOVC @MS_MDOC  https://t.co/38XlTM7td4",2020-04-20 19:20:10
"Today, April 20th, is #HolocaustRemembranceDay. We remember the millions of people who tragically lost their lives during WWII to an evil regime. May we #neverforget, and renew our commitment to #neveragain. https://t.co/G9QEfW1lnn",2020-04-20 17:00:19
"Grateful to @realdonaldtrump and @SecretarySonny for @USDA Coronavirus Food Assistance Program to help ag producers, rural America during this #COVID19 pandemic. MS can benefit with its implementation.  
https://t.co/ttwlUXAvXK https://t.co/usrUeUMzZQ",2020-04-18 12:17:21
"Good to have @DHSgov Acting Sec. Chad Wolf in MS for first hand review of Easter tornado damage. @tatereeves reeves disaster declaration, approved by @realdonaldtrump, will free up federal funds for recovery work. @msema https://t.co/LFHiqrfM3A https://t.co/UpajQKIEXc",2020-04-18 01:56:54
"Here’s a prime example of the good the @SBAgov #PaycheckProtectionProgram is doing in MS, and why Democrats need to stop our efforts to add new funding. https://t.co/wQ5BUUBJkz",2020-04-17 18:25:59
"I appreciate @realdonaldtrump’s determination to safely open and restart the American economy. Good to seek input from many fronts on the complexities of getting people safely back to work, school, and church. 

https://t.co/PXzZMgNPGg https://t.co/Viv3l5cKpo",2020-04-16 22:00:09
"Today @SBAgov announced officially that #PaycheckProtectionProgram is out of funds. Every Senate Republican was ready to act today, but Democrats won’t let us do more now to help workers &amp; small businesses hurt by #COVID19 shutdowns. https://t.co/uW54fxrHx7",2020-04-16 20:04:06
"The significance of the @USACEHQ @VicksburgUSACE agreeing to reconsider the Yazoo Backwater Project after 12 years can’t be understated. This is promising news for those affected by persistent flooding all these years. #finishthepumps 

https://t.co/W3RtRkwD7o https://t.co/tOddYfzVyW",2020-04-16 19:13:04
"Having seen some of the terrible damage caused by the Easter tornadoes, I’m confident @realdonaldtrump will approve @tatereeves major disaster declaration request. Pleased to join the delegation to get @FEMA help to MS.

https://t.co/SjQOFkrj3j https://t.co/khw6jyu6gl",2020-04-15 22:42:34
Rural hospitals are key to our #COVID19 response in Mississippi. I am working to see that these hospitals receive the resources they need to stay in the fight. https://t.co/TY3ddEzKQp,2020-04-15 20:23:23
Democrats must stop blocking new #PaycheckProtectionProgram funding. MS small businesses should still apply with @SBAgov and know that I’ll push for resources to support this #COVID19 relief program. Visit https://t.co/sz1GrZ8B1F COVID-19 page for more info. https://t.co/mY3iOEKdFc,2020-04-15 16:37:23
"The Easter tornadoes compound the emergencies facing Mississippians. We’ll overcome both the storms &amp; #COVID19 with faith, cooperation &amp; strength. Appreciate being with @TateReeves @RepMichaelGuest @MSEMA to assess damage. https://t.co/jB7zh2xYwX",2020-04-14 21:28:46
"Dozens of MS airports will share $73M in CARES Act coronavirus response funding. Continued operation in our airports is important for public safety and our economic recovery after #COVID19.  With @SenatorWicker
 
https://t.co/0PgVYRXVB6 https://t.co/SUhCirvNZH",2020-04-14 20:04:08
Happy 72nd Birthday to the @USAFReserve! #FlyFightandWin https://t.co/DjT3GZ9qbe,2020-04-14 19:17:56
"With hospitals pushed to their limits by #COVID19, we should minimize, not increase, unrelated pressures on health care providers. @boblatta &amp; I lead an effort to urge @SteveFDA not to let up on REMS abortion drugs restrictions during the crisis. https://t.co/jSUpCIz5jc @SBAList https://t.co/yk3mxJW2P7",2020-04-14 17:51:56
"Some very good news for MS Gulf Coast. United States Marine Inc. in Gulfport awarded a $108 million contract to continue producing vessels for the U.S. Special Operations Command.  Keep up the great work! @USSOCOM  

https://t.co/Pjiet00dBP https://t.co/vvDEuvT64N",2020-04-13 20:22:51
"The victims of the Easter Day tornadoes are in all our prayers. Mississippians are resilient, and together we will get through this. @tatereeves will discuss the MS emergency situation at 2:30pm, and I am ready to support however I can.",2020-04-13 18:12:02
"He is Risen! Although this year is unlike any other, I hope you and your family have a hope-filled &amp; blessed #EasterSunday. #ChristIsRisen https://t.co/luEGBFlfJJ",2020-04-12 13:15:39
#ICYMI – I joined the effort to push for a global ban on wet markets. It’s clear these are breeding grounds for the disastrous diseases that kill tens of thousands of people around the world.  #COVID19 is just the latest and most severe example. https://t.co/63137SGt7y https://t.co/U7SSIsmADF,2020-04-11 17:32:59
Good news:  MS healthcare providers are receiving an initial $374 million to cover costs associated with treating #COVID19 cases. This money will help see that hospital can continue to treat patients without taking a big financial hit. https://t.co/cacHb55FN7 https://t.co/99QeZrpnMM,2020-04-10 19:03:17
So great to hear JT back on @SuperTalk today and to listen to his testament to faith. May God continue to bless him and all of us. @thejtshow #DayofHope #DonateBlood,2020-04-10 15:45:52
"All aspects of the domestic aquaculture industry have been severely affected by #COVID19. @JohnBoozman, @SenatorWicker, @SenTomCotton and I asked @USDA @SecretarySonny to support catfish farmers with direct #CARESAct funding. https://t.co/9ZeUEuY52w https://t.co/kyfGtHnTo7",2020-04-10 15:32:19
"“He himself bore our sins” in his body on the cross, so that we might die to sins and live for righteousness; “by his wounds you have been healed.” 1 Peter 2:24. I pray everyone is staying safe and healthy on this #GoodFriday https://t.co/P9necFSzrj",2020-04-10 14:25:13
"Even as we fight #COVID19 crisis, Mississippians in the Yazoo Backwater Area fight a third consecutive year of catastrophic flooding with continued harm to wildlife &amp; the environment. #FinishThePumps
https://t.co/XMSR7s2iaa https://t.co/ME7D3hNpIH",2020-04-09 21:50:23
"There is no good reason for Senate Democrats to choose this dire time to play politics. The American people need help, and it’s simply irresponsible to jeopardize that support. https://t.co/ewciEXBfok",2020-04-09 17:52:53
Wishing Jewish communities in Mississippi and across the nation a happy and healthy #Passover. Chag Sameach! https://t.co/prCYmhyzqW,2020-04-08 23:23:29
"Financial hardships for rural hospitals accelerated with #COVID19. @Sen_JoeManchin &amp; I lead a bipartisan effort to have @SecAzar distribute immediate help to rural providers through the CARES Act. 
https://t.co/NSAKeg1nA5 https://t.co/Oz7BaQsi5w",2020-04-08 22:30:54
Congress intended states &amp; local governments to have flexibility in using #COVID19 emergency relief funds. @SenatorWicker &amp; I joined the effort to ensure fairness w/out red tape for Miss. https://t.co/dOZ77AeQxi https://t.co/KP79FcO54m,2020-04-08 21:21:35
"Our nation is facing shortages of ventilators amid the #COVID19Pandemic, so Dr. Charles Robertson of @UMMCnews started making his own. This is the kind of innovation that can help save lives. Read more here: https://t.co/3gWNb5dxRt",2020-04-07 23:57:39
Mississippi community health centers are on the front lines of the #COVID19Pandemic. @HRSAgov is providing $17.2 million to 19 centers in MS to support their efforts to care for #coronavirus patients. @CHCAMS https://t.co/U4PjLEALc1 https://t.co/MeAsQFiFD4,2020-04-07 21:13:49
Thank you @realdonaldtrump for approving @tatereeves major disaster declaration request for Mississippi. @FEMA assistance and other federal funds will help Mississippians fight and recover from #COVID19. https://t.co/eUAJaPtTAS,2020-04-07 13:52:50
"ICYMI, I’m part of a bipartisan push to have @HHSGov &amp; @CMSGov to find ways to protect Medicare beneficiaries in high-risk settings and ensure safe access to care as we combat #COVID19. @SenatorTimScott @MarkWarner https://t.co/XG2KJgxvlE https://t.co/cozdEWYjpE",2020-04-06 16:46:10
"#COVID19 cannot be allowed to threaten our national security or the industries that support it. I'm pleased the 
@USNavy is awarding a $1.5B contract to @HIIndustries to build a new LPD for the Navy &amp; @USMC. Thank you, MS Shipbuilders, for your great work. https://t.co/9N0mmqpKZZ https://t.co/hjZDrwOImj",2020-04-03 21:55:52
Mississippians can be proud of how our universities are harnessing their capabilities to help fight #COVID19. Keep up the good work @msstate @MSUEngineering High Voltage Lab. @MaroonResearch https://t.co/HVleciwMFU,2020-04-02 19:36:07
"As @USTreasury prepares to distribute #CARESAct stimulus recovery checks, beware of scams. Here’s what to look out for: https://t.co/9EqgRd0ztB #COVID19 https://t.co/gb7Qj0PaHU https://t.co/9mJyJDE2HA",2020-04-02 18:01:56
$4.3 million will be distributed to MS counties through the @forestservice Secure Rural Schools Program. These payments will give MS counties added funding for the benefit of public schools and roads. https://t.co/agpl96j6fl https://t.co/v7CSBhbP9o,2020-04-02 16:39:41
"Governor @tatereeves’s shelter-in-place order will save lives. For the safety of all Mississippians, it is critical to remain at home while we fight #COVID19.  This will not be easy, but together we can slow the spread. #WereAllinThisTogether #FlattenTheCurve https://t.co/ooOGCeBL5e",2020-04-01 21:42:44
"Congrats to the Columbus Air Force Base Specialized Undergraduate Pilot Training Class graduates, who earned their silver wings recently. It’s heartening to see this milestone met amidst all the uncertainty in our state and nation. @usairforce https://t.co/vFVw302FkW",2020-04-01 19:11:56
"Today is #CensusDay. Take time to complete your #Census2020 form either online, over the phone or by mail. Just 10 quick questions! Let’s all get counted for a stronger Mississippi. Go to https://t.co/883LYu2UFC #CensusDay2020",2020-04-01 16:38:55
.@realdonaldtrump and his administration are suspending a good number of federal rules and regulations to aid in the fight against #COVID19. Read more below. https://t.co/KtWrbitM6h,2020-03-31 21:26:57
Our delegation is asking @realdonaldtrump to approve @tatereeves request for a major federal disaster declaration for MS storm damage &amp; Pearl River flooding in February. Approval would unlock federal resources to supplement state recovery efforts. https://t.co/hngpS1n9wq https://t.co/jyC4idQ8hE,2020-03-31 20:43:44
"Pleased to see a spotlight focused on Paige Manning as we wrap up #WomensHistoryMonth. Thanks, Paige, for all you do for agriculture in Mississippi. https://t.co/YT27pg8GlT",2020-03-31 18:16:46
"Federal agencies are now working to implement the CARES Act and its #COVID19 relief for families, small businesses and our stressed health care system. Visit my website for helpful agency-by-agency links: https://t.co/fyHhATqGCs https://t.co/5DhGPHH2Bh",2020-03-30 21:31:26
.@realdonaldtrump is reshaping the federal courts and his nominations of Mississippi’s Judge Cory Wilson &amp; Kristi H. Johnson will continue that process. Both are excellent choices. I’ll work with @SenatorWicker to get them confirmed ASAP. https://t.co/3PM5pPcIgU https://t.co/GHvzDCFvyS,2020-03-30 20:16:53
"Don’t forget – if you ever wanted to #BeAnAstronaut, @NASA is accepting applications through March 31. Go to https://t.co/OsbTa8Mkli to learn more. https://t.co/ZyQtFH6uCS",2020-03-28 15:36:34
"Help is on the way to all Americans as @realDonaldTrump signs the CARES Act into law.  
https://t.co/xgb4X31Plp https://t.co/pi9x2CXTt8",2020-03-27 20:27:25
"If you’re a parent looking for ways to keep your kids engaged in distant learning, check out @NASASTEM. It has plenty of at-home activities including puzzles, crafts, and reading. A wonderful resource to learn about space! #NASAatHome More here: https://t.co/Mtr5YYoDEj https://t.co/peipoFULLJ",2020-03-27 19:10:14
"Whether it’s donating or volunteering, there are ways we can help fight against #COVID19. @FEMA has good information on how you can pitch in. Visit: https://t.co/BNRXQr25qZ #WereAllInThisTogether #FlattenTheCurve https://t.co/sBiv9SEHwp",2020-03-27 16:51:56
Pleased TVA will help local power companies whose customers may have trouble paying their power bills because of the #COVID19 outbreak.  We’re all In this together. https://t.co/9Qm63qJGGV,2020-03-26 20:37:15
