tweet,dates
"The DOJ made the righteous decision for General Flynn, for America. I stand with my colleague @Jim_Jordan and @GOPoversight. We’re going after deep state treason. They shall be held accountable for their abhorrent targeting of President Trump.",2020-05-08 00:08:08
"We’ve been pushing the Governor to release Louisiana’s economy and restore individual freedoms. Today, Louisiana’s House Republican delegation again called on the Governor to reopen Louisiana. https://t.co/MWM8izgBGo",2020-05-07 23:18:49
".@realDonaldTrump and the Republican-controlled Senate are both working today. However, Speaker Pelosi refuses to open the People’s House for business.",2020-05-04 19:40:41
"AOC is advising her loyal followers to stay home when their opportunity to work resumes. 
  I agree. If you follow the absurd doctrine of AOC, just stay home. Period. 
  You’re in the way on the job.",2020-04-23 18:06:24
"I'm grateful that @LouisianaGov has taken Executive action to delay LA’s severance tax. This decision will help preserve oil and gas jobs and provide temporary relief to the industry.

https://t.co/Bt55XmmGPC",2020-04-22 22:45:39
"We must expand funding for the Paycheck Protection Program now. Democrats' partisan delay is hurting small businesses and millions of American families.

https://t.co/ZA2Xxs4ZEl",2020-04-17 14:56:01
"The Paycheck Protection Program has run out of funding. We tried expanding the program by $250B earlier this week, but Speaker Pelosi and Chuck Schumer blocked that effort. Small businesses and millions of American families are being injured by this delay. https://t.co/O5ryfJaYhv",2020-04-16 16:00:18
"Airports in #LA03 will receive over $21.2M through the CARES Act. This funding will help offset Coronavirus-related losses and ensure our local airports can maintain essential operations.

Read more here ⟶ https://t.co/pmuP3MJBq4",2020-04-14 19:25:02
"Speaker Pelosi, stop holding small businesses hostage. Expand the necessary funding now. American families are being injured by this delay. https://t.co/GMqiDuNyCQ",2020-04-14 15:49:11
"Easter blessings to you and your family. Though our celebration differs this year, we take solace in God’s eternal and unwavering love. https://t.co/RJiLbAQQgY",2020-04-12 14:08:49
"America’s energy producers are facing a generational crisis. My office is doing everything possible to protect the scores of thousands of Louisiana oil and gas jobs that are threatened by international market disruptions and COVID-19.

https://t.co/lkaBGwVkWL",2020-04-10 16:53:27
"PPP has been met with high demand since it launched last week. We should take immediate action to deliver the necessary financial relief to small businesses. Speaker Pelosi’s partisan delay only hurts American families.

https://t.co/8XH8fl3yMa",2020-04-09 17:57:16
"We announced another round of funding for community health centers in #LA03 today. These investments ensure local health centers have the necessary resources to continue serving our communities.

https://t.co/19vs4Ygvvt",2020-04-08 22:20:59
"We’re addressing issues with the Paycheck Protection Program to deliver economic relief to American businesses. This is an unprecedented effort, and we haven't stopped working. We’ll overcome these challenges together. https://t.co/pyr4Zsx8OY",2020-04-07 21:40:18
"Industry demand for storage has reached a critical point, and the SPR is well-equipped to meet that need. This decision from @ENERGY will help avert any stoppage in production and save scores of thousands of U.S. jobs while we await a restoration in global demand. https://t.co/Zz9lNgvOGw",2020-04-02 19:45:32
"SMALL BUSINESS RESOURCES: 

@USTreasury has released additional guidance on the Paycheck Protection Program, which helps small businesses maintain their workforce and cover additional costs for up to 8 weeks.

Learn more here: https://t.co/iYnQbgZJ4b.",2020-04-01 17:50:35
GOMESA provides critical funding for mitigation and restoration efforts along Louisiana's coast. We support this endeavor and will continue working with @realDonaldTrump’s admin to expand these important revenue-sharing provisions. https://t.co/6E8J9ABtoI,2020-03-30 20:16:16
We must ensure Louisiana is positioned for a quick economic recovery. The federal support authorized under a disaster declaration and the restoration of personal freedoms are critical to that end.,2020-03-25 04:28:58
.@LEDALafayetteLA publishes help wanted list for local businesses https://t.co/h5XXVchKWU,2020-03-21 19:09:40
"The Strategic Petroleum Reserve is a critical national security asset, &amp; with the current price of oil, now is the time to refill our supply. This will save taxpayers billions and provide needed support for U.S. energy producers.

My full statement here: https://t.co/Pg9RwRnWEp https://t.co/Iw72QdvUIm",2020-03-19 18:44:01
Louisiana businesses experiencing a loss in revenue due to COVID-19 can now apply for low-interest disaster loans through the U.S. Small Business Administration. Apply online here: https://t.co/JFc5JwDo7U,2020-03-19 18:11:53
"The coronavirus response bill builds on @realDonaldTrump's commitment to expand testing, limits new spending and health treatments to COVID-19, and provides U.S. families with much-needed economic stability. Overall, this legislation is a win.

https://t.co/JkPyOWMup6",2020-03-14 13:54:47
"Everyday actions can help mitigate the spread of COVID-19.

- Stay home when sick
- Disinfect frequently touched objects
- Avoid touching your face
- Wash your hands often for at least 20 seconds

For additional health tips and information, visit https://t.co/OhOSHKzfda https://t.co/x7TADEZrTr",2020-03-13 16:41:34
"Proud to stand with @RepWesterman, @GOPLeader, and many other colleagues in support of the Trillion Trees Act. This legislation improves the environment forever, without restricting personal freedoms or harming private industry.

https://t.co/go6DviY51b",2020-03-11 15:10:14
".@RepMarkMeadows is a patriot. We’ve battled together for Conservative principles on @GOPoversight, and Mark will serve America well in his new role. I look forward to working with him and @realDonaldTrump to keep America great. https://t.co/LUbzaDTinc",2020-03-07 18:24:07
"Apparently,  Sen. Tom Cotton lacks understanding of workforce realities regarding American farming. H2B employers are solid Americans. We want U.S. families to have permanent jobs... not temporary seasonal heavy labor jobs. Spend a day on a LA farm, Tom. Bring your boots.",2020-03-06 17:56:18
"We should continue to invest in our ports, waterways, and water management systems. These projects support thousands upon thousands of jobs and hundreds of billions of dollars in economic activity across Louisiana. https://t.co/zDQHsRctgJ",2020-02-27 22:48:44
