tweet,dates
Happy Mother's Day to all women—regardless of biology—who bring heroic and unconditional love to our world. https://t.co/qDw6lK3VIO,2020-05-10 15:37:38
Our firefighters and first responders on the frontlines of this crisis risk their lives everyday—our country has an obligation to be there for them and their families. #firefightersfirst https://t.co/xSOlfVbwpV,2020-05-09 18:09:26
People in detention facilities are particularly susceptible to the spread of #COVID19—which is why I’ve been calling for ICE to release all vulnerable immigrants under its custody. This is tragic &amp; we must do more to prevent future deaths. https://t.co/Wvug2CeKoO,2020-05-09 16:01:05
"This year appreciation is not enough. Teachers are not only the foundation of my life, but also my unconquerable faith in our future. #TeacherAppreciationWeek https://t.co/oZi8QBthor",2020-05-08 21:01:24
Really looking forward to joining @CollegeBoard this morning to help guest teach a special AP U.S. History class as students prep for next week’s exam. Watch here: https://t.co/9n3Ob5C4W9. #APMasterClass #APUSH https://t.co/cCSdQUcmIK,2020-05-08 14:47:23
A staggering 20+ million jobs were lost last month. Congress must do more to help families suffering right now &amp; that includes getting more cash payments to Americans to survive this crisis. We also need a plan for widespread #COVID19 testing so we can safely reopen our economy. https://t.co/NW4UN1Sc0x,2020-05-08 13:56:31
"Under the cover of a global pandemic, Trump’s DOJ is trying to drop the charges against a top Trump associate who pled guilty multiple times in open court. This reeks of corruption. The DOJ’s IG must investigate. https://t.co/2nHkMEYmXR",2020-05-07 22:52:51
"While our brave first responders are out keeping our communities safe and saving lives, tragically some have and will die from #COVID19. Our new bill would ensure the loved ones of these heroes get the benefits they rightfully deserve. https://t.co/U9uXZ7aKzm",2020-05-07 15:12:46
"College athletes–especially Black athletes—produce billions of dollars for colleges &amp; media companies, yet they are prohibited from monetizing their own name, image &amp; likeness. This is wrong &amp; I’ve been fighting to change that. The @NCAA must do more. https://t.co/9zPc8UxETX",2020-05-07 00:53:44
"Thank you to all of the nurses on the frontlines of this crisis risking your own health &amp; safety to provide lifesaving care for Americans. 

This #NationalNursesDay we must renew our pledge to do our part to keep these heroes safe by staying home to help #flattenthecurve.",2020-05-06 21:41:32
Over 2 million Americans are behind bars living under conditions that make them particularly susceptible to the spread of #COVID19. We must do more to protect them including passing my legislation that would move vulnerable people out of prison to supervision. #AnswerTheirCall https://t.co/pyahylTMXe,2020-05-06 18:37:10
"Today #SCOTUS is deciding whether or not your boss or school should cover birth control—a basic health care need covered by the ACA that benefits over 62 million people. Women, people of color &amp; young people will be hardest hit if they take this away. https://t.co/t4cT24hoai",2020-05-06 16:04:04
"To beat this virus and to rebuild a country that is stronger than it was before, we must start fighting right now for the future we want. Read more in my @essence op-ed: https://t.co/iMFJms6G8I",2020-05-06 15:02:30
.@BetsyDeVosEd has continued to garnish wages of federal student loan borrowers who fall behind on payments despite the fact that the CARES Act stopped this practice during the #COVID19 crisis. This is not only unconscionable—it’s illegal. We need answers. https://t.co/myoQ2fPRhx,2020-05-06 01:18:29
"During these uncertain times, our teachers are truly lightworkers going above &amp; beyond to find creative ways to educate our kids from home. On #NationalTeachersDay let's take a moment to thank &amp; celebrate them not just with our words but with our actions.",2020-05-06 01:05:43
"Our firefighters, EMTs &amp; police officers risk their lives each day to protect us from #COVID19. Many have made the ultimate sacrifice.
 
Today I introduced a bipartisan bill to ensure the families of these heroes get the benefits they are rightfully owed. https://t.co/ewAq8gjS6s",2020-05-05 20:24:46
"During a crisis that's taken nearly 70,000 American lives &amp; continues to threaten the livelihood of everyone in this country, Senate Republicans’ priority tomorrow isn’t how to stop #COVID19—it’s a hearing on a judicial nominee for an opening that won’t exist for 4 more months.",2020-05-05 18:59:06
"If we’re going to stop the spread of #COVID19, companies like FedEx—which employs thousands of people across the US &amp; reaches millions more through its services—must prioritize the safety of their employees. I’m urging FedEx to make changes now. https://t.co/VZ9krShQ2i",2020-05-05 14:17:23
"We have so much work to do to help our communities recover from this crisis—but as we tackle this virus &amp; plan for the future, we cannot afford to go back to what was accepted by so many as “normal” just 4 months ago. 

Read more in my @Essence op-ed: https://t.co/iMFJms6G8I",2020-05-05 00:42:41
"These reports are devastating. I’ve called on FedEx to immediately enforce &amp; strengthen social distancing policies, expand access to PPE, enhance sanitization practices &amp; drastically improve transparency. FedEx must ensure the safety of its workers. https://t.co/SygnWPm0UF",2020-05-04 19:19:29
Our prisons are hot spots for #COVID19. Not only do we need more testing in our prisons but we need to move vulnerable people in jail to community supervision to save lives. I have legislation to do this—Congress must act now. https://t.co/fPZPJBYMPE,2020-05-04 15:00:02
"On #WorldPressFreedomDay we recognize the bravery of journalists who risk harassment, threats, and imprisonment from their own governments for their reporting on #COVID19. Their lifesaving work is more critical than ever. https://t.co/guGYBoFgNV",2020-05-04 02:06:23
"Thousands of DACA recipients in NJ are on the frontlines of this crisis saving lives. If the Trump administration follows through on its cruel threat to deport these hardworking Americans in the middle of a pandemic, our country will suffer. We must stand up &amp; protect dreamers. https://t.co/kCjMLOJyqq",2020-05-03 21:29:18
"A free &amp; independent press is critical to a vibrant, informed society and a bedrock of our democracy. Today on #WorldPressFreedomDay we honor the courageous &amp; committed journalists around the world working to report the truth—their work has never been more important.",2020-05-03 15:45:51
"If you are a non-filing SSI or VA recipient and have dependent children, you have until May 5th to ensure you get your additional $500 economic impact payment this year. https://t.co/LZjtM3b1TW",2020-05-02 20:46:15
#COVID19 is spreading like wildfire in our prisons and Congress hasn’t done nearly enough to stop it. We need more testing and to move vulnerable people in jail to supervision to save lives. I have legislation that does this—Congress must act. https://t.co/JNHe5Gf47x,2020-05-02 18:09:14
"This is a step backward. All college students, including college athletes, should have the right to attend the institution of their choice without penalty. https://t.co/xMyFdQWeLH",2020-05-01 18:10:17
"Today on #MayDay, these courageous Americans are reminding us of our country’s continued struggle for workers’ rights including a workplace free of health and safety hazards. I stand with them in their fight for safer working conditions. https://t.co/zg00o22Cve",2020-05-01 13:24:24
The right to organize is a bedrock American principle that must be protected at all costs. Any company that denies its employees the ability to unionize is wrong and must answer for those actions. https://t.co/zVDk3b77ZD,2020-05-01 01:02:08
"Excited to join @AACCNJ and @NewJerseyEDA tomorrow to discuss the unique needs of the Black business community. If you have questions or want to learn more about what we’re doing to address these issues, join us tomorrow for our #COVID19 TeleForum. https://t.co/felJnxMo8B",2020-04-30 20:43:26
"Tom on Facebook wants to know how in some cases marijuana businesses are essential, while federal law is still woefully outdated. https://t.co/aMTu0aZMnG",2020-04-30 15:45:42
Horrific. That a non-violent drug offense became a death sentence for a woman who was 8.5 months pregnant is tragic and unacceptable. Andrea should be alive with her newborn right now. Congress must act to pass the Emergency Community Supervision Act. https://t.co/p3vprXz74I,2020-04-30 13:43:04
"Mohamad Amashah, a med student from NJ who was arrested at a protest in #Egypt last year, is one of many Americans &amp; political prisoners locked up abroad on baseless charges—now in jails especially vulnerable to #COVID19. I'm urging @SecPompeo to work toward their quick release. https://t.co/f7y10N5ysT",2020-04-29 19:34:20
You don’t benefit from a tax cut if you’re unemployed and unable to work. Another round of more generous cash payments is the best way to get help to people who are struggling the most—not another handout to the richest Americans. https://t.co/hAB4TZoMMI,2020-04-29 15:16:25
Thank you so much for the question @_Beckera_. Hear what I’m doing to put people and families first —&gt; https://t.co/JFWVcYP0S3,2020-04-29 00:40:33
"This is a framework, not a plan. While it’s encouraging to see the NCAA taking baby steps (after much prodding by state and federal officials), more substantive action is needed, and quickly to achieve justice for college athletes. https://t.co/8Gte8608UZ",2020-04-28 23:39:37
I know so many of you are looking for answers about COVID-19 and the federal response. Respond with your questions and I will try to answer! https://t.co/AxTdzpBZD4,2020-04-28 13:49:39
I’m leading an effort for a global ban on live wildlife markets where viruses like #COVID19 take hold—but we must also move away from factory farms which create serious risks to human health. https://t.co/KeAgAvBXA1,2020-04-27 23:49:13
"In 2019, 700,000+ New Jerseyans relied on SNAP. As the #COVID19 crisis continues causing record unemployment, more families in NJ &amp; around the US will need this vital program. That’s why I’m asking Congress for more SNAP funding in the next relief package. https://t.co/BR9S19S4Eh",2020-04-27 18:21:45
"New Jerseyans who want to know how the latest emergency relief bill affects them—including information on cash payments, unemployment insurance, emergency paid leave, and more—please take a look our comprehensive #COVID19 resource guide: https://t.co/56dNVqT5Jl",2020-04-27 14:59:33
We must prepare for the negative impact this crisis is having on the mental health of Americans across our country—from increased rates of anxiety to alcohol abuse to depression. We all need to look after one another. https://t.co/qgCZhXFxoB,2020-04-26 15:26:08
Companies have a responsibility to ensure the health &amp; safety of their employees. This latest major outbreak of #COVID19 in an Amazon warehouse in NJ is why I've been calling on the company to take necessary steps to protect its workers. https://t.co/M6BW8rwejD,2020-04-25 18:32:36
Looking forward to answering your #COVID19 questions during this evening’s #NJTVCoronavirus Town Hall hosted by @NJTVNews. Tune in tonight at 6:30pm ET: https://t.co/bALAIgfB4O,2020-04-24 21:19:32
