tweet,dates
Happy Mother’s Day to all the wonderful moms out there. My mom was the embodiment of strength and grace and I miss her every day.  Love you mom. https://t.co/NyMMVkjGRB,2020-05-10 15:19:15
"Republicans are ready to get to work. No more hiding. We don’t need trillion dollar spending. We need targeted efforts and a smart reopening of the economy.

Thank you @realDonaldTrump for inviting us to the White House to discuss how America can recover stronger than ever before https://t.co/6imAYJ3cAt",2020-05-08 20:57:42
"Speaker Pelosi &amp; Dems will say the only solution is to keep you locked up &amp; spend trillions of your taxpayer dollars on a partisan bill drafted in secret.

In truth, the solution is to reopen society &amp; get people back to work ASAP. Any politician saying otherwise is lying to you. https://t.co/YNt56l2jvD",2020-05-08 14:58:39
So-called “leaders” across the country have been violating their contract with the American people. It must stop. No more punishments. https://t.co/R9DsCMzvZC,2020-05-07 23:58:33
"Democrat governance:

1. Stay in hiding while the country is in crisis

2. Draft partisan, multi-trillion dollar bill in secret

3. Rush bill to the floor with zero deliberation or debate

4. Expect gratitude from Americans for the “benevolent” spending of their taxpayer dollars https://t.co/dHTpGrR9OD",2020-05-07 21:13:47
Good. This is the right decision that needs to happen across the country. https://t.co/nQs7DZz1JK,2020-05-07 17:01:19
"How do we address threats to our economic prosperity and civil liberties after COVID-19? How should local leaders encourage people to properly risk mitigate (hint: don’t throw moms in jail)? 

Kay Coles James joins me to discuss all of this and more.

https://t.co/jyLdvj5XWJ https://t.co/yLG91XqJW8",2020-05-07 15:36:47
"Good to see @GregAbbott_TX and @TXAG come out strongly against the ludicrous, unjust sentencing of a mother trying to feed her kids and keep her business open. https://t.co/r8u5jG18KW",2020-05-06 20:23:15
"Compounding pharmacies help lower drug costs and provide innovative care in our communities. Now, they’re at the forefront of our response to COVID-19. I toured Empower Pharmacy, a compounding pharmacy in Houston, and know the vital work they are doing. https://t.co/PWfAFeYmIV",2020-05-05 21:31:59
"“Protect the most vulnerable, but don’t put the entire state in economic cold storage in the name of a false choice between saving lives and saving money.”

@WSJopinion is exactly right. We can reopen the economy &amp; get people back to work while protecting vulnerable populations. https://t.co/UEjaFEz5BB",2020-05-05 19:28:20
"Hiding in perpetuity in the face of this pandemic was never an option, despite the claims of some. Now that we have a better understanding of this virus, it’s time to confront the risk of COVID-19 head on. So how do we do that?

WATCH https://t.co/LgMKOrJYMy",2020-05-05 14:52:27
We must hold China accountable. Nefarious and despicable actions like these by the CCP are precisely why @SenTomCotton and I introduced legislation to make China pay. This behavior is inexcusable. https://t.co/qYNR4hNzGy,2020-05-04 20:24:02
"“The business of the People’s House is ‘essential work’ that must not be sidelined or ground to a halt.”

Spot on from @GOPLeader. Congress needs to show the courage to lead from the front and get back to work. 
https://t.co/9FOT6PL8eH",2020-05-04 18:17:38
