tweet,dates
"Today, two KC-135 Stratotankers will be conducting a flyover Central Washington's hospitals to honor our healthcare heroes on the front lines of this pandemic. The path can be seen and heard in Moses Lake, Yakima, Richland, and Kennewick from 12PM - 1PM. 

https://t.co/XFarLdKrSQ",2020-05-08 17:53:51
Census questionnaires are confidential. Make #WA04 count by filling yours out by mail or online at https://t.co/smOJ7lW1FV. https://t.co/ouZT8j4IdU,2020-05-07 23:05:39
"Earlier this week, I hosted a call with @nfib_wa members. A huge thank you to @RepSteveChabot for joining us &amp; answering questions about the federal programs available to struggling small business owners. 

You can listen to the call here: https://t.co/9DjSWcw4Mh",2020-05-07 22:36:00
"There is no question about it: There is important work to be done. We should take this opportunity to modernize and improve upon our existing procedures, allow Congress to safely return to DC, and more efficiently work on behalf of those we represent. 

https://t.co/qERZTxqhqV",2020-05-07 20:12:00
"Unfortunately, scammers are using the COVID-19 pandemic to try to steal Medicare Numbers, personal information, and money. 

Learn how to protect yourself or your loved ones from Medicare fraud: https://t.co/cXrKJRFVDs",2020-05-07 01:21:00
"Don't forget: The Congressional Art Competition for #WA04 high school students is accepting submissions until June 1! Artwork can be submitted online or by appointment to one of my district offices. 

Details on my website:
https://t.co/7TlEPl4k8F",2020-05-06 23:21:00
"Thank you, @SecretarySonny, for announcing purchase of asparagus, dairy, pears, and potatoes! #WA04Strong https://t.co/c0RWUhhEKf",2020-05-06 17:48:34
"I joined @komonews to discuss how we can begin to safely reopen our economy with a regional approach. 

https://t.co/9ip728T0Ve",2020-05-06 17:45:27
"In 2019, I introduced Savanna's Act with my colleagues @NormaJTorres and @RepDebHaaland. Savanna's Act aims to empower local, state, federal, and tribal law enforcement agencies to accurately investigate &amp; solve the cases of #MMIW across the country. 

https://t.co/ehYMy4urFs",2020-05-05 17:08:20
"May 5 is a National Day of Awareness for Missing and Murdered Indigenous Women (MMIW). Across the country &amp;  here in #WA04, Native American women face a disproportionately high murder and violence rate &amp; they lack the federal resources to combat these heartbreaking statistics.",2020-05-05 15:38:21
".@POTUS &amp; @SecretarySonny are prioritizing America's farmers &amp; ranchers by providing relief throughout the COVID-19 outbreak. In Congress, I am working with the Administration to ensure aid for producers is commensurate with their damages. 

Read more: https://t.co/EZKQiM8yQ7",2020-05-05 02:02:23
"Ag producers in #WA04 are now eligible for SBA Economic Impact Disaster Loans. To meet the needs of our agriculture community, Congress is working with @POTUS and @SecretarySonny to ensure farmers &amp; ranchers have resources to continue to feed the world. 

https://t.co/7qoBDm7zes",2020-05-04 20:33:04
