tweet,dates
"As we continue to respond to this health and economic crisis, our goal is to make sure all Michiganders are healthy, safe and protected. The enemy is the #coronavirus, not each other, and we must work together to defeat it.

https://t.co/1FV6Uz4msH",2020-05-09 22:44:03
75 years ago today World War II ended in Europe. We must never forget those who fought to defend our freedoms. Let us always remember the Greatest Generation and the heroes that freed the world from tyranny.,2020-05-08 23:54:05
"Eliminating health coverage from millions of Americans, including those with pre-existing conditions, is wrong—especially during a global pandemic.

https://t.co/f8tvXPopWd",2020-05-08 21:58:23
"We must ensure all Michigan workers, families &amp; seniors can stay afloat during this health &amp; economic crisis. That's why I’m working with @RepDwightEvans to expand the Earned Income Tax Credit and Childcare Tax Credit in the next emergency relief bill. https://t.co/U3GpEDmg6n",2020-05-08 18:47:02
"No one should go hungry during this pandemic. Thank you @ATT Michigan for your $45,000 donation to the @foodbankemich to support food assistance for mid-Michiganders in need.

https://t.co/zwpV37XKkU",2020-05-08 17:55:59
Pure Michigan! https://t.co/6GhF0DjnFF,2020-05-08 17:41:46
"Expanding #coronavirus testing is key to safely reopening our economy &amp; protecting public health. I'm pleased to announce $1.8 million in federal grants awarded to 4 mid-Michigan health centers. These grants are part of the recent 4th coronavirus relief bill, which I supported. https://t.co/ZV100yjL5L",2020-05-08 15:15:00
"Live right now: I am holding a television town hall with @RepMoolenaar on all our local television stations. Tune in as I answer your questions live.

https://t.co/s9GqAnbHMI",2020-05-07 23:10:37
"It’s #NationalNursesWeek — to all the nurses who are risking their lives to help others during this pandemic, thank you for your compassion, expertise and generosity when caring for us. You are true heroes. https://t.co/U29O0OLyEL",2020-05-07 22:10:04
"Tonight starting at 7 p.m. ET, @RepMoolenaar and I will hold a live television town hall on all our local TV news stations. I’m looking forward to taking your questions. I hope you can tune in!

There is still time to submit your questions. Follow the information below: https://t.co/DVN995wrwk",2020-05-07 19:49:02
"Michigan’s @UAW members continue to step up to help our communities. Thank you for helping respond to this pandemic by producing PPE, conducting research for vaccines and treatments and providing legal services to those in need. #MIStrong
https://t.co/c9skrwtP21",2020-05-07 16:10:10
"Today I'm joining @MichiganLCV for a live virtual event to discuss actions in Congress to protect our Great Lakes, clean up #PFAS chemicals and ensure every Michigander has access to clean, safe drinking water. Join us ➡️ https://t.co/zA3fjI98S8",2020-05-07 14:08:59
"I hope you can join me for a live television town hall this Thursday, May 7th at 7 p.m. ET, airing on all our local TV stations and online. I’ll be discussing recent bipartisan actions in Congress to respond to this pandemic &amp; taking your questions live. 

More details below: https://t.co/okVKBrewpf",2020-05-06 17:15:39
I would have loved to be a fly on the wall for this! https://t.co/20qBQqpZnZ,2020-05-06 14:28:39
"Join me today at 1 p.m. ET for a live telephone town hall hosted by @AARP. We’ll discuss actions in Congress to protect Michigan seniors &amp; families during the #coronavirus. I’ll also take your questions live. To join, call (833) 380-0616. Anyone can join!",2020-05-06 13:53:01
"As the brother of educators, I want to wish them and all the teachers Happy #TeacherAppreciationDay. Thank you for pushing us to be better, inspiring us with new ideas and caring for us—especially during these trying times. https://t.co/XOCqRptXgp",2020-05-05 22:30:25
Today is the deadline for Supplemental Security Income (SSI) and Veteran Affairs beneficiaries with eligible dependents to fill out the #IRS Non-Filer form to ensure you receive the $500 per eligible child amount added to your stimulus check. https://t.co/H3lgUi2lfT,2020-05-05 20:10:34
"Today, @RepJackBergman and I led a letter urging funding for Michigan school based health centers to be included in the next coronavirus relief package. As schools remain closed, we must make sure there are no gaps in student &amp; family health care &amp; mental health services. Read⬇️ https://t.co/gTpuNrlY6N",2020-05-05 17:47:45
"I’m excited to announce the 2020 Congressional Art Competition. I encourage all #MI05 9th-12th grade students to express themselves and submit their best artwork. Last year we saw beautiful pieces and I look forward to what this year offers. Learn more ⬇️
https://t.co/bKhQrtuVYr",2020-05-04 18:38:20
Michigan’s small businesses are the backbone of our economy. Congress has passed more small business aid through the Paycheck Protection Program—we must make sure this relief is getting to the mom and pop shops on Main Street. https://t.co/STLj6Sb5Mt,2020-05-04 14:12:10
