tweet,dates
Thank you @GovRonDeSantis for your leadership through these challenging times. This is welcome news for small business owners. I'm calling my barber! https://t.co/lJ3wshMV3v,2020-05-08 20:20:51
I had opportunity to chat with @FoxNews reporter this week about @GovRonDeSantis plan to reopen Florida. Our state has defied the dire predictions and flattened the curve. https://t.co/09sPhLI4bg,2020-05-08 16:33:06
"I also thank the Greatest Generation – many of whom call my district home. Their commitment, sacrifice and service saved and changed the world. #VEDay75 https://t.co/8I8oanvAlD",2020-05-08 15:53:50
"The #CARESAct included funding for HUD to support communities, the homeless, public housing landlords, renters and homeowners during this pandemic. @SecretaryCarson shares info below of support coming to FL. https://t.co/67hBs1I9lN",2020-04-29 20:04:16
"Update on #PPP program restart from Senate Small Business Committee chair, FL Senator Rubio. https://t.co/e0Modv3awM",2020-04-24 20:19:29
"Tomorrow, April 23rd at 2 pm eastern join IRS' webinar for small businesses, veterans, social security beneficiaries and workers. Click on link below for info &amp; to register. #COVIDー19 #COVID19 https://t.co/raQEHssVW1",2020-04-22 18:08:33
"Thank you #ToThoseWhoKeepUsMoving. In this tough, unprecedented time, because of your work &amp; the sacrifices you’ve made, medical professionals can reliably get to &amp; from work, deliveries are continuing, and so much more. https://t.co/gqvz9oAD8h",2020-04-21 17:30:35
Thank you Mr. President for  recognizing my constituents and the example this community has set for our state and nation! https://t.co/M1WjvA328L,2020-04-20 15:12:45
Agreed thank you to our health care workers and many others serving during this time. https://t.co/S8da11d1Vr,2020-04-16 23:18:23
"Last week, Republicans proposed a straightforward, clean bill that would add more money for these loan programs, so small businesses could keep people employed. I hope my Democratic colleagues will stop blocking funding.  Small businesses need help now. https://t.co/1L6EuNFafy",2020-04-16 21:11:00
Beginning to hear personal reports that folks are seeing the funds in their accounts. https://t.co/MO7FQebxdK,2020-04-14 17:18:53
Joined my colleagues in sending this letter to @SecretarySonny. https://t.co/VA7ejP2QZM,2020-04-09 22:40:50
Good reminders on avoiding scammers. The IRS will not call you to request personal or financial information! https://t.co/jRpmm5BFN1,2020-04-09 15:01:43
I'm glad to hear you are feeling better and reunited with your family just in time for Easter! https://t.co/RlyIiVCI6S,2020-04-07 20:51:20
"Today is National Doctors Day. We are blessed to have so many doctors who work tirelessly to provide lifesaving care. Particularly during this coronavirus pandemic, I want to express my gratitude to the men and women on the healthcare frontlines every day. https://t.co/ejUIOUKbMZ",2020-03-30 17:26:48
