tweet,dates
"We all are appreciative for the mothers, wives, sisters, aunties and grandmothers that continue to be a positive force in our lives.  #Happymothersday https://t.co/qf3s8OweAB",2020-05-10 14:03:07
Arrested Dallas Hairdresser's GoFundMe Launched Before She Even Reopened – Texas Monthly https://t.co/s24ZihnDGY,2020-05-09 19:41:45
Food for thought. You can't fake competency... https://t.co/fr8Liwc6I2,2020-05-08 20:58:07
Why are ppl surprised. Remember Iran/contra? https://t.co/X3lYk29wde,2020-05-07 20:10:04
But wont get involved in Georgia.  Barr doing it again I see. https://t.co/GUCAEUIM9X,2020-05-07 19:06:26
Thank you for all that you continue to do!!!! https://t.co/t1zWbXSOaI,2020-05-07 16:45:39
He just doesn't learn...do he?  Folks this ain't a game... https://t.co/tour911wAD,2020-05-07 13:38:55
"It's been said; ""Why do ppl elect representatives who don't believe in ""government"" and expect them to operate ""it"" efficiently...the definition of insanity"" https://t.co/LUqwLDqaWI",2020-05-06 23:32:34
Honored to play a role in delivering 500 masks to the seniors and staff at Albany Terrace.  Let's continue to work together to flatten the curve and protect our vulnerable citizens. https://t.co/08yoh3ud82,2020-05-06 22:20:27
Tells you all you need to know. https://t.co/mFGEIQP1sK,2020-05-06 20:19:38
FYI: our office got some calls regarding sports event in the fall. The NFL and its clubs will provide refunds for canceled events. Bears fan will receive refunded ticket prices for canceled games due to the pandemic.    https://t.co/rmjQsiLzn3,2020-05-06 17:07:26
Economic Impact Payment Information Center https://t.co/1Y12yGVcxc,2020-05-06 15:46:42
The Grand 'Ole Party of law-and-order.... https://t.co/B1u0TTyYc6,2020-05-06 15:45:42
"Kudos to @CanadianPM Canadian Prime Minister, Justin Trudeau, who, less than two weeks after the deadliest mass shooting in Canadian history banned military-style assault weapons.  

Right on Mr. Prime Minister! https://t.co/F7yWFj1YNQ",2020-05-06 15:35:48
It's past time for this to stop happening... https://t.co/jWukdUn0Ra,2020-05-05 22:45:38
Seems as though they have social distancing down to a science.. https://t.co/4MMKt5iLg7,2020-05-05 16:38:26
"Action Needed for SSI Recipients with Dependents and Who Do Not File Tax Returns to Receive $500 Per Child Payment. 
There is still time to act, SSI recipients who did not file a tax return in 2018 or 2019 https://t.co/XmMoPp06nD",2020-05-04 18:41:00
Conservatives believe in welfare programs...don't let them tell you otherwise ... https://t.co/Uh46UDkNVo,2020-05-03 23:45:41
Thank you... https://t.co/Wb55Ku76ZO,2020-05-03 12:54:59
"I assume they need to determine what qualifies as an ""American"" enterprise... https://t.co/TkkbDCVx9c",2020-05-01 21:09:57
The more you know... https://t.co/tFHc5B9UCY,2020-05-01 17:26:56
Jogging https://t.co/KbJlCEqkAg,2020-05-01 01:38:35
Amen https://t.co/btlaGfdLJe,2020-05-01 00:42:42
How or why would the previous admin develop a test for a virus that ...well you get to point. https://t.co/2sb1SxGN6a,2020-04-30 21:56:46
Makes me wonder... https://t.co/UBZbHY20Qa,2020-04-30 21:48:06
Their plan all along...it's almost like these WORKERS dont pay taxes. https://t.co/ed7aoUADyy,2020-04-30 14:16:51
