tweet,dates
"#HappyMothersDay to all the Moms across America like my mom Jean Soto! Thank you for caring for us, picking us up when we’re down, and raising our country’s future leaders! https://t.co/v999OuZfhY",2020-05-10 13:28:18
"STIMULUS PAYMENT DIRECT DEPOSIT DEADLINE this Weds May 13!!! To get your #StimulusCheck quickly, register here ⬇️ https://t.co/yB4vQPXFMT",2020-05-09 15:42:35
I co-introduced legislation with @RepStephenLynch to use #blockchain tech to address #COVID_19 #PPE shortages. https://t.co/oVuLqqXga6,2020-05-09 14:26:23
Proud to announce a total $4.5M been awarded by @HHSGov to health services in FL-09 to assist with the #COVID19 response this week! This is a great win for our district as we continue to fight this pandemic. https://t.co/y24BdMibCQ,2020-05-08 21:53:04
"In the midst of a pandemic, @ProbSolveCaucus proves Republicans &amp; Democrats can come together to find new &amp; innovative ways to legislate while maintaining public health guidelines. While technologically imperfect, I’m proud of  our bipartisan efforts! https://t.co/0zh5ZbT3j1",2020-05-08 15:06:50
".@CFLHealthcare will be providing walk up and drive thru #COVID19 testing TODAY, May 8th, from 10AM-2PM! If you qualify based on CDC criteria, visit 225 Lincoln Ave in Lake Wales to get tested for FREE! https://t.co/S2HwDq1bL1",2020-05-08 14:08:03
"Great coverage by @GWexlerWDBO of our #SaveOurHomesAct which appears set to be included in our House CARES II Package! This bill ends mortgage forbearance balloon payments, moves missed payments to end of loan, and gives struggling homeowners real relief! https://t.co/3gpwZuHNCg",2020-05-08 13:20:20
Honored to join the Women’s Club of Winter Haven and @BradDantzler to present our young leaders with scholarships. It’s a privilege to be among such an impressive group of women to celebrate our youth! https://t.co/YQhAxrWFNL,2020-05-07 19:49:40
Homeowners and renters deserve stability during the #coronavirus pandemic! We have a responsibility to protect struggling Floridians in times of crisis. Led a letter to @GovRonDeSantis requesting an extended moratorium on foreclosures and evictions in Florida ⬇️ https://t.co/0eptGkqIBU,2020-05-07 19:21:17
People all across America are adapting to the #COVIDー19 crisis and so should Congress. Join me as my colleagues in the @ProbSolveCaucus and I virtually debate the next #CARES package. 💻WATCH at 3:30 PM https://t.co/xal955NOyw,2020-05-07 18:43:27
Great coverage by ⁦@WFTV⁩ about our crusade to stop mortgage forbearance plan balloon payments to protect struggling homeowners with our #SaveOurHomesAct!  https://t.co/pdsgrYa61H,2020-05-07 17:19:02
"This is not ok. We are fighting for fellow Hispanics for wage increases including essential workers, mixed immigrant families to be eligible for #stimuluspayment, robust fed unemployment benefits &amp; more #PPPLoan set asides for minority businesses. Unidos! https://t.co/df5r6oH50S",2020-05-07 16:33:08
"A global pandemic has turned students' lives upside-down. US Dept of Education should be spending their time ensuring students have the support they need to succeed in school, not rolling back the rights of survivors. @usedgov https://t.co/yibN6h0DT4",2020-05-07 14:59:42
Check out my @orlandosentinel Op-Ed with @_jennastevens_ of @EnvAm about protecting #CleanWaterAct! https://t.co/TANo70yiV3,2020-05-07 12:48:08
"This health crisis exposes more than just an overstretched healthcare system, but also the result of years of systemic racism, disenfranchisement &amp; oppression of African Americans, Hispanics &amp; other communities of color. We must address these disparities. https://t.co/AcGovyDD3E",2020-05-06 16:48:14
"Our nation’s nurses have shown us time and time again what true dedication, compassion and hard work really mean. 
 
This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/qNGJnm9J3c",2020-05-06 14:06:21
Pres Trump’s demand for payroll tax cut is rebuffed by Congress because it would put #SocialSecurity Trust Fund in jeopardy and mostly help those who already have jobs! #COVID19 https://t.co/8Vxm8OQDF5,2020-05-06 13:26:18
"Schools might be closed, but teachers across the country are showing up for their students every way possible. Just one of many reasons we need to tell them how much they are appreciated. Happy #TeacherAppreciationDay to teachers in #FL09 and across the country! https://t.co/W2xatWJztI",2020-05-05 18:11:54
.⁦@ICEgov⁩ has a duty to keep immigrants in their care safe from harm. This is an especially critical responsibility during a pandemic. #COVID_19 https://t.co/GCDpjE98ab,2020-05-05 12:45:36
"Our economy is based on the success of Latino, Black &amp; LGBTQ small biz. The financial repercussions of failing to protect them could be long-lasting &amp; disastrous. Read our letter urging Sec. @stevenmnuchin1 &amp; @SBAJovita to keep CARES Act funding on Main Street, not Wall Street ⬇️ https://t.co/8R3GH8TCGl",2020-05-04 21:08:54
"During Asian Pacific American Heritage Month, it’s more important than ever to stand in solidarity with the #AAPI community and denounce the alarming rise in anti-Asian bigotry we are seeing due to #COVID19. This is unacceptable and must end. #StopAAPIHate #APAHM2020 https://t.co/PnbyqyiKeN",2020-05-04 18:14:52
"59 years ago today, 13 courageous Americans started a dangerous journey through the segregated south.
 
As we honor the #FreedomRiders, we must recommit ourselves to their fight for justice and equality for all, especially as we face a global crisis. https://t.co/4ZUasJqdAA",2020-05-04 17:14:32
"If you received a message from the IRS asking if you filed a suspicious tax return, you can validate your identity through IRS’s online Identity Verification Service. Click here to access ⬇️ https://t.co/x8bf5zRwqh",2020-05-04 15:34:20
"We are going to dig deep and fund our cops, firefighters, nurses, teachers and other heroes, not let states go #bankrupt. Our first responders and the public they serve deserve better! #COVID_19 #ForThePeople  https://t.co/HkLZUjnx1I",2020-05-04 13:20:01
"Time for ⁦@USTreasury⁩ to harness power of #Blockchain to distribute and track #COVID_19 #StimulusPayments, #PPPloans and other relief! https://t.co/Myvp2ubK3H",2020-05-03 16:36:43
