tweet,dates
Happy Mother's Day to all of the wonderful mothers throughout West Virginia. I hope you are able to spend time with your family in a safe manner. https://t.co/OLaCavqbED,2020-05-10 16:00:05
"Among the hundreds of graduates today of West Liberty University was our son, Bennett.  Mary and I couldn’t have been prouder.  His degree in Elementary Education is special to us all.  It may have been a virtual ceremony but it meant the world to watch it unfold on the screen. https://t.co/jutgsjGujj",2020-05-09 23:36:22
"May is #NationalTeacherAppreciationMonth so I want to thank all of West Virginia's educators for their unwavering commitment to our students, especially now during a time of remote teaching and virtual learning. #ThankATeacher https://t.co/f0GqO0Kvwu",2020-05-09 19:25:23
"Great article about West Virginia Central Federal Credit Union, they started a gift card matching program &amp; made a dollar-for-dollar donation to local food banks. In total they produced a financial impact of $75k for their local community! #InThisTogether
https://t.co/yhMqxAcjXJ",2020-05-08 20:23:34
"🚨 BREAKING NEWS: West Virginia is receiving over $9.8 million for #COVID19 testing at community health centers.
To read more click⬇️
https://t.co/qyio8mfdLW",2020-05-08 18:49:55
Thank you @IPRCenter #HSI agents for continuing to investigate #Covid_19 scams. https://t.co/A5vurYYOKQ,2020-05-08 17:39:24
"Today, is the 75th Anniversary of #VEDay where German troops surrendered in European cities. Thank you to all of our veterans for your service! https://t.co/G2ijWMHx0D",2020-05-08 14:21:33
"Across West Virginia, the #PaycheckProtectionProgram is saving countless jobs and giving small businesses a boost. If you are interested in sharing your #PPP story, please click below. ⬇️
https://t.co/5EAYBTSq01",2020-05-07 18:01:36
"On #NationalDayofPrayer, let’s join in prayer for those who we have lost and those who are sick. Let’s also pray for the health care workers &amp; first responders who are on the front lines battling #Covid_19. https://t.co/EBLHd4QlTO",2020-05-07 17:01:29
Enjoyed speaking at the 49th East Fuel Buyers Virtual Conference this morning to discuss the impact of #Covid_19 on the energy industry. https://t.co/jJ2byH8qwV,2020-05-07 14:32:03
"The @EPA announced three grants awarded to WV-01 from the EPA Brownfields Program. These grants will provide over $1 million in assistance to help communities assess and clean-up areas contaminated by previous industrial activity.
Learn more ⬇️
https://t.co/2GxXISQV0K",2020-05-06 20:21:50
Proud to announce the first district of West Virginia received over 1.4 million in Brownfields grants. This grant program will help revitalize our local communities. Learn more. ⬇️ https://t.co/2GxXISQV0K https://t.co/Njgx57Je5F,2020-05-06 19:46:42
"As part of the front-line workers battling #COVID19, nursing professionals need our support now more than ever. Thank you for all of your hard work and sacrifices you are making during this time. #NurseAppreciationWeek https://t.co/AneE7jX2Lx",2020-05-06 14:51:37
"I joined my colleagues in leading the 
effort to ensure Congress is helping the United States Postal Service. The USPS plays a vital role in keeping people connected &amp; ensuring customers receive important goods like medicine.......(1/2)",2020-05-05 20:17:09
"I joined @SenCapito and @WestVirginiaAG in sending a letter to @HHSGov Secretary Alex Azar to help secure point-of-care testing machines for FCI Gilmer and FCI Hazelton, which can provide results in as little as five minutes. To read more click below.⬇️ https://t.co/i4CbbVsghk https://t.co/ZO44lzOIgq",2020-05-05 15:39:41
"When #COVID19 is over, @WVtourism will be waiting to welcome our visitors. Until then, you can take a #VirtualRoadTrip across the US which includes a stop in #WV at 12:30pm tomorrow! #SpiritOfTravel #nttw20 
Learn more➡️https://t.co/8mUMT8Bj4X https://t.co/5ZOqP0D2qx",2020-05-04 19:01:45
May the fourth be with you....,2020-05-04 12:02:57
"Please check on your family and friends’ mental well-being during this crisis. Especially now, mental health awareness is vital. If you or a loved one is struggling with mental health or addiction issues you can find resources at the link below. ⬇️
 https://t.co/tkCoYZou7V",2020-05-02 18:09:35
"Across West Virginia, the #PaycheckProtectionProgram is saving countless jobs and giving small businesses a boost. If you are interested in sharing your #PPP story, please click below. ⬇️
https://t.co/5EAYBUa0Rz",2020-05-01 21:05:30
"Tune in tonight at 5 pm on @wchs8fox11 to hear the latest information on what legislation Congress is working on to help combat #COVID19. Link below. ⬇️
https://t.co/i7MROOoLEL",2020-05-01 19:32:22
".@RepCarolMiller and I sent a letter to U.S. Secretary of Education @BetsyDeVosED regarding the rigid timelines and standards in the Individuals with Disabilities Equality Act (IDEA) and the need for more flexibility during this pandemic.

Read our letter below. ⬇️ https://t.co/4ChbfMWuMG",2020-04-30 20:38:39
Great news! We will continue to make sure our communities keep receiving this much-needed funding! https://t.co/DB51ETsh6x,2020-04-30 17:53:39
".@WVGovernor announced the ""West Virginia Strong – The Comeback,"" plan to reopen is officially underway! The plan has more detail on what to expect over the next coming days and weeks. https://t.co/I7IuX2pyps",2020-04-30 15:06:30
"Joining @WDTV5News at 5 o'clock to discuss the transfer of inmates from D.C. to USP Hazelton facility. Our office has been on this from the beginning, calls with BOP leadership &amp; correctional officers, letter to BOP opposing this move and more.",2020-04-29 21:10:31
Glad to see @kroger stepping up during #COVID19 ! https://t.co/tkpmiMN6mw,2020-04-29 17:15:04
"The national average response rate is 53.7% and currently in West Virginia the self-response rate is 41.6%. We can do better! Click on the link below to fill out the 2020 census so you can #BeCounted!
➡️ https://t.co/j8lZNY3rXc https://t.co/oXs1JEbcEe",2020-04-29 14:50:06
"Connectivity is even more vital right now – to stay in touch with family and friends, work remotely, educate our children, and access entertainment. Glad to see these companies stepping up during #COVID19. 
https://t.co/PaX2F896lw",2020-04-28 14:33:05
Happy Birthday @WVGovernor! Proud to be working with you for our great state. 🎂🎉 https://t.co/QbaCFm3Dn7,2020-04-27 23:41:55
"The @SBAgov application for #PaycheckProtectionProgram is RESUMES TODAY! The SBA provides more information on their website regarding #COVID19 and loan resources. ⬇️
https://t.co/E8MXhsq0zP",2020-04-27 14:50:53
