tweet,dates
"Like so many things these days, the way we celebrate Mother’s Day on Sunday will look different, but the love and gratitude we have for our mothers and  grandmothers remains the same.",2020-05-10 15:05:12
I would like to extend my heartfelt congratulations to all students graduating this weekend. https://t.co/vCUVYKQN57,2020-05-09 13:00:00
The Pandemic Response and Opportunity Through National Service Act prioritizes recruitment of those from often diverse backgrounds so locally-led solutions serve those who need it most. #Stand4Service https://t.co/Fyql0QuOFK,2020-05-08 17:35:38
"We have the nationwide infrastructure. We have the training know-how. We have young Americans ready to help.

What are we waiting for?

Let’s expand @AmeriCorps to respond to #COVID19 

#Stand4Service https://t.co/8gOe3tRfnF",2020-05-08 17:00:38
"Today marks the 75-year anniversary of #VEDay – the end of #WWII in Europe.

We thank the servicemembers from the greatest generation – and our allies who fought alongside them – for their bravery and sacrifice so we can live free.",2020-05-08 16:01:25
"Small businesses are the heart of our economy, but this #SmallBusinessWeek looks a bit different.

You can still stay safe, #shopsmall, and help your neighbors by ordering takeout from your favorite local restaurant or buying gift card to a local shop.",2020-05-08 13:03:00
"Today, the NC Air National Guard will fly over the triangle to thank frontline workers for their tireless work! 

See when the fly over will happen near you: https://t.co/r3RBnrTNwT",2020-05-07 14:00:00
"Teachers and school staff are going above and beyond to serve students from a distance during #COVID19.

But, without more emergency relief, many teachers could be laid-off. Let's honor #TeacherAppreciationWeek by giving schools and states the resources they need. https://t.co/blr3KQ6E3U",2020-05-07 13:00:00
"62+ million people benefit from the ACA’s birth control coverage. 

Yet, today, #SCOTUS is hearing arguments on employer’s power to decide whether or not to cover birth control for employees. 

Birth control is BASIC healthcare.",2020-05-06 15:32:00
"Nurses show us every day the true meaning of dedication, compassion and hard work – especially in the fight to beat #COVID19.
 
This #NationalNursesDay, we must honor our health care professionals by ensuring they are protected &amp; have the supplies they need. https://t.co/dZXHgTOVWH",2020-05-06 14:31:24
"DEADLINE TODAY: If you do not file taxes and receive SSI or VA benefits with dependents under the age of 17, you must submit your information to the IRS TODAY to receive the $500 dependent check. 

Learn more here: https://t.co/rjlRViYCS5",2020-05-05 18:11:30
"#COVID19 is a crisis. @AmeriCorps &amp; @SeniorCorps are ready to respond.  

What we need:  
✅contact tracing
✅education support
✅support for public health  

How we do it:  
✅Expand AmeriCorps to 750,000 positions
✅Fill the gap in people power
✅Boost living stipend 
(1/2)",2020-05-05 16:11:17
".@AmeriCorps is ready to rise to the challenge to tackle #COVID19. Today we introduced the Pandemic Response and Opportunity Through National Service Act to expand AmeriCorps to 750k positions to help respond &amp; recover. 

Read my full press release: https://t.co/nWszcpIxVF",2020-05-05 15:43:43
"DEADLINE TOMORROW: If you do not file taxes and receive SSI or VA benefits with dependents under the age of 17, you must submit your information to the IRS by tomorrow to receive the $500 dependent check. Learn more here:  https://t.co/rjlRViH1tv",2020-05-04 14:35:27
"I urge everyone to be conscious that this continues to be a critical time for food assistance recipients to redeem benefits. If you can, avoid EBT &amp; WIC products &amp; DON’T stockpile excessive amounts. To view a list of WIC-eligible products visit: https://t.co/iv1seYcGLM",2020-05-04 13:00:01
"Lisa and I are saddened to learn of Tony Rand’s death and want to express our sympathy to his family, the Fayetteville constituents he represented so well, and his many friends and admirers.",2020-05-01 20:35:32
"We can’t feed America if our workers get sick. I sent a letter to @POTUS to demand protections for workers in the meat packing industry including:

✅Mandatory testing
✅Sick leave
✅Adequate PPE
✅Social distancing
✅Whistleblower protection

View the letter here: https://t.co/1YyOxWBhYU",2020-05-01 16:23:59
"HAPPENING NOW: Join me for a 4th district telephone town hall with local expert, Dr. Penny Gordon-Larson, PhD, @UNC Assc. Dean of Research. https://t.co/HFusRhag7J",2020-04-30 21:15:00
"Recently, NC approved a Pandemic-Electronic Benefit Transfer (P-EBT) that will provide $371 per child to eligible SNAP recipients. Most individuals will receive the benefit automatically with no action necessary. To learn more visit: https://t.co/EHUntVWg00",2020-04-29 18:28:29
"Last week was National Park Week. While we’re staying home and staying safe, we can learn about the nature all around us by engaging with our Parks virtually! Find a National Park near you: https://t.co/xTWbcebSgo",2020-04-28 13:58:08
"Self-employed, independent contractors, &amp; gig workers can now apply for unemployment insurance in North Carolina.
@HouseDemocrats secured funding in the #CARESAct to provide this newly available benefit. For more information visit: https://t.co/igCtXM4Vy8",2020-04-27 21:30:00
"Americans deserve quality health insurance now more than ever. Despite years of systematic, politicized attempts by Republicans to undermine the ACA &amp; take away insurance, the federal government has a LEGAL obligation to follow through on its commitments to insurers. https://t.co/ceMU131FCM",2020-04-27 20:45:00
Don't miss tonight's #ProtectOurVote virtual town hall with me and NC leaders! https://t.co/y8RsbOxquZ,2020-04-27 20:22:39
"I’d like to wish a very happy birthday to my fellow North Carolininan, @GKButterfield! https://t.co/oUfn8rzzVC",2020-04-27 19:45:00
"I voted to replenish #PPP last week, and TODAY small businesses can resume applying for @SBA loans.

@HouseDemocrats fought for a set aside to fund underserved &amp; independent small businesses through small local lenders.

Find eligible lenders here: https://t.co/cuMGVPpXSU 1/2",2020-04-27 19:09:27
"Those who do not file taxes &amp; receive SSI or VA benefits with dependents under the age of 17, are eligible for an additional $500 economic impact payment. The deadline to submit your deposit information is May 5th. Don’t miss it! Visit:  https://t.co/rjlRViYCS5",2020-04-27 16:36:29
I’m saddened to learn of University of Rochester (@UofR) political scientist Richard Fenno’s death at 93 from COVID-19 complications.,2020-04-25 19:09:13
"As @AppropsDems T-HUD Chair, I’m pleased to announce a $30mil Choice Neighborhoods grant for @CityofWS to redevelop Cleveland Avenue Homes.

I helped save Choice Neighborhoods from Trump's chopping block because it provides critical $$$ for comprehensive redevelopment.",2020-04-24 20:08:45
