tweet,dates
"Happy Mother's Day to all the wonderful mothers in Tennessee, especially my mom and my wife Roberta. We are grateful for you today and everyday! https://t.co/TygiLh5xyP",2020-05-10 13:50:25
May is #MilitaryAppreciationMonth. Thank you to all the veterans and service members for your service and dedication to our nation.  Our military is the best in the world because of the talented and dedicated members of our armed forces. https://t.co/o30WbwP9zz,2020-05-09 18:07:24
"Today, is #MilitarySpouseAppreciationDay. To all of our military spouses, thank you for the service and sacrifice that you make every day. You are essential to the strength of our country. https://t.co/RSihKP3dnH",2020-05-08 17:55:15
"Today, as we mark the 75th Anniversary of #VEDay, it is important we honor the men and women who served our nation and remember their incredible sacrifice. Today serves as a reminder that as Americans, we can overcome any obstacle and come out stronger than before. https://t.co/uPuub2NVLI",2020-05-08 15:25:35
"Now is the time to work together and implement effective and healthy policies to get our economy back up and running. In order to do this, @SpeakerPelosi must bring Congress back to Washington.",2020-05-07 18:55:58
"Today on this #NationalDayOfPrayer, I encourage everyone to pray for the health and safety of our nation, our frontline workers, and all those affected by COVID-19. https://t.co/XYUSzzc71f",2020-05-07 13:44:44
".@TNBankers have been working around the clock to provide over 75,000 Tennessee small businesses funding from the #PaycheckProtectionProgram. This financial assistance has proven vital to help small businesses stay afloat.
https://t.co/OvaZq3fcMQ",2020-05-06 21:35:08
Today begins #NursesAppreciationWeek. Nurses are on the front lines every day combating COVID-19. #ThankYouNurses for all that you have done and continue to do to keep us safe and healthy. https://t.co/vqP7E1okLj,2020-05-06 14:37:23
".@realDonaldTrump &amp; the Senate are working for the American people in Washington, while @SpeakerPelosi  won't let the House return.

Congress should be working to:
- get our economy running
- help small businesses
- assist those on the front lines

We can't allow any more delay!",2020-05-05 17:51:52
"The #PaycheckProtectionProgram has processed over 40,000 loans to support small businesses in Tennessee during COVID-19. If the PPP has helped your business stay afloat, I encourage you to share your story below.

https://t.co/uEeUEhYS6A",2020-05-05 16:31:39
"Today, @SBAgov announced that agricultural businesses are now eligible for the Economic Injury Disaster Loans. This news will help West Tennessee farmers make ends meet and bring stability to our country’s food supply chain.
https://t.co/a3oRz8i4fj",2020-05-05 00:12:41
Thank you @GOPLeader for this effective and safe plan to bring Congress back to work and restore America's voice. It's time @SpeakerPelosi listen and allow us to return to our constitutional duty. https://t.co/X1kDo8xjZ2,2020-05-04 16:13:56
"This month is #TeacherAppreciationMonth. Teachers are rising to meet unprecedented challenges during #COVID-19. Now more than ever, it is important we thank and appreciate teachers for their hard work. #SendTeachersLove",2020-05-04 14:24:25
Thank you to all the men and women in West Tennessee and across our country who are on the front lines fighting COVID-19. You are keeping our country moving during these uncertain times. https://t.co/WEa2HCodQb,2020-05-02 15:41:48
"Every week, I send out a newsletter with health and economic updates and important COVID-19 resources to help you during this time. To sign up for my weekly newsletter, click the link below. https://t.co/ytSopn7xuI",2020-05-01 21:48:43
"The #PaycheckProtectionProgram has proved vital to small businesses across Tennessee! The @SBAgov has already approved 34,000 loans totaling $6 billion for the Volunteer State. https://t.co/Vl7K6Zsnep",2020-05-01 17:08:11
Congratulations Jay Yeargin on being named Tennessee Farmer of the Year! You are a great leader in the agricultural community and in West Tennessee. https://t.co/PtLB9jl8Qt,2020-04-30 21:13:31
Thank you @HUDgov @SecretaryCarson for looking out for the Volunteer State! This funding is vital to help our communities recover from #COVID-19. https://t.co/C2h4QCydge,2020-04-30 20:24:28
"Thank you @KelloggsUS for doing your part for those in need! Together, we can beat COVID-19 and come out stronger. #InItTogether 
https://t.co/RV2oR8Y8Hu",2020-04-30 15:47:51
"Anti-Semitism is on the rise, especially in New York City. @BilldeBlasio should apologize for his threatening message singling out the entire Jewish community for the actions of just a few. It is not only wrong, it is dangerous. https://t.co/iASCJhSzK1",2020-04-29 18:22:51
"The #PaycheckProtectionProgram is vital to keep West Tennessee small businesses open. Since Congress replenished this program's funding, over 475,000 loans have already been approved totaling over $52 billion! https://t.co/OxwBAQK4JE",2020-04-29 15:03:37
"Funding approved by Congress for the #PaycheckProtectionProgram will support an estimated 1.33 million jobs in Tennessee. If the Paycheck Protection Program has helped you keep your business afloat, I encourage you to share your story below!

https://t.co/DIArbDxG3g",2020-04-28 14:15:14
"As a reminder, the @SBAgov will resume accepting applications for the #PaycheckProtectionProgram today! These loans are forgivable when used for payroll, rent, and utility costs.

https://t.co/Vl7K6ZJY5X",2020-04-27 14:14:06
"This week, Congress replenished the #PaycheckProtectionProgram's funding and applications are expected to reopen this Monday. This program has proved vital to keep small businesses across our country afloat.
https://t.co/GwWCG45gGl",2020-04-25 16:15:43
Looking forward to joining @KeithSherley on @NewsTalk1015FM today at 4:00 PM CT to discuss Congress replenishing the #PaycheckProtectionProgram. Tune in!,2020-04-24 19:38:37
"Yesterday, the House replenished funding for the #PPP. In Tennessee, an estimated 664,000 jobs will be supported with this new funding.  I look forward to @realDonaldTrump signing this vital piece of legislation into law today and giving our small businesses the help they need.",2020-04-24 15:46:10
"I voted to replenish the #PPP, giving small businesses means to get back on their feet &amp; keep employees on payroll. While @SpeakerPelosi &amp; @SenSchumer's delay of this funding hurt Americans, I’m grateful this relief is on the way to those who need it. 
https://t.co/mD5KWLThQQ",2020-04-23 23:01:38
