tweet,dates
"Today and every day, we honor the mothers who guide us, inspire us and push us forward. #HappyMothersDay! https://t.co/4XTD2xPN8v",2020-05-10 16:22:53
"It’s #TeacherAppreciationWeek! Make sure you #ThankATeacher not only today, but every day. Schools may be closed, but teachers are working harder than ever. Please let them know how much you appreciate all they do! #SendTeachersLove https://t.co/DWlO5kMWUu",2020-05-08 18:21:54
"Iowans have seen firsthand the benefits of @AmeriCorps after the floods. Now, many Americans are ready to roll up their sleeves and get to work helping our communities recover. I support the plan in Congress to expand national service to respond to #COVID19. #Stand4Service https://t.co/GwUIcrIlMQ",2020-05-08 17:13:05
"As #NationalNursesWeek continues, it is important that we recognize and honor nurses, whether we are in a national emergency, or not. They are heroes working on the frontlines, day in and out. #ThankYouNurses #TheRealHeroes https://t.co/B2Tup7qXYA",2020-05-07 19:20:36
"In light of Gov Reynolds meeting with Pres Trump, I highlighted 5 important issues Iowans have told me need to be discussed. That includes:
1- Worker safety and PPE for frontline workers
2- PPP funds allocated specifically for rural businesses and farmers
https://t.co/Smi12ciuIP",2020-05-06 17:31:26
"Our nation’s nurses continually show us what true dedication, compassion and hard work really mean! This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. #ThankYouNurses #TheRealHeroes https://t.co/fVfOM9weFx",2020-05-06 14:37:30
"In honor of #TeacherAppreciationDay, I'm proud to join w @RepSamGraves to introduce a resolution recognizing the roles &amp; contributions of America’s teachers. Even during these tough times, teachers go above &amp; beyond their call of duty to educate students. https://t.co/H0r5520sGo",2020-05-05 21:05:27
The @SBAgov has announced that agricultural businesses are now eligible to apply for SBA’s Economic Injury Disaster Loans (EIDL)! The application portal has reopened! Click the link below for additional info. https://t.co/sLjUi0SmFs,2020-05-05 17:25:50
"Across Iowa, @AmeriCorps members #GetThingsDone by serving alongside our communities. Thanks to new funding, their service will continue to effectively address priorities like education. #AmeriCorpsWorks https://t.co/FIoVWltL7i",2020-05-04 19:25:24
"Today, @RepFinkenauer, @RepCindyAxne and I called on Pres. Trump to use the Defense Production Act to produce personal protective equipment (PPE) to help ensure employees at processing plants are safe and the plants can keep running.
https://t.co/munqL1mpDP",2020-05-01 16:43:02
"Joined @WhipClyburn, @FrankPallone, @USRepMikeDoyle &amp; others to announce a plan to ensure all Americans have  broadband access. It's unacceptable that rural small businesses, farmers, educators &amp; healthcare workers don’t have the access needed to thrive!  
https://t.co/kyMJK260Y2",2020-04-30 20:17:32
"Strengthening health systems around the world gives every child a @ShotAtLife and protects America’s health security. This #WorldImmunizationWeek, we proudly stand with the health workers &amp; vaccinators who dedicate their lives to protecting children from infectious diseases.",2020-04-29 19:02:28
"Allowing plants to operate prior to ensuring the safety of workers not only endangers our food supply, but also their families and community. Extraordinary efforts are needed to guarantee... (1/2)",2020-04-28 18:45:42
"We must protect our health care workers, first responders, and other essential workers who are on the frontlines of the fight against #COVID19. #WorkersMemorialDay https://t.co/Omy37K0Ayb",2020-04-28 16:42:20
"Even though we’re indoors this #EarthDay, let's make time to celebrate &amp; take actions to protect our planet. Try one of these ideas you can do at home to celebrate Earth Day at a safe social distance. https://t.co/sZoqoJp30q",2020-04-22 14:21:20
"1/2: I have serious reservations regarding Gov Reynolds' decision to keep processing plants open at this time. The fact that hundreds of workers in these facilities tested positive for #COVID19 is worrisome not only for them, but also their families &amp; communities where they live.",2020-04-21 19:33:20
"This #NVW, we celebrate the important role of the #VolunteerGeneration Fund in Iowa! I am proud to have authored the VGF as part of the Serve America Act of 2009 to ensure states can build volunteer infrastructure and capacity to serve communities better. https://t.co/mWsmF4nTfF",2020-04-21 19:08:02
Dave gives an update on what he is working on and encourages folks to stick with the social distancing guidelines in order to keep everyone healthy and safe. Check out the video! https://t.co/4CvTw1fhwP,2020-04-17 20:10:08
"Pleased to see Iowa is receiving $31,899,093 in CCDBG funding through the CARES Act to support our state’s crucial child care providers during this crisis. Child care is essential to our workforce and long term economic recovery. https://t.co/Z5X0MPnJlC",2020-04-16 21:00:21
"- More disaster loans
-Support for rural and underserved communities
-Access to SBA programs for farmers
 
Any #COVID19 relief bill must include these fixes if we want to help small businesses weather this crisis. #SmallBizRelief https://t.co/kByKeK1D4k",2020-04-15 15:51:30
Pleased that the @USDA has released their COVID-19 Federal Rural Resource Guide. This will help get info to our farmers and those living in rural communities. Check out the link below for more info! https://t.co/K1CWeA33so,2020-04-13 18:40:22
"Even though Easter celebrations may look different this year, I hope you are still able to enjoy time with your friends and family. (Even if it’s virtually!) #HappyEaster https://t.co/F8eOt6RJH3",2020-04-12 12:28:00
"Thanks to Muscatine’s own HNI for stepping up to produce the personal protective equipment that our healthcare workers greatly need! Even in time like these, Iowans are pitching in to help their neighbors! https://t.co/FterRXXT02",2020-04-11 15:36:24
