tweet,dates
https://t.co/GdqxK4gvoZ,2020-05-08 00:32:28
Rep. Cicilline joined @Aymanm on @MSNBC earlier today to talk about @HouseDemocrats’  next steps in responding to #COVID19. https://t.co/IWpsMt6Y0R,2020-04-21 22:54:52
"NOW: Facebook Live on resources for small businesses with @davidcicilline, @SenWhitehouse, and @sbagov. https://t.co/BakzZi0C2H",2020-04-03 14:06:12
Spoke with @AymanM on @MSNBC this morning about the next steps in responding to #COVID19. https://t.co/HW1sGK4qao,2020-04-02 15:46:24
NOW: Coronavirus Facebook Live with Dr. Philip Chan. https://t.co/E6ZbTtBO8B,2020-03-20 19:49:37
NEW: Calling on the Trump administration to suspend foreclosures and evictions on federally backed mortgages in light of #COVID19. https://t.co/TITLmiPRnl,2020-03-18 20:15:53
"CICILLINE: “We will do whatever it takes, bear any burden, confront any obstacle, in order to minimize the damage that this pandemic will do to our country and do all that we can to keep our constituents safe.” https://t.co/K5XdyyXeEg",2020-03-13 13:36:43
"Textbook prices have risen 184% since 1998. 

The result: Many students cannot afford textbooks and two-thirds don't acquire all their required course materials, undermining their ability to succeed.

https://t.co/TGL7KlqoOu",2020-03-11 20:50:15
Getting an early start on celebrating St Patrick’s Day in Pawtucket today. 🇮🇪 https://t.co/YAUxZF8TLy,2020-03-07 18:45:57
"“My mother is 80 years old—she has chronic lung disease, chronic heart disease. She is very vulnerable to this virus &amp; she is terrified. 

She has a right—as does every other American—to get accurate information from the President of the United States.”

Rep. Cicilline on @AC360 https://t.co/691CeFTZYE",2020-03-06 01:56:13
Important first step⬇️ https://t.co/JVq4xWe4Mk,2020-03-05 22:52:49
https://t.co/mAXnlthjjj,2020-03-05 00:06:14
"Across the globe, more than 90,000 are sick and 3,000 have died from #coronavirus.

This is no time for politics. It’s about keeping the American people safe. https://t.co/LBqo3O69Xf",2020-03-03 17:45:44
"Did you know that right now many servicemembers who are carrying debt are subject to unfair collection practices? 

Even worse: debt collectors are allowed to threaten our troops with punishment through the Uniform Code of Military Justice.",2020-03-03 17:08:11
"Pls RT. Suggestions from the CDC on preventing the spread of coronavirus:
 
➡️Avoid close contact w/people who are sick
➡️Avoid touching your eyes, nose, &amp; mouth
➡️Stay home when you are sick
➡️Cover your cough or sneeze w/ a tissue, then throw tissue in the trash",2020-03-03 15:04:42
"“The idea that the Chief of Staff to the President of the United States would dismiss this very serious public health crisis—and suggest that it’s really an attempt to bring down the President—is absurd and dangerous.” 

-Rep. Cicilline on @OutFrontCNN tonight https://t.co/lYwi0MvkL0",2020-02-29 03:55:18
"Today, more than 5.3 million middle and high school students across America are using e-cigarette products—a number more than double what it was just two years ago. https://t.co/XI3L6mgSGr",2020-02-28 20:03:33
"Apparently, Mike Pompeo didn’t want to answer Rep. Cicilline’s question about coronavirus, so he had to make it easier on the Secretary. https://t.co/ImRArmQlLX",2020-02-28 14:13:31
"Today marks one year since the House took action to #EndGunViolence by passing the Bipartisan Background Checks Act.

Over 90% of Americans support background checks, yet @SenateMajLdr continues to block it for a vote. 

RT to tell him it's time to act.",2020-02-27 21:48:51
"To be blunt, the President’s response has been a disaster.

The American people deserve better. https://t.co/KZrV9WW77l",2020-02-27 18:18:46
"Over the past 120 years, Congress has tried–and failed–to criminalize lynching nearly 200 times. 
 
But today, @HouseDemocrats passed the Emmett Till Antilynching Act, named for the 14-year old black child whose 1955 murder in Mississippi helped spark the Civil Rights Movement.",2020-02-26 22:39:18
"Not only is @RealDonaldTrump’s request for emergency coronavirus funding woefully insufficient to protect Americans, he has also spent the past 2 years dismantling the federal agencies responsible for handling the coronavirus epidemic.⬇️
https://t.co/sTVGvXRj7K",2020-02-26 22:07:32
"As we all know, our brave men and women in uniform sacrifice so much for our country. 

It's our obligation to make sure that our service-members, veterans and their families have the resources they need to provide for themselves and their families.",2020-02-26 18:16:30
"Two weeks ago, @RealDonaldTrump brazenly broke his promise not to cut Social Security or Medicare. 

The #TrumpBudget cuts:
⛔$850 billion from Medicare
⛔$30 million from Social Security  

@HouseDemocrats will continue to fight for robust funding for these vital programs. https://t.co/XOzuk3upeU",2020-02-25 22:39:49
"On any given night, 37,000 American vets are homeless. 
 
37,000 Americans who sacrificed so much in defense of our nation living without basic shelter. 
 
As a nation, we must do better.

https://t.co/BZjHeIFxtd",2020-02-25 22:19:18
