tweet,dates
Wishing all the moms out there a Happy Mother’s Day! https://t.co/A3BdfV41Jb,2020-05-10 12:56:36
"Today is a National Day of Prayer, a reminder for all of us to remember God's grace, seek his guidance, and affirm the power of faith. https://t.co/ROGi9qUd5n",2020-05-07 16:18:36
"This week is Teacher Appreciation Week, where we can say thank you to our teachers who are still working every day to educate our kids despite the COVID-19 outbreak. https://t.co/devNkspyY4",2020-05-07 14:54:04
"The latest figures from FEMA on PPE deliveries in NC, info for our farm families and producers, &amp; more in today's COVID-19 update:

https://t.co/JqQOnlw2Jq",2020-05-05 19:42:41
Here's Sunday's COVID-19 update: https://t.co/9dd90tKGZ4,2020-05-03 20:57:41
"In today's update -- information for veterans, an important reminder for Social Security beneficiaries &amp; more: https://t.co/ZeGU12c9Ou",2020-05-03 02:47:49
Starting soon: a flyover to show support for NC’s health care professionals: https://t.co/0n0SZg4tJf,2020-05-01 12:53:33
"This is a bold, visionary action by President @realDonaldTrump and it is vitally necessary to help protect America’s meat supply. https://t.co/MBuUCqdiA8",2020-04-29 13:50:33
"In today's update: an overview of some of the many ways the Trump Administration is helping North Carolina combat the COVID-19 outbreak, &amp; other items: https://t.co/6wfguDECQk",2020-04-29 02:28:47
"Thanks to the #PaymentProtectionProgram, Michael is back on the payroll at Bitty and Beau's Coffee in Wilmington https://t.co/6Q5Fmxe8YX",2020-04-28 22:42:12
"Including Amy Wright from Bitty and Beau's Coffee in Wilmington #NC7 -- the #PaycheckProtectionProgram has provided more than $8 billion to nearly 40,000 North Carolina small businesses. https://t.co/X5YShjso7g",2020-04-28 19:30:09
"In today's update: the IRS enhances the Get My Payment app for CARES Act stimulus payments; independent contractors &amp; self-employed individuals can now access unemployment benefits, &amp; other items:
 https://t.co/Fm5zbFuc6D",2020-04-26 23:21:04
"The latest on CARES Act stimulus payments, when PPP loan processing will resume and information on the Governor's decision to keep school buildings closed for the rest of the school year, &amp; other items in today's update:

https://t.co/KPMBwXoQ5h",2020-04-25 19:51:28
"President Trump signed CARES 2.0 -- the Paycheck Protection Program funding extension -- into law this afternoon. That, and the latest on NC's extended stay-at-home order in today's COVID-19 update: https://t.co/hE4uEiX3f2",2020-04-25 00:16:32
"Here’s what’s in the Senate-passed PPP funding package, and other items in today’s update: https://t.co/B1DQODu9JK",2020-04-22 22:52:02
"The latest on the funding package for the Paycheck Protection Program approved by the Senate this afternoon, and other items in today's COVID-19 update: https://t.co/ub3l8XUOTC",2020-04-22 00:05:42
"IMPORTANT: Social Security retirement beneficiaries with eligible children &amp; who did not file a 2018 or 2019 tax return must act by Wednesday, April 22 to add $500/child to their Economic Impact Payments. Register with the #IRS Non-Filers’ tool: https://t.co/tR1Vt8Jbxq",2020-04-21 16:51:38
"A snapshot of COVID-19 in #NC07, as well as other updates in Sunday's coronavirus newsletter: https://t.co/owFZ3w8we7",2020-04-19 20:55:51
Had a little glitch somewhere with the email system yesterday.  Some newsletters did not hit until today — including mine!  Apologies if Friday's arrived a day late.  Here’s Saturday's COVID-19 update: https://t.co/cV6Qb8RSCT,2020-04-18 22:38:46
