tweet,dates
"To all of our amazing moms, happy Mother's Day and thanks for everything you do. Wishing you all the love, health and happiness that you deserve. https://t.co/Xcn9iw2bkb",2020-05-10 12:01:19
"While COVID-19 has interrupted some of the workforce development initiatives in Clayton County, efforts continue to help the unemployed and to develop talent for local companies; including #HR6729, my bill to provide $75B for mortgage and utility relief. https://t.co/lIo1oYvhUa",2020-05-08 19:37:33
"To all of the nurses working tirelessly to keep our communities healthy, thank you for your compassion, dedication and life-saving care. #NationalNursesDay https://t.co/teldMR9ZW3",2020-05-06 18:30:43
"Thank you to our amazing teachers across Georgia's Thirteenth District who go above and beyond everyday to inspire and support their students, especially during this difficult time.  Our community and nation are grateful for your noble service. #TeacherAppreciationWeek https://t.co/aa2nyuUvOm",2020-05-05 14:15:10
"Future farmers studying @FVSU in Georgia are receiving $750,000 in federal scholarships. The USDA recently awarded $14 million to the Land-Grant Historically Black Colleges and Universities through funding I secured with bipartisan support in the Farm Bill. https://t.co/emJhwCA8W5",2020-05-05 12:15:09
Thank you @FAMUNationalAA for allowing me to address the Rattler Nation tonight. It was a pleasure to discuss the critical role our 1890 HBCUs play in developing the next generation of agricultural leaders &amp; ensuring our nation’s agriculture industry continues to lead the world.,2020-05-05 02:04:45
Today I participated in a bipartisan Member briefing on the #PaycheckProtectionProgram. @FSCDems are working to ensure the @USTreasury and @SBAgov provide details about who is lending and receiving #PPP loans and that small and minority-owned businesses access critical funding.,2020-05-01 18:57:34
"Tomorrow the @BlueAngels and @AFThunderbirds will salute our brave and dedicated COVID-19 healthcare workers, first responders and essential personnel with formation flights over Atlanta starting at 1:35 pm (EDT). 

God bless our nation. We are all #InThisTogether.
#AmericaStrong https://t.co/1FV0tnfKCZ",2020-05-01 16:07:53
"Proud to hear how my alma mater ⁦@FAMU_1887⁩ will award 49 new agriculture focused scholarships totaling $750,000 with funding that I helped secure in the 2018 Farm Bill.  https://t.co/AdvGxkqp2g",2020-04-25 14:49:07
"Now more than ever we need a highly skilled food and agricultural systems workforce. I am proud to see our Land-Grant HBCUs receive $14.3M in annual funding today, after I worked tirelessly for several years to secure $80M for the 1890 Scholarship Program. https://t.co/mltW4bnx16",2020-04-23 22:29:50
"On the 50th Anniversary of #EarthDay, it is important to recognize now more than ever that bold action is needed to combat the effects of climate change and protect our environment for the benefit of future generations of Georgians. https://t.co/pmFCY7ZQ9c",2020-04-22 16:53:00
Immediate action is needed by @HHSGov and @US_FDA to ensure that COVID-19 does not continue to claim more American lives. I stand with @RepBillFoster and @RepShalala in urging these agencies to prioritize vaccine availability and deployment as soon as possible. https://t.co/dvXH7qj5LC,2020-04-21 18:27:03
"If you receive Social Security benefits, you'll receive your $1,200 stimulus payment soon. If you also have dependents under age 17, you must provide their info to the IRS by noon tomorrow, 4/22 to ensure the $500 stimulus payment per child is included. 

https://t.co/QMdlwVDdFd.",2020-04-21 15:42:03
"With COVID-19 cases confirmed at 230 nursing homes and long-term care facilities in Georgia, immediate action's needed to keep these facilities safe. @CMSGov and @HHSGov must promptly collect and report data on senior care facilities impacted by COVID-19.

https://t.co/EX7MVJ1b4h",2020-04-20 15:54:56
"This year, #BlackMaternalHealthWeek comes in the midst of a pandemic. The racial disparities in COVID-19 outcomes reflect ongoing disparities in maternal mortality rates in the U.S., including in Georgia. As a Member of the @BMHCaucus, I am working hard to address this crisis. https://t.co/VgWGzTOHii",2020-04-15 12:42:11
"From Union City to Smyrna, I've heard from leaders across #GA13 about the extraordinary steps they're taking to serve &amp; protect during the COVID-19 crisis. I support the Coronavirus #CommunityRelief Act to bring $250B directly to our cities and counties.

https://t.co/Of7gUsWfMW",2020-04-13 20:50:15
"Thank you to over 8,500 constituents of #GA13 who joined our recent #COVID19 telephone town hall, asked questions and received information about resources for Georgia's families, workers and small.

If you missed our tele-town hall, listen here now: https://t.co/idM2rJG2Zc.",2020-04-13 17:54:39
"If you or someone you know needs food assistance, contact the @ACFB at 678-553-5917 to find out if you qualify for new and expanded SNAP benefits available during the ongoing COVID-19 pandemic. https://t.co/aQwVJTuUgL",2020-04-09 16:23:11
"During our telephone town hall on Monday, constituents heard from Georgia's Labor Commissioner who shared that people who qualify for unemployment benefits will begin receiving an additional $600/ week, one of the measures of a stimulus package Congress passed in March. https://t.co/wYuVkeXKkV",2020-04-08 14:43:23
"Tonight at 7PM I'm joining @GASickleCell and participating in an important webinar discussion about the impact of #COVID19 on Sickle Cell Disease patients and their caregivers. 

To participate, sign up online: https://t.co/WmWgxaSkwz. https://t.co/RLpw4sfuLQ",2020-04-07 19:39:05
"I'm speaking LIVE with local health, labor and small business officials, updating my constituents about the Coronavirus (COVID-19). Dial 855-962-1254 now, or stream it online to participate in the Telephone Town Hall: https://t.co/NHeUdlf7Mi.",2020-04-06 21:05:03
"Don’t miss our Telephone Town Hall on Coronavirus (COVID-19) tomorrow on Monday, April 6 at 5PM. Get the latest updates on relief for Georgia families, workers and small businesses. Register to be called or stream the town hall online: https://t.co/rjGHqescPQ. https://t.co/uu6e2sJzpn",2020-04-05 19:25:01
"Do not miss our important Telephone Town Hall about Coronavirus (COVID-19) on Monday, April 6 at 5PM. Get the latest information, learn how to protect yourself and your families, and get your questions answered.

To join me, register here to be called: https://t.co/ygyGTk01N2.",2020-04-03 13:31:58
"On Monday, April 6, from 5-6pm, I will be hosting a Telephone Town Hall to discuss the ongoing coronavirus crisis. Join me as I’ll share an update on how I’m working in Congress to keep our community safe and answer your questions. Sign up here ➡️ https://t.co/rjGHqescPQ. https://t.co/bLvevArj0i",2020-04-01 19:35:54
"Today is #CensusDay. And for the first time ever, the #2020Census is available online. Don't miss your chance to ensure our community gets funding for critical resources like hospitals, schools and roads. Complete your form online at https://t.co/xuZhGolLWF to be counted. https://t.co/FtJONHHazB",2020-04-01 17:28:56
"#DYK: The ACA exchange offers a special enrollment period that extends 60 days after people experience a major life event, like losing health insurance. Go to https://t.co/UqHgSgHdY2 for more information on coverage if you were laid off due to #COVID19.

https://t.co/QuXCG6NIGd",2020-03-31 17:46:18
Nearly 57% of recent GA college graduates have student loan debt. I’m supporting the Coronavirus Emergency Student Loan Refinancing Act to lower student loan interest rates as many borrowers are facing financial challenges caused by the coronavirus crisis. https://t.co/friQNrhYjy,2020-03-28 13:57:30
"Today the House passed a robust $2 trillion emergency bill providing health and economic stabilization from the coronavirus pandemic. I urge the president to swiftly sign this bill and send emergency relief to Georgia.

https://t.co/ikNOSkFYt8",2020-03-27 19:14:01
Masks. Face shields. Ventilators. These are the tools our healthcare workers need to take on the coronavirus crisis and save lives. I support the Medical Supply Chain Emergency Act to federalize our manufacturing and end the supply shortage. We need the #DefenseProductionActNOW. https://t.co/LwX5gd4Lk3,2020-03-27 18:41:36
"I'm proud to cosponsor the Coronavirus Emergency Student Loan Refinancing Act, allowing borrowers to take advantage of this critical time in the market, lower their monthly loan payments, and give them a little more security during this uncertain time.

https://t.co/7dsyWY6kwE",2020-03-27 15:23:08
"While our 2020 Jobs Fair was cancelled due to the Coronavirus Crisis, record unemployment claim filings indicate that many Georgians have been laid off or furloughed. Here’s a list of companies offering work-from-home positions for Georgia workers.

https://t.co/9c4Sh2IQwE",2020-03-27 13:15:00
"This morning, the Department of Labor released data showing that a record 3,283,000 Americans filed for unemployment benefits last week.

Relief is on the way under the bipartisan Coronavirus Aid, Relief, and Economic Security Act to be voted on by the House tomorrow. https://t.co/PsJxvCWqai",2020-03-26 20:27:39
"As a nation, this is a time where we must take care of one another including those most vulnerable among us. 

If you are healthy and feeling well, please make an appointment now to donate in the days ahead by visiting https://t.co/bHgzR3arwt or calling 1-800-733-2767. https://t.co/XMt7NnsSNE",2020-03-24 21:06:02
"As many families are having a hard time making ends meet due to the coronavirus, I have introduced the State Housing Relief Act to help homeowners keep their homes while this crisis intensifies. My bill will provide $35B to states to deliver mortgage payment assistance. https://t.co/Ff271LEtkU",2020-03-24 14:59:56
"Today, I introduced the State Housing Relief Act to aid homeowners harmed by the coronavirus pandemic. My bill would provide $35B to states for essential support of homeowners in need of payment assistance, principal reduction, or utility assistance.

https://t.co/Vbu7EYvHF3",2020-03-23 16:53:21
"We can all help prevent the spread of COVID-19.

To stay informed of the latest guidance, resources and federal responses, be sure to sign up for our newsletter. 

https://t.co/XXntFkdLrq",2020-03-23 14:40:46
"Last Saturday, I voted to pass the bipartisan #FamiliesFirst Coronavirus Response Act. This critical legislation has been signed into law, guaranteeing free coronavirus testing, securing paid emergency leave, enhancing Unemployment Insurance, and increasing Medicaid funding. https://t.co/F4OGn7d5VP",2020-03-21 19:10:17
Thank you to the front line food and agriculture workers who are working tirelessly during this public health emergency. https://t.co/C3Y5jta9mt,2020-03-20 21:33:31
"JUST IN: The @IRSnews will move the national income tax filing day to July 15 to give all taxpayers and businesses additional time to file returns and make tax payments without interest or penalties.

https://t.co/3o0G9O79wS",2020-03-20 15:02:38
"Thanks @ACFB for providing emergency assistance to our neighbors in need during this challenging time. If you or someone you know needs access to food, text ""FINDFOOD"" to 1-888-976-2232 to locate nearby food pantries. https://t.co/5gw7EAuAcl",2020-03-20 14:38:31
"#ICYMI: Individuals now have 90 extra days to pay your federal income taxes, if you owe &lt;$1M. You still have to file with @IRSnews by Wednesday, April 15, 2020. {link to: IRS guidance https://t.co/rLCtgCsB2V",2020-03-20 12:25:04
Good news for small businesses in Georgia impacted by the Coronavirus: SBA Economic Injury Disaster Loans of up to $2 million are now available to help small businesses suffering substantial economic injury as a direct result of the Coronavirus. https://t.co/DM0btdJznu https://t.co/VMoEzKLTcv,2020-03-19 14:32:01
There are two weeks left to apply for HomeSafe Georgia mortgage assistance. Homeowners owing more than their home is worth or those behind on their mortgage payments caused by a qualifying financial hardship have until March 31st to apply at: https://t.co/XvKY8p98CX. https://t.co/sXtfL3tkcL,2020-03-17 19:05:40
"Important information for our veterans from the Atlanta VA Health Care System, announcing postponement of all elective surgeries, procedural cases, outpatient visits and home visits until further notice. https://t.co/NwId6RwFen",2020-03-17 15:18:38
"Due to the Coronavirus crisis and because of our concerns for the health and safety of our constituents and our staff, and as recommended by the CDC, our offices are closed from public contact for our public health and safety. However, please call us if you need assistance. https://t.co/hxeKpZ3wJX",2020-03-16 18:22:15
We need to confront this public health crisis with every tool at our disposal. I'm urging Congress to pass the #FamiliesFirst Coronavirus Response Act because it will give American workers the support they need. https://t.co/ORejJkmr6U,2020-03-13 20:37:30
"In the @FSCDems hearing this week, I pressed two now former Wells Fargo board members for answers on how millions of bogus accounts were opened under their watch and without customers’ knowledge. Watch video of my questioning here: https://t.co/v5avNibKxP",2020-03-13 15:02:37
"This week I introduced #HRes888, designating March 2020 as Endometriosis Awareness Month. This resolution supports increasing awareness of this serious disease &amp; bringing attention to the millions of women who are affected by it &amp; often suffer in silence.

https://t.co/SHBWqj3yWs",2020-03-11 19:21:50
https://t.co/hLnJEsoQ4l,2020-03-11 13:36:40
