tweet,dates
"To all the amazing mothers out there, I wish you a safe and wonderful #MothersDay! https://t.co/8qcoeDRMRJ",2020-05-10 13:30:01
"Today on #MilitarySpouseAppreciationDay, we celebrate all the military spouses who love and support our service members every day.
 
Thank you all for your sacrifice and commitment to our country. https://t.co/4g35mQh2Mo",2020-05-08 15:58:19
"We cannot allow price gouging, especially during a pandemic. 
 
As I mentioned on @FoxNews, 10 state attorney generals, including Nebraska’s @AGDougPeterson, are calling for investigations to look into meatpackers and the price losses our cattle producers are facing. https://t.co/PEYyQuI8RL",2020-05-08 01:00:00
"With stories coming out about potential meat shortages, I want to remind everyone that the supply chain is still strong.
 
Panic buying will only shrink our supply, as we already saw with toilet paper. https://t.co/Kdaiv8o80c",2020-05-07 21:35:05
"It was great to join @AmericaNewsroom today to discuss the large price discrepancies between cattle and boxed beef.
 
We must make sure the beef supply chain has integrity &amp; works well for ALL participants, including our producers. https://t.co/PxiiS8N20J",2020-05-07 20:01:09
"I’m about to go live with @AmericaNewsroom to discuss the negative impacts of COVID-19 on our ag producers. 

Tune in to Fox News. https://t.co/j1q4yVBn0R",2020-05-07 15:15:38
"Today we give thanks to all the nurses who have dedicated their lives to caring for others.
 
The COVID-19 crisis reminds us how important the job they do every day is. Nurses, we are so grateful for your service! #NationalNursesDay 👏 👏👏 https://t.co/LlnULovuSr",2020-05-06 15:09:40
"From masks to respirators to housing relief, federal funds continue to flow into Nebraska. These resources are helping our families, communities, and small businesses as they combat the effects of #COVID19.
 
Here are some highlights: https://t.co/ba0PqKggVW",2020-05-06 13:55:05
"Happy Teachers' Appreciation Day! It’s so special to see NE teachers going above and beyond for our kids right now.

Check out this wonderful @TODAYshow video about Mrs. Thomas from Lincoln, who is making incredible videos &amp; bringing characters to life for her students. #LoveNE https://t.co/JtHxyaXgJ3",2020-05-06 01:13:54
It’s so sad to see this virus claim the life of this young Nebraskan. Pedro was a pillar of his community and a role model for so many students at Cozad High School. https://t.co/sdKC2E5hPO,2020-05-05 22:08:20
"Thank you, @AGDougPeterson, for joining w/ other state AGs in calling for the @TheJusticeDept to investigate meatpackers for potential illegal practices. This is an important step towards protecting Nebraska cattle producers/feeders &amp; ensuring integrity in the beef supply chain.",2020-05-05 21:31:32
"I'm thankful for the #COVID19 relief that's going to #NE families, hospitals, communities, and small businesses. Through the steps taken by @realDonaldTrump’s admin &amp; congress, these resources are helping us battle this pandemic.
 
Read more here: https://t.co/HqoHzXYDaU",2020-05-04 21:06:52
"Thank you, @UNMC, for putting out this important guidance for our meatpacking plants. #NE is a leader in meat production. It's crucial we safeguard our food supply chain while making sure workers’ health and safety is protected. https://t.co/lRgVik0AIH",2020-05-01 14:31:44
It's touching to see members of the Columbus community host a parade around Brookestone Acres so residents could see their loved ones again. Such a great example of how Nebraskans find ways to spread cheer during tough times. #LoveNE https://t.co/i9ePrPE97o,2020-04-30 16:49:38
"It's imperative that all @ATT subscribers in #NE have access to broadcast programming for local news and alerts, especially during a pandemic. That is why I joined @SenSasse &amp; @RepAdrianSmith to write a letter urging AT&amp;T to ensure all Nebraska subscribers stay informed.",2020-04-29 00:19:10
"I appreciate @realDonaldTrump’s efforts to keep meat processing plants open. We must ensure that Americans remain fed during this crisis while taking strong precautions to protect the workers, including many Nebraskans, who help bring food to our tables.",2020-04-28 21:31:26
"Nebraska state troopers will be distributing free masks to truck drivers at different locations throughout Nebraska on Wednesday and Thursday. Thank you, truckers, for helping keep shelves stocked during this pandemic. 

Find the distribution spots here: https://t.co/nJq1iVyehS",2020-04-28 20:59:42
"Thank you, @AARPNE, for putting this information out for health care contacts for Eldercare, unemployment, food assistance, and veterans resources.
 
Visit here: https://t.co/wbFjipAShR",2020-04-28 18:57:50
"For those looking for assistance with Food and Nutrition Services, here is a website with contact information for all the @USDANutrition programs in Nebraska. https://t.co/Cv1NsRxtFe",2020-04-28 18:07:34
".@USAGov has a helpful webpage on #COVID19 with resources debunking rumors, updates on your stimulus payments, and more information on what the federal government is doing to combat this virus. https://t.co/I3amdkmgUo",2020-04-28 17:31:04
