tweet,dates
"Happy Mother’s Day! One of my greatest joys in life is being a mother, and now a grandmother. Wishing you and your family a very happy day! https://t.co/wcd6dqdMhL",2020-05-10 15:44:59
"(1/2) The more we learn, the clearer the picture becomes—Democrats, top Obama officials, and apparently even President Obama himself, were going to stop at nothing to ambush @realDonaldTrump.",2020-05-09 18:26:00
Great to join @realdonaldtrump at the @WhiteHouse today to discuss America’s transition to greatness! https://t.co/an6SBqLXjV,2020-05-09 00:15:43
"(1/2) It was an honor to visit with Arizona resident and WWII Veteran SGT Gregory Melikian who was on his way to Washington, DC to be recognized by President @realdonaldtrump at a V-E Day celebration. Thank you SGT Melikian for your service to our country! https://t.co/dzAuWmqaxg",2020-05-08 21:42:22
Today is Military Spouse Appreciation Day! Thank you to all those who support our service members each and every day. Your service and sacrifice inspires us all. May God bless you! 🇺🇸,2020-05-08 19:24:43
🚨🚨🚨WATCH my remarks this afternoon at the @whitehouse discussing our nation’s transition to greatness following the Coronavirus with @realdonaldtrump! 🚨🚨🚨 https://t.co/gKvjo9JFXp,2020-05-08 18:58:38
"Today, we celebrate the 75th Anniversary of the Allied victory in Europe during World War II. This day marked a great victory for democracy and freedom around the globe. https://t.co/FcAIUSVD8X",2020-05-08 15:00:01
"Looking forward to welcoming @AZCardinals fans back to Glendale when it’s safe to do so. Until then, Rise Up Red Sea! https://t.co/UsMLXmjRvQ",2020-05-07 23:48:55
"Today, @GOPLeader announced he would form a China Task Force. I applaud him for taking this key step to address the continued threat China poses to our nation! https://t.co/58IARPsm06",2020-05-07 20:03:01
Today marks two years since I was sworn into the United States House of Representatives. It has been the honor of a lifetime to serve Arizonans these last two years and I look forward to continuing to serve them in the future. https://t.co/up5Zf8YIej,2020-05-07 18:19:40
"During this troubling time, our nation is in desperate need of prayer. Today, on this National Day of Prayer, join me in praying for our first responders, our health care heroes, and everyone else on the front lines fighting this virus. https://t.co/aamoEhvtID",2020-05-07 14:32:00
🚨🚨TUNE IN NOW to @EveningEdit on @FoxBusiness! 🚨🚨,2020-05-06 22:35:53
"After a great day with @realdonaldtrump, I joined @marthamaccallum on @FoxNews to talk about his visit to Arizona! https://t.co/OJp6d5dazp",2020-05-06 21:14:51
Our country has gone above and beyond to make sure tests are available. We have tested more people than any other country and will continue this positive trend. Thank you @realDonaldTrump for prioritizing testing in the US! https://t.co/pQbpb0ldlA,2020-05-06 19:18:17
"Today kicks off Nurses Appreciation Week. During this difficult time for our nation, our nurses are stepping up to help those in need. Join me in thanking them for their service and sacrifice! https://t.co/FKCsLrHERL",2020-05-06 17:09:51
The Little Sisters of the Poor spend their time caring for the elderly &amp; dying until God calls them home. The Supreme Court needs to protect their religious exemption &amp; #LetThemServe! Learn more about their case &amp; what it means for religious liberty here: https://t.co/h58neqg3lj https://t.co/IJOY8KFTLI,2020-05-06 16:26:21
TUNE IN NOW to @FoxNews as I talk about my visit to @honeywell with @realDonaldTrump today with @marthamaccallum!,2020-05-05 23:00:04
We have arrived in Arizona! Such an honor to join @SenMcSallyAZ and @RepGosar as we welcome @realDonaldTrump to Arizona! https://t.co/Mxs5vwhRHB,2020-05-05 19:46:48
It has been an honor to serve with @RepRatcliffe on @JudiciaryGOP and on @realDonaldTrump’s impeachment defense team. He is an experienced leader who will be a great Director of National Intelligence! https://t.co/DXB6woPjY6,2020-05-05 16:14:19
Good morning from Air Force One! Looking forward to spending the day with President @realdonaldtrump and touring a @Honeywell facility! https://t.co/nxcQzxbumC,2020-05-05 15:10:34
Excited to join @realDonaldTrump today on Air Force One for his visit to a @honeywell facility in Arizona! https://t.co/4wuOUpzfJj,2020-05-05 13:26:39
Thank you @realDonaldTrump for your commitment to keeping Arizona healthy and protected! https://t.co/qqexofpHCj,2020-05-04 19:29:57
Great job tonight @realDonaldTrump! Proud that you’re leading our country through this crisis! https://t.co/Cpw4REk51v,2020-05-04 02:43:42
"It was such an honor to participate in the birthday parade for two local veterans, Joe Berger and Robert Vise, of Anthem! Mr. Berger turned 100 and Mr. Vise turned 65. I loved being part of such a fun community event celebrating these heroes and their service to our country. https://t.co/U9vOaKpC2I",2020-05-04 02:24:03
"This morning, I went to @CORE_Institute and took a COVID-19 antibody test. It was very easy and the staff was extremely knowledgeable and friendly! For information on where you can receive a test, visit https://t.co/gkcwkUgXCh https://t.co/YghKEat1gy",2020-05-02 20:07:32
Thanks to @LukeAFB for such a wonderful tribute to our essential workers! I loved watching the flyover from my backyard! #LukeSalutesAZ https://t.co/g4ENPZ8pat,2020-05-02 18:26:23
