tweet,dates
"These are hard times for us moms. To all moms trying to find the words to explain why your kids can’t see friends, learning to homeschool &amp; creating a new normal, I‘m here with you. Our love for our children &amp; families will get us through this.

Sending you love this #MothersDay https://t.co/Ugif5kkU2y",2020-05-10 14:43:33
"Florida doesn't have the contact tracers needed to monitor &amp; curtail #COVID19 as the state re-opens.

To all elected leaders, contact tracing is key to stopping chains of transmission.

Tracing infrastructure is needed to carefully re-enter a new normal. https://t.co/L0eOYGmzLe",2020-05-10 13:52:10
"HAPPENING SOON: I’ll be on @MSNBC w/ @AliciaMenendez to discuss my legislation to expand treatment for #COVID19 &amp; the effects of this crisis on communities of color.

As COVID-19 disproportionally hurts communities of color, we must work to protect the most vulnerable.",2020-05-09 18:15:38
"It appears the state is suppressing 
info &amp; hiding causes of death.

Data is needed to accurately confront this crisis. Disclosing inaccurate data breaks confidence in state gov’t &amp; endangers people’s lives by giving a false sense of security.

FL IG must investigate this asap. https://t.co/zkKKStvOYJ",2020-05-09 16:27:09
"We’re living through the highest unemployment rate since the Great Depression

The last time our economy was this bad, the New Deal renewed people’s belief in the American dream

My plan would do the same for generations to come &amp; put people back to work.
https://t.co/JBtIM8D7l8",2020-05-09 15:06:52
"There are things in life that are difficult to understand &amp; accept.

Our community mourns the loss of Pascal, an incredible young man who had a bright future ahead.

If anyone needs help please reach out to my office or me personally.
https://t.co/4NRoZg1beB",2020-05-09 01:07:39
"My heart is with those who tested positive for COVID-19 at this Keys senior living facility.
 
Thank you to the first responders and frontline medical staff treating our neighbors.
 
Please stay safe. https://t.co/LI0Xk0GJ5C",2020-05-08 23:58:12
"Today, I'm excited to highlight more of our frontline heroes for #NurseAppreciationWeek: Lourdes, Teresa, Melissa, and Dorotea - you are appreciated. Thank you for your care and compassion.

Please nominate a deserving #FL26 frontline nurse in your life: https://t.co/iyG8HfrgJB https://t.co/kzIWqYU2Ua",2020-05-08 22:21:36
"Congratulations to my wonderful staff assistant @amartinez1009! So proud of you and ALL @FIU grads! 

Go Panthers! @FIUdc https://t.co/FkY7zG836V",2020-05-08 18:58:42
"Latinos are essential workers risking their lives on the frontlines to keep our country running.

We're fighting to make sure Latinos &amp; the most vulnerable are not forgotten.

Read the op-ed I wrote with my comadres @RepSylviaGarcia  &amp; @RepEscobar ⬇️⬇️ https://t.co/P19XxTl5FI",2020-05-08 17:14:10
"Farmworkers have been deemed essential during this crisis.

They’re feeding America. 

Together, we must prioritize their health and safety.

And unite in recognizing their dedication. 
@MiamiHerald @MexAmCouncil @AltisimoLive https://t.co/jN8lyV9Xfh",2020-05-08 16:30:00
"The @BlueAngels are flying over South Florida today starting at 1pm!

Please continue to practice social distancing while you observe this salute to frontline workers.

Stay home and stay safe! https://t.co/Mb2n8ZDx6z",2020-05-08 15:17:42
"Florida’s unemployment system has put struggling individuals and families in an unnecessary and devastating position.

I want to hear from you!

Take my survey to share your unemployment benefit application experience ⬇️

https://t.co/49rpHvX55Y",2020-05-08 14:41:44
"Why is Mitch McConnell convening Senate and put Members, staff, Capitol Police, and service workers at risk at the height of a pandemic?

It’s not to confront COVID-19. It’s to confirm yet another unqualified, partisan judge. 

Shameless. Our constituents need to pay rent.",2020-05-08 13:19:09
"I'm proud to highlight a few of our district’s nominated frontline nurses. Julie, Gina, Celestine, and Bill – thank you for showing up every day.
 
For #NationalNurseWeek, nominate a frontline nurse from #FL26 to celebrate and honor their work: https://t.co/iyG8HfrgJB https://t.co/Ry25lIuJg7",2020-05-08 01:56:16
