tweet,dates
"If you or your loved ones live in mid-Michigan, please stay safe and follow directions on emergency evacuations. I am closely monitoring this scary situation and will do everything I can to support state and local emergency efforts. https://t.co/zGnVTKTJ3S",2020-05-20 03:36:25
"I released a report about the cost of Senate Republican inaction to critical services that keep us safe. Leader McConnell’s lack of urgency has consequences. We're losing precious lives &amp; every part of our economy is impacted. We need action now!
 
https://t.co/Ms755AYY3Y",2020-05-20 00:04:06
"Families continue to need support in order to get through this crisis. But Leader McConnell says he feels no sense of urgency.
 
He may not feel a sense of urgency, but on behalf of the people of Michigan, I do.

https://t.co/BSQzT2Za7F",2020-05-19 20:54:39
A wedding planner? A “brand builder?” Seriously? People need food now and nearly a third of Trump’s food box distributers aren’t even licensed! https://t.co/dD4f9KoXRh,2020-05-19 19:54:33
The #COVID19 crisis is presenting new challenges to our already over-worked and underfunded behavioral health system. We must #FundMentalHealth so those with mental health and substance use disorder issues are not left behind during this pandemic. https://t.co/du9IWFv3nK,2020-05-18 00:54:10
"Access to high-speed internet is a necessity, not a luxury. This is an important step in closing the digital divide for Michiganders.
https://t.co/S44iFwj4nN",2020-05-17 19:11:13
"Michigan's food banks are helping so many families during this crisis. Thank you! I'm leading the fight for additional food assistance because no one should go hungry in this country of such abundance.
https://t.co/mtirJ1Btw9",2020-05-17 14:43:08
"In order to safely operate our plants during this crisis, we need to protect the frontline workers putting their lives on the line. I led a group of 29 Senators in making recommendations to the USDA on essential ways to improve safety at meat processing plants. https://t.co/Hl7vvspmoF",2020-05-16 14:48:37
"Thank you @SeanPenn &amp; @CoreResponse for your wonderful work in communities affected by #COVID19. And, thank you for advocating that we #FundMentalHealth. #Time2Act https://t.co/7aI87kDdiv",2020-05-13 20:58:43
"Now more than ever, reliable high-speed internet is essential. Today I announced a $22.5 million investment to expand internet access in rural SW Michigan. This will bring us one step closer to ensuring all families, farmers, and students have access.",2020-05-13 20:27:36
It's #Time2Act and include critical  behavioral health funding in the next #COVID19 bill. This crisis is affecting health care workers and other frontline workers. We need to support them! #FundMentalHealth,2020-05-13 19:51:58
Thank you to my friend Glenn Close and @BC2M for your amazing work to end the stigma surrounding mental illness. #Time2Act #FundMentalHealth https://t.co/PWOkoSbcTB,2020-05-13 19:38:52
