tweet,dates
"As we celebrate this #MothersDay under extraordinary circumstances, let’s applaud moms who save lives on one shift, then devote hours to homeschooling or unpaid care that rarely gets noticed, but no family or society survives without. https://t.co/rBJpd4Df4D",2020-05-10 12:44:22
"Schools may be closed, but teachers are working harder than ever. We should appreciate them every day, but this #TeacherAppreciationWeek, let’s give a special thanks to educators during the #coronavirus pandemic. https://t.co/5vqbyIJlLs",2020-05-08 18:11:30
"75 years ago, Allied forces accepted Nazi Germany's unconditional surrender – ending #WWII in Europe.

We are forever thankful for the sacrifices of all the brave women and men who fought and served. #VEDay75 https://t.co/2APiBAHCpw",2020-05-08 16:12:09
"We must ""prioritize the health and safety of Floridians above all else. A rushed reopening may very well serve only to increase the human loss caused by an already historic public health crisis."" 

https://t.co/DiPrvOnzBl",2020-05-08 13:41:34
"The justice system failed Mr. Arbery and his family. If not for the horrific video being leaked, it likely would have been totally denied. 

So far to go. https://t.co/eR6Qa79Ybf",2020-05-08 01:13:06
".@GovRonDeSantis is threatening to cut off unemployment to Floridians on May 9th. If he doesn’t extend the work search requirement waiver, people out of work must choose between their health and Florida’s meager assistance to survive. https://t.co/CrK10v9hAn",2020-05-07 15:47:47
".@BetsyDeVosED should be spending her time ensuring students and schools can get through the #COVID pandemic. Instead, she’s fighting tooth and nail to empower those accused of sexual misconduct.
https://t.co/96xJcBBtno",2020-05-06 18:29:43
"Who loses when we lose guaranteed birth control coverage?
Women, people of color and young people. This is BASIC HEALTH CARE that nearly every woman will use at some point in her life. #HandsOffMyBC
https://t.co/7Qub3VQDGP",2020-05-06 15:36:19
"During the #COVID pandemic, it’s easy to fall prey to scams of all kinds. Be wary of anything you find suspicious and remember if something seems too good to be true, it probably is. Stay safe. https://t.co/GejfQPgIzY",2020-05-05 14:02:40
"“You cannot be afraid to speak up and speak out for what you believe. You have to have courage, raw courage.” - @RepJohnLewis 

Today, as we honor the #FreedomRiders and all the heroes of the civil rights movement, we must recommit ourselves to their fight for justice &amp; equality. https://t.co/OasuNz35z6",2020-05-04 18:45:21
"To all of you inspiring young minds,
 
To all of you sparking creativity,
 
To all of you changing lives forever,
 
And to everyone now doing it from a distance,
 
Thank you, and happy #TeacherAppreciationWeek! https://t.co/sz7GO341Wu",2020-05-04 13:19:44
"Taking steps to ensure our November elections run smoothly and safely isn’t caving in to ‘radicalized special interest groups,’ it’s what needs to be done to maintain our democracy amidst the worst public health crisis of our generation.
https://t.co/vmmEnUSsZv",2020-05-03 17:50:38
"Yesterday @HHSGov admitted they had no National Testing Strategy. That leads to states fending for themselves, corp. governance and wasteful supply competition &amp; shortages. 

Why have a President or fed govt if neither will lead in a public health crisis?

https://t.co/p1sdCtKqrT",2020-05-02 21:12:21
"I’m saddened to learn we’ve lost Donald DiPetrillo, Fire Chief to the Seminole Tribe of Florida, to COVID-19. He will be remembered for his constant professionalism and commitment to public service. We must protect our first responders as they protect us.
https://t.co/kpQjR3GbIu",2020-05-01 18:30:56
"This May, I am delighted to celebrate the 15th annual Jewish American Heritage Month as we honor the profound impact American Jews have made on our country’s history and culture. This year’s theme, #Resiliency, feels particularly timely. #JAHM 
https://t.co/3pH0qgO4L7",2020-05-01 15:39:05
"Small businesses struggling to secure PPP loans may also want to try to go through smaller banks and credit unions. You can find a list of every bank offering the loans right here:
https://t.co/9BCPOSRW42",2020-04-30 17:24:33
