tweet,dates
"As unemployment reaches levels that we haven’t seen since the Great Depression, Americans need to be able to pay rent and stay housed through the pandemic. That’s why I’ve introduced legislation to create an $100bn Emergency Rent Assistance Program.

➡️ https://t.co/w85ybRnhFz https://t.co/hvfQtdO8aV",2020-05-10 15:37:00
"If you’re a veteran that’s experiencing financial hardship during the pandemic, as Ryan Gallucci from @VFWHQ explains, there are resources available to you during these trying times. https://t.co/MvGphgmN2t",2020-05-10 01:39:00
"We know that those who have served our nation in uniform have been hit particularly hard by the pandemic.

If you are one of the million veterans out of work due to COVID-19, there are resources available that can help connect you with the benefits you are due. https://t.co/53ENS9ZTGs",2020-05-09 22:02:00
"The COVID-19 crisis has reminded us that all kinds of people — healthcare workers, people who work in grocery stores, those who pick up our trash — are essential in every sense of the word.

These are our neighbors. We owe it to them to keep them safe. https://t.co/ZFoc3dn5Fr",2020-05-09 20:17:00
Thank you for having me. I'm so appreciative of your work with @NourishPierceCo to ensure families in the South Sound do not go hungry during the pandemic. https://t.co/0BX7leS3TM,2020-05-09 18:57:07
"To those who sacrifice silently behind the scenes, to those who hold down the homefront, to those who have plenty of practice being Mom and Dad. We can never thank you enough. Today is for you! #MilitarySpouseAppreciationDay https://t.co/E3mPUw8aw5",2020-05-09 01:06:52
Today I introduced legislation allocating $100 billion to help with rent payments for those affected by the #COVID19 pandemic. Thanks to @SenSherrodBrown for introducing the bill in the Senate and to @RepMaxineWaters for cosponsoring our version in House. https://t.co/w85ybR5GO1 https://t.co/ZyAkJLEidg,2020-05-08 21:15:13
"Reminder that @Waplanfinder's special open enrollment period closes at 5:30 pm PT today. 

If you need health insurance, visit https://t.co/ColBGh0mFM to enroll in a plan. https://t.co/YxFvfeZKdU",2020-05-08 20:09:00
"Heads up, WA-10! The 62nd Airlift Wing will start flying overhead in an hour to honor our local heroes on the frontlines fighting COVID-19. 

First flyover is at 12:30 pm. Be sure to step outside! https://t.co/fMx8t5lQss",2020-05-08 18:39:12
"75 years ago today, Allied forces liberated Europe from fascism. We owe that day, and every day since then, to the brave men and women who fought and died in the defense of liberty and freedom. https://t.co/IhCZ3CywMZ",2020-05-08 18:01:50
"🚨If you need health insurance, @WAplanfinder's special open enrollment period ends TODAY at 5:30 pm PT.🚨 

 Visit https://t.co/ColBGgILOe to enroll in a plan.",2020-05-08 13:53:54
We’re talking about how to recover our economy in this Facebook live town hall. You can join in the conversation right now. https://t.co/FR3u4gTyIs,2020-05-08 00:43:45
Happening LIVE right now: Facebook town hall with economist Jared Bernstein about the path forward for our economy. Join us here: https://t.co/b5uHPgRl8E https://t.co/WPS7SODb8U,2020-05-08 00:23:03
Today at 5pm @econjared will be joining me for a live discussion about the path forward for the economy. Ask your questions and take part in the conversation: https://t.co/b5uHPgRl8E https://t.co/7TwSmmGgFS,2020-05-07 16:45:53
"Despite falling revenues, local governments have stepped up to the plate and offered assistance to businesses affected by the pandemic. Way to go, @CityofLacey! https://t.co/LmhG1wXixI",2020-05-07 16:28:38
"Join me today at 5 pm PT for a conversation on the economy with @econjared, Senior Fellow at @CenterOnBudget and regular contributor to the Washington Post. 

Tune in at: https://t.co/qp5PShhED4 https://t.co/KPmZDB9Y2a",2020-05-07 15:36:51
"More than ever, I’m grateful for the nurses on the front lines fearlessly caring for those in need every day. You are our real life heroes! #NationalNursesWeek #ThankYouNurses https://t.co/GO7JYfItCL",2020-05-07 01:51:36
"Join me tomorrow evening for a Facebook Live conversation with @econjared—we’ll discuss what must be done to staunch the economic damage from the pandemic and help Americans get back on their feet.

Tune in at 5pm PT on my Facebook page:  https://t.co/CTZ86toJqm https://t.co/cG4JxFVsUR",2020-05-06 23:40:55
Happening now: I’m holding a Facebook live town hall with VFW’s National Veterans Service Director Ryan Gallucci. Join in on my Facebook page to hear more about services for veterans during the COVID-19 pandemic: https://t.co/VCspEmaaC7 https://t.co/kC3N955RY1,2020-05-06 22:40:16
"Join me tonight for my Facebook Live town hall on services available to veterans during the pandemic. I'll be joined by Ryan Gallucci, Director of @VFWHQ National Veterans Service. We'll get started at 3:30 PT—I hope you'll join us!

https://t.co/0zQYsp4DGf https://t.co/pSaS91orHt",2020-05-06 17:46:32
"Small businesses are the backbone of our economy and helping them survive during the pandemic is vital.

Thank you to the @SouthSoundBizS for having me! https://t.co/El8e4ZmUcN",2020-05-06 15:50:07
