tweet,dates
"Happy #MothersDay to all of the mothers in #VA05. The mothers in my life are the kindest, strongest, and most hard working people I know. Today, I am grateful for my own mother, as well as Christine and to of our daughters who are expecting mothers as well. https://t.co/wTZK7ZSD0w",2020-05-10 16:51:24
"#VA05, check out my weekly newsletter for an update on my work to fight the #COVID_19 virus. Read more here: https://t.co/tFzm49SXU2 https://t.co/vlehFodjPH",2020-05-08 20:58:51
What began with the landing of the Bedford Boys at Normandy on D-Day would lead to victory in Europe 11 months later. On the 75th Anniversary of #VEday we remember the allied victory over Nazi Germany in World War II and the brave men and women who made it happen. https://t.co/jyQnhqi1Zs,2020-05-08 16:15:56
I am honored to have been selected to join the China Task Force. China has lied about #COVID_19  I will work with @POTUS to hold China accountable for their dangerous actions. Watch here: https://t.co/XbTJgBSOx5,2020-05-08 15:18:07
This morning at 8:30 I will join @joethomaswchv on @107Wchv to discuss my appointment to the China Task Force.  Tune in here #VA05: https://t.co/bl5Ib7mcp5,2020-05-08 11:55:00
"#VA05, tune in now to join @RepAndyBiggs and the @Freedomcaucus for our Facebook Live event. https://t.co/sVHwiIW9O6",2020-05-07 22:05:39
".@RepMcGovern, House Democrats walked away from the opportunity to form a bipartisan task force. Take it from a threat expert and warfighter, China abuses human rights, lied about #COVID-19, and is a geopolitical and military threat. https://t.co/OhIyk90YdW",2020-05-07 20:33:03
It is an honor to be named to the China Task Force by @GOPLeader. Communist China has absolutely lied about #COVID_19 and their deceitful actions have cost American lives. I will work with @POTUS to hold China accountable. Read more here: https://t.co/BFqma90dfJ,2020-05-07 19:56:03
It's an honor to be named to the China Task Force by @GOPLeader. Communist China has absolutely lied about #COVID19 and their deceitful actions have cost American lives. I'll work with @POTUS to hold China accountable. They need to be taken to task for their dangerous behavior.,2020-05-07 16:48:47
"On this National Day of Prayer Christine and I pray for those who are suffering from #COVID_19 or have lost loved ones. We also pray for the doctors, nurses, and first responders who are caring for the sick and working to stop the spread of the virus. https://t.co/0qe0YVfjMF",2020-05-07 14:32:54
I'm cosponsoring a resolution to condemn the United Nations for their decision to place China on the Council on Human Rights as they continue to cover up the spread of #COVID_19 and abuse the Uighur community.  Read more here: https://t.co/JxhcAdp451,2020-05-06 21:02:00
"Businesses in #VA05 are being helped by the #PaycheckProtectionProrogram. $3.9 billion dollars have gone to 46,000 Virginia businesses to save jobs and keep workers employed during the #COVID_19 pandemic.
https://t.co/13Ndpvvx8f",2020-05-06 16:57:14
"I am grateful for our nurses, especially in #VA05, who have given so much of themselves throughout the #COVID_19 pandemic.  During #NursesWeek we say thank you for the heroic work they do in our communities. https://t.co/BfYh2dxfZU",2020-05-06 15:09:10
"On Monday, I joined @SecBernhardt for a site visit at @ShenandoahNPS to discuss the plan to begin reopening our National Parks. “It’s not just keeping the people safe here, it’s keeping the rangers safe. That is so important, because they’re the ones serving us.” https://t.co/PjFtDBnlRT",2020-05-06 13:00:19
#VA05 tune in to @NewsradioWRVA at 3:30 when I will join @jeffkatzshow to discuss the work I am doing during the #COVID_19 pandemic.,2020-05-05 19:22:30
"As part of the #CARESAct,  the @USDOT  will be awarding nearly $7 million in grants to grow the infrastructure at our #VA05 airports in Charlottesville, Danville, and Campbell County.",2020-05-05 18:29:21
I am proud to join @RepMichaelWaltz in cosponsoring the Strengthening America’s Supply Chain and National Security Act. We need to ensure that Americans have access the resources they need during the #COVIDー19 pandemic.,2020-05-05 16:21:53
"Riggleman said the country will also need to reevaluate how it spends. “I think at some point we’re going to have to have an audit down the line, on what we’re doing on mandatory and discretionary spending."" https://t.co/Msrs6IDYtz",2020-05-05 13:55:06
