tweet,dates
I’ll be providing a Coronavirus update on the Ray Appleton show today at 4:00 PM EST/1:00 PM PST on KMJ 580 AM/105.9 FM. Listen live here: https://t.co/0nAKxl8jvR.,2020-05-01 19:07:38
Important podcast from @theammind exposing the mainstream media’s latest attempt to rewrite history and wage ideological war on the American founding: https://t.co/ijEftvDP5J,2020-04-27 23:17:34
"Today marks the 105th anniversary of the Armenian Genocide. The continuing denial of the Armenian Genocide, particularly by Turkish President Tayyip Erdogan, is an act of historical vandalism. I urge the Trump administration to formally recognize the Armenian Genocide.",2020-04-24 14:25:41
I'll be providing a Coronavirus update on the Ray Appleton show today at 3:00 PM EST/12:00 noon PST on KMJ 580 AM/105.9 FM. Listen live at https://t.co/0nAKxkQI7h.,2020-04-17 18:37:42
I'll be providing a Coronavirus update on the Ray Appleton show today at 3:00 PM EST/12:00 noon PST on KMJ 580 AM/105.9 FM. Listen live here: https://t.co/0nAKxl8jvR.,2020-04-10 18:10:13
I’ll be providing a Coronavirus update on the Ray Appleton show today at 2:00 PM EST/11:00 AM PST on KMJ 580 AM/105.9 FM. Listen live here: https://t.co/0nAKxl8jvR.,2020-04-07 17:12:13
I'll be providing a Coronavirus update on the Ray Appleton show today at 3:15 PM EST/12:15 PM PST on KMJ 580 AM/105.9 FM. Listen live here: https://t.co/0nAKxl8jvR.,2020-04-01 18:15:00
I’ll be providing a Coronavirus update on the Ray Appleton show today at 3:00 PM EST/ noon PST on KMJ 580 AM/105.9 FM. Listen live here: https://t.co/0nAKxl8jvR.,2020-03-30 18:16:26
I'll be providing a Coronavirus update on the Ray Appleton show today at 3:00 EST/noon PST on KMJ 580 AM/105.9 FM. Listen live at https://t.co/0nAKxl8jvR.,2020-03-18 18:56:23
"The path forward is clear: with increased tax cuts, more trade successes, and further deregulation, @realDonaldTrump and the @GOP can continue to deliver historic economic growth for American workers and families. https://t.co/iYY0RfZN5E",2020-03-03 16:20:24
Drug price controls will direct investment in bio-pharmaceuticals overseas and cede the global marketplace to Chinese dominance. https://t.co/czNVbDQ5JS,2020-02-26 21:17:28
"Despite Democrat spin, the Tax Cuts and Jobs Act made our business tax rates competitive again. Now playing on a level field with the rest of the developed world, the U.S. had produced a roaring economy for American workers. https://t.co/ZLYGKCa1ER",2020-02-11 16:16:21
"January jobs report is out.
 
225,000 new jobs. Average hourly wages up 3.1% from last year. A booming economy for working Americans. https://t.co/WpK8iWyhvT",2020-02-07 15:10:47
All nine House Intelligence Committee Republicans today issued a statement on Britain's decision to allow Huawei to help build its 5G network. Read it here: https://t.co/dlEhaNFMR8,2020-01-29 23:23:28
ICYMI: Be sure to read this op-ed from my @WaysandMeansGOP colleague @MikeKellyPA highlighting @realDonaldTrump’s successful economic and trade agenda. President Trump and @HouseGOP’s policies have produced a roaring economy! https://t.co/ZETj3BLvlF,2020-01-27 16:55:19
"With #USMCA's passage moving forward in the Senate, @realDonaldTrump secures another vital trade deal today with China. Highlights include China's purchase of $200 billion of U.S. goods and promises to remedy issues like intellectual property theft https://t.co/7CusJCuUM1",2020-01-15 17:05:23
Catch my interview with @RayAppletonKMJ from earlier today to hear my thoughts on the strike against Iran Quds Force commander Qassem Soleimani: https://t.co/ub3mpDJpFV,2020-01-03 21:05:43
"After a year of delays, the House has passed #USMCA to help American workers and farmers. Deepest thanks to @realDonaldTrump, @USTradeRep, and @WaysandMeansGOP for fighting to get this vital deal to the finish line. https://t.co/qKDw2piGGC",2019-12-19 21:19:19
"Lower taxes, higher wages, and greater investment in our economy. The Tax Cuts and Jobs Act has been a roaring success. https://t.co/w624JxvTaD",2019-12-16 20:31:09
Better late than never: House Democrats finally join @HouseGOP and agree to pass #USMCA. Thank you to @realDonaldTrump and @USTradeRep for negotiating a strong deal that will deliver great economic benefits to American workers and farmers. https://t.co/c8w0c8W4yO,2019-12-11 18:32:46
Today is our nation’s 100th #VeteransDay. Thank you to all our courageous military veterans. Your sacrifices are a public debt that can never be repaid but will be forever cherished. https://t.co/hysxLkyrC5,2019-11-11 14:42:40
Deepest thanks to our troops and intelligence professionals who made the world safer by eliminating Baghdadi. Incredible operation executed with skill and bravery.,2019-10-27 14:04:08
.@NASA is asking students to help name their next Mars rover. All K-12 students are welcome to submit their rover name &amp; a short essay to explain the reasons behind their proposed name. More info is available at https://t.co/YKW7jBeQxx. Enter before the contest closes on Nov. 1! https://t.co/YxlrwQeukJ,2019-10-18 22:06:13
"Before Speaker Pelosi introduced House Democrats’ disastrous drug pricing bill, Republicans and Democrats were working together to lower drug prices. Instead, Democrats are advancing a partisan bill that will take a sledgehammer to medical innovation. https://t.co/VDnN4BgeVR",2019-10-17 21:19:07
A must read from @SJVSun. New water storage infrastructure would ease the Central Valley’s government-made water crisis. https://t.co/dtiufdtrwF,2019-10-07 20:43:47
"We learn from the press today that Chm Schiff had prior knowledge and involvement in the WB complaint. He withheld this info from the American people and even from the Intel Cmte. In light of this news, it’s hard to view impeachment as anything aside from an orchestrated farce.",2019-10-02 19:28:12
I'll be on the Ray Appleton show today at 2:00 pm EST/11:00 am PST on KMJ 580 AM/105.9 FM. Listen live at https://t.co/zjhxtuRcu7.,2019-08-30 17:14:38
"First #USMCA, now a $7 billion trade deal with Japan. Congress must ratify these deals ASAP and help deliver these great benefits to American workers and farmers. https://t.co/qBpaEXXqf1",2019-08-26 22:34:05
"Congrats to my HPSCI colleague and next DNI, @RepRatcliffe, a former U.S. Attorney who understands the intricacies of the intelligence community as well as civil liberties. Great choice by POTUS.",2019-07-28 23:28:36
House Democrats must stop dragging their feet and join @HouseGOP to pass #USMCA. Very important to get this trade deal done so that Americans can benefit from hundreds of thousands of new jobs and Central Valley farmers can sell goods in Canada and Mexico. https://t.co/KhDvlcBZFA,2019-07-10 15:36:41
Happy Independence Day. Thankful for the many generations before us who fought to secure and maintain liberty for all Americans. Hope everyone has a happy and safe day celebrating our great nation. https://t.co/ZETM7pXzmZ,2019-07-03 21:22:28
My proposal to modernize our outdated prescription drug payment system: https://t.co/2NYyYs1qLb,2019-06-20 16:12:50
"High-speed rail, California’s prize boondoggle, continues to do economic harm to Central Valley farmers. https://t.co/IzomRxG38j",2019-06-11 17:14:59
My interview today with Bill Hemmer discussing the latest on the Russia hoax: https://t.co/fxv8kCgHT6,2019-06-01 00:26:53
#SinceGOPTaxCuts Good economic news continues. U.S. consumer confidence at highest point since November and Conference Board’s Consumer Confidence Index at 18-year high. https://t.co/zRxZ1XsWTb,2019-05-28 18:04:24
Honoring those who served and made the ultimate sacrifice in defense of our country. Have a happy and safe Memorial Day weekend. https://t.co/M8G617DN9v,2019-05-24 19:30:51
White House is collecting stories about people subject to political bias by social media companies. That would be a long list. https://t.co/HtkUjSVvbe,2019-05-20 16:31:17
