tweet,dates
Phase 1 of Nevada’s reopening begins today. Industry-specific guidance can be found at the following link: https://t.co/zFrLGjwMr6,2020-05-09 16:07:09
This #MilitarySpouseAppreciationDay I am thinking of all of the husbands and wives who are staying at home - often taking care of children - while their spouse is deployed overseas. We are grateful for the sacrifice that your family is making for our country. https://t.co/XM42K7H91l,2020-05-09 00:35:31
May is #AAPIHeritageMonth. I’m proud to represent the most ethnically diverse district in our state and I look forward to a time when we can come together to celebrate the contributions of the AAPI community in Southern Nevada. https://t.co/hrdVLlmp5X,2020-05-08 21:23:51
Thank you to @ENAOrg for having me on a conference call to discuss ways we can protect our nurses on the front lines of this pandemic. #NationalNursesWeek,2020-05-08 19:33:02
"Through no fault of their own, families are being forced to choose between putting food on the table and paying rent. I’m proud to co-sponsor the Emergency Rental Assistance &amp; Rental Market Stabilization Act because these individuals and families need #RentReliefNow.",2020-05-08 18:34:12
"As Nevada prepares to enter Phase 1 of our reopening, I’m pleased to announce that @FirstMedNevada, First Person Care Clinic, and @SilverStHealth are receiving nearly $500k to expand coronavirus testing capacity from the emergency funding bill that we passed in Congress.",2020-05-08 15:01:09
The IRS has updated their FAQ page on direct payments with additional information. Please see the following link for more details: https://t.co/mJK0fMPB1R,2020-05-08 00:34:01
I’m proud to lead this effort with @senmarkey. https://t.co/HNqxDmejLz,2020-05-08 00:18:02
Thank you to @TheCenterLV for inviting me to join today’s virtual celebration of Jan Jones-Blackhurst. She has been a champion for LGBTQ+ rights for decades and this recognition is well deserved. https://t.co/Lt5glQzzqp,2020-05-07 20:14:41
.@NevadaHLC ha creado una guía completa de recursos relacionados con el coronavirus en español en el siguiente enlace: https://t.co/J7k2CbUTbu,2020-05-06 22:26:26
On this #NationalNursesDay we celebrate the heroes who are working long hours and putting themselves at risk to save lives.  I will continue to fight to ensure that nurses get the pay and benefits they deserve - and the PPE they need. https://t.co/uLxdq2jJdW,2020-05-06 19:39:38
Our next bill must provide more direct relief to those who need it most. The President's payroll tax proposal wouldn't do anything to help the tens of millions who have lost their jobs. https://t.co/273SCFq3oE,2020-05-06 17:24:15
"Tonight in honor of National Travel and Tourism Week, resorts in Las Vegas are going red in solidarity. We are looking forward to a time when Las Vegas will be ready to safely welcome visitors back. #NTTW20 #SpiritOfTravel",2020-05-06 02:49:46
Thank you @SilverStateCU for your generous donation to @ClarkCountySch for laptops that students will use to engage in distance learning.,2020-05-05 23:02:47
