tweet,dates
"Sad to hear of the passing of Little Richard this weekend.  He was the true King of Rock and Roll.  

https://t.co/zks3ZJW9DH",2020-05-10 17:10:05
"Happy Mother's Day!!

Today and every day, we honor the mothers who guide us, inspire us and push us forward. #MothersDay https://t.co/S3rTBRO7yh",2020-05-10 13:30:27
"Congratulations to Rutgers University!!!! 

The Food and Drug Administration authorized a coronavirus test developed at the school that will allow people to collect their own saliva at home and send to a lab for results.  Great work from a great university! https://t.co/WV0eXgOmag",2020-05-08 20:55:05
"Glad to hear FEMA just awarded a $6.1 million grant to help New Jersey's state police.

Our state and local police are still on the job and we need to do all we can to help them during this global pandemic. https://t.co/F3HuChXBaM",2020-05-08 17:40:07
"FREE MASKS FOR NEWARK RESIDENTS!!

Make sure to bring your I.D. to get the protective gear. https://t.co/KKzgoXCx49",2020-05-08 16:40:07
"It was 75 years ago today that Allied forces accepted Nazi Germany's unconditional surrender and ended #WWII in Europe.

I wanted to thank and honor the veterans of that war as well as all the veterans who have fought to protect our country.  #VEDay75 https://t.co/UiOqPbhOo9",2020-05-08 15:35:06
"It's National Nurses Appreciation Week and Month!   

Even though we celebrate them this week.  We must remember to celebrate them after this crisis is over and forever after that. https://t.co/JwzFoJQxSa",2020-05-08 14:45:16
"It's Teacher Appreciation Week and a great time to honor the educators in your community. 

Even though they have been celebrated this week, we must remember to celebrate them throughout the year. https://t.co/CmSm8svndg",2020-05-08 13:45:16
"It's National Nurses Appreciation Week and Month!   

They are the heroes of this coronavirus crisis and we can't celebrate them enough.  Search for a local nurses organization and ask how you can show your appreciation for their life-saving work during this tragic time. https://t.co/HxFFwzKffQ",2020-05-07 14:45:17
"It's Teacher Appreciation Week and a great time to honor the educators in your community. 

Contact your local PTA and learn about ways to praise them during this coronavirus crisis. https://t.co/4vD9TTrzf4",2020-05-07 13:45:19
"It's National Nurses Day during National Nurses Appreciation Week and Month!   

Here is a partial list of all the businesses that offer free products and discounts to nurses.  Please send it to all the medical professionals you know.

https://t.co/0dGcHavlf8 https://t.co/Qhk1mrzHgV",2020-05-06 14:45:22
"It's Teacher Appreciation Week and a great time to honor the educators in your community. 

It doesn't take much.  Even a simple text or e-mail of support makes a difference. https://t.co/BwipMWRkP7",2020-05-06 13:45:13
"CORONAVIRUS TESTING FOR ALL NEWARK RESIDENTS!!!!

Testing will start Wednesday, May 6, from 9 a.m. to 3 p.m., at the Branch Brook Park Roller Skating Rink.   

Testing is by APPOINTMENT ONLY.  For an appointment, please call (973) 988-5511 to see if you are eligible. https://t.co/fvLS4oqe0U",2020-05-05 19:50:07
