tweet,dates
"Thinking about my wonderful mom &amp; missing her this #MothersDay.

Wishing all the incredible mothers out there, many who have been balancing life, work &amp; schoolwork for their children during this difficult time, a very #HappyMothersDay! https://t.co/FDCtQdJFgt",2020-05-10 13:52:59
"Local Heroes are stepping up around the clock to combat #COVID19 &amp; keep us safe.

Join us in saying thank you to our front line &amp; essential workers!

Write a letter, draw a picture or film a short video, &amp; submit your work digitally here:
https://t.co/oKFoiVi2un https://t.co/76nd5u9yU7",2020-05-09 18:39:00
"Congratulations to the @RowanUniversity class of 2020!

This year may not have a normal graduation ceremony, but your accomplishments have not gone unnoticed! 
#Rowan2020 https://t.co/SPdHgEYVAm",2020-05-09 18:19:07
"If you feel unsafe while in quarantine, there are resources available:
NJ Domestic Violence Hotline: 1-800-572-7233
NJ Coalition Against Sexual Assault Hotline: 1-800-601-7200
Women's Referral Central: 1-800-322-8092. 

💗You're not alone💗 https://t.co/dobdt2uBhR",2020-05-09 13:25:00
"Today, on #MilitarySpouseAppreciationDay, we honor those who stand beside our servicemembers.

Thank you for all your support! https://t.co/bl6uvl0ReP",2020-05-08 20:44:16
"75 years ago, Allied forces accepted Nazi Germany's unconditional surrender – ending #WWII in Europe.

Thankful for our servicemembers – &amp; the allies who fought alongside them – for their bravery &amp; sacrifice. #VEDay75 https://t.co/Q2U4lgltHA",2020-05-08 20:06:03
"I recently discussed #COVID19's impact on our community, what's working &amp; the outlook moving forward on vaccines &amp; treatment with a local @CooperHospital epidemiologist, Dr. Fraimow. 

Watch the full video here ⬇️
https://t.co/LwhxhxXoZT",2020-05-08 16:25:57
"‼️HAPPENING NOW‼️

I'm participating in a virtual #COVID19 town hall with @camdencountynj officials ⬇
https://t.co/UQLTx144iB",2020-05-07 21:12:13
"🚨TODAY🚨

I'm participating in a #COVID19 town hall discussion with @camdencountynj leaders.

When➡️ 5pm
Where➡️ https://t.co/UBItiacnmp
More information⬇️ 
https://t.co/H75qadiLKH",2020-05-07 17:00:21
"Today, we announced nearly $800,000 in @EPA Brownfields Grants will come to @CityofCamdenGov &amp; @coopersferry.

Protecting the public health of our community is more important than ever, &amp; this funding will provide a safer environment for residents.

More➡️ https://t.co/dZbHTYwNmh",2020-05-06 19:15:36
"🩺Not all heroes wear capes🩺

Our heroes wear scrubs &amp; help us &amp; our families through the toughest times in our lives.

Nurses are on the front lines, battling #COVID19 &amp; keeping us safe &amp; healthy.

To every nurse, Thank you.
#NationalNursesDay https://t.co/4B4BqLkdla",2020-05-06 14:48:26
"Members of @IBEW Local #351 at the Repauno Port donated $5,000 to the @FoodBankSJ, providing 25,000 meals to those in need.

It’s truly incredible to see our community working together to help our neighbors in need during this crisis. #BetterTogether https://t.co/CFoFU28wGH",2020-05-05 21:08:03
"I joined @camdencountynj, @VirtuaHealth &amp; @CooperHospital leaders today at the opening of a new #COVID19 testing site at Dudley Grange Park in Camden.

Now open for county residents with a doctor referral by appointment.

To make appointment, call:
856-968-7100 or 856-342-2881 https://t.co/10CR73SIYt",2020-05-05 18:04:19
"Taking the #2020Census helps determine funding for our schools!

During #TeacherAppreciationWeek, let’s help SJ teachers get the resources they need.

To take your Census:
💻: https://t.co/zY7NViBDVr 
☎️: 844-330-2020 
📬: Complete the form mailed to your address
#NJCensus2020 https://t.co/ByIyKDPaVm",2020-05-05 12:35:00
"59 years ago today, 13 courageous Americans started a dangerous journey through the segregated south.

As we honor the #FreedomRiders, we must recommit ourselves to their fight for justice &amp; equality for all, especially as we face a global crisis. #ForThePeople https://t.co/d69CHDjwDn",2020-05-04 23:33:00
"On #InternationalWorkersDay, I had the honor to speak during the Parish of St. Monica’s Mass of St. Joseph the Worker in Atlantic City.

I’m so grateful for the opportunity to celebrate the dignity of work &amp; to honor &amp; pray for our heroes working on the front lines of #COVID19. https://t.co/tA9gSyfu3A",2020-05-04 23:05:09
"Schools may be closed while we #StayAtHome, but teachers are continuing to educate &amp; support New Jersey students remotely during this challenging time.

This #TeacherAppreciationWeek, we thank you for all that you do! 🍎📚 #SendTeachersLove https://t.co/CPUajPNBaN",2020-05-04 14:49:00
"❗️Important DEADLINE❗️

VA &amp; SSI recipients who have a dependent but don't normally file a tax return, must use the IRS non-filer tool to enter their info by MAY 5 to receive the full Economic Impact Payment.

For more info &amp; to register: https://t.co/2m08jg1AuK",2020-05-03 18:57:24
"Haven’t filled out the #Census2020 yet?

Want to help our community access resources for hospitals🏥, schools📚 &amp; infrastructure🚆?

You can respond to the 2020 Census now!
💻: https://t.co/zY7NVik33T
☎️: 844-330-2020
📬: Complete the paper form mailed to your address",2020-05-03 16:50:27
"🌳As some NJ state &amp; county parks reopen today, I urge visitors to act responsibly &amp; continue following social distancing guidelines.🌳

More info on NJ parks &amp; golf course guidelines ➡️ https://t.co/hKk4iDcWEw",2020-05-02 16:47:44
"May is #TeacherAppreciationMonth &amp; while many teachers aren’t in their regular classrooms, they are still playing crucial roles in students’ lives. 

Thank you for your tireless dedication 📚 #SendTeachersLove https://t.co/vxPv8Ny7bu",2020-05-01 22:33:00
"Nearly half of Americans report #COVID19 has negatively impacted their mental health.

💗Please remember, you're not alone💗
#MentalHealthMonth

Resources are available:
Crisis Text Line: text “NJ” to 741741
NJ Mental Health Hotline: 866-202-4357
More: https://t.co/PKHPeuLwVy",2020-05-01 21:38:59
"Thank you, @Troy4NJ7.
Now, more than ever, we must #LowerDrugCosts! https://t.co/v3RciusrER",2020-05-01 17:36:23
"On #MayDay, we honor the brave Americans working on the front lines of the #COVID19 pandemic.

I'll continue to stand with our health care professionals, grocery store clerks, janitors, delivery drivers &amp; all #EssentialWorkers in fighting for safer working conditions.",2020-05-01 15:43:49
"❗️Important DEADLINE❗️

VA &amp; SSI recipients who have a dependent but don't normally file a tax return, must use the IRS non-filer tool to enter their info by MAY 5 to receive the full Economic Impact Payment.

For more info &amp; to register:
https://t.co/2m08jg1AuK",2020-04-30 19:11:45
"The #IRS made improvements to its ‘Get My Payment’ tool.

Now, more taxpayers can enter their info &amp; track the status of their payment.

Check it out here ⬇  https://t.co/O0MQDTG0N4",2020-04-29 19:33:00
"Today, we're facing a grave public health emergency with many first responders, health care, grocery &amp; delivery workers giving their lives serving others.

Those American workers are heroes. They deserve a federal holiday in their honor #WorkersMemorialDay
https://t.co/04MxTFHcsd",2020-04-29 18:43:00
We can’t say ‘Thank you’ enough to our #COVID19 frontline heroes💗 https://t.co/nUPmyMBd45,2020-04-29 15:09:48
"✈ICYMI✈
The @BlueAngels &amp; @AFThunderbirds will soar over South Jersey &amp; Philly to honor #coronavirus frontline workers.

They’re set to take off from @jointbasemdl at 1:45PM &amp; will be entering our area around 1:55PM! https://t.co/OPxQTWnDKL",2020-04-28 17:30:00
