tweet,dates
"Happy Mother’s Day, with thanks and gratitude to the wonderful moms out there!",2020-05-10 15:14:11
"A lot of people - not just the President - are acting like this is just going to suddenly end, and everything will go back to normal soon.

That is not going to happen.

We have to face the reality that a lot of people are really hurting. We will be in crisis for a long time. https://t.co/K6umEoZ9iA",2020-05-10 13:57:33
"The Inspector General for the Small Business Administration just raised serious concerns about loan forgiveness rules in the Paycheck Protection Program.

Many small businesses will get hard if this isn't fixed; @RepJimmyPanetta and I have a bill to help: https://t.co/cLVCIpPna7 https://t.co/AYmnYWglVb",2020-05-08 22:35:00
"A Friday afternoon conversation with Northern Virginia's police and fire chiefs about how to support their efforts in Congress. First responders have been at increased risk by the pandemic, and I deeply appreciate their hard work and sacrifice to keep us safe and well. Thank you! https://t.co/W82yR3Occd",2020-05-08 22:09:08
"75 years ago we won victory in Europe, a triumph ending that theater of WWII after years of hardship and sacrifice.

It's a proud moment for America and our allies, a reminder that we can achieve great things with focus, determination, ingenuity, and collective action. #VEDay75",2020-05-08 19:12:32
"This IS a scandal.

The scandal isn't empty boxes, it's that nursing homes and healthcare centers across the US badly needed PPE for months as thousands died, and didn't get it.

Yesterday Mike Pence came here to Alexandria to proudly tout the ""first delivery"" of PPE. Too late. https://t.co/Vooc8icAuJ",2020-05-08 15:53:38
"The unemployment picture is desperate. Millions will be out of work for months, perhaps much longer.

The Worker Relief and Security Act would automatically trigger the flow of expanded benefits for the duration of this crisis.
https://t.co/FbbkEIG2cT https://t.co/DQtGIKpwG0",2020-05-08 13:48:30
"April job losses were 25 times worse than the worst month of the Great Recession.

We have the worst unemployment since the Great Depression, and these numbers don't capture millions who lost jobs. It may be a long time before they get back to work.

This did not have to happen. https://t.co/NwhzXetTax",2020-05-08 12:39:48
"Tens of thousands of Americans – over 73,000 – have now died from a pandemic that has hit our country so much harder because this President ignored warnings from health officials over and over again. This is so dangerous. https://t.co/APQuJEq0Xl",2020-05-08 00:46:24
"Working with @RepJimmyPanetta to improve the Paycheck Protection Program so it will work better and more fairly for small businesses, especially those who need it most.

Our proposal would also give small businesses time and flexibility to save jobs. More: https://t.co/Zx62mkIOPt https://t.co/tLNfrPIEMe",2020-05-07 23:01:00
"Good news: in addition to the backing of former Fed Chairs, leading economists, and top economic policy experts from the Obama Administration, the Worker Relief and Security Act now has the support of the Chairs of two key House Committees: @RepJohnYarmuth @BobbyScott.

Momentum! https://t.co/2fHLi3MWio",2020-05-07 22:24:40
"So many need help right now just to buy food or pay for housing. Congress must not fail them. This is not a time to hold back – leaving people at the mercy of this crisis would be immoral.

@RepDean and I have a plan to help people with new additional, improved direct payments. https://t.co/yEyUsgoS0K",2020-05-07 21:39:08
"NEW: bicameral push for boosting health care research is picking up steam! 

@SenBlumenthal and I, working with numerous colleagues, are seeking increased funding for the Agency for Healthcare Research and Quality (AHRQ) in the next COVID-19 relief package: https://t.co/CY7vOZ8H1o",2020-05-07 20:59:20
"Trump says he is ""very proud"" of Flynn, whom he fired for lying to Vice President Pence a few weeks into his job as National Security Adviser.

Flynn pleaded guilty to lying to the FBI, admitted what he did ""was wrong,"" and said he accepted ""full responsibility"" for his actions. https://t.co/YyMzLe5jsW",2020-05-07 19:47:04
Donald Trump's corruption of the Justice Department and his devastating attacks on the rule of law will haunt this country long after he leaves office. https://t.co/f5p3oZ0U3m,2020-05-07 18:41:45
Whataboutism on a grand scale with the clear intent to distract the American people from the bumbling incompetence of a President who ignored repeated warnings and failed to keep them safe. https://t.co/549FV4JYuf,2020-05-07 16:03:35
"1 in 5 workers have now lost their jobs and the CBO says high unemployment will continue through 2021.

The Worker Relief and Security Act would prevent unemployment benefits from expiring this summer, averting horrible suffering and a probable depression. https://t.co/FbbkEIG2cT https://t.co/yuChgLhq6s",2020-05-07 13:04:20
“Terminate health care” https://t.co/Kx0MXyJ2Mg,2020-05-06 23:54:03
You might think that even this president would have enough sense not to try to kick millions of Americans off their health coverage and wreck our national health care system in the middle of the worst pandemic in a century. But you'd be wrong. https://t.co/unI6esuKtL,2020-05-06 21:31:00
I can't really fathom the cruelty of people who would choose this particular moment to make life worse for survivors of sexual assault on college campuses. It's so awful. https://t.co/oxKnSABmGC,2020-05-06 20:54:59
