tweet,dates
Happy Mother’s Day to all of the incredible moms who make the world go round!,2020-05-10 16:50:05
Changes must be made at the Department of Justice and the FBI to ensure what happened to General Flynn and @realDonaldTrump in 2016 never happens again. https://t.co/2Kryw82Ll4,2020-05-09 17:09:35
"#GoodNewsoftheDay → @AUG_Health is beginning antibody testing this week.
 
This critical tool that will detect whether people have developed antibodies against #COVID19 and will help experts better understand how the virus has spread locally.",2020-05-09 00:02:20
"Top officials at the FBI claimed to be saving America, but they were actually just detracting from our democracy. https://t.co/FJvVMytCpU",2020-05-08 21:58:39
"During my visit to Fieldale Farms today, I witnessed firsthand the extra steps they're taking to protect the safety of their workers and keep our food supply chain strong.
 
Now more than ever, I'm thankful for their commitment to continue putting food on Americans’ tables. https://t.co/9qXkAIEsZv",2020-05-08 20:29:58
"No crisis should be exploited to further attacks on innocent life, but abortion activists are trying to roll back Hyde Amendment protections in the midst of COVID-19.

The Protecting Life in Crisis Act will put an end to these attacks.

https://t.co/OwdvjgCeRV",2020-05-08 18:48:30
"We’re finally beginning to see some accountability.
 
By dropping the case against General Flynn, DOJ is pursuing justice rather than turning a blind eye to the corruption that occurred under James Comey’s leadership. https://t.co/mUAaQHgvID",2020-05-08 15:36:45
"Wrong again, Comey.

DOJ lost its way when self righteous “leaders” at the top of our justice system thought they could play Superman and dictate the will of the American people.
https://t.co/RyTBn93Ikk",2020-05-07 21:24:47
"After the government spent years destroying General Flynn’s life, justice has finally prevailed.

This was a set up from DAY ONE. 

There MUST be a thorough investigation, and there must be accountability.

If it can happen to a three-star General, it can happen to anyone. https://t.co/k6SLyT8Sqa",2020-05-07 18:44:30
"As our country faces so many unknowns, join me on this #NationalDayofPrayer in praying for the recovery of all who have been affected by COVID—19 and the safety of our heroes on the frontlines.",2020-05-07 15:15:28
"To all of our nurses courageously working around the clock: Your commitment to providing compassionate care continues to save lives. Thank you for all that you do, especially in the midst of #COVIDー19. #ThankYouNurses",2020-05-06 20:59:01
"Thanks to @realDonaldTrump’s leadership, the United States has completed over seven million coronavirus tests — more than any other nation! 🇺🇸 https://t.co/xv2gVTo7nS",2020-05-06 17:47:38
"Adam Schiff is notorious for making claims without evidence.
 
He habitually hides the truth, and now he’s refusing to release the transcripts. https://t.co/H8Lg4pV485",2020-05-06 12:54:09
"The latest revelations in the General Flynn case are further revealing a pattern of an abuse at the FBI.
 
The American people are losing trust in our justice system. There must be accountability. https://t.co/dwvOk3aj35",2020-05-05 19:26:23
"John Ratcliffe is a fierce defender of our national security, a tireless advocate for the rule of law, and above all, a man of strong integrity.

He will serve our country well as Director of National Intelligence.",2020-05-05 15:54:55
