tweet,dates
"Happy Mother’s Day to all the hard-working moms out there, especially my wife @louisenewjones! You have one of the toughest jobs out there and we’re grateful for all you do each and every day. https://t.co/kry083aM9E",2020-05-10 13:00:01
"I know there’s a lot going on in the world, but we still need to be preparing for the start of hurricane season in June. Visit https://t.co/xaBiwYVApJ to get the latest preparedness tips. https://t.co/0tJghJiHUq",2020-05-09 17:00:00
"Right now Alabama has a unique opportunity to:
✅ Revitalize the state economy
✅ Bring jobs home from overseas
✅ Contribute to COVID-19 relief
✅ Become a leader in U.S. health care manufacturing
 
Read my op-ed on how we can work together to do this.https://t.co/dWmrnZc0bR",2020-05-09 13:04:53
"Yesterday, I called on the Navy Secretary nominee to commit to increasing safety measures for service members and civilians on our military bases. We owe it to heroes like Enterprise's Joshua Kaleb Watson, who was killed in a terrorist attack at NAS Pensacola, to do better. https://t.co/LD8yyEyVtV",2020-05-08 22:05:23
"Join me today at 12:30 p.m. CT for a FB livestream with @DrJeanneM, Director of the @UABNews Infectious Disease Division. We’ll be discussing COVID-19 health updates since the latest safer-at-home order began. Tune in here: https://t.co/Sv9zFf825a",2020-05-08 14:18:11
"May is Mental Health Awareness Month &amp; I want to say again that it’s ok to not be ok. Your mental and emotional health are just as important as your physical health—especially during this pandemic. Take some time for yourself each day and remember, you are not alone. https://t.co/30qM24ZsKp",2020-05-07 20:31:02
"Folks, I’ve said it before and I’ll say it again—we’re not in the clear yet. We *MUST* ramp up our testing capacity. What we do today will make a difference in all of our lives in the future. https://t.co/VnHwQjLAjn",2020-05-07 19:32:40
"#ThankYouNurses for your selfless work day in &amp; day out. To truly honor your dedication, compassion &amp; courage, we need to do more to make sure you have the gear you need to stay safe on the job during this pandemic. #NationalNursesDay",2020-05-07 00:02:56
"Whether you're making face masks, delivering groceries, mowing lawns or even just giving a neighbor a quick call to check up on them, you are helping to make a positive impact on your community during this pandemic. We are all in this together. #ALTogether https://t.co/VLgnUd1aXU",2020-05-06 22:31:32
"If the lawsuit to strike down the ACA is successful, we lose:
 
❌Protections for 130M Americans w/ pre-existing conditions 
❌Bans on lifetime coverage caps
❌Support for rural hospitals
 
This would be devastating to Americans’ health &amp; safety—especially now. #ProtectOurCare",2020-05-06 21:34:40
Many students in Alabama don’t have access to the internet &amp; this pandemic has exposed the digital divide in many Alabama communities. Thank you Perry County Schools for going above &amp; beyond for your students.https://t.co/dGxfvEXu0Z,2020-05-05 19:33:07
