tweet,dates
"#VEDay75 serves as a reminder that no challenge to our freedom is stronger than the forces that defend it. To the Americans who served in our Armed Forces during World War II, we are forever grateful for your contribution to eliminating fascism and liberating Europe and the world https://t.co/1IG1HYcn1i",2020-05-08 20:24:21
"Wildfire season is approaching. With many of us working or sheltering at home, now is great time to use @CAL_FIRE’s resources and maintain your defensible space, keeping your home and property safe from wildfire. https://t.co/B0Q0CsduGt #WildfirePreparednessWeek https://t.co/YR9aUdR0FN",2020-05-05 18:30:43
"FEMA, HHS, and the private sector combined have delivered 

✅76.5 million N95 respirators 

✅107.2 million surgical masks

✅811.9 million gloves

✅Nearly 11,000 ventilators.

The numbers don’t lie. @POTUS is dedicated to providing supplies and stopping the spread of COVID-19.",2020-04-29 15:39:50
"The #PaycheckProtectionProgram is just one of the many ways small businesses can get help from the effects of #COVID19. This video from @GOPLeader helps breakdown what other programs are in place to get small businesses and employees back on their feet.
https://t.co/FvYGix7yHX",2020-04-27 17:54:38
"The #PaycheckProtectionProgram has officially resumed.

Visit your lender to submit a loan application so that funds can be disbursed as timely as possible. For more information, visit the SBA's website 🔽
https://t.co/HPM3PMau7s",2020-04-27 14:53:39
"As we face the #COVID19 pandemic, we are reminded of just how critical workers are to our supply chain infrastructure. Thank you #ToThoseWhoKeepUsMoving for all of your hard work during this unprecedented crisis. https://t.co/ODcZPUUVLK",2020-04-21 17:01:39
"The #WHO was dishonest about the coronavirus — echoing and praising the lies disseminating from China. 

@realDonaldTrump was right to hold #WHO accountable. The American taxpayers should not prop-up an organization that shows dangerous bias towards the Chinese government.",2020-04-15 15:16:26
"On this National Doctors Day, I want to thank not only doctors, but all health care workers who are serving on the frontlines during the #coronavirus pandemic. Your unwavering commitment to helping others is heroic. https://t.co/vTLQc0Zv3O",2020-03-30 15:47:47
"Several constituents have asked to see the full bill text of the #CARESAct. You can find that and info on all other bills introduced in the House or Senate at the link below.

https://t.co/Ldh4qPddWv",2020-03-28 14:56:52
"Elbow bumps are the new handshake. Good to see you this morning, Pastor Cummins! https://t.co/q6dpsZfYHh",2020-03-27 17:25:54
"Speaker Pelosi, Americans need solutions related to COVID-19, not 

❌A $15 minimum wage
❌ Same day voter registration
❌Corporate “diversity &amp; inclusion” budgets.

These unrelated, partisan demands are a waste of time while Americans suffer. They need help now.",2020-03-23 19:57:24
"Even at a time like this, scammers prey on people in need. If you or someone you know are receiving calls or solicitations, DO NOT RESPOND, especially with personal info.

Contact the @FTC to report it. 

https://t.co/iQezT6zEKO https://t.co/vcLbgGg0v1",2020-03-19 17:58:15
"Thanks, @SteveScalise, for the King Cake! 

Happy Mardi Gras to all those in #CA01 that may be celebrating today! https://t.co/Dwd8ZkcFp9",2020-02-25 17:27:00
"As a strong supporter of #2A, I’m a proud cosponsor the Lawful Interstate Transportation of Firearms Act, a new bill sponsored by @RepMoBrooks that expands protections for Americans traveling w/ firearms.",2020-02-21 16:57:45
"Protecting our water resources is good for our farmers, our families, and our food supply. California water is limited, and we shouldn’t waste it by dumping it into the ocean. 

Thank you @GOPLeader and @realDonaldTrump for bringing this issue to America’s attention. https://t.co/pvTmpLxuxk",2020-02-18 19:54:17
California has 9️⃣ days left to comply with the #WeldonAmendment and offer abortion free health insurance. It’s time to buck the status quo that takes human life for granted. I encourage Gov. Newsom to recognize the rights of #prolife Americans.,2020-02-14 17:01:12
"#NEPA &amp; #ESA are big government at its best.

Congress should be in the business of addressing inefficiency in government &amp; holding the bureaucracy more accountable. https://t.co/c30YY2OLZ5",2020-02-11 20:52:18
"After 4 months of political gamesmanship, the outcome is as we expected — @realDonaldTrump is #ACQUITTED!

Democrats must once-and-for-all face the music; the results of the 2016 election can't be changed. 

Now it's time to get back to work.",2020-02-05 21:54:06
".@realDonaldTrump: “The United States should be a sanctuary for law abiding citizens, not illegal aliens.” 

Thank you, Mr. President. Sanctuary cities violate our laws and have no place in our society. 🇺🇸",2020-02-05 03:06:54
America will never be a socialist country! #SOTU2020,2020-02-05 02:59:50
"Looking forward to #SOTU2020.

Here are my thoughts: https://t.co/vHj2DPnYoz",2020-02-05 01:19:58
"I recently introduced the Clearing Lines along Electrical At-Risk Zones (CLEAR Zones) Act for owners and operators of power lines to more easily clear trees or parts of trees near power lines that may ignite and cause fires.

Read my full statement here: https://t.co/EFevm60yrL https://t.co/BFQFSUzidN",2020-02-04 16:45:21
"Signed, sealed, delivered: The #USMCA is now law. This is a great deal for the American people and our economy.

While the Democrats focus on impeachment, @realDonaldTrump is working hard for us. https://t.co/hpfnjAAYUn",2020-01-29 17:09:29
"The #USMCA is a win for farmers, businesses, workers, and families. Thank you @realDonaldTrump for inviting me to the White House for the signing of this historic trade deal! #PromisesMadePromisesKept https://t.co/ODN5Zyzk2i",2020-01-29 16:02:09
Thank you @POTUS and @EPAAWheeler for rewriting #WOTUS. This is a common-sense change that gives landowners the flexibility to maintain their own land without overreaching federal input. https://t.co/xEvR0bt1M3,2020-01-23 21:15:49
"In the 47 years since #RoeVWade, more than 60 million unborn childrens’ lives have ended too soon.

I was honored to receive an A rating from @SBAList for my pro-life record. I will never stop fighting for unborn children to have the most basic human right – the right to live. https://t.co/WGGk42B2jK",2020-01-22 17:14:27
"Today, @RepJimmyPanetta and I introduced a resolution recognizing the 200 American firefighters in Australia fighting bushfires. Australia and the U.S. should continue to work together to prevent future wildfires in both of our homes.",2020-01-16 22:26:08
"What moves slower than a missile crawler transporter, a three-toed sloth, and a banana slug?

Speaker Pelosi during this #ShamImpeachment.

See my speech here: https://t.co/CjANcWseMN https://t.co/FVAmCOZVrr",2020-01-16 15:09:30
"It's been 28 days since Democrats jammed Articles of Impeachment through the House

Since then, @POTUS has:
✅Signed phase 1 of a trade deal with China
✅Killed an Iranian terrorist
✅Modernized NEPA

It's clear who is really working for Americans.",2020-01-15 18:07:23
"House Democrats just blocked @GOPLeader's resolution to stand behind Iranian protesters who are protesting a regime that chants 'Death to America.'

These people are fighting for freedom and risking their lives in the process. They need our support.",2020-01-14 21:14:00
"This resolution puts the Democrats' agenda ahead of U.S. national security by undermining @realDonaldTrump's  Article II powers. 

This is another example of the political games Democrats continue to play, &amp; that's why Americans will continue to trust Trump with our military.",2020-01-09 23:15:10
"We all have a lot to be thankful for in this country, and today is about recognizing how important it is not to take that for granted. From my family to yours, God bless you and Happy Thanksgiving! https://t.co/tIZh11Gosk",2019-11-28 16:00:01
"Remember: it took less than 20 minutes into the Trump Presidency for Dems to decide @realDonaldTrump should be impeached.

3 years later, they're still at it - &amp; their quest to remove @POTUS from office at any cost won't stop. https://t.co/Ay7CthL3ct",2019-11-25 16:23:36
"It sure seems @SpeakerPelosi's ""path to yes"" on the #USMCA has been a long and winding one.

Enough stalling - it's time to hold a vote on the House floor so that we can ratify the #USMCAnow https://t.co/CUoQ43755N",2019-11-22 19:44:55
"It appears the bipartisan #USMCA is the latest victim of @SpeakerPelosi &amp; @RepAdamSchiff's impeachment obsession.

Not much productivity left for Congress in 2019 - only more theatrics &amp; hysteria from Dems. It's a shame. We should pass the #USMCAnow.

https://t.co/xrIQ3l29gs",2019-11-21 21:09:01
The Farm Workforce Modernization Act is a great example of members of Congress from both parties coming together to produce a piece of legislation that is greatly needed. I look forward to voting for it on the House floor soon. #FutureFarmWorkforce https://t.co/K7GQTGAyCp,2019-11-21 14:45:41
I'm happy to report that the House passed the Shark Fin Sales Elimination Act tonight! This bill will end the barbaric shark fin trade in the United States and I was glad to support it. #FinBanNow https://t.co/rZzeu1mG7a,2019-11-20 23:07:54
"Today, my colleagues &amp; I were happy to join with the Senate in passing the Hong Kong Human Rights &amp; Democracy Act to show that the U.S. unequivocally stands with our friends in #HongKong &amp; will hold Beijing accountable.

Next stop---&gt;@POTUS's desk. https://t.co/g1gYHl5ftK",2019-11-20 22:29:27
"No quid pro quo. No ""bribery."" Nothing.

The reaction of @RepAdamSchiff in this clip says it all - Democrats' entire fabricated #impeachment narrative is collapsing all around them. https://t.co/kUjBV3mlaJ",2019-11-20 21:01:45
"While the House focuses its undivided attention on #impeachment, I spoke on the House floor to highlight 1 very important item Congress could be working on instead: the #USMCA. This bipartisan trade deal would boost America's economy &amp; create jobs, &amp; we should pass the #USMCAnow. https://t.co/7WudrKpMTC",2019-11-20 17:07:03
"While this CR avoids a govt shutdown for a few weeks, Dems have merely punted from Thanksgiving to Christmas. We need a long-term solution that provides our nation with stability, namely for our military &amp; border security, &amp; this measure falls well short.

https://t.co/FD55mIdnBu https://t.co/3DojCLvD4N",2019-11-19 21:03:14
"So, let me get this straight. Democrats did some focus testing and decided that ""bribery"" was a better buzzword than ""quid pro quo,"" regardless of whether or not it actually applies (it doesn't). Now they're sticking with it because it better fits their narrative?

Got it. https://t.co/tm58I0bV4k",2019-11-19 19:39:50
"Meanwhile, outside of the beltway &amp; away from the #impeachment hysteria, Americans can see that our economy is doing quite well! 

Last month, unemployment in California reached a record low for October! 

Americans are getting back to work. https://t.co/MnGPWyG71F",2019-11-19 17:33:28
"There is seemingly no end to the dishonesty &amp; misdirection from @RepAdamSchiff. 

He continues to intentionally mislead the American people &amp; has completely failed to conduct a fair &amp; open process. 

Welcome to the world of Schiff's #ParodyImpeachment of @realDonaldTrump https://t.co/wVPYEU23SY",2019-11-19 16:57:12
"Following this week, there are only 2 remaining weeks Congress is scheduled to be in session this year.

While @SpeakerPelosi &amp; @RepAdamSchiff focus on their #ImpeachmentScam, we're unable to get anything real accomplished, like the bipartisan #USMCA. Americans deserve better.",2019-11-19 15:40:47
"Quid pro quo, extortion, bribery...while Dems are busy focus testing which buzzword makes their false accusations sound the best, Americans can see right through this political smear campaign on @realDonaldTrump.

But Dems never let the facts get in the way of a good narrative. https://t.co/KoFhfU2xy4",2019-11-19 15:20:49
"As I've said many times before - this bogus #Impeachment scam is all about politics and nothing else.

Democrats can't change the results of the last election, but that won't stop them from attempting to rig the next one. https://t.co/Ne62a61eZd",2019-11-18 15:33:49
"The 1st public #impeachment hearings took over the cable airwaves this week, &amp; I spoke on the House floor to offer my thoughts on this whole process. Nothing has changed - this is an ugly, partisan witch hunt against @POTUS that is dividing our country &amp; holding up real progress. https://t.co/jVys3pz0pu",2019-11-15 18:50:23
Just passing this along for some of my Democrat colleagues that seem a bit confused: https://t.co/6zDQb3yMKv,2019-11-15 16:59:49
