tweet,dates
"Happy Mother’s Day! Thank you to all the amazing, loving and selfless mothers in our world who have been so instrumental in raising up our communities. https://t.co/VM4GncSZtE",2020-05-10 14:09:31
"I'm thankful that @GOPLeader is focused on the growing threat from China. In addition to covering up the spread of #COVID19, they led a propaganda effort to blame the U.S. &amp; are quickly militarizing the South China Sea. The new China Task Force will hold the #CCP accountable.",2020-05-08 19:16:49
Glad to have joined @RepKenBuck in raising this critical issue. Stimulus checks should not go to illegal immigrants. https://t.co/5n3rwb7bQG,2020-05-08 18:09:21
"Today, I will be joining my fellow Americans in praying for the strength and health of our nation. I am honored to take part in this #NationalDayOfPrayer. 

Follow today's events at: https://t.co/CLJbY9uHWN https://t.co/UFLgCyfRF2",2020-05-07 14:29:53
"This is outrageous! Volunteers who have gone to NY to help fight the #COVID19 pandemic should not have to pay NY state taxes. @realDonaldTrump is correct, we should not bailout states that continue to have bloated, out of control budgets.

https://t.co/NAdIRw0ia0",2020-05-06 18:45:58
"Listen live to this important case:          
https://t.co/i925nogwiW https://t.co/lPz3MsoIsG",2020-05-06 14:29:32
"Once again, Taiwan and @iingwen are providing masks to Colorado. I am very thankful for our close friendship with Taiwan. https://t.co/TB3FIgl2R1",2020-05-05 21:15:29
"Schiff joins a growing number of Democrats and liberal media pundits on the #CCP bandwagon. 

He has moved from leading the Soviet-style shampeachment against @realDonaldTrump to protecting the Chinese coverup of #COVID19. https://t.co/zRa7AwAqIU",2020-05-05 18:44:44
"It comes as no surprise that Weibo (Chinese twitter), which is essentially state-run media, is critical of @realDonaldTrump.

Politico is the latest to spread propaganda and spout #CCP talking points. https://t.co/uXuJLcjbuI",2020-05-04 22:05:47
"Regardless of what Democrats and their media allies say, the second allocation of #PPP has processed 2.2 million loans with an average loan size of $79,000. This is another indicator that the program is assisting our struggling small businesses and not large corporations.",2020-05-04 19:22:17
"The #CCP blatantly misled the public in order to stockpile PPE and medical supplies. They are solely responsible for the spread of #COVID19 and must be held accountable. 

https://t.co/UeRvjBobf2",2020-05-04 15:33:37
"If Pelosi truly wanted bipartisan oversight of the #COVID__19 response, she would not have put Maxine Waters on the committee. Waters called for the impeachment of @POTUS just 2 weeks into his presidency. This is nothing but the next attempt to impeach @realDonaldTrump.",2020-04-30 18:40:47
It is now abundantly clear that @GenFlynn was setup by Comey and others who were out to get @realDonaldTrump. Flynn served this country admirably. We must hold Comey and the politically driven cronies at the FBI accountable.,2020-04-30 16:33:09
"I am thankful that @VP and @CDCgov now classify first responders for priority #COVID19 testing in response to a letter I sent to the @WhiteHouse taskforce. Our first responders are essential, and we must ensure they can continue their tireless work to keep our communities safe. https://t.co/ZPe4uqNarN",2020-04-29 19:02:53
"The #PPP is back online today, providing funds to save our small businesses and allow them to keep their workers on the payroll. 

Apply at: https://t.co/Oue2CPFvGk https://t.co/2CgqsjwNFx",2020-04-27 15:28:07
"I am thankful that @realDonaldTrump  quickly signed the Paycheck Protection Program and Medical Enhancement Act. This legislation provides much needed funds for small businesses, our hospitals, and testing. Together we will defeat this virus.",2020-04-24 17:18:16
"Today, I voted yes on the Paycheck Protection Program &amp; Health Care Enhancement Act. This bill replenishes funding for the #PPP, provides critical aid to our hospitals, and further expands testing.

I only wish Pelosi would have brought this bill to the floor sooner. https://t.co/T7mGdwnxDl",2020-04-23 21:15:50
"The select committee on the #COVID19 response is yet another political hitjob on @realDonaldTrump. This committee would be led by Rep. Clyburn, the savior of Biden's campaign &amp; the Rep who said the coronavirus is a perfect time to restructure things to fit their liberal agenda.",2020-04-23 19:27:13
It is PAST time that the House of Representatives passes this bill and replenishes funding for the #PaycheckProtectionProgram. https://t.co/fV7dyJEAyp,2020-04-23 15:38:21
"Instead of providing additional funds for the Paycheck Protection Program when @realDonaldTrump requested, Speaker Pelosi put politics over people and delayed the program an additional two weeks.  These #PelosiLayoffs could have been avoided. https://t.co/DIHr77T1Kh",2020-04-23 14:32:05
"Thank you for your outstanding leadership @realDonaldTrump. With unemployment numbers rising due to #COVID19, we must focus on putting Americans back to work. https://t.co/jO41pVxIYy",2020-04-21 20:11:15
"Watch as @VP Mike Pence delivers the @AF_Academy  Class of 2020 commencement speech and the @AFThunderbirds live, here:
https://t.co/3Luymivc2Y",2020-04-18 16:28:49
"Congratulations to the @AF_Academy's Class of 2020! We wish you the best! @SpaceForceDoD @usairforce 

https://t.co/BM6Y22WuqY",2020-04-18 13:47:53
"Glad to lead this effort for life. During this crisis, the last thing anyone should do is try and advance the left’s radical abortion agenda. I am thankful for @realDonaldTrump  leadership in this crucial time.

https://t.co/wfNrxokFHe",2020-04-17 20:38:52
I am thankful that @realDonaldTrump has taken a robust science-based approach to #COVID19 as well as the economic reopening of our country. The guidelines released by @POTUS will enable the country to remain safe while also allowing Americans to get back to work.,2020-04-17 15:46:12
"Last week, Speaker Pelosi stated that there was “no data” to prove small businesses need more funds from the #PaycheckProtectionProgram. Senate Dems then blocked additional funding, and today due to their negligence the program has run out of funds.",2020-04-16 19:22:52
Pelosi and Schumer have allowed the #PaycheckProtectionProgram to run out of money. I'm astounded that Democrats would play partisan games while everyday Americans are struggling. We must increase funding for the PPP immediately.,2020-04-16 16:15:54
"Despite the significant demand for this program, the #PaycheckProtectionProgram is scheduled to run out of money this week. Speaker Pelosi and Leader Schumer continue to block more funding for this program that is providing emergency relief to the American people.",2020-04-15 20:35:13
"In Colorado, over 28,000 loans have been approved totaling over $5.8 billion dollars from the #PaycheckProtectionProgram. Pelosi and Schumer must quit their partisan games and deliver more funds to help save our small businesses and their employees.",2020-04-15 17:25:22
"I am pleased to lead a letter with 130 colleagues, calling for a #COVID19 treatment that doesn't violate the conscience of millions of Americans. @realDonaldTrump has been one of the most pro-life presidents. During this crisis, we shouldn't advance a radical abortion agenda. https://t.co/IVBG9XiPe2",2020-04-14 17:37:24
"Democrats should be ashamed that they continue blocking additional job-saving funding. We must pass a clean bill allocating more funds to the #PaycheckProtectionProgram. Last week alone, more than $200 billion was processed to protect over 15 million small business jobs.",2020-04-13 18:28:32
"During these troubling times, I am very thankful to @iingwen and Taiwan for the 100,00 masks being sent to Colorado. Together, we can defeat #COVIDー19.",2020-04-10 19:11:04
"Have a blessed Good Friday.      “Surely He has borne our griefs and carried our sorrows... and by His stripes, we are healed."" https://t.co/forAFhT1eD",2020-04-10 14:47:17
"Once again Democrats prefer to play politics with the #COVIDー19 response. We have small businesses that are depending on loans from the #PaycheckProtectionProgram, and we must ensure that they have the resources they need. We cannot afford more delays from Schumer and Pelosi. https://t.co/Gofn49Mkbl",2020-04-09 15:59:51
Glad to join the fight with my colleague @RepBryanSteil to request full access for religious nonprofits for the #PaycheckProtectionProgram. https://t.co/VwAHevdY9K,2020-04-03 20:34:43
"The #PaycheckProtectionProgram is eligible for small businesses with less than 500 employees. The loans provide 8 weeks of assistance and can be used for payroll costs, interest on mortgages, rent, and utilities. 

Apply at https://t.co/Oue2CPFvGk https://t.co/XKq6f2NEt3",2020-04-03 19:07:48
"Starting today, small businesses can apply for the paycheck protection program from @SBAgov. This program provides assistance to small businesses, and the loans can be fully forgiven under most circumstances. #PaycheckProtectionProgram https://t.co/m5rz5mXr43",2020-04-03 15:26:48
A good graphic explaining the effects of social distancing. We will defeat this virus together. https://t.co/C23sPYzLF0,2020-04-02 22:21:03
Some best practices from the @WhiteHouse Coronavirus Task Force. If we all follow this advice we can beat this virus. #InItTogether https://t.co/mfmZp5ZN45,2020-04-02 21:29:30
"Due to China's lies and misinformation, #COVIDー19 was allowed to spread unchecked. This is why I have joined my colleague @RepJimBanks in a resolution that calls on the #CCP to announce that the virus originated in China, end detainment of the Uyghurs &amp; end forced labor.",2020-04-01 18:19:22
"What @WHO really meant when they named the virus COVID-19:

𝗖hina
𝗢riginated
𝗩irus
𝗜n
𝗗ecember
𝟭𝟵",2020-04-01 17:51:31
"Starting April 3, small businesses can apply for assistance from @SBAgov. Small businesses with less than 500 employees can apply, and the loans can be fully forgiven. https://t.co/hGW38jvqVR",2020-04-01 17:20:07
"The Chinese Communist Party is a totalitarian regime that has a history of deceit and oppression. It comes as no surprise that they have lied about the numbers of individuals affected by #COVIDー19. The #CCP and China must be held accountable.

https://t.co/Ch0QgyFv4L",2020-04-01 16:14:42
"The third #COVID19 spending bill should have given full tax deductibility for contributions made to nonprofits. Our nonprofits are struggling, but Speaker Pelosi once again managed to put her interests ahead of the American people.

https://t.co/saywiffFbw",2020-03-31 20:39:27
A #COVID19 relief bill should not contain funding for the Kennedy Center. This is one of the myriad elitist wish list proposals crammed into this bill. I have signed on to legislation from @RepBryanSteil that would revoke this ridiculous funding. #skipthepork,2020-03-31 19:05:54
"I joined my colleagues in calling on @SecAzar to provide immediate relief to rural hospitals. Rural hospitals are the backbone of our communities, and they are being severely impacted by the coronavirus. We must ensure they have the necessary resources to fight #COVID19 https://t.co/JSidAirqnI",2020-03-31 17:11:13
.@realDonaldTrump is correct. We cannot let the cure be worse than the problem itself. We cannot pass this debt on to our children. We cannot keep passing legislation containing liberal wish lists. We must cut the pork from future #COVID19 bills.,2020-03-30 21:00:46
"After supporting the first two #COVID19 bills, I could not support the third $2.2 trillion bill. Aid should be targeted &amp; only go to individuals who need it. It shouldn't go to gov bureaucrats who are still receiving their taxpayer-funded salaries and haven't lost their jobs.",2020-03-30 18:47:15
I want to thank our doctors and healthcare professionals on the front-lines facing the #Covid_19 pandemic. Their tireless work during these challenging times does not go unnoticed. I will continue to fight to ensure our medical personnel have access to PPE. #NationalDoctorsDay https://t.co/c963tIcwBo,2020-03-30 17:26:51
"Tune in to the @TRONSHOW this morning at 10:20. We will be talking about why I opposed the Democrats $2.2 trillion CARES Act- aka Nancy Pelosi’s “wish list.” During these difficult times- we should be fighting for people, not things. Listen here: https://t.co/bln6QFNuT1",2020-03-29 16:07:30
The #AEHF6 satellite is on track to launch very soon. This is a huge milestone for @SpaceForceDoD and a mission being conducted at @SchrieverAFB in Colorado Springs.,2020-03-26 19:00:07
"It seems like the Democrats see an opportunity in this crisis.
 
They are not here to help the American people, but to hold an emergency relief bill hostage until they get their radical wish list.

Unbelievable.",2020-03-23 21:18:34
"Pelosi's ""coronavirus"" bill:
-Bailout all current debt at USPS
-Same-day voter registration 
-Expands union collective bargaining
-Offsets airline emissions by 2025
-$15 min wage

While @senatemajldr is working on bipartisan solutions, Pelosi pushes her radical proposals.",2020-03-23 21:03:56
"#SenateDemocats are once again playing partisan games by blocking the #COVIDー19 supplemental bill. The lives and livelihood of Americans are at risk, but Democrats still refuse to act. The American people deserve better.",2020-03-23 18:22:24
"We must continue to engage in basic common-sense measures, and Americans at heightened risk must take additional precautions. Please continue to monitor the recommendations for individuals, families, and employers from @CDCgov.

https://t.co/8kIa0Rt4tf",2020-03-23 17:02:27
"While people are suffering, Democrats are delaying the process &amp; politicizing a bill that should be used to support small businesses, health care professionals &amp; Americans who are struggling. Pelosi and Schumer should not use a pandemic to force through their liberal wishlist.",2020-03-23 16:08:25
"If you are looking for a fun, family-friendly activity to do while still practicing social distancing, stop by our National parks. @NatlParkService's has suspended park entrance fees until further notice. https://t.co/eYj4tExZWy",2020-03-18 22:00:53
I joined my colleagues to call on @SBAgov to quickly approve Colorado's disaster loan and provide aide to businesses throughout the fifth congressional district. https://t.co/YPX4F4Qaok,2020-03-18 16:20:50
I signed a letter asking the @CDCgov to expedite grant requests for Colorado to combat #COVID19. I am thankful for their quick action and the initial $9.8 million they have sent to support the immediate needs of our state. https://t.co/wMbXem8SIl,2020-03-17 21:03:03
"The short answer is NO @realDonaldTrump did not dissolve the pandemic response office. We must fight back against Chinese disinformation and complicit left-wing media outlets who are attempting to politize a pandemic.

https://t.co/9fcUFJUgtr",2020-03-16 21:10:54
Together we can slow the spread of #COVID2019. We must follow these guidelines provided by @CDCgov and @realDonaldTrump and implement social distancing. https://t.co/pj2M7gs1Li,2020-03-16 20:24:13
"For anyone with loved ones overseas, I encourage registration with the @StateDept's Smart Traveler Enrollment Program. The STEP Program is a free service for citizens traveling &amp; living abroad to enroll their trip with the nearest U.S. Embassy.

https://t.co/qIEDe9nREI",2020-03-16 17:00:42
"On this national day of prayer declared by @realDonaldTrump, I encourage everyone to pray for the health and wellbeing of their fellow Americans and the country. Please join me in praying for those in Colorado and across the globe who are affected by #COVID19.",2020-03-15 22:12:52
Sen. Schumer is such a partisan hack. He and Speaker Pelosi are playing politics while @realDonaldTrump is trying to safeguard Americans. https://t.co/hyVeSZRwQ5,2020-03-13 20:22:34
".@realDonaldTrump thanks for your leadership. Declaring a state of emergency will increase funding &amp; unleash the full power of the federal gov. We can stop the spread of #Covid_19 &amp; combat this epidemic. While Pelosi plays partisan games, @POTUS is taking decisive action",2020-03-13 20:01:17
"The Chinese propaganda machine is at it again. Their campaign of disinformation is startling, and their communist government has covered up information and facts from the beginning of the outbreak. 

https://t.co/0QUIDXUv2h",2020-03-13 15:32:13
Use these practical and important tips from the @WhiteHouse Coronavirus Task Force to keep your home safe. https://t.co/8KMjHDfDJb,2020-03-12 17:55:54
🚨Breaking🚨 House Democrats just voted overwhelmingly against a GOP motion claiming that Soleimnani posed a deadly threat to Americans. I would like to remind my colleagues that this is the terrorist who has the blood of more than 600 fallen soldiers on his hands. Unbelievable!,2020-03-11 21:41:05
A couple of best practices from @CDCgov for the #COVID2019 response. We must do everything in our power to control the spread of the virus and stay healthy. https://t.co/iW0XQum3XX,2020-03-11 14:25:42
