tweet,dates
"Beef is flying off the shelves, while our cattle producers can barely make ends meet. Something doesn’t add up. I’m grateful after calls from Midwest members, @realDonaldTrump is ramping up the investigation for cattle country. COVID-19 has exposed the cracks in our supply chain.",2020-05-07 16:18:25
Join us now!☎️⬇️ https://t.co/6rWhUaahMU,2020-05-06 21:14:01
Tune in tomorrow ⬇️☎️⬇️☎️ https://t.co/AvdMjcna0A,2020-05-06 02:43:56
"Our biofuels industry is hurting &amp; a competitive grant for higher biofuel blends will drive additional consumer choices at the pump. Using more #biofuels strengthens rural America. The application opens on May 15 – contact @RD_SouthDakota for more info.
https://t.co/mfGA8Uqj9p",2020-05-05 22:02:47
"In the event of a #livestock dealer default, producers shouldn’t be forced to take a complete loss. I’m supporting the #SALEact because hardworking producers should be first in line to get paid for livestock sold in the event of a default. https://t.co/0AeTN4GIlw",2020-05-05 19:05:49
"When the time is right, @southdakota’s wide-open spaces will be ready for visitors. I’m looking forward to visiting the Black Hills with my family again. What are your favorite places to visit in South Dakota? #NationalTourismWeek #NTTW20 #HifromSD https://t.co/lLUFebzxYA",2020-05-05 16:33:15
"For years, our #Ag producers weren’t eligible for emergency disaster loans. Today, @SBAgov is accepting applications from producers for the first time. This is something I was proud to fight for. Applications are open as of today⬇️ https://t.co/JNba3LYh1f",2020-05-04 18:53:25
Tune in now to my live town hall with @dakotanews_now ➡️ https://t.co/HS9mMtCkWV,2020-05-01 22:41:55
Looking forward to celebrating Independence Day with @realDonaldTrump in our great state! https://t.co/jektGTBeQR,2020-05-01 19:41:25
"Join me tonight at 5:30pm CT/4:30pm MT on @dakotanews_now for a town hall. I'll be answering questions from folks across the state. If you have a question, please reply⬇️ https://t.co/pAlmVqwlYk",2020-05-01 18:36:18
"Sunday is World Press Freedom Day. Two years ago I wrote this column in the wake of the death of my friend Denise Ross. These sentiments still matter. 

https://t.co/oiJ7rBO4Xn",2020-05-01 16:48:30
I joined @BloombergTV &amp; @DavidWestin to discuss the Defense Production Act and the importance of the supply chain across the country. Food production is a national security issue and we need to get things back up and running both safely and swifty. https://t.co/nfomma6YsO,2020-04-29 20:54:40
"SOUTH DAKOTA SPOTLIGHT #6
It’s a brutal time for our pork producers. As Adam Krause says, though, “We are still going to work each and every day and doing the best we can for you guys.” https://t.co/yLIG5R2pgt",2020-04-28 23:31:38
Our producers and our supply chains are at a breaking point. I’m grateful @USDA and the administration recognize the pressure our farmers are facing and are working on immediate relief. (1/2) https://t.co/WGmwBk2xq8,2020-04-28 21:47:53
Apply today⬇️ #PPPLoan https://t.co/NL8uTRat4W,2020-04-27 17:21:14
"I didn’t shave this weekend.  I was feeling pretty good about it, until I asked the boys what they thought. https://t.co/p1ygXIjL9I",2020-04-26 21:55:31
"The #CARESact has done a lot of good, but it’s not perfect. I am fighting for improvements, and we expect to hear progress on a number of these areas over the next few days. Thanks @HSBCgop for taking my testimony yesterday. https://t.co/mLOdJLjWnM",2020-04-24 17:04:45
The Paycheck Protection Program has helped thousands of South Dakotans. The proof is in the pudding – millions of Americans have remained on payroll because of this program. I’m glad Congress got this done for our #small businesses. https://t.co/cJRZlUTIpY #SmallBizNeedsNow,2020-04-24 01:37:26
"I need your opinion.

I'm back in Washington, as tomorrow the House will vote on additional funding for the Paycheck Protection Program. Speaker Pelosi also has a plan to allow Congress to vote remotely.

I want to know your thoughts on her proposal, comment below. ⬇️ https://t.co/zeUn5790Vp",2020-04-22 19:22:18
"79% of eligible payroll in SD has been covered by Paycheck Protection Program... one of the highest rates in US. 

Congress needs to act NOW to invest additional $. There are impacted businesses with applications pending. We can’t leave them behind. 

https://t.co/7P5lhBfQxo",2020-04-17 22:47:36
"Today, @SenJohnThune and I led a coalition from the Midwest to urge @USDA  to take swift action to assist our #PORK producers in the midst of Smithfield closures. We have to maintain our food supply. Full letter ⬇️ https://t.co/i63RoEBItk",2020-04-16 20:45:11
"The @SBAgov recently released additional #PaycheckProtectionProgram guidance for independent contractors, sole proprietorships &amp; partnerships. With this guidance, lenders will be able to more confidently consider such businesses for PPP support. https://t.co/XWLHZCQucX",2020-04-15 19:31:03
"South Dakotans struggling economically because of COVID-19 have begun to receive their #stimulus checks. If you haven’t received yours, visit the https://t.co/AGJnyBKlhW website to check on the status: https://t.co/XEuLgmPWx4",2020-04-15 15:46:20
SOUTH DAKOTA SPOTLIGHT - Aberdeen is home to a #3M facility making thousands of masks for our health care systems. A big thank you to the employees at 3M working overtime to ensure our country has #PPE. https://t.co/GyeBtsuNc3,2020-04-14 22:17:46
"The #PaycheckProtectionProgram has been open just over a week. It's helped more than 1,000,000 small businesses access more than $240B in forgivable loans through 4,600 lenders. Congress needs to act swiftly to invest an additional $250B in this bipartisan &amp; effective program.",2020-04-14 15:39:44
Great work Emma! #SDstrong https://t.co/Ms5g9zkWzo,2020-04-14 00:14:50
"SOUTH DAKOTA SPOTLIGHT - Folks like Devin continue to get people across the country their medicine, home goods, &amp; food. Our postal workers are ensuring small businesses have the ability to utilize shipping options like never before. A big thank you to our mail carriers! https://t.co/uG7Ke3zAU1",2020-04-13 19:31:16
“He is not here; he has risen!” Luke 24:6-7 Happy Easter! https://t.co/LiUEX5PqbT,2020-04-12 17:12:52
"This isn’t the first-ever picture of Dusty and Jacquelyn, but it’s pretty old!

1999 USD Homecoming https://t.co/C4gAnU9l3Y",2020-04-10 22:37:55
I'm LIVE on Facebook now. Tune in ➡️https://t.co/5xFA6wy58O,2020-04-10 20:33:40
"Following last year’s #Holcomb fire, I called for an investigation into the cattle markets price disparities. Glad to see that investigation is being expanded by @USDA. We need to get to the bottom of this.  
 
https://t.co/FMM7TWIldj",2020-04-09 22:03:35
"Thank you to Dr Birx, Dr Fauci, Secretary Mnuchin, and Vice President Pence for their time this morning. Here are three of the takeaways from our call. 

Also, our telephone town hall this afternoon is at 3:30 CT, 2:30 MT. 

1-877-229-8493, passcode 118995. https://t.co/4u5oKeiGmT",2020-04-08 18:43:51
During today’s statewide #PrayforSD - please take a moment to think about our friends &amp; neighbors on the frontlines. Pray for the local businesses facing hard economic times &amp; for the individuals who've lost family. This is a tough battle but we'll get through this together.,2020-04-08 15:51:43
SOUTH DAKOTA SPOTLIGHT - Our first responders &amp; law enforcement are among those on the front lines of COVID-19. Thank you to the men &amp; women serving across our state to keep our citizens protected during uncertain times. https://t.co/ov2zaQ4aiF,2020-04-08 01:25:36
Questions on COVID-19 or the Paycheck Protection Program? Join me for another tele-town hall with South Dakota Economic Commissioner Steve Westra tomorrow at 3:30pm CT/2:30pm MT! Please share⬇️ https://t.co/MlgkNgFKEQ,2020-04-07 22:15:10
"Classroom visits look a bit different these days. If your class wants to do a virtual visit with me, contact my office! https://t.co/9euri0FkAJ https://t.co/uSztxOu4Ak",2020-04-07 14:49:10
"SOUTH DAKOTA SPOTLIGHT - Justin manages the #grocery store in Mitchell. Like grocers around the world, Justin &amp; his team don’t get to stay home. Thank you to all the front line workers making sure our families have food on the table! https://t.co/IcSk3TRYw5",2020-04-05 20:08:00
I’m live on @Facebook now! Tune in➡️ https://t.co/GQ5dFT9yCG,2020-04-03 20:06:52
SOUTH DAKOTA SPOTLIGHT - Leanne is one of dozens of school #lunch workers ensuring many of South Dakota's kids stay fed during school closures. Thank you to all the #teachers and school employees working for our kids! https://t.co/NePaLSgylb,2020-04-03 00:10:16
I’ve gotten a lot of questions about senior eligibility for COVID-19 assistance during my recent tele-town halls. This is good news for South Dakota’s seniors. Please share⬇️ https://t.co/pZbG29COwC,2020-04-02 16:32:45
"Get counted on #Censusday! It takes less than five minutes. #BeCounted
https://t.co/y5z0oh2pCr",2020-04-01 21:30:45
"Like most of America, our #cattle producers are being impacted by the effects of the coronavirus. I’m proud to lead efforts to ensure they have a seat at the table and see the relief they so much deserve after dealing with volatile markets. https://t.co/XQGr5i4lPF",2020-04-01 21:17:36
Dusty shares why it was important we secured relief for farm and ranch country in last week’s Coronavirus relief package. https://t.co/vKiLp4i9UC,2020-04-01 17:33:36
Don't miss my COVID-19 tele-town hall tonight with Steve Westra from the @SDGOED. Details below📞⬇️ https://t.co/LnNSxc13X0,2020-04-01 16:44:20
"Have a question about COVID-19 and don't know where to go for answers? I've created a helpful resource guide dedicated to answering your questions during this outbreak. ➡️
https://t.co/ChOJs5sfmD",2020-03-31 15:07:11
"Questions on the Phase 3 #COVID19 relief bill? I tried to answer a few! Read more⬇️ 
https://t.co/CqTCX9t5Jc",2020-03-27 23:36:51
🚨BREAKING🚨 The House just passed the #CARESact &amp; it's headed to @realDonaldTrump's desk. The #CARESact will allow small businesses to stay the course &amp; everyday Americans will see a boost in their bank accounts they otherwise wouldn’t see during COVID19. https://t.co/XMSQ2Nm7MQ,2020-03-27 18:29:13
A bipartisan (and socially distanced) flight to DC this morning to vote on Coronavirus economic relief. @RepPeteStauber @RepAngieCraig @BettyMcCollum04 https://t.co/8o48sSvYrW,2020-03-27 12:05:15
I sat down with @dakotanews_now to discuss the Phase III #COVID19 relief bill. Learn more about how this bill will provide relief to the American people⬇️ https://t.co/ybQAXEFomx,2020-03-27 01:05:53
"During COVID-19 our farmers &amp; ranchers are out in the fields making sure our people get fed. Producers deserved a seat at the table, &amp; that’s why our delegation successfully fought for emergency relief for farmers &amp; cattlemen facing unpredictable markets.  https://t.co/fGpEu0xQd6",2020-03-26 15:55:53
🚨Join me for another COVID-19 Telephone Town Hall tonight with State Health leaders🚨 https://t.co/34TE9slrG5,2020-03-24 21:17:19
"Be sure to thank a farmer &amp; rancher on #NationalAgDay. While many of us are practicing social distancing, they’re up bright &amp; early ensuring Americans have food on the table. Thank you South Dakota farmers! https://t.co/xYJC2yeHul",2020-03-24 17:47:30
"As we debate this relief package, we cannot forget rural America or our #Ag producers. The bill proposed by the Speaker doesn’t include support for farmers &amp; ranchers. We will be fighting for including CCC funding in the final package, which Congress should pass expeditiously. https://t.co/GKPQDR6FbP",2020-03-23 20:57:29
There are a lot of questions about the Senate COVID-19 relief bill and how it will help South Dakota...Here's a breakdown ⬇️ https://t.co/JruFQ7QLmW,2020-03-23 15:24:54
"During America’s time of crisis, South Dakotans are stepping up. #SDstrong 
“More than 500,000 respirators are on the way from our South Dakota plant to two of the more critically impacted areas New York &amp; Seattle with arrivals expected starting tomorrow.” https://t.co/HpFEBdfiF8",2020-03-23 02:43:02
South Dakota was just deemed eligible for small business disaster loan assistance. Much needed news for any businesses struggling during the #COVIDー19 outbreak. @govkristinoem @SenJohnThune @SenatorRounds  https://t.co/gXNNKu8PVy,2020-03-20 21:04:04
Glad to see the Trump administration deem agriculture as a critical industry during the COVID-19 outbreak. America needs our farmers. https://t.co/l2eL3yUC81,2020-03-20 15:09:24
"We can’t leave our cattle producers and farmers behind in these COVID-19 negotiations. Today, I urged Speaker Pelosi to ensure relief for rural America in the Phase III COVID-19 stimulus. 
https://t.co/hhl1ajcP16",2020-03-19 21:08:27
South Dakota is united on all fronts. Today the delegation urged the @SBAgov to approve @govkristinoem's disaster loan request for small businesses during #COVIDー19. Small businesses are the backbone of South Dakota and we will continue to support them. https://t.co/zJHNDrVdH6,2020-03-19 15:00:36
