tweet,dates
"Every May, we recognize our incredible mothers. We are indebted to their sacrifice, inspired by their wisdom and emboldened by their love.
 
This #MothersDay, let us remember to hold our loved ones extra close during this difficult time. https://t.co/aNfyOI7IAV",2020-05-10 12:26:19
"Children in #Philly can visit any City Health Center to receive immunizations, even without an appointment: https://t.co/PuPQnon4Uk 

Here’s information on why keeping kids’ vaccines up to date is important:
https://t.co/whoXgTJXkc",2020-05-09 00:37:52
"#Philly, there is a new Coronavirus testing site at 5800 Walnut St.
 
Click here for more testing locations and hours: https://t.co/qGE85Fa5jJ
 
City-wide list: https://t.co/wqrgkltFaN",2020-05-09 00:16:28
"The virus doesn’t care how anyone FEELS.
AMERICA.
NEEDS.
TESTING! https://t.co/BJtbm5mzOK",2020-05-08 23:04:49
"As we honor those who sacrificed to win World War II and defeat fascism, let us recommit ourselves to institutions such as NATO that have prevented another world war.
#VEDay https://t.co/s1uIeXeePV",2020-05-08 22:39:02
"It’s #TeacherAppreciationWeek!
 
Make sure you #ThankATeacher today and every day.
 
Schools may be closed, but teachers are working as hard as ever. Please let them know how much you appreciate their efforts. #SendTeachersLove https://t.co/JgWiXGNvjI",2020-05-08 22:06:38
"Icymi – in all, #Philly higher-ed institutions will provide at least $41 million in emergency grants to students, funded by the CARES Act I voted for:
https://t.co/r9v8Gv4uuv https://t.co/pkhVVsjmjY",2020-05-08 21:51:57
"1/ This is tragic - Mrs. DiRusso should not have gone through this.
 
More federal, state and local funding is needed to repair schools in #Philly and across the nation to fix hazardous conditions. #PHLed
https://t.co/f77oJmJLbA",2020-05-08 21:36:22
The deal with PA's 'infection-protection' kits and how to vote safely https://t.co/tnLETGtPh1 via @billy_penn,2020-05-08 16:48:54
I was proud to co-sign this request – child care is vital in #Philly! https://t.co/6CtXPxRA2P,2020-05-08 14:19:16
Testing testing tracing tracing and treatment and treatment👍🏽 https://t.co/n28b8RN4Nr,2020-05-08 12:55:06
"The #Philly school district will be offering a COVID-19 Grief Hotline: 1-833-PHL-HOPE
 
Hours of operation: Monday through Friday, 12pm-9pm &amp; Saturday and Sunday, 12pm-4pm
https://t.co/Oohlmd4GcW",2020-05-08 00:54:34
"In #Philly, Coronavirus testing is now open to ALL AGES!
 
Check the map below to find a test center near you:
https://t.co/3kUSNmTKql",2020-05-08 00:12:31
"As vice chair of the House Small Business Committee, I was proud to sign on to this request! https://t.co/lqgCbGlwPC",2020-05-07 22:06:42
"I was proud to lead this bipartisan request with PA colleagues for $100 million for school-based health centers, which would help them provide physical &amp; mental health services to young people even while schools remain closed. https://t.co/wNeylumT0j",2020-05-07 21:20:01
"How to make a homemade face mask – and info on no-sew options like a scarf or bandanna:
https://t.co/3snud0wal5",2020-05-07 20:49:03
1/💲 in the pockets of vulnerable families can mean the difference between surviving this crisis and not. We must #FundFamilies! https://t.co/N6mOtux9dO,2020-05-07 17:15:30
"Good news for parents of kids who qualify for free or reduced-price school meals!

This is a smart use of federal funding by @PAHumanServices &amp; @GovernorTomWolf:

https://t.co/nnYuIykU2X",2020-05-07 16:30:14
"As vice chair of @HouseSmallBiz, I’ll be participating in the committee’s virtual forum today at 2 PM on @SBAgov’s implementation of the CARES Act.
 
More info &amp; link to 2 PM livestream: https://t.co/g8j3WYIWFk",2020-05-07 14:29:57
Supreme Court declines to lift Pennsylvania COVID-19 health order https://t.co/pDzjdSG2qe,2020-05-07 13:54:42
"#Philly will receive a $300,000 award from the @EPA!
 
The grant will focus on revitalizing the Lower Schuylkill district in south and southwest Philly – which comprises 68% of the city’s vacant and underutilized industrial land.
https://t.co/3pnkWvAVQ2",2020-05-07 01:17:21
"Big congrats to @azavea - a business in my district which has been selected for the NASA 2019 Small Business Innovation Research Program!
 
This #Philly small business has also been awarded a 24-month contract with a maximum funding of $750,000.",2020-05-07 00:50:59
"Last month, I voted for the CARES Act, which directed $30 billion to health care providers. 
 
Of that funding, #PA-03 was awarded $71,445,477 for 567 providers.",2020-05-07 00:21:47
