tweet,dates
"Blumenauer, Kinzinger Hail Passage of passage of the Emergency Afghan Allies Extension Act http://t.co/RCyIGH7kpF",2014-07-30 20:27:37
"Blumenauer: Short-Term Transportation Plan Puts US ""Deeper in the Hole with a Steeper Climb Out"" http://t.co/IjISJ3dvdb",2014-07-15 20:42:28
"Blumenauer Introduces Amendment to End Unfair, Free Ride for Oil Companies on Drilling Leases http://t.co/oKwWcWB6ZK",2014-06-26 16:39:45
"Blumenauer addresses the importance of pollinators, ""One small part of the bigger picture."" https://t.co/cOXFOvGzAH #PollinatorWeek",2014-06-19 21:00:10
"Photos from Wednesday's Forum: ""The Cost and Threat of Nuclear Weapons"" https://t.co/zBc3qJqEXI http://t.co/gOlJGJQHgg",2014-06-06 16:17:08
"Blumenauer: New EPA Regulations ""Bold First Step"" to Combating Climate Change http://t.co/HUH30uI2RB",2014-06-02 15:32:11
"Bipartisan Coalition Introduces Bill to Extend, Reform Special Immigrant Visa Program http://t.co/2xXqyyGSaF http://t.co/L41Bep6asv",2014-05-08 16:34:15
"Blumenauer, Smith Introduce PACE bill to Improve Healthcare http://t.co/skkRhD4kFn",2014-05-02 16:38:52
"House GOP Budget ""Pointless and Doomed-to-Fail"" http://t.co/cn09xHPKw1",2014-04-02 22:47:34
Blumenauer congratulates students of Beverly Cleary Middle School on their C-SPAN Student Cam projects [VIDEO] https://t.co/yYrnhdNA4G,2014-04-01 19:00:35
Blumenauer Introduces Bill to Reduce Nuclear Arsenal Spending http://t.co/0cFDs3ufnJ,2014-02-28 19:15:41
"Blumenauer, DeFazio, 120 Members of the House Urge USTR to Retain Strong Environmental Protections in TPP http://t.co/tRGajfBPZB",2014-02-20 19:57:10
"Blumenauer, 17 Members of Congress send letter asking Obama to Reschedule Marijuana http://t.co/Y7zlPKhAwA",2014-02-12 17:41:01
New Oregon County-By-County Breakdown Shows the Harm of Not Extending Unemployment Insurance http://t.co/emk7XZ21ee,2013-12-19 21:27:48
"Blumenauer: Budget Compromise a D+, Congress Must Face Realities http://t.co/Q6EkibArUf",2013-12-13 00:06:03
Blumenauer: Give Diplomacy with Iran a Chance [VIDEO] http://t.co/dhcGKpTNxG,2013-12-11 23:19:49
Keep Farm Bill Loopholes Closed! http://t.co/FHXHHXWfmV,2013-12-10 21:09:59
"Blumenauer Urges Diplomacy with Iran, Not More Sanctions http://t.co/LxgS7Wvup1",2013-11-19 18:40:00
Blumenauer to host International Water and Sanitation Forum next Tuesday (11/5). More info and RSVP here! http://t.co/25pi9hpwLt,2013-11-01 16:13:08
"IRS warns of pervasive telephone scam, more info here: http://t.co/KlTxB4FDFP",2013-10-31 17:27:03
Blumenauer Welcomes Special Immigrant Visa Hero to the US http://t.co/qlTjXf3kXI,2013-10-30 15:40:42
Blumenauer: Shutdown the Members-Only Gym! [VIDEO] http://t.co/siUxWiF3MP,2013-10-09 18:16:04
House Passes Blumenauer Bill to Preserve Special Immigrant Visa Program http://t.co/gnNSskxfWl,2013-10-02 23:19:26
