tweet,dates
"Coauthored this op-ed in @thehill, covering Congress, with my @HouseBlueDogs colleagues @repjimcooper &amp; @RepStephMurphy on our Inspectors General Independence Act to ensure our gvmnt watchdogs can do their jobs to protect taxpayer dollars esp w/massive COVID-19 emergency funding https://t.co/JjUol6MI4f",2020-05-09 20:57:33
"Proud to introduce in the US House today the Coral Reef Conservation Reauthorization Act with my colleagues @RepSablan, @RepAmata, @RepTedYoho, @RedCastor, @RepBillPosey, @RepHastings, @RepGabbard, @RepHuffman and @RepCrist. https://t.co/88hCCCYNZG",2020-05-08 21:30:27
"$4.3M in critical CARES Act funding for Hawaii’s fishing and aquaculture industries now available; applications through @dlnr. Next up: pursuing a fair share for Hawaii’s economy of $1.5B in national grants thru the US Department of Commerce’s @US_EDA .
https://t.co/UOEzIDdnfm",2020-05-08 20:11:24
"Here’s my discussion with Catherine Cruz on Hawai’i Public Radio yesterday on COVID-19 emergency funding to Hawai’i, reopening including air travel testing , RIMPAC and more.

https://t.co/eNLmrv6OdT",2020-05-07 18:09:39
Great news for our Hawaii’s law enforcement frontlines: Hawai‘i will be receiving over $3.6 million from the US Department of Justice in CARES Act emergency assistance.Our Attorney General will work with local law enforcement to best apply these funds to support public...,2020-05-07 03:06:18
"Have always really enjoyed joining our Rotary Club meetings across the state to compare notes, and COVID-19 justly means doing so a little different for now; here Zooming with Waikiki Rotary’s weekly lunch meeting today on Congress’ actions and local concern. https://t.co/MNtocugefG",2020-05-06 23:04:17
"This Asian Pacific American Heritage Month reminds me all over again of the responsibility I carry representing the single congressional district out of 440 across our country with the highest percentage of Asian Americans, Native Hawaiians and Pacific Islanders. So many... https://t.co/FhsQMVOlhE",2020-05-06 18:29:25
"Excellent that two of our best community organizations, @kupuhawaii and @legalaidhawaii have been awarded over $4 million in AmeriCorps funding from the Corporation for National and Community Service (CNCS). Kupu and AmeriCorps members will work to remove invasive species,...",2020-05-05 22:57:56
Happy Kodomo No Hi (Children's Day)! https://t.co/3xHzZRLGcj,2020-05-05 20:46:07
For Hawai’i agriculture: the Small Business Administration's (SBA) Economic Injury Disaster Loan (EIDL) program is now accepting applications from agricultural businesses. Here’s the EIDL application on the SBA website: https://t.co/pil3CdRA18 https://t.co/5s6siZ7kmj,2020-05-05 01:25:02
"For veterans or Supplemental Security Income recipients eligible for the federal CARES economic impact (direct) payment and with dependent children under age 17: If you do not normally file a tax return, please use the Non-Filer tool on https://t.co/QUmXmZlH32 by May 5th to...",2020-05-04 03:16:02
