tweet,dates
I wrote @USPS Tuesday after learning that the decal on the door of the Dorothy Height Post Office in DC misspelled this civil rights icon’s name. They informed me today that the decal is being replaced. I’m thankful for their quick response.,2020-05-08 21:31:20
"With the charges dropped against Michael Flynn yesterday, we again see President Trump bending the rules for his friends. Shameless.",2020-05-08 20:38:54
"I support the Iran War Powers Resolution the Senate voted on today, but DC residents had no vote on this matter of war and peace, even though our residents have always funded and fought in our nation’s wars. #DCStatehood",2020-05-07 23:14:27
"National Nurses Week, honoring these #FrontLineHeroes, is right on time this year. 

Nurses save others by risking their own lives every day, but that takes on a new meaning right now. Thank you for sacrificing so much for the rest of us.

#NationalNursesWeek",2020-05-07 12:48:01
"This week, Public Service Recognition Week, is perfectly timed for the unprecedented pandemic.

If you’re a police officer, sanitation worker, postal worker or one of the many unnamed workers who continue at risk to provide public service: Thank you for doing more than your part.",2020-05-06 20:22:56
"After learning of a misspelling on the door of the Dorothy Height Post Office, I wrote the Postmaster General requesting an immediate correction.

As Godmother of the Civil Rights Movement, we need to – at minimum – give Ms. Height the respect of spelling her name correctly.",2020-05-05 23:40:35
"Without more emergency relief, 100,000s+ of teachers and staff will be laid off in the months ahead to the detriment of children. 
 
This year we honor #TeacherAppreciationWeek by giving states &amp; local governments resources they need to avert devastating cuts to public education. https://t.co/bmN8P0SNuo",2020-05-05 23:19:18
"Fifty-nine years ago today, 13 #FreedomRiders boarded public buses to protest segregation. 
 
As a veteran of the sit-in movement continuing the fight for racial equality, I salute our Student Nonviolent Coordinating Committee (SNCC) leader, my colleague @RepJohnLewis. https://t.co/x1z0yn00ao",2020-05-04 21:38:06
"District residents rely on consistent mail and package delivery now more than ever. 
 
I deeply appreciate today’s hardship on USPS workers. I wrote the Postmaster General requesting her attention to delivery issues in Ward 8. https://t.co/DAyMWzKBZa",2020-05-04 20:13:36
"President Trump’s event planned for the Lincoln Memorial Sunday, even though the Mall is closed through May 15th, ignores the advice of his own experts and will risk lives. 

It’s as foolish as his suggestion to ingest disinfectant to combat #coronavirus. https://t.co/nfzP0m693o",2020-04-30 23:17:19
"I wrote AG Barr protesting his callous treatment of immigration employees by not allowing them to #telework like most federal employees. 

Partial closure of office 4 times in 2 weeks for #COVID19 and many violations of CDC guidelines demand telework for employee safety.",2020-04-30 12:36:43
#DC received only $495 million under the #Coronavirus Relief Fund in the CARES Act because it was treated as a territory.  DC would have received $1.25 billion had it been treated as a state.,2020-04-28 22:05:19
"After learning that BOP was sending 30-40 Hope Village residents to a halfway house in Baltimore, I sent a letter to Bureau of Prisons proposing several ways they could keep these men in DC, close to their families and communities.",2020-04-28 12:57:20
"Tune in to @NBCWashington channel 4 now at 5:00 and again at 6:00. 

I’ll be discussing where Hope Village residents should go when it closes at the end of this month.",2020-04-27 21:01:40
"Even during these uncertain times, elections in #DC are going ahead as planned on June 2. 

Request a mail-in ballot online or download the #Vote4DC app. 

Do your part for democracy while staying safe. #VoteSafeDC https://t.co/d7QEgbxoqv",2020-04-27 13:12:39
"I supported yesterday's COVID-19 relief bill because it supports the small business tourism and hospitality industry, DC's second highest revenue sources, and our hospitals.",2020-04-24 17:29:53
"Today at 2 pm the IRS is having an Economic Impact Payment discussion online to answer questions about payments to or from the IRS during this time of uncertainty. 

The IRS may owe you money. Get answers to your questions. https://t.co/RvmGae3IF2",2020-04-23 15:06:34
"Thank you Speaker Pelosi for speaking out extensively yesterday on the Democratic Caucus call about retrieving the $750 million #DC lost in the third #COVID19 recovery bill. 

Your continued support has been unceasing and is appreciated.",2020-04-23 15:04:55
"#UnionStation plays a vital role in getting essential workers to jobs, but #coronavirus closures severely cut its revenue.

I have requested $26 million in the next coronavirus response bill to sustain the station for the next 6 months.  See my letter: https://t.co/5TPZbocSyv https://t.co/J9B7ROC0p2",2020-04-22 17:12:46
I appreciate that @USFederalPrison has agreed to my request to send as many Hope Village residents to home confinement as possible.,2020-04-22 00:08:17
"We must release as many individuals from custody as possible and appropriate to protect them from #coronavirus. 
 
See my letter urging the US Parole Commission to release individuals incarcerated for technical supervision violations.
 
https://t.co/1ec8j8bBrR https://t.co/MSyBTxcKd1",2020-04-21 23:51:28
"From transit workers to paramedics and more, the @TransportDems thank you for your work as our nation battles #COVID19. 

The essential job you do keeps our country moving and brings us one step closer to overcoming this global pandemic. 

#ToThoseWhoKeepUsMoving https://t.co/A0ujFXpmwi",2020-04-21 17:27:37
"Sadly, last week we said goodbye to acclaimed DC reporter Mike Buchanan. His reporting was legendary, especially on issues like crime in our city. 

Mike Buchanan was at the center of breaking news for 30 years. 

He will be missed. https://t.co/DG652y8e74 https://t.co/BJQAksrstp",2020-04-20 19:04:46
"Thanks for sharing how you stay active, like my daily 30-min walk. What are you doing to stay healthy during #coronavirus social distancing? 
 
Keep sharing how you exercise and safely connect with others and I’ll keep featuring more of your suggestions here. #DCSocialDistancing https://t.co/fbLu42ZzYs",2020-04-20 17:51:17
"DHS agencies in expensive leased spaces in region are being moved to St. Elizabeths in Ward 8.

Next COVID-19 bill should fund consolidation at St. Elizabeths to improve national security, save taxpayer money, and reduce the federal government's footprint. https://t.co/kjVRtzNZgh",2020-04-20 16:19:23
"I negotiated with the Army, @USACEHQ, to continue to allow boaters, riverfront businesses, and residents to have full access to the Washington Channel except during high security events. 

Wait to go boating until this pandemic is over.

https://t.co/fxu4Cmuhiy https://t.co/0BIQBQhVsl",2020-04-17 17:41:15
"Today, I wrote to @OfficialFBOP indicating its only real option is to release Hope Village residents and inmates soon to be  eligible for halfway house placement to home confinement or DC hotels, considering COVID-19.  

See my letter: https://t.co/4tVyCpJ2NR",2020-04-16 22:58:51
"DC’s many small businesses are struggling due to the #coronavirus shutdown. 

Navigating relief programs can be difficult, but here are some resources @NydiaVelazquez put together to help small businesses during this critical time.

https://t.co/Oxnw7AI6et https://t.co/3VDDtFsO5R",2020-04-16 18:59:40
"At noon today, churches and DC residents will ring their bells in celebration of #EmancipationDay.",2020-04-16 15:58:39
"Thanks to all who called into my telephone town hall last night, and to the experts who lent their knowledge to our community: 

Dr. Jon Andrus, MD; Antonio Doss of @SBA_DCMetro; Monnikka Madison of @DOES_DC; LaVita Gardner of @USCensusBureau; and Paul Axelson, IRS. https://t.co/TGlwry1iBz",2020-04-15 17:07:34
"The federal tax filing deadline was moved from today to July, but that doesn’t stop taxation without representation. DC residents rank #1 in per capita federal taxes paid and have all the obligations of citizenship but are denied congressional voting rights. #DCstatehood (1/4)",2020-04-15 16:19:37
"Thank you @DC_Vote and 101 groups for calling on Congress to retroactively fix the treatment of DC as a territory rather than a state in the 3rd COVID-19 bill, depriving #DC of $750 million.
 
Momentum for the fix is building inside and outside of Congress. https://t.co/eyhJaCrFmf",2020-04-14 20:09:57
"Call into my telephone town hall tonight at 6:00 to get answers to your questions about #coronavirus and how we’re all affected by it during this uncertain time. 

Register here: https://t.co/hvrOENszF3 

Dial in here: 855-962-1514",2020-04-14 19:32:20
"Have you registered for my telephone town hall yet? It’s tonight at 6:00. 

I’ll be answering questions about #coronavirus and how it affects you.

Register here: https://t.co/hvrOENszF3 https://t.co/r1IVNA8ifp",2020-04-14 15:24:38
"Thank you for sharing your social distancing activities as we try to keep safe while engaging in actions to keep healthy, like my daily 30-minute walk. 

Watch for some examples from residents on #DCSocialDistancing.",2020-04-13 19:31:07
"In these uncertain times, we all have questions on the coronavirus health and economic crisis. Get answers from experts at my telephone town hall tomorrow, Tuesday April 14, at 6:00 pm. 

Register here: https://t.co/hvrOENszF3 https://t.co/0vgaKlsB6K",2020-04-13 16:43:55
"Join me and representatives from federal and local DC agencies on Tuesday, April 14th at 6:00 pm for my telephone town hall during the COVID–19 pandemic. Please RSVP using this link (https://t.co/hvrOENszF3) or dial 855-962-1514 at 6:00 pm. https://t.co/MidlkBcbo5",2020-04-11 00:37:23
"I’ve been informed that Hope Village, the men’s halfway house in DC, will not be housing individuals returning from @USFederalPrison after April 30. See the letter below I sent to @USFederalPrison noting the urgency of having a halfway house in DC. https://t.co/oPBLnCzrAn",2020-04-10 20:12:24
"At my request, @USFederalPrison conducted an unannounced site visit to Hope Village, the men’s halfway house in D.C., following two deaths there last week.  They found residents with adequate supplies and no COVID-19 cases. https://t.co/6824z4CYMc",2020-04-10 19:29:53
"Relieved @USFederalPrison agreed to my request to transfer all eligible and appropriate D.C. halfway house residents to home confinement.  On their way home anyway, why keep them in close quarters in a halfway house during the coronavirus?",2020-04-10 16:51:56
"Thank you, @RepRaskin, for your letter with 97 other members calling for correcting the treatment of DC for coronavirus funding. Your leadership will help us get the $750 million Republicans took from DC by breaking precedent and treating DC as a territory for funding.",2020-04-10 00:31:03
"I take a 30-minute walk around my neighborhood every evening, in wide-open uncrowded spaces, to get exercise.

How are you keeping your minds and bodies healthy right now? 

Reply with #DCSocialDistancing. https://t.co/obYjmVX99u",2020-04-08 22:33:04
"While offering #thanks and applause, don't forget workers rarely seen but always there for us: The people who clean hospitals, sanitation workers, postal service #workers, and many others. Thank you for your service.

Think of others who deserve our thanks. https://t.co/Z18MsjYsRe",2020-04-08 13:52:53
"I’ve received reports the #Jefferson and #Lincoln memorials have been crowded, so I wrote the National Park Service asking them to close the chambers to protect NPS employees and the public.

We need to lead by example and do all we can to #flattenthecurve. https://t.co/dWVUOIKWxH",2020-04-07 13:26:11
"If you have a fever, cough or shortness of breath, you may qualify for GW's drive-through coronavirus testing.

By appointment only. For more information, call 202-741-2765 or go to https://t.co/FWpRMIXn7V https://t.co/eDe2CwhFzu",2020-04-06 17:00:36
"Troubled by the two deaths at Hope Village in 3 days.

I have asked @USFederalPrison to release as many inmates as possible and appropriate and to conduct a site visit at Hope Village. 

See my letter below: https://t.co/0POoFvugl3",2020-04-06 00:22:16
I will continue to monitor and work with @USMarshalsHQ to ensure they have what is necessary to protect all involved in the D.C. justice system. (2/2),2020-04-05 23:46:51
Appreciate @USMarshalsHQ’s prompt response to my letter to reassure me that inmates are being protected against #coronavirus while making appearances at @DC_Courts. (1/2),2020-04-05 23:45:56
"The Kennedy Center got the money but not the message: Pay people – musicians and staff. 
 
Not your call to pick priorities over people. 
 
https://t.co/IvSz92vNab",2020-04-05 22:42:49
"DC small businesses can now apply to @SBAgov-approved lenders for Paycheck Protection Program loans for payroll, rent, mortgage, and utilities. 

Loans forgivable if payroll and wages maintained. 

Learn more here: https://t.co/CgOLkfMRUa https://t.co/KTSKo43c0R",2020-04-03 20:53:15
"The next #coronavirus bill is the time for Congress to finally permit DC to commercialize recreational marijuana. It is legal to possess two ounces but #DC can’t tax it. 

Commercialization would help DC in this moment of great need for revenue. https://t.co/xhEOyY1mbS https://t.co/3haXv1L8Wf",2020-04-03 18:17:43
"At her press conference today, @SpeakerPelosi said #DC was “cruelly discriminated against” when the 3rd Republican-initiated #COVIDー19 bill deliberately shorted DC by $750 million.

Her continuing, spontaneous outspoken support will help me retrieve our funds.",2020-04-02 21:46:41
"Stop, Look, Listen: 81 years ago today, #MarvinGaye was born at Howard University Hospital. The wisdom in his love songs spans generations.

Mercy mercy me, I heard it through the grapevine that distant lovers are the best kind right now. #socialdistancing https://t.co/bkaktrGlty",2020-04-02 18:31:01
"In her press conference call yesterday, @SpeakerPelosi said ""We need to do more... for the District of Columbia, which was *cruelly* treated in this past bill.""

We are at work with House and Senate leaders to make sure the next #coronavirus bill fully funds #DC. https://t.co/itKcZUNTsN",2020-04-02 14:47:24
"Thank you @ChrisVanHollen, @SenatorCarper + 23 others who wrote to Sen. leadership asking for full DC #coronavirus relief funding.

I'm working to retroactively fund DC in the next coronavirus bill. My constituents and I greatly appreciate the support from so many Senate allies.",2020-04-01 21:43:18
"BOP also granted my request to waive the 25% subsistence fee charged to halfway house residents during this crisis. We’re all in this together, wherever we happen to be.",2020-04-01 19:05:07
"To protect DC residents in custody , I asked @USFederalPrison to go to Hope Village, a halfway house, to ensure residents there are safe from the #coronavirus.  BOP reports no COVID-19 cases at Hope Village.",2020-04-01 19:04:26
"Today is #CensusDay.

Go to https://t.co/gRvWTZvSHt, spend ten minutes and fill out the form today. 

#BeCounted and ensure D.C. gets the funds we're due.",2020-04-01 13:27:30
"Today, #EqualPayDay, we remember the House passed my Pay Equity for All Act, barring employers from asking applicants their salary history, to avoid building in widespread intentional or even unintentional race and sex discrimination. (1/2)",2020-03-31 23:44:18
"In recognition of #TransVisibilityDay, we are thinking about our transgender residents. During #coronavirus, it is particularly important that transgender individuals are able to receive equal access to healthcare. https://t.co/J0S9anHx9j",2020-03-31 22:59:21
"Thank you @speakerpelosi for reiterating this week that retroactively fixing the outrageous treatment of DC as a territory in the 3rd coronavirus response bill is a top House priority for the 4th bill.  This unprecedented treatment cost DC $750 million. 
https://t.co/VLIieFVSol",2020-03-31 22:35:25
"Physically distant yet socially connected, we shall overcome.  New stay-at-home order issued by @MayorBowser yesterday—stay inside unless it is essential to go out.  We must do more to flatten the curve. See here for limited exceptions: https://t.co/JP4QoKTkFS https://t.co/Azo97b1kGB",2020-03-31 22:23:00
"While hospital infrastructure throughout the U.S. struggles to meet the surging demand from coronavirus patients, Trump is busy building his wall. Where are his priorities?
https://t.co/Ng4V3yYMEh",2020-03-31 16:49:55
"This is why we must always put workers first -- Senate and House Democrats have expanded unemployment benefits and direct cash assistance for Americans. 

Now, I am fighting to ensure D.C. is NOT left out of full funding in the next package.

#FundDCtoFight coronavirus. https://t.co/IwnmvVKlce",2020-03-30 19:55:24
