tweet,dates
Wishing mothers and grandmothers across #NY21 a very Happy Mother's Day! https://t.co/K3UpoB4If6,2020-05-10 15:06:09
"Today is #MilitarySpouseAppreciationDay. Our district is home to many military spouses who support our troops during mission, deployment, and upon their return home. Thank you to all of our #NY21 military families for the sacrifices they make for our country!",2020-05-08 21:04:05
"Today, I joined @POTUS at the White House for a roundtable focused on reopening our economy. The President understands it is important for rural districts like #NY21 to have a seat at the table when discussing ideas and policies to restart our economy. https://t.co/rm0PpqxNih",2020-05-08 20:29:29
"Today marks the 75th Anniversary of #VEDay, the day of Allied victory in Europe in the Second World War. The world still celebrates this day of victory of freedom over tyranny and oppression.",2020-05-08 13:13:36
Just announced: over $63 million in funding for #NY21 rural hospitals from the CARES Act due to #COVID19. I will continue to work to ensure each North Country hospital is provided with adequate funding to make up for the loss of revenues. ⬇️ https://t.co/t1j6hhFH1r,2020-05-07 22:53:54
"SMALL BUSINESS OWNERS: With over $100 billion in PPP funds still available from Round 2, the @SBAgov is encouraging upstate New York small businesses and nonprofits to apply for PPP loans. Apply HERE: https://t.co/Npxv91kAqh",2020-05-07 15:33:34
"The Communist Party of China intentionally withheld critical information on the spread of #COVID19 that could have saved thousands of lives. And to this day, China continues to spread misinformation regarding this health crisis.",2020-05-07 15:15:00
"Just announced: $300,000 in @EPA Brownfields Assessment funding for Glens Falls. This grant will clean up environmental contaminants, utilize these properties to create jobs, increase the tax base, and bring new opportunity to a formerly contaminated area. https://t.co/jQiA4KrHvE",2020-05-06 19:10:30
"#NY21 Chambers of Commerce and local tourism agencies are working diligently to provide information and resources to our communities during #COVID19. I'm cosponsoring a bill to give them PPP eligibility, so they can continue to serve our communities. https://t.co/cd3PxNtefp",2020-05-06 17:51:18
Check out this uplifting story in the @dgazette about 4 friends working do their part during the #COVID19 crisis by thanking our incredible healthcare workers. One is a #NY21 constituent. ⬇️https://t.co/yLeQiI9vXg,2020-05-06 13:01:00
#COVID19 has presented mental health struggles for essential healthcare workers &amp; many others. I sent 2 letters urging Congress to provide further mental health resources for healthcare workers &amp; to expand on suicide prevention efforts during this time. https://t.co/z0LqJdqBXH,2020-05-05 16:02:10
"#NY21 has displayed incredible leadership &amp; resilience during #COVID19, and I want to highlight our “North Country Heroes."" If you know of someone going above and beyond, fill out this form so my office can highlight their service to our communities ⬇️ https://t.co/OscAT2JpuP",2020-05-05 13:51:32
"This week is #NursesWeek. This is the perfect time to thank our nurses and health professionals who are working tirelessly, especially during this public health crisis, to provide the best care to our #NY21 communities. We thank you for the work you do each and every day! https://t.co/nTwHXmhkUg",2020-05-05 13:23:44
"I just finished our second #COVID19 Working Group call of the day, with local hospitals and Community Health Centers across #NY21. It's important for me to hear directly from our healthcare professionals &amp; administrators to ensure I work to meet their needs on the federal level.",2020-05-04 19:06:05
"Today is #InternationalFirefightersDay. Thank you to all of our heroes who put their lives on the line to save our communities, often in a volunteer capacity. #NY21 is grateful for your commitment, especially during these challenging times. https://t.co/BGTPhD3oWT",2020-05-04 17:33:56
"FARMERS: The @SBAgov began accepting Economic Injury Disaster Loan (EIDL) and EIDL Advance applications from agricultural businesses today at 12:00 PM EDT, in order to provide relief to dairy farmers and ag businesses. APPLY HERE: https://t.co/FKW2g3CVz3",2020-05-04 16:49:57
#NY21 Veterans: The @VAVetBenefits Administration is hosting a tele-townhall TODAY at 4PM to give an update on benefits during #COVID19. Dial-in information 👇 https://t.co/jVv8MJq2wT,2020-05-04 15:46:10
Just finished our 1st #NY21 Working Group call w/ local county public health departments &amp; elected officials. It was a productive discussion and listening session. Hearing directly from officials &amp; constituents guides my strategy to working through #COVID19 in the North Country.,2020-05-04 14:51:48
"This week is National Correctional Officers Week, a time to extend gratitude for the service and commitment of the men and women in #NY21 and beyond who have continued to put their health at risk during #COVIDー19  for the sake of protecting our communities. We thank you!",2020-05-04 13:40:31
"This weekend is the #2020Census Action Weekend! The Census helps direct billions of dollars of funding for things that our #NY21 communities need, including roads. If you haven't already, complete the census today. Visit https://t.co/FRMgc7omwH https://t.co/jEpQpbF3EW",2020-05-02 13:52:22
Comments from the Gov. that Saratoga Race Track could be cancelled due to #COVID19 are concerning. The State should partner with local leaders to proactively make a plan to protect public health but ensure the Meet can move forward in a modified capacity. https://t.co/YPFwYAgWlR,2020-05-01 14:54:49
"#COVID19 has caused an increase in stress and poor mental health for many people across the country, including our veterans and servicemembers. I sent a letter urging the Sec. of Defense for Health Affairs to expand availability of telehealth services ⬇️ https://t.co/ti1DSIdJw1",2020-05-01 13:15:22
"Today, I sent this letter urging Leadership to include charitable non-profits in the next #COVID19 relief package. I am so grateful to all the #NY21 orgs that continue to go above &amp; beyond to serve our communities while many are suffering. Thanks for reaching out @GlensFallsYMCA! https://t.co/PEVE2Cb9UY",2020-04-30 16:45:56
Our hospitals are on the front lines of #COVID19 &amp; they need funding now. I worked to include millions in funding for our #NY21 hospitals in the CARES Act to support their critical efforts. Read more about yesterday's announcement in North Country Now 👇 https://t.co/mhSqcaiDBH,2020-04-30 15:34:18
"Today I am announcing #COVID19 NY-21 Working Groups to discuss ideas, recommendations and proposals to protect North Country public health and gradually reopen our economy.",2020-04-30 14:37:11
"Just announced: over $33 million in funding from the HHS has been released to #NY21 hospitals. I will continue to work to deliver funding and results for our hospitals, healthcare workers, and county health departments as we combat #COVID19. Details ⬇️ https://t.co/YYktOexdYb",2020-04-29 22:49:28
#NY21 is home to many summer camps that attract families from afar and serve as economic drivers for our communities. I sent a letter with state and local electeds requesting state guidance for summer camps due to uncertainty surrounding #COVID19. ⬇️ https://t.co/IuFLIx5nTC,2020-04-29 18:30:55
"#NY21: SOON — tune in to WTEN, WWTI, WFFF, or WVNY for a virtual town hall at 7PM. I’ll be discussing #COVID19 with my Upstate NY colleagues. You can watch live on https://t.co/y0E8TEI5qW",2020-04-28 22:47:34
TONIGHT at 7PM: I'm looking forward to participating in a virtual town hall with my colleagues in Congress from Upstate New York to discuss #COVID19 and its impact on our communities. Tune in LIVE at 7PM: https://t.co/5aDmJJbAWv https://t.co/N6D6ScR7MG,2020-04-28 13:36:29
I’m honored to advocate for results for #NY21 during this challenging time. Read more ⬇️ https://t.co/lTSBd9Dty9,2020-04-27 20:55:59
I worked with @USTreasury to update seasonal employer guidance to ensure seasonal employers can receive equitable financial support when applying for Paycheck Protection Program loans. I'm thankful to have secured this result for #NY21. Read more 👇 https://t.co/FUgnwTYQ9h,2020-04-27 18:14:08
"I'm honored to serve on the bipartisan Congressional #COVID19 Regional Recovery Task Force. Examining how to protect public health &amp; reopen our economy on a regional basis, not a one-size-fits-all approach, is critical to the success of #NY21's recovery. https://t.co/Vhhs2Efu37",2020-04-27 16:56:31
"#NY21: @SBAgov will resume accepting Paycheck Protection Program applications NOW. Call your bank or use the Eligible Program Lender tool below⬇️. As always, reach out to my office with questions and concerns. https://t.co/LfjLuAOgL6",2020-04-27 14:29:20
"Great news for #NY21 small businesses, hospitals and healthcare workers, ag businesses, and hardworking families. 👇 https://t.co/wlZ6IlNUuz",2020-04-24 16:40:57
"Tonight, I voted to pass The Paycheck Protection Program and Health Care Enhancement Act to provide much-needed relief for the American people – small businesses, hardworking families, farmers, hospitals, and healthcare workers. ✅",2020-04-23 22:16:12
"April is National Volunteer Month. On behalf of #NY21, I want to thank all of the volunteers in our communities who have truly gone above and beyond to help us through this crisis. https://t.co/W8IBFJDbi8",2020-04-22 17:35:12
This #EarthDay we celebrate the beautiful landscape of the Adirondacks and abundant natural resources of #NY21 that we are so fortunate to enjoy! https://t.co/2KJfPb6R5X,2020-04-22 15:15:50
"Today, I'm introducing the Equity in Student Loan Relief Act, a bipartisan bill that would extend the temporary relief from student loan payments to Federal Family Education Loan (FFEL) borrowers who have been left behind.",2020-04-22 14:35:11
"VETERANS: If you have dependents and did not receive your stimulus payment, you must contact Treasury by midday TODAY or miss out on your payment. Read more here: https://t.co/a0bEtjfYgb",2020-04-22 12:55:09
I am proud to advocate for our #NY21 correctional officers and work to secure this result at the federal level to ensure they receive their rightfully earned compensation. I will continue to work on behalf of them and their families. https://t.co/tp14MGNV6Y,2020-04-22 12:29:10
I have consistently advocated for a regional-based approach when it comes to reopening New York's economy.  I am pleased that the State has recognized that the challenges and circumstances of the North Country are different than NYC when it comes to getting people back to work.,2020-04-21 20:01:01
"#NY21: If you receive Social Security, SSDI, Railroad Retirement, SSI or VA benefits, you will get your $1,200 payments soon. IF YOU HAVE A DEPENDENT, register that info on https://t.co/uzYBm8xwGt by noon on April 22 to ensure the $500/ child is included. https://t.co/bTzzVUzxnq",2020-04-21 15:00:20
"I strongly oppose Charter’s waiver request to the FCC, which would limit access to the Rural Development Opportunity Fund for many of our #NY21 communities. Rural broadband access is essential, especially during this time of crisis. Read more here ⬇️
https://t.co/IObcXIUpAW",2020-04-20 19:54:16
THANK YOU to all of our #NY21 Emergency Medical Services officers and firefighters who continue to serve our communities amid the #COVID19 crisis. https://t.co/0SKGbFTyu6,2020-04-20 19:38:18
"Important Recommendations for #NY21 Seniors: Sadly, seniors are being targeted by #COVIDー19 scams during this crisis. This is a great page of resources for seniors to be aware of scams. Reach out to my office with any concerns⬇️ https://t.co/4v1FsR056A",2020-04-20 18:46:40
NYS is the epicenter of the #COVIDー19 crisis and #NY21 is dealing with the consequences. I sent a bipartisan letter with the NY Delegation urging POTUS to fully cover the cost of FEMA’s emergency work as our state responds to this public health crisis. ⬇️ https://t.co/cZiUIoO1ig,2020-04-20 18:30:34
"Upstate NY is home to a diverse and vibrant dairy industry. I am proud to work with @RepBrindisi to request swift action from @USDA to provide direct relief to our dairy farmers and will continue to work on behalf of our #NY21 farmers through this crisis.
https://t.co/6Yyf9tPzvH",2020-04-20 14:07:09
Thank you to the McGuire brothers from Sackets Harbor for their hard work in 3-D printing ear savers for healthcare workers to wear with their masks! https://t.co/6uiOZ8Hfar,2020-04-20 13:11:21
It is so nice to see some @10MTNDIV soldiers who have returned from a deployment to Afghanistan and finished their two weeks of quarantine be reunited with their families! https://t.co/WYszIT3e2p,2020-04-17 21:30:50
I held a conference call with local #NY21 media this morning focused on the #COVID19 crisis. Read all about it from @SaratogaTODAY 👇  https://t.co/A4e5YAJCKy,2020-04-17 19:44:56
"Today, I joined @SaratogaEconDev, @SaratogaChamber, @SaratogaEDC &amp; @VisitSaratogaNY to #ThankOurLocalBanks by delivering coffee ☕️ to Glens Falls National Bank in Schuylerville. We are grateful for their swift work processing #PPP and #EIDL to support #NY21 small businesses! https://t.co/CZrf7ouBYl",2020-04-17 17:55:33
Rural communities like #NY21 that suffer from lack of broadband access are even more vulnerable during crises like #COVID19 w/ many people working &amp; schooling from home. I'm cosponsoring a bill to provide access to EDA grants to support broadband projects. https://t.co/XC7yxZKMfd,2020-04-17 17:21:43
"This week is National Public Safety Telecommunicators Week. I had the honor of touring the @WashCoNYDPS911 911 Call Center last year — #NY21 is so grateful to our public safety officers, especially during the #COVIDー19 crisis. THANK YOU for all you do! https://t.co/CU2SXrArVe",2020-04-17 16:22:42
Important funding announcement for Glens Falls: the city will be receiving over $3.5 million in Federal Transit Administration funding through the CARES Act. #NY21 communities need direct assistance to cover transportation costs during #COVID19. https://t.co/Z8lzGPwkx6,2020-04-17 15:14:09
"Prioritizing the needs of Upstate New York and rural communities as a whole will be critical to protecting public health and restarting the American economy, getting people back to work, and easing the burden on so many families across my district and the entire country. #NY21 https://t.co/4svSX2Du3n",2020-04-17 12:54:42
#NY21 local governments are providing critical services to our communities during the #COVID19 crisis &amp; their budgets have been significantly strained. I sent a letter to Leadership requesting more direct aid for counties in phase 4 of Congress' response. https://t.co/4RS2ddm2Gh,2020-04-17 12:49:48
"The U.S. Chamber of Commerce Foundation just launched their new “Save Small Business Grant Fund"" which provides $5,000 grants to small business owners impacted by #COVID19. Our #NY21 small businesses are critically important to our North Country economy. https://t.co/svBTONnzOE",2020-04-16 17:19:00
"I am honored to be named to the bipartisan Task Force on Reopening the Economy by @POTUS. 

I have spoken directly with #NY21 hospitals, health departments, local elected officials, small businesses, farms &amp; hardworking families about their concerns &amp; ideas throughout #COVID19.",2020-04-16 16:22:18
"Important for #NY21: Sadly, seniors are being targeted by #COVID19 scams during this crisis. @TheJusticeDept Elder Justice Initiative created a one-pager of resources for seniors who think they have been the victim of a scam ⬇️. Seniors should reach out to my office w/ concerns. https://t.co/zuWRFwG1yw",2020-04-16 15:51:55
It is inexcusable that Speaker Pelosi and Senator Schumer blocked critical funding for our small businesses who are facing unprecedented challenges during #COVID19.  I urge Democrats to quit playing political games with the livelihoods of so many hardworking families in #NY21.,2020-04-16 13:40:49
I'm glad to announce over $26 million in funding for #NY21 colleges and universities from the CARES Act in response to the #COVID19 pandemic. College students across the country have seen their lives and education significantly disrupted.,2020-04-15 18:44:57
#NY21 airports have faced many challenges due to travel restrictions from #COVID19. Our airports contribute significantly to our economy &amp; I'm glad to announce $5.9 million in grant funding from the CARES Act to support them during this difficult time. https://t.co/ecBThgH2Bd,2020-04-15 16:08:46
"Our seasonal businesses are critically important to the #NY21 economy. I sent a letter to House Leadership advocating for flexibility for their unique needs during the #COVID19 crisis, when many must remain closed. Read more ⬇️ https://t.co/3gWYhsnLJ9",2020-04-15 14:23:17
"Honored to advocate for #NY21 everyday -- especially during this unprecedented #COVID19 crisis.

""Stefanik points out her support for district"" via @TheLeaderHerald 👇 https://t.co/T78D4HQy8L",2020-04-15 14:05:03
"For important #COVID19 updates, information, and resources for #NY21 businesses and families, don't forget to sign up for my biweekly e-newsletter ⬇️ https://t.co/eoQz0ik7mz",2020-04-14 19:46:14
Our dairy farmers are in need of immediate relief. I am proud to co-lead this letter to @USDA requesting direct payments and swift action to help our #NY21 dairy farmers. Read more here⬇️https://t.co/6Yyf9tPzvH,2020-04-14 15:44:41
"It’s inspiring to see local businesses and the USO on Fort Drum teaming up to provide meals for soldiers who have returned from deployment and are in quarantine! Our #NY21 communities are always showing support and embracing our military community.
https://t.co/Q4ZnPWKrDX",2020-04-13 21:10:05
Important update on my work for more #NY21 hospital funding and the need for an extension of the Paycheck Protection Program ⬇️ https://t.co/fGtwb6VCfa,2020-04-13 20:51:46
"#NY21: @USTreasury &amp; the IRS are launching a FREE app next week called “Get My Payment.” If you filed a tax return in 2018/2019 but did not provide banking information for direct deposit, be sure to use this app to submit your banking info and get your stimulus check quickly.",2020-04-13 16:23:02
#NY21 Community Health Centers are on the front lines of the #COVIDー19 outbreak in some of our most vulnerable communities. I sent a bipartisan letter to House Leadership requesting further funding for CHCs is included in phase 4 of Congress’ response. ⬇️ https://t.co/XQhn70n9Rp,2020-04-13 14:55:26
Wishing #NY21 families a safe and happy Easter! https://t.co/dPJFGZhbQE,2020-04-12 14:08:11
"I introduced the bipartisan #COVID19 Graduate Relief Act today to allow graduating students to defer their loans for up to 3 years. This will not only give them monetary relief, but also will significantly improve their mental health &amp; stress levels. ⬇️ https://t.co/hq2ikeq3aw",2020-04-10 19:58:54
"Communicating with #NY21 constituents through the local media is particularly important during the #COVID19 crisis. In case you missed it, go through this list of articles with important updates for our district ⬇️ https://t.co/hYCGtTqKB0",2020-04-10 17:23:02
