tweet,dates
"Donald Trump closed his eyes, sat on his hands, &amp; failed to protect the American people. Congress needs to stop relying on this President to do the right thing &amp; force him to fully use the Defense Production Act &amp; publicly manufacture COVID-19 supplies. https://t.co/xcFvkqGJEf",2020-05-10 14:25:29
"If treatment services for opioid &amp; other substance use disorders shut down from this crisis, millions of Americans will lose access to lifesaving care. I’ve urged Congress to provide emergency funds for behavioral health orgs in the next relief package. https://t.co/WFCmVH2Lrn",2020-05-10 00:26:27
"The White House has let politics get in the way of public health experts’ advice over and over again during this crisis. Enough is enough. President Trump, stop standing in @CDCgov’s way. https://t.co/yXez7hXtwM",2020-05-09 19:45:53
"I see I’m not the only one with questions about Jared Kushner’s Project Airbridge, but one thing is clear: it’s failing. @SenBlumenthal &amp; I are still waiting for answers about how this program works.
https://t.co/xRnm3xrxK7",2020-05-09 17:56:24
"Walmart has a responsibility to keep its workers safe from COVID-19, and it failed in Massachusetts. The entire MA delegation &amp; I want @Walmart to explain what changes the retail giant will be making to prevent more store outbreaks across the Commonwealth. https://t.co/N1CFyPUbq8",2020-05-09 15:05:19
"Community health centers provide testing &amp; medical care to communities hit hardest by COVID-19. @RepPressley, @SenSanders &amp; I – and 130+ of our colleagues – are urging Congress to provide emergency funding to struggling CHCs to keep their doors open.
https://t.co/1BBegvBbnS",2020-05-08 23:05:27
"The @US_FDA is working around the clock to push out more COVID-19 tests &amp; treatments. @PattyMurray &amp; I want to know how the FDA is tracking the quality, safety, &amp; effectiveness of those products without political pressure from the President. https://t.co/kIal5Jr2Os",2020-05-08 21:45:54
More than 30 million people are out of work. Economists are comparing our unemployment rate to the Great Depression. And Trump &amp; his GOP allies still don’t have a plan to get us out of this economic disaster. This is a policy failure – and this is a moral failure.,2020-05-08 17:26:36
Handing out a $500 million paint job contract to a supporter is corruption. And Trump’s monument to hate at the border – in black or any other color – is a giant waste of money while Americans are dying from this administration’s failures. https://t.co/bkw2tKQyOM,2020-05-08 00:32:38
"People of color are hardest hit by this public health &amp; economic crisis. I’m fighting for equitable testing &amp; treatment, an Essential Workers Bill of Rights, a pause on payments, child care bailout, &amp; much more so nobody is left behind in this recovery. https://t.co/CmHJBMWArf",2020-05-08 00:09:45
William Barr is not the President’s lawyer – he is the country’s lawyer. His political interference is blatantly corrupt and he should resign.,2020-05-07 22:20:03
"The fossil fuel industry receives billions of dollars in taxpayer subsidies each year, &amp; their lobbying &amp; political spending has undermined efforts to combat the #ClimateCrisis. I told Secretary Mnuchin: big oil &amp; gas companies don’t deserve a bailout. https://t.co/c5J1AgEGTg",2020-05-07 19:57:05
Amazon has fired at least 4 workers who raised concerns about COVID-19 safety in Amazon warehouses. This looks like a clear case of whistleblower retaliation. My Senate colleagues &amp; I want @Amazon to show us their policies that workers allegedly violated. https://t.co/MlTAzEXkwh,2020-05-07 18:44:47
I’m about to ask HHS &amp; NIH experts about how we can meet our COVID-19 testing &amp; treatment needs by fully using the Defense Production Act and through public manufacturing. Tune in live now. https://t.co/PElbABX4Bf,2020-05-07 15:48:12
Tune in live to the Senate HELP Committee hearing on ways that the government &amp; private companies can rapidly boost COVID-19 testing. https://t.co/PElbABX4Bf,2020-05-07 14:08:04
"Physicians, nurses, &amp; engineers in the Commissioned Corps have responded to many past health emergencies. They should be deployed to the fullest extent possible to fight COVID-19. @ChrisVanHollen &amp; I want an update from @HHSgov on their deployment. https://t.co/wz4gMlRki0",2020-05-06 23:07:25
"Hedge funds, private equity firms, &amp; the richest Americans shouldn’t be getting another $135 billion tax break during this crisis. I’m fighting to repeal these tax giveaways in the CARES Act. https://t.co/PqLIymG8ID",2020-05-06 18:25:13
The @DeptVetAffairs inspects every State Veterans Home (SVH) &amp; pays for vets to receive care at VA-recognized SVHs. I want @USGAO to investigate the VA’s oversight of these facilities after COVID-19 outbreaks at Holyoke Soldiers’ Home &amp; other SVHs. https://t.co/MN4nuh9h8d,2020-05-06 17:35:53
Today the Supreme Court will hear arguments on the Trump-Pence rules that would let virtually any employer be exempted from the ACA's birth control benefit. We cannot allow the administration to roll back the clock &amp; undermine people’s right to basic health care. #HandsOffMyBC https://t.co/ZsSixVhzuD,2020-05-06 14:23:18
At least 81 Worcester Walmart employees have COVID-19. Now at least 10 Walmart employees in Quincy have COVID-19 too &amp; one worker has died. Whatever @Walmart claims they are doing to protect the health &amp; safety of their workers is clearly not enough. https://t.co/msq81dMfjw,2020-05-06 00:22:37
"Last week, I joined @SenTinaSmith &amp; colleagues to call on @USTreasury to release funds to tribal nations immediately. Today's development is a positive one, but tribal nations should not have needed to wait in the first place. Treasury should've moved as swiftly as possible. https://t.co/8dXAQahuPI",2020-05-05 23:43:14
Brian Miller's work as one of Trump's impeachment attorneys should have disqualified him from a nomination to oversee the President's management of the COVID-19 bailout funds. He'll need to prove his independence with the aggressive oversight he committed to today. https://t.co/Xp7Tv5lwBZ,2020-05-05 23:10:20
I’m about to question White House aide Brian Miller about his nomination to oversee COVID-19 bailout relief funds &amp; how he plans to do that job independently from the Trump administration.  https://t.co/sjwkYG6HRJ,2020-05-05 19:50:37
Tune in live for the nomination hearing of White House aide Brian Miller for Special Inspector General for Pandemic Recovery – a key oversight position for the coronavirus bailout fund. https://t.co/sjwkYG6HRJ,2020-05-05 18:33:33
"Important info for people who receive Social Security or VA benefits, don’t file a tax return, and have dependent children: today is the deadline to fill out your payment info for the $500 child stimulus. https://t.co/2TTQzrjFqI",2020-05-05 18:08:33
Today marks the National Day of Awareness for Missing and Murdered Indigenous Women and Girls: a day of remembrance as we raise awareness and renew our commitment to ending the scourge of disappearances and murders of Native women.  #MMIWGActionNow https://t.co/SXo6A6FDA7,2020-05-05 17:09:12
"To prepare for new COVID-19 cases &amp; safely reopen our economy, we need widespread testing, contact tracing, &amp; a vaccine. What we don't need are empty promises from the President that make us less safe. Congress must step up or more people will suffer. https://t.co/SKpgamCGY8",2020-05-05 00:32:04
Trump aide Brian Miller has been nominated for a key oversight role over billions of federal dollars in COVID-19 loans &amp; grants. I sent him an 11-page letter with 60+ questions about his ability to serve as an independent watchdog of taxpayer dollars. https://t.co/U58NuQGdHz,2020-05-04 22:28:43
"Without emergency relief, child care providers have to make tough choices about laying off staff or closing permanently. That means parents can’t go back to work when it’s safe. My $50B child care bailout with @SenTinaSmith is critical for our recovery. https://t.co/tlLJpmaysO",2020-05-04 19:26:20
DoD's early payments for contractors during COVID-19 will give even more money to giant defense companies with no guarantee it will reach smaller subcontractors &amp; supply chain partners. DoD should explain how this is a responsible use of taxpayer funds. https://t.co/rjOFgioP8F,2020-05-04 18:32:24
"On Friday, 23 Worcester @Walmart employees had tested positive for COVID-19. Now they're up to 81. This is why Congress must pass an Essential Workers Bill of Rights: because workers can’t rely on big business to protect them. #StandWithEssentialWorkers https://t.co/nW5CIUQjZ7",2020-05-03 23:19:51
"I’m glad MA is working with other states to bulk purchase supplies, but let’s be clear: they shouldn’t need to. I introduced a bill last week to publicly manufacture PPE at no cost to state health programs. If the President won’t act, Congress should. https://t.co/HBUn0aOQg8",2020-05-03 21:27:55
I’m proud to fight alongside @RepPressley to #StandWithEssentialWorkers. https://t.co/oquSmNtDU8,2020-05-03 00:10:42
My thoughts are with the people of Puerto Rico after another earthquake this morning. I’m monitoring the situation closely &amp; will keep working with my colleagues to make sure President Trump &amp; his administration don’t fail the island’s residents yet again. https://t.co/WpXCqk7oA3,2020-05-02 23:21:36
"We fought hard to stop the government from seizing federal student loan borrowers’ paychecks during this pandemic, and now it’s the law. It shouldn’t take another lawsuit to get @BetsyDeVosED to follow the law, but I’m glad borrowers are fighting back. https://t.co/ebPI2SRuFe",2020-05-02 20:39:59
"I'm concerned by yesterday's incident at the Bristol County House of Correction, &amp; the conflicting accounts. My colleagues &amp; I want an independent investigation, for detainees to have access to their lawyers, &amp; for preservation of all video from the unit. https://t.co/o5PXn5L3AH",2020-05-02 19:18:59
"Massachusetts residents, help the Commonwealth catch up to Connecticut! Visit the link, and then click the ""Respond"" button at the top to complete your response today if you haven't already done so. A complete and accurate Census count is more important now than ever. https://t.co/S8gMoxnVjD",2020-05-02 00:18:53
"A Worcester @Walmart employee tested positive for COVID-19 on 4/8, but Walmart didn’t close the store for cleaning until the city shut it down. Now 23 workers have COVID-19. Workers need guarantees they can stay safe on the job. #StandWithEssentialWorkers https://t.co/W255cg2LA3",2020-05-01 23:10:42
"We know COVID-19 has ravaged nursing homes. But assisted living facilities have many similar risks &amp; fewer rules &amp; reporting requirements. @SenMarkey, @RepMaloney &amp; I want assisted living companies to tell us how they're protecting residents from COVID-19. https://t.co/euDgMCggoM",2020-05-01 20:19:03
