tweet,dates
"“Life doesn’t come with a manual; it comes with a mother.”

Today and every day, we honor the mothers who guide us, inspire us and push us forward.

Happy #MothersDay https://t.co/pIYiu0DuJA",2020-05-10 16:15:32
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.
 
The country is thankful for the servicemembers – and the allies who fought alongside them – for their bravery and selflessness.
 
Their sacrifices will not be forgotten. #VEDay75 https://t.co/nneRChp3hz",2020-05-08 21:50:22
"The President is clearly moving to dismantle the @USPS as we know it.
 
This is a deeply irresponsible decision, and the price will be paid by American seniors, veterans, and workers.
 
The time to speak up to save the Postal Service is now!
https://t.co/JWnxl10F5D",2020-05-08 20:36:09
"This is Ahmaud Arbery.
 
He was murdered for jogging while black.
 
He’s the latest to fall victim to the systemic violence African Americans face every day in America.
 
Ahmaud deserves justice to the fullest extent of the law. https://t.co/IpvwhkqkB2",2020-05-08 19:30:02
"More Americans are unemployed today than at any other point since the Great Depression.
 
Congress must support American workers by passing the #PaycheckGuaranteeAct now!
https://t.co/uIVUFjh4Pv",2020-05-08 17:34:26
"Despite a global pandemic which has taken the lives of over 75,000 people, the President STILL wants to take health care away from more than 20 million Americans.
 
The height of irresponsibility.
https://t.co/SZ5kpenQw8",2020-05-08 16:24:20
"Mass testing is key to responsibly reopen our society. We must bolster our testing capacity before we can return to any semblance of normalcy. Nevertheless, I will be cheering my Chiefs and Royals even if I have to do it behind closed doors. https://t.co/yG6BNwO1Q9",2020-05-08 01:51:54
We are live with @fox4kc and the entire Missouri Congressional Delegation. Join us for an important discussion on the latest related to COVID-19. https://t.co/PhaD40I9nS,2020-05-08 01:06:18
"-Over 74,000 deaths
-Over 1.25 million cases
-More than 33 million initial unemployment claims
 
There is no time to sit back and react to the crisis at hand as the Senate Majority Leader would have us do. Congress must put #FamiliesFirst and act now!",2020-05-07 20:49:15
"Testing is the key to a successful reopening of our economy.
 
Right now, we’re failing to ramp up the production of tests needed to ensure we don’t see a spike in cases, which would result in another shutdown. https://t.co/w7RLM4crE3",2020-05-07 18:49:59
"If you are able to contribute, Aim4Peace could use donations as they make distributions to the community. https://t.co/WeecCdyjFX",2020-05-07 17:42:35
"For the sake of your family, friends, and neighbors, please wear a mask! https://t.co/UyBxC8UhTX",2020-05-06 19:29:48
"Over 60 million Americans benefit from the ACA’s birth control coverage.

Today, #SCOTUS heard arguments that could allow employers to deny workers this essential coverage.

The decision to use contraception is between patients and their doctor, and it should remain that way. https://t.co/VLNKX9zevI",2020-05-06 17:15:55
"Our nation’s nurses have shown us time &amp; again what dedication, compassion, &amp; selflessness really mean.
 
This #NationalNursesDay, we must honor our health care heroes by making sure they have the resources needed to protect themselves &amp; save lives.
 
Thank you for your service! https://t.co/E96bRw3jAg",2020-05-06 16:01:59
"“If we are asleep at the wheel a little bit and we don’t recognize that large-scale outbreaks can occur and will occur in rural counties that are especially vulnerable, we could find ourselves very rapidly in a situation where we’re looking at severe epidemics.” https://t.co/EjexDqzjdV",2020-05-05 19:11:30
"Violence rates against Native American women &amp; girls are 10x higher than the national average. I stand with @RepDavids &amp; @RepDebHaaland in raising awareness about the #MMIW crisis to save mothers and daughters from disappearing.
https://t.co/B5NnPQ5Upj",2020-05-05 18:10:31
"****Today is the deadline for non-filing VA and SSI recipients with dependents****
 
Fill out this form to claim your $500 per dependent:
https://t.co/WY6tpCBSsu",2020-05-05 17:01:42
"These difficult times have reminded us of the incredible value of our nation’s teachers. This #TeacherAppreciationDay, we say THANK YOU to every teacher and recommit to giving them the support they deserve as they continue to serve our students. https://t.co/f8UUlzNMNV",2020-05-05 16:07:03
"ALERT**
 
Farmers, ranchers, and producers are now eligible to apply for SBA’s Economic Injury Disaster Loans.
 
For more information, look here:
https://t.co/62GCrWRStW",2020-05-04 20:42:28
"On this day 59 years ago, 13 #FreedomRiders got on a public bus to fight segregation and stand up for justice.
 
Today, we must honor their sacrifice by recommitting ourselves to their fight for equality for all. https://t.co/vJqQPN1sp8",2020-05-04 20:10:01
"ALERT for SSA and VA recipients***
 
If you have children and didn’t file a tax return in 2018 or 2019, you must file by TOMORROW to receive your additional $500 direct payment. You can file here:
https://t.co/WY6tpCBSsu",2020-05-04 18:22:30
"The @USPS is the most popular government agency, ensures seniors and veterans can receive life-saving medications, employs 650,000 Americans, and costs the taxpayers nothing.
 
Why does the GOP want to kill it? https://t.co/cas2C9Lezh",2020-05-04 17:42:18
"The @USPS provides good-paying jobs to 650,000 American workers and is critical to seniors and veterans who receive their medications through the mail. Congress cannot fail to #FundThePostalService https://t.co/EilG9mDyer",2020-05-04 17:24:07
"We’ve seen outbreaks of #COVID19 in multiple meat processing plants in Missouri. If the Administration is forcing these facilities to remain open, it’s critical that they have a plan in place to ensure the safety of every worker. https://t.co/MgASXcufyf",2020-05-01 21:45:36
"An internal memo from the CFPB describing potential political manipulation in the payday lending rulemaking process is deeply troubling. @RepGregoryMeeks &amp; I are calling for the Inspector General to get to the bottom of it.
https://t.co/SRegE7RMhl",2020-05-01 21:23:59
"One of the most important functions of the #2020Census is the Redistricting Data program. It provides critical guidance for the formation of Congressional &amp; State redistricting. If you don’t get counted, you will be excluded from our legislative process. #YouCount",2020-05-01 19:46:41
"Las respuestas al Censo son de vital importancia ya que determinan la distribución de fondos y recursos federales sobre los próximos 10 años. Esto significa fondos para escuelas, transporte, el sectro de salud, asistencia alimentaria, fondos de vivienda, y mucho más. #TuCuentas",2020-05-01 19:24:00
"The #2020Census responses inform distribution of federal funds and resources over the next 10 years. That means funding for schools, transportation, healthcare, food assistance, housing and so much more. #YouCount",2020-05-01 19:22:30
Estamos oficialmente a un mes del Censo 2020! Actualmente la tasa de respuestas en el 5to distrito congresional de MO son mas bajas que el promedio estatal. Yo se que podemos lograr una mejor respuesta. Contesta el cuestionario del #Censo hoy en https://t.co/VwhOVSXd8o https://t.co/dp323HgjnG,2020-05-01 19:06:15
"We are officially one month out from #CensusDay2020! Currently, response rates in MO 5th Congressional district are lower than the state average. I know we can do better. Fill out your #2020Census today at https://t.co/VwhOVSXd8o",2020-05-01 19:01:58
"Nonprofits take care of some of our most vulnerable communities and are critical to the American economy. I’m proud to support, and thank you for your advocacy! https://t.co/ZQcl7Suquf",2020-05-01 16:46:37
"It’s long overdue for our nation to seriously address systemic inequities that are now being exacerbated by a global pandemic. We urge the HHS Office of Inspector General to provide their plan for eliminating racial &amp; socioeconomic healthcare disparities.
https://t.co/Jv58VxhH7d",2020-04-30 19:02:05
"The Federal Reserve is expanding the eligibility requirements for its Main Street Lending Program. This is important for struggling small businesses who are having trouble accessing PPP loans. More info here:
https://t.co/349hd92Y7h",2020-04-30 18:12:54
"The @FCC’s Lifeline program provides critical access to internet, which is essential for students and workers at home, as well as tele-health services. I joined over 140 of my colleagues calling on the FCC to ensure more Americans know about this program.
https://t.co/na1vgrhBRC",2020-04-30 17:12:14
"30 million Americans have lost their jobs in the past 6 weeks.
 
1 in 5 American workers are currently out of a job.
 
Food banks are seeing mile-long lines.
 
Congress and the Administration must do more. https://t.co/KNlFGXCvtM",2020-04-30 15:50:18
"It is unacceptable for the United States to be below average on something so critical.
 
If we want to reopen our economy and ensure there is no second wave of #COVID19, we must ramp up testing immediately. https://t.co/tZwLjiHgLv",2020-04-29 21:21:14
"The 5th District of Missouri is currently in the middle of the pack when it comes to responding to the #2020Census.
 
I know we can do better.
 
If you haven’t filled out your census form yet, you can do it online at https://t.co/VwhOVSXd8o https://t.co/crxFQacAsL",2020-04-29 18:16:19
"The HCC of Rural MO is offering pop-up #COVID19 testing TOMORROW from 10AM-3PM at the Lexington 4 Life Center.
 
More information below. https://t.co/sLMW5RMgij",2020-04-29 17:10:17
".@SBAgov has resumed taking PPP applications after Congress approved an additional $310 billion in funding last week. For more information on how you can get a loan for your small business, you can find it here:
https://t.co/jv6kzJJcwm",2020-04-29 15:57:15
Happy to see the Federal Reserve respond to our requests to lower these population thresholds. This is an important step to ensure our cities can provide critical services and pay essential workers without going bankrupt. https://t.co/uYmt0ny8gp,2020-04-28 19:52:58
"If you’re a VA beneficiary with dependents who didn’t file a tax return in 2018 or 2019, you must act by MAY 5 to receive your full Economic Impact Payment.
 
You can file here:
https://t.co/WY6tpCBSsu",2020-04-28 18:04:37
"As the nation endures the worst worker safety crisis in recent history, we pause to honor the workers who have passed away as a result of their jobs. On #WorkersMemorialDay, we must recommit to making workplaces safer. https://t.co/uzP4ZoeJSd",2020-04-28 16:28:23
"American small businesses are struggling to stay afloat, and we need all hands on deck to keep them above water. That means public AND private assistance. Grateful to @GoldmanSachs for providing $5 million to assist MO #SmallBiz",2020-04-24 21:04:29
