tweet,dates
"Happy #mothersday2020 to my mom, Vicky! My mom raised four boys, worked full-time, and was that volunteer who always raised her hand to help her kids’ teams and clubs. And she hasn’t changed! https://t.co/tIdXo6bJ08",2020-05-10 14:17:51
"Sam and Jessica Medina, owners of @village_prop, are the next recipients of the #CA15 Community Heroes Award. When these two heard a local food bank had run out of bags, they generously stood up to help pass out bags and distribute food. Thank you for all that you do! https://t.co/iIsm9AmtLV",2020-05-10 13:36:34
#SoMuchWhining https://t.co/tW4h2dZfUA,2020-05-10 04:09:03
His complaint is that a voting booth was opened? As opposed to closing them? https://t.co/fTBJcSH9HC,2020-05-09 16:22:58
Long live #LittleRichard! https://t.co/gOphmJy28m,2020-05-09 16:19:53
Let’s honor the first responders and shame the last responders. Here is a @realDonaldTrump @HHSGov aide doing nothing to  help you stay healthy. https://t.co/81EQP9pMgd,2020-05-09 16:12:38
But @JoeNBC would defend @morningmika if @realDonaldTrump called her a dog. https://t.co/OtfYKf5v6x,2020-05-09 02:31:39
Sorry for your loss https://t.co/XprryFRpx8 https://t.co/ZkWnrLVxVF,2020-05-08 22:53:22
AG Barr thinks @TheJusticeDept is a tool to be wielded at the president’s personal bidding. It’s not. Today I joined my @HouseJudiciary colleagues in writing a letter to IG Horowitz asking him to investigate Barr's improper interference into matters involving @realDonaldTrump. https://t.co/67WVyd93z4,2020-05-08 19:23:15
"Team Trump lionized Manafort now, but during Russia Investigation they believed he was stealing possibly millions. Here’s @CLewandowski_ https://t.co/wha0UlieWY https://t.co/OhCngq4xDJ",2020-05-08 18:54:45
"What were we up against as Intel @HouseDemocrats sought to understand Trump-Russia connections? People like Trey Gowdy telling Jared Kushner he didn’t have to answer our questions. Then, surprise, Kushner stops. @HouseIntel transcripts. https://t.co/ODBtjiLUqu",2020-05-08 15:57:02
"Our next #CA15 Community Hero is Jason Warner of @OroLomaSD, who has also stepped up to support communities in need—no questions asked. We’re all in this together, and your help goes a long way during these difficult times. Thank you for your service, Jason! https://t.co/uel7IfvzOX",2020-05-08 13:00:00
Does @realDonaldTrump ever ask his aides to lie? Seems pretty clear from Hope Hicks’ @HouseIntel transcript. https://t.co/1f2apab9kY,2020-05-08 12:26:51
Plumbers are coming November 3 https://t.co/ngoIXbTk4u,2020-05-08 11:37:51
Bannon and @DevinNunes in cahoots in Russia investigation. And I can finally share it with you. And Bannon wanted to lie about it.  @HouseIntel Russia transcripts are out. https://t.co/WtaQ92eSfJ,2020-05-08 02:23:00
"HAPPENING NOW: For #NationalNursesWeek, I hope you’ll join us on my FB page for my Facebook Live Q&amp;A with special guest Arelis Sandoval, a Public Health Nurse for @Dare2BWell:
https://t.co/MfgE8HKqKK https://t.co/3SRnnO8cB0",2020-05-07 20:32:59
If you are pissed that @realDonaldTrump is corruptly dropping charges against Flynn then #YouShouldProbablyVote https://t.co/Oe5BoBh0hK,2020-05-07 18:55:37
"In this time of crisis, we should #ExpandSocialSecurity—not rip it away from those who need it most. Let’s help seniors &amp; our most vulnerable by passing the Social Security 2100 Act rather than a payroll tax cut to help the wealthy and corporations. The choice should be easy.",2020-05-07 18:24:05
"Alameda County residents, re: #coronavirus, please listen to my brother, @ACSOSheriffs Deputy Swalwell. https://t.co/ZKcuvove34",2020-05-07 16:51:21
I’m a proud cosponsor of the Pandemic Response &amp; Opportunity Through National Service Act.  Let’s respond to #COVID19 with the best America has to offer. By expanding @AmeriCorps &amp; @SeniorCorps we can bridge the gap between hard hit communities &amp; service orgs ready to help. https://t.co/4ZMJ76cI5m,2020-05-07 15:13:16
"This #NationalNursesWeek, don’t forget to join me TODAY at 1:30 PM PT for my Facebook Live Q&amp;A with special guest Arelis Sandoval, a Public Health Nurse for @Dare2BWell. Please submit your questions in advance on the Facebook event page here: https://t.co/KT6xBM0dzf https://t.co/aV3L8SvDZz",2020-05-07 14:17:14
Justice must be blind. Bring #AhmaudArbery’s killers to justice.,2020-05-07 03:59:56
I’m here if anyone needs to talk https://t.co/fDrgnLPoFg,2020-05-06 20:26:43
"This #NationalNursesWeek I want to recognize the tireless work of our nation’s nurses. Every day they are on the frontlines of this crisis, working to make sure we stay safe.

We must continue to push for the #PPE they need &amp; support them in the same ways they support us. https://t.co/t5Y1wjOOEo",2020-05-06 14:39:35
"Today’s #CA15 Community Hero is Nitty, the assistant manager of the Lucky California grocery store in Fremont. To help the elderly in our community, Nitty sent lunches over to @mercyhousing. Thank you for your dedication to our community, Nitty! https://t.co/k8xXR6BOX7",2020-05-06 13:00:01
"Great idea, @MayorOfLA! Bringing the best legal minds of Southern California to help those in most need. https://t.co/NeCu5ejNAg",2020-05-06 03:25:23
"This Thursday, May 7th at 1:30 PM PT, I’ll be joined by Arelis Sandoval, a Public Health Nurse for @Dare2BWell, for another Facebook Live Q&amp;A. Submit your questions in advance on my Facebook page or via DMs now! https://t.co/faMPz4kDGF",2020-05-05 21:36:40
It has been over a week since I led my colleagues in writing a letter to @BetsyDeVosED urging the quick release of emergency grants to all students. @usedgov has failed to respond to our urgent questions &amp; it’s still unclear how much money has been released &amp; to whom. https://t.co/alYotDQmUB,2020-05-05 17:04:08
"Even in these trying times, teachers around the country are going above &amp; beyond to educate &amp; support the next generation of leaders. On #TeacherAppreciationDay—and every day—we owe them a debt of gratitude! Make sure you #ThankATeacher today. https://t.co/FACl67S2OY",2020-05-05 15:55:37
Are you talking about this video? https://t.co/rgaMZChTd7 https://t.co/DlY9rUxqnd,2020-05-05 11:09:07
Sorry that they took a pass. https://t.co/AE37yMu7o5,2020-05-05 02:58:54
Stop praising China https://t.co/n1fd6Cf3OM,2020-05-05 00:23:35
"Paid leave is essential to our public health and economic recovery. We must close the loopholes and pass #PaidLeaveforAll now. 

Take action: https://t.co/xiFuNuk37s https://t.co/Eeuf1ZDTZ9",2020-05-04 18:51:42
"Our next #CA15 Community Hero is Janelle Morimoto, the Director of the San Lorenzo Food Bank, who works around the clock to deliver food to the elderly and our most vulnerable. Thank you for your service to our community, Janelle! https://t.co/3uaNQ3qJQo",2020-05-04 17:54:11
"Across the nation, our neighborhoods are stronger &amp; more vibrant because of the extraordinary contributions of the Jewish community. During #JewishAmericanHeritageMonth &amp; year-round, we must condemn anti-Semitism whenever we see it &amp; stand in solidarity with all Jewish Americans. https://t.co/sJLesn7V2o",2020-05-04 16:00:01
"50 years ago our nation was rocked when the Ohio National Guard opened fire on student protestors at #KentState, killing 4 and injuring 9 others. We must never forget that freedom of speech and the right to assemble are the lifeblood of our democracy. 
https://t.co/aBiA3cisBr",2020-05-04 14:35:56
"Thank you doctors, nurses, and hospital staff. Thank you grocery clerks. Thank you pharmacy techs. Thank you bus drivers and train operators. Thank you postal workers. If you kept the world moving today, thank you.",2020-05-04 01:32:54
If you actually read your intelligence briefings wouldn’t you know when it was brought up? https://t.co/oS7isubMTv,2020-05-03 21:48:13
You didn’t post the number. I will. “Highest ever” is 49%. That means a majority chose not to approve. https://t.co/9dXTCZnixT,2020-05-03 18:20:43
