tweet,dates
"Congressman @davidcicilline and I are leading more than 100 Dems and Republicans who want access to funding in the next relief bill to support the small local news outlets that provide essential information regarding public health and safety, local events, and democracy. https://t.co/8Pl5VPLTRV",2020-04-29 22:22:39
Rep. Sensenbrenner Statement on the Paycheck Protection Program and Health Care Enhancement Act: #PaycheckProtectionProgram https://t.co/38l2bvXTzu,2020-04-23 22:41:39
The #PaycheckProtectionProgram is officially out of money. Now is not the time to play partisan politics. Workers are struggling through no fault of their own. Wisconsin’s small businesses are counting on Congress to do the right thing &amp; replenish these funds now! https://t.co/Q85udKECbr,2020-04-16 17:42:37
REMINDER: The IRS moved the national income tax filing day ahead to July 15 to give taxpayers more time to file returns and make tax payments without interest or penalties. https://t.co/XRd0XrYwn9,2020-04-15 17:15:39
"Rep. Sensenbrenner Statement on Coronavirus Aid, Relief, and Economic Security (CARES) Act: https://t.co/nMtqhbJ73O",2020-03-27 18:28:06
"Today, I voted in favor of the USA FREEDOM Act reauthorization bill. The bill offers substantial reforms to the Foreign Intelligence Surveillance Act. https://t.co/veK81MH3GT",2020-03-11 22:25:08
Sensenbrenner statement on Major Disaster Declaration Request for Wisconsin: https://t.co/x2mhckLDuv,2020-02-13 22:57:04
Sensenbrenner statement on the Equal Rights Amendment (ERA) House Floor debate: https://t.co/y5s059IfFF,2020-02-13 22:20:43
Sensenbrenner Congratulates Congressman Jim Jordan on his Appointment as Ranking Member of the House Judiciary Committee: https://t.co/YdXaUx764d,2020-02-11 23:32:09
Rep. Sensenbrenner Statement on the Statement of Harm to the American Majority (SHAM) Act: https://t.co/X4r3JehaRL,2020-02-06 23:16:46
Rep. Sensenbrenner statement on Senate Impeachment Vote: https://t.co/tBTdzQShym,2020-02-05 23:12:52
Rep. Sensenbrenner statement on the State of the Union Address: https://t.co/wonDhuwxfY,2020-02-05 14:34:36
"Rep. Sensenbrenner statement on USMCA: 

“I was proud to support the USMCA in the House. This historic bipartisan agreement will help modernize trade and expand America’s economy. It is a victory for Wisconsin farmers, manufacturers, businesses, and workers.”",2020-01-30 17:01:57
https://t.co/eYeWOahdwt,2020-01-22 20:07:48
MUST READ piece from the @JudiciaryGOP Ranking Member: https://t.co/y5eghtUY6U,2020-01-21 16:11:46
Why I Voted Against the Trump Impeachment via @nytopinion https://t.co/OqEuWXFwV7,2019-12-20 16:38:36
"Rep. Sensenbrenner statement on USMCA: 

""The House passage of the USMCA is a welcome Christmas present for Wisconsin’s hard working families, especially our dairy farmers. This vote has been long overdue, and I urge the Senate to approve the trade deal as soon as possible.""",2019-12-19 21:25:50
Rep. Sensenbrenner: Democrats Hypocrisy Exposed as Urgent Impeachment Can Now Wait https://t.co/jOH4rA3cZc,2019-12-19 18:17:00
Rep. Sensenbrenner will be voting no on these articles of #impeachment. https://t.co/qaTYWGWzyZ,2019-12-18 19:12:11
#ShamImpeachment https://t.co/gQsGyNUnso,2019-12-13 15:10:51
THREAD: https://t.co/e7as2lx54s,2019-12-12 17:45:52
"""Sensenbrenner: Democrat Impeachment ‘Weakest Case in History’"" https://t.co/R7RJoVjDkR",2019-12-12 15:36:06
#ShamImpeachment https://t.co/vBYbIqUkR8,2019-12-12 01:41:23
Rep. Sensenbrenner's opening statement at the House Judiciary Committee's markup of articles of impeachment against President Trump: https://t.co/0UPNB3zcyO,2019-12-12 01:36:25
#USMCA https://t.co/VoU8uoQmnE,2019-12-10 19:13:46
"Rep. Sensenbrenner statement on articles of impeachment:

“Democrats have wanted to impeach President Trump since January 20, 2017 and realized their dream would come true last November.",2019-12-10 15:50:52
Rep. Sensenbrenner was proud to join this effort. #USMCANow https://t.co/qxQ7Rf4gxd,2019-12-09 22:53:27
"""Sensenbrenner to Democrat Impeachment Lawyer: ‘You Have Made Joe McCarthy Look Like a Piker’"" https://t.co/x6lnVnPzGx",2019-12-09 22:03:41
"If Chairman Schiff thinks that he's a special prosecutor, then he needs to come testify before our committee and not hide behind his staff. #WheresAdam?",2019-12-09 20:16:12
"Rep. Sensenbrenner re: OIG report:

“The Intelligence Community is given powerful tools to protect the security of the American people, including conducting surveillance operations. These tools require vigorous oversight to make sure the rights of Americans are protected.",2019-12-09 19:47:41
Democrats are rushing through this #ShamImpeachment because Americans have seen through their broken and unfair process. https://t.co/KBpMc91dzL,2019-12-09 17:01:36
"""Democrats’ voting rights legislation doomed after partisan House vote"" via @McClatchyDC  https://t.co/ned0bxIaXl",2019-12-06 21:44:12
"""This is a 'partisan impeachment, roadshow': Congressman"" via @YahooFinance https://t.co/Py4tVtFpry",2019-12-06 15:01:12
"""Sensenbrenner: I think the American public is getting sick, tired of impeachment"" via @WISN12News https://t.co/5bKcEVOog7",2019-12-05 20:59:41
"Impeachment is a very grave and awesome responsibility, not one that should be taken lightly or done quickly. Rep. Sensenbrenner would know as he'd been tapped to manage more impeachment trials than anyone in history. https://t.co/d5BfHFvOlc",2019-12-04 20:37:30
THREAD: https://t.co/pSOkLNmQTB,2019-12-04 16:20:54
Democrats have sought to impeach President Trump since the day he took office. https://t.co/r4xlCUalMK,2019-12-04 15:30:00
"Rep. Sensenbrenner:
“I commend the students, school personnel, and first responders at Waukesha South for their swift response to today’s incident.",2019-12-02 19:59:06
ICYMI: Rep. Sensenbrenner discusses the latest on the Democrats' unfair impeachment proceedings. https://t.co/KrpBJkIWA4,2019-11-13 00:20:35
"""Now we find ourselves on the verge of another presidential impeachment. But this time the process is so fundamentally unfair that justice cannot be served."" Rep. Sensenbrenner &amp; @RepSteveChabot's latest in the @WSJ  https://t.co/SamAEOKDBn",2019-11-04 13:51:50
https://t.co/BJUwksnu4p,2019-10-31 15:36:11
"Rep. Sensenbrenner: “Throughout our long tenures together on the Judiciary Committee, John Conyers and I had a great relationship. We were able to overcome the binds of partisanship and accomplish a lot for the country during our consecutive chairmanships.",2019-10-27 23:03:01
"Rep. Sensenbrenner: “I am deeply saddened by the passing of Elijah Cummings. Our long-working relationship on issues like criminal justice and voting rights blossomed into an unexpected, but treasured friendship.",2019-10-17 14:08:13
https://t.co/pCl0B5P2YJ via @fox6now,2019-09-16 14:38:03
https://t.co/H2v0GCv6zi,2019-09-10 20:47:30
Go Pack Go! 🧀🏈,2019-09-06 01:19:18
https://t.co/JgeRnmAH1s,2019-08-26 17:20:04
BIG: President Trump signed the Family Farmer Relief Act into law today. You can read more about it here: https://t.co/rxPkNGtHS4 https://t.co/JSIZFZDeCF,2019-08-23 19:49:43
"Rep. Sensenbrenner: ""@WSJopinion highlights the problems that small businesses are facing after last year’s Wayfair decision. https://t.co/VghhDxB6CA",2019-08-13 18:32:19
Rep. Sensenbrenner Leads Effort to Rein in Unelected Bureaucrats https://t.co/ky0YSBa31e,2019-07-25 15:13:44
