tweet,dates
"To all the superhero women and those who fill the role, Happy #MothersDay",2020-05-10 14:38:00
"The total number of COVID-19 cases in the U.S. is expanding by 2%-4% daily. 

Social distancing &amp; sheltering in place have been critical in helping to keep cases as low as possible.

We should continue doing all that we can to minimize the deaths we suffers from this deadly virus https://t.co/zy6rFg14lq",2020-05-09 20:42:22
"Live or remotely coordinated at home on video camera, six-time state champion @McHiMariachiOro’s talent is indisputable. 

Listen here👇🏼
https://t.co/qRSMZ5cqqM",2020-05-09 16:39:06
"“After flattening the curve, the next step is to box the virus in by implementing four essential actions – test, isolate, contact trace, and quarantine. All are crucial; if any one is weak, the virus can escape and spread explosively again.”
@DrTomFrieden https://t.co/8i7f8W7CED",2020-05-08 19:37:20
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

I am forever grateful to the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75",2020-05-08 17:02:49
"Congratulations to our @HarlingenCISD Teacher of the Year for Elementary, Christina Medrano, and Teacher of the Year for Secondary, Teresa Cuellar!

https://t.co/N9St0CUWhG",2020-05-08 14:02:10
"We owe it to our essential workers to be honest with them about the very real risks of COVID-19. 

We owe them access to #PPE to stay safe on the job &amp; an adequate national testing and tracing strategy to defeat this virus. 

@realDonaldTrump do better. 
https://t.co/abOjpHBXzQ",2020-05-08 00:00:24
"I joined Chairman Peterson and @RepLBR in urging leadership to provide $250 billion for testing so that Americans can feel safe returning to work. 

Testing is the key component in reopening our country and recovering from this devastating virus.

https://t.co/qMRfU92B3p",2020-05-07 22:43:16
"1️⃣Test
2️⃣Isolate 
3️⃣Contact Trace
4️⃣Quarantine 

These are the four priorities @DrTomFrieden recommends we have in place before we can safely restart our economy. 

@realDonaldTrump we need to expand testing. Listen to the experts👇🏼 https://t.co/q4iTr6XiEm",2020-05-07 16:51:33
"Reopen too soon &amp; cause a second wave of infections 

Or 

Ramp up funding for critical testing &amp; ensure essential workers are tested at the same rate as @WhiteHouse staff?

I choose adequate testing &amp; human lives over an unsafe return for workers &amp; a blind drive for profits https://t.co/oe4Ff5vdYy",2020-05-07 14:24:28
"Our nation’s nurses continue to demonstrate true dedication, compassion &amp; hard work during this crisis.
 
This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to do their jobs safely while they continue saving lives https://t.co/XGPHVbxrIY",2020-05-06 18:38:02
"Congratulations to @SpaceX on the successful static fire test of their Starship SN4. 

TX34 is proud to have the future of space exploration right in our backyard. 🚀

https://t.co/A1BNytPZEN",2020-05-06 13:52:34
"The deadline for some veterans and disabled Americans to receive an additional $500 child payment via the CARES Act is TODAY. 

Request your funds online now at https://t.co/lc4ctq2L5F",2020-05-05 19:52:18
"#DearBetsy, in the middle of this GLOBAL HEALTH CRISIS, students need you to:

✅ Distribute emergency cash Congress appropriated (like you are legally required to)
 
We do NOT need you to:
🚫 Create a system to FAVOR sexual abusers. 

#HandsOffIX",2020-05-05 17:28:18
"This week is #TeacherAppreciationWeek!

 A huge thank you to the many teachers throughout #TX34 that are tirelessly working to ensure that their students receive the best education possible during this global pandemic. https://t.co/ifY15kadHX",2020-05-05 13:05:04
"59 years ago today, 13 courageous Americans started a dangerous journey through the segregated south.
 
As we honor the #FreedomRiders, we must recommit ourselves to their fight for justice and equality for all, especially as we face a global crisis. https://t.co/tlyWLgVPXF",2020-05-04 16:55:23
"Census Day was one month ago today and so far only 34.9% of #TX34 has responded to the #2020Census. 

There’s still time to complete the 2020 Census by mail, phone, or at https://t.co/cZWprGJLRJ and help our community get the resources that it needs for hospitals and schools.",2020-05-01 18:02:21
"Attention! Please share this updated list of Texas Mobile Test Team Locations. 

If you or someone you know is exhibiting the @CDCgov declared COVID-19 symptoms please reach out to your health care professional immediately and call the number on the flyer below to schedule a test https://t.co/KqhsuOrWjf",2020-05-01 14:13:04
"Racism &amp; poverty combined are deadly for kids of color -- in fact, more Black and Latino kids die of cancer because of these factors. #HealthDisparities &amp; #HealthEquity aren’t arbitrary, they’re direct effects of institutional racism. #MinorityHealthMonth 
https://t.co/FecNtuFeOQ",2020-04-30 21:14:39
"If you would like to participate in my telephone town hall you MUST register using the link below prior to 8am CST.

Sign up Link ➡️➡️➡️ https://t.co/xtVowmLRPb https://t.co/WDrg20ew3V",2020-04-29 22:44:25
