tweet,dates
"75 years ago today the Supreme Allied Commander, General Dwight D. Eisenhower accepted the unconditional surrender of German forces which ended military conflict in Europe.  I am grateful for the sacrifices our servicemen and women gave in order to defeat fascism and tyranny. https://t.co/sxnbeWTNvU",2020-05-08 21:12:22
"The EU “kowtows”, emboldens China, and threatens the world.

https://t.co/0A4tC6QyXE",2020-05-08 17:29:18
"What are these schools thinking? Tax them. They should return these funds immediately. 
https://t.co/5U6DqLiGX3",2020-05-06 21:13:02
It is encouraging to see this issue of Chinese infiltration gaining traction. @SenTedCruz and I sponsored the SHEET Act to address exactly this issue. It is time to pass this legislation in the House and Senate now. https://t.co/qJdFgPOvEO,2020-05-04 20:46:37
"This evidence proves clearly that co2/no2 emission reductions work. The EPA sould not be relaxing these standards.
https://t.co/MnpOyFrU3W",2020-05-01 18:28:29
"Congress should get back to work on behalf of the American people when it can be done safely and securely. Right now, remote or paired voting is the best, safest alternative, until the pandemic subsides and normal voting procedures can occur. https://t.co/QMDmLMlZvL",2020-04-29 21:06:02
Typical-Maduro regime places 1 of its most corrupt &amp; criminal officials in a critical leadership role as the economy collapses further amid the ongoing health crisis. The int’l community should soundly denounce this action &amp; stand with the Venezuelan people in demanding democracy https://t.co/zck25wUtBc,2020-04-28 18:18:37
Funds have now been replenished for the Paycheck Protection Program to aid our small business community. Please visit the SBA website linked here for information on PPP and other funding programs that are available. https://t.co/nIJnLuCTnL,2020-04-27 18:54:56
"The WHO, along with most of the UN, is overdue for a cultural overhaul; the United States must protect its interests in these organizations. Are we done with allowing the corrupt CCP to control information to and from the international community? https://t.co/l5N1MBJyPr",2020-04-24 19:51:04
"The postal service must adapt to changing markets. In 2019 the USPS lost over $8 billion dollars, so COVID-19 is not the underlying problem for them. The USPS should adjust pricing, eliminate o.t., adjust delivery schedules &amp; eliminate subsidies to compete https://t.co/nNDafbGTd1",2020-04-24 18:28:04
"To limit future risk to lives, to our economy &amp;ecology, the senate should pass my bill, HR205, to make permanent the ban on drilling in the Eastern Gulf, East of the Military Mission Line, &amp; the Interior Dept should stop undermining the post-Macondo well control regulations (2/2)",2020-04-20 18:34:39
"10 years ago today, the Oil Rig Deepwater Horizon exploded  and a economic and ecological disaster ensued. This tragedy killed 11 crew members and caused over 200 Million gallons of oil to be spilled. (1/2) #DeepwaterHorizon",2020-04-20 18:31:37
"3M is putting profits over patriotism at a time when Americans are in need.

https://t.co/9R0TV3L1P3",2020-04-20 18:21:24
This is a great step forward for restoring our Everglades and fixing our water. We need to continue to build upon the progress we’ve made over these last 4yrs. #EAAReservior https://t.co/SnaPg79HKK,2020-04-17 22:00:12
