tweet,dates
"🚨ATTN YOUNG ARTISTS 🚨

The deadline for the 2020 Congressional Art Competition is this Thursday, May 14th! In order to responsibly practice social distancing, this year's contest will be digital.

MORE INFO ↓
https://t.co/pDwF2sA35T",2020-05-10 17:30:00
"Training our health care workers to properly respond to the novel #COVID19 has become paramount.

Thanks to @NSF, @okstate will develop a virtual reality simulator to train first responders on how to safely and efficiently provide care to those infected! →https://t.co/LZDo6Jv31V https://t.co/fEwnKMMkXz",2020-05-08 21:00:24
"Testing capacity, resources, and supplies are critical in our fight against #COVID19.

I applaud @HHSGov for providing funding to expand testing in rural Oklahoma during these challenging times.

https://t.co/2UhkhdyVD0",2020-05-08 19:00:02
"🚨ATTENTION HS SENIORS 🚨

Each year, I have the honor to nominate a limited number of seniors to attend our nation's military service academies. 

Click below if you or a friend are interested in continuing your education and serving our country ↓
https://t.co/x50XsIlEiH",2020-05-08 16:58:07
"During the #COVID19 pandemic the need for rural broadband has never been so apparent. Communities across Oklahoma are becoming increasingly reliant on rural broadband. 

Thank you @SecretarySonny for continuing to provide broadband to rural Americans across our country. https://t.co/BWkQKnop2A",2020-05-07 17:41:39
"It's critical our rural hospitals remain open to ensure Oklahomans have access to care and our providers have the supplies they need to care for their patients. 

That's why I cosponored the Immediate Relief for Rural Facilities &amp; Providers Act!

https://t.co/K8pWKsEeH9",2020-05-06 21:49:38
"Access to affordable, reliable, high-speed internet is essential in today's society.

#COVID19 has shined a spotlight on the inequities our rural communities face due to lack of broadband. That's why I was proud to co-sponsor the Universal Broadband Act.

https://t.co/TsVsoq23ls",2020-05-05 22:05:02
"The #coronavirus pandemic has emphasized the importance of broadband access for our rural communities, schools, and health care providers. Reliable access to high-speed broadband is critical in a world fueled by the increasing demand of connectivity. 
https://t.co/CDfRqXPdaR",2020-05-05 17:30:00
"Do you have questions about @SBAgov’s #COVID19 Loan Programs? 

Join @SBA_Oklahoma’s COVID-19 Loan Program Webinar ↓ https://t.co/oE9984XCiv",2020-05-05 14:00:00
"Following an announcement by @HHSGov, Oklahoma's rural health care providers will receive additional relief to help support the national response to #COVID19.

In communities across Oklahoma, rural health care hospitals are fighting on the frontlines.
https://t.co/qmoYzA14mD",2020-05-04 23:00:00
"Throughout this pandemic, Oklahoma's farmers and ranchers have worked tirelessly to ensure the well-being of the American people and the strength of our food supply chain. Now more than ever, our ag producers need the same help that local businesses need. 

Thank you, @SBAgov. https://t.co/0YhzZnNdZ6",2020-05-04 21:16:05
"If China surpasses us in critical innovation, it will have significant implications for our national security &amp; our way of life.

We’re working with universities &amp; agencies to protect our academic research enterprise and maintain America's scientific &amp; technological leadership. https://t.co/CejBwGDdkQ",2020-05-04 18:56:09
"Cattlemen want effective, market-based risk management tools. But market volatility has made participation hard to manage and capital intensive.

Today, 24 of my colleagues and I asked @SecretarySonny to release findings of his beef pricing investigation ASAP.

READ THE LETTER ↓ https://t.co/d5fbhcY9kl",2020-05-01 21:00:00
"This past week, @PTDO_USecAF paid a visit to the airmen and women at @71FTW and thanked the entire @CityofEnid for their commitment to the @usairforce mission.

I'm extremely proud of the support the @CityofEnid provides to @71FTW.
https://t.co/iJrQxVWde0",2020-05-01 16:10:49
"Providing liquidity to Main Street businesses is crucial as our local economies face hardships. The expansion of the @federalreserve Main Street Lending Program undoubtedly helps small businesses stay afloat, but also ensures Americans can &amp; will recover.

https://t.co/XEbOYjAhHz",2020-04-30 16:39:15
"More than 88 million Americans have already received their Economic Impact Payment to help cover immediate expenses during the #coronavirus pandemic.

Track the status of your payment or update your information using the @IRSnews' ""Get My Payment"" tool ↓
https://t.co/CvOGOYoiYg",2020-04-30 15:30:00
"Of @HUDgov's more than $55 million provided to Oklahoma, $267,084 will be allocated to the @CityofEnid, helping support community response efforts to the #coronavirus pandemic. 

I appreciate the actions of @SecretaryCarson as @HUDgov continues to support Oklahoma's communities. https://t.co/bwd31J8rsm",2020-04-29 22:00:01
"The U.S. economy, while disrupted now, is fueled by hardworking Americans who understand the unprecedented challenges posed by #COVID19. 

Our economy is resilient and, with the relief provided by Congress &amp; the support provided by the @federalreserve, we will come back strong.",2020-04-29 19:51:14
"Help shape Oklahoma's future by filling out your 2020 U.S. Census today!

💻: https://t.co/pfcbOg2POF
📞: https://t.co/WU7YdhjJUy
✉️: https://t.co/xbuLj21M5y https://t.co/TyqpgRilYO",2020-04-29 17:08:00
"Last week, @usedgov awarded more than $160M to Oklahoma's K-12 schools, addressing the needs of our educators and students. I thank all of Oklahoma's school administrators and educators as they help reimagine our children's education during this crisis.
https://t.co/4CoamkCXoO",2020-04-28 21:42:21
"Thank you to the proud men and women of the @OKGuard for helping distribute much-needed Personal Protective Equipment across the state of Oklahoma. 

From the frontlines of battle to the frontlines of a national public health emergency, @OKGuard is always answering the call! https://t.co/W017RT6IBS",2020-04-27 22:24:45
"🚨REMINDER: Oklahoma's farmers and ranchers are eligible for both PPP and EIDL.

@SBAgov has resumed accepting applications for the #PaycheckProtectionProgram. Learn more about the program, find a lender, and apply today ↓
https://t.co/yiB1GVvYD3",2020-04-27 16:02:25
"GREAT NEWS → Oklahoma's publicly owned, rural hospitals are now eligible to apply for @SBAgov's Paycheck Protection Program &amp; other financial assistance provided by the CARES Act!
https://t.co/c5cIJgGNvQ",2020-04-24 22:08:52
"From computer scientists modeling the impact of the virus to engineers powering our electrical grid- our nation's scientists, engineers, and researchers are playing a critical role in our fight against #COVID19. 

Thank you to all of America's scientists and lab workers! https://t.co/0DXoL7JmuY",2020-04-24 17:30:00
"The Paycheck Protection Program is a lifeline for Oklahoman small businesses- it's already saved more than 35,000 businesses. 

Thanks to the hard work of one Altus-area financial institution, 26 small businesses were authorized @SBAgov PPP loans.
https://t.co/P70EyncObH",2020-04-24 14:40:57
"The House just passed the Paycheck Protection Program &amp; Health Care Enhancement Act, providing much needed relief to U.S. businesses and hospitals. It includes:

✅$𝟑𝟏𝟎 𝐛𝐢𝐥𝐥𝐢𝐨𝐧 for the PPP
✅$𝟏𝟎𝟎 𝐛𝐢𝐥𝐥𝐢𝐨𝐧 for hospitals and testing
https://t.co/zbRWnzkxjY",2020-04-23 22:29:33
"ICYMI: This morning I joined @kfor live from Washington, D.C., discussing the immediate need to replenish Paycheck Protection Program loans and how to safely and responsibly reopen the U.S. economy. 

WATCH ↓ https://t.co/0xQXJlOnpM",2020-04-23 16:30:00
"U.S. adversaries are spreading #COVID19 disinformation, exploiting communities across our country.

Disinformation has killed people across the globe. Russia, China, and Iran must stop this deadly spread of disinformation.
https://t.co/KxMgoujmn1",2020-04-23 14:30:00
"TUNE IN 📺: I’ll be on @kfor live from the U.S. Capitol this morning with @KentOgle at 6:40AM. 

7 days ago, the Paycheck Protection Program ran out of money. Today, Congress will hopefully replenish those funds and provide relief to countless American workers &amp; small businesses.",2020-04-23 11:05:00
"Have questions about #COVID19?

Visit my website for up to date information and health tips on how to best keep you and your family safe! #InItTogether🇺🇸 
https://t.co/TeakCHxLTY",2020-04-22 23:00:00
"Oklahoma's farmers and ranchers, food manufacturers, and grocers are working on the front lines to keep Oklahomans safe and food on the shelves as we fight #COVID19. 

Help Oklahoma's small businesses and local economies and buy local! @MIOCoalition https://t.co/93n9RaLj5s",2020-04-22 18:46:50
"Congratulations to @okstate's researchers and innovators who are striving to bring about a higher and brighter future!

@okstate continues to serve as one of our nation's leading institutions in the field of unmanned aircraft systems. 
https://t.co/6UNHy8r0cA",2020-04-22 16:10:36
"Days after Democrats shut down emergency support for America’s small businesses, the Senate has just passed additional funding for the #PaycheckProtectionProgram. 

It’s time for the House to put politics aside and provide much needed support for America’s Main Street businesses.",2020-04-21 22:52:40
