tweet,dates
"Instead of listening to experts, Trump treated this crisis like a failed reality TV show that prioritized economic gain over the health of Americans. House Democrats will continue to push for a national testing strategy to safely reopen the economy and keep Americans healthy. https://t.co/EyjTKWgCQo",2020-05-10 17:30:00
Happy Mother’s Day! https://t.co/fB8OMZD0hT,2020-05-10 16:43:03
"Bird watching is a great way to relax and connect with nature. Spring migration season is upon us, so here are seven tips to get started. 
https://t.co/rk1bYPyXWq",2020-05-09 23:30:00
"The coronavirus pandemic has exacerbated the financial strain our communities and residents faced after Superstorm Sandy. That is why I introduced a bill with @RepAndyKimNJ &amp; @SenatorMenendez to help homeowners and towns still recovering from Sandy. 
https://t.co/ZPWPf4WF8B",2020-05-09 23:00:00
"It’s good to see New Jersey come together and help our friends and families who need support during this difficult time. Thank you to everyone working to assist our fellow New Jerseyans. 
https://t.co/TJCORbYTZ2",2020-05-09 21:45:00
"Community health centers provide critical health care to New Jerseyans during the coronavirus pandemic. Five community health centers in New Jersey’s 6th Congressional District will receive over $1.5 million to expand testing &amp; increase contact tracing.
https://t.co/vsdwF2MpzV",2020-05-09 20:58:46
The coronavirus pandemic has negatively impacted the commercial and charter fishing industries in New Jersey. That’s why I pushed for federal funding to help these industries weather the ongoing economic storm. https://t.co/qfMXyZAgqO,2020-05-09 19:15:00
"Trump’s hypocrisy is clear as he rejects a widespread testing strategy for Americans even as he is tested daily. Democrats will continue to push for a comprehensive national testing plan. 
https://t.co/9jyVXK7vd7",2020-05-09 18:23:28
Today's COVID-19 update https://t.co/6f7Vjr9wCA,2020-05-09 01:19:07
"We can't allow private equity firms to drive up profits at the expense of allowing nursing home facilities to fall into disrepair, putting loved ones at risk. We need to improve oversight to ensure these facilities are safe and follow health guidelines. https://t.co/c86fXe6ehQ",2020-05-08 23:39:18
"Join me for my weekly update

#FridayswithFrank

https://t.co/cT0fVuL09I",2020-05-08 22:53:17
"My Committee heard today from health experts about the steps we must take on testing, contact tracing and surveillance in order to safely reopen our nation.  Here’s a recording of the bipartisan forum if you’re interested in listening.
https://t.co/9Mam7O0LXP",2020-05-08 22:12:19
The national guard will deploy 120 guardsmen to long-term care facilities beginning this weekend. https://t.co/QrZoEjmYwT,2020-05-08 19:39:45
Good news! @US_FDA has approved the @RutgersU saliva test for at-home use. This test has the potential to greatly increase testing capacity across the country. https://t.co/UeUh8ODkjp,2020-05-08 19:07:32
I joined several Democratic Leaders in a letter to @DHSgov and @HHSGov urging the Trump Admin to rescind implementing policies that could delay the release of migrant children in HHS care to their sponsors and increase the risk for exposure to #COVID19. https://t.co/Z6JlMEaILe,2020-05-08 17:18:47
Today @RepAndyKimNJ and I introduced the Security After Sandy Act to give financial relief to hardworking New Jerseyans and New Jersey towns that are still recovering from Superstorm Sandy. https://t.co/1kfxcLDh2X,2020-05-08 16:40:32
Small businesses can still apply for Payroll Protection Program loans. Contact your lending institution if you wish to apply. More information 👇 https://t.co/1MfeTxl4H4,2020-05-08 15:14:25
I cannot thank our health care workers in New Jersey enough for their dedication and sacrifice during this public health crisis. They risk their own lives to care for patients and provide comfort to them when families could not. We cannot thank them enough. #JerseyStrong https://t.co/rL5DE8gZua,2020-05-08 01:31:14
"Trump’s unnecessary border wall project has already wasted millions in taxpayer dollars with no changes to border security. He now wants to throw away even more taxpayer money on a $500 million paint job in the midst of a public health crisis. 
https://t.co/X0dbO1q1cZ",2020-05-08 00:30:00
"Reopening our economy cannot happen safely unless we follow the advice of scientists and public health experts. This blatant disregard for @CDCgov's guidance will only put more lives at risk and unnecessarily prolong the #coronavirus pandemic.
https://t.co/LJY2xRl9XU",2020-05-08 00:05:54
Today's COVID-19 update https://t.co/9US6HZbAHA,2020-05-07 23:30:00
Looking forward to discussing critical consumer protection issues related to the #COVID19 pandemic with @JoeSimonsFTC on Monday. Thanks to CPC Chair @janschakowsky and RM @cathymcmorris for leading. https://t.co/9ILIOlbq43,2020-05-07 23:15:00
I am deeply concerned about the Trump Administration’s lack of transparency into the methodology being used to distribute the #COVID19 Provider Relief Fund. @RepRichardNeal and I are demanding answers from @SecAzar and @SeemaCMS. https://t.co/LWJg7Qpp89,2020-05-07 22:11:24
"Community health centers in New Jersey will receive over $11 million to expand #coronavirus testing. We must continue to work to expand our testing capacity if we want to safely reopen the economy and fight the spread of the coronavirus.
https://t.co/DXNog0ssCE",2020-05-07 21:47:09
New Jersey will receive over $11 million to support the recreational and commercial fishing industries impacted by the #coronavirus pandemic.  https://t.co/DUhMSnFZ07,2020-05-07 20:49:26
"Despite new research confirming that air pollution has a dire — even deadly — effect on human health, particularly now in the midst of a respiratory illness pandemic, the Trump Admin has continued its barrage of environmental rollbacks undeterred.",2020-05-07 19:49:50
"Even as the #coronavirus pandemic threatens the health of millions of Americans, Trump will stop at nothing to destroy the Affordable Care Act. Millions of Americans rely on the ACA’s benefits and protections. This callousness must end.
https://t.co/nbCJQBFkl1",2020-05-07 15:49:52
"Our nation cannot effectively combat this terrible #coronavirus pandemic in the weeks and months ahead without significant testing, contact tracing and surveillance. That’s why I’m holding a forum with @EnergyCommerce tomorrow.
https://t.co/VXLmHv83zF",2020-05-07 14:00:41
Today's COVID-19 update. https://t.co/Q7y0ooxQlG,2020-05-07 00:15:00
"Sad that Trump Administration refused to participate in virtual world summit on vaccines. US must continue to exercise leadership on global health issues particularly during a pandemic. We are all in this together. 
https://t.co/my4ZBryHBH",2020-05-06 23:48:00
Following up on fisheries funding provided in the CARES Act. Trying to get the Trump Administration through NOAA to push out dollars to fishing communities in New Jersey.,2020-05-06 23:25:15
This report is heartbreaking and it's tragically playing out in communities across the country. I'm working to get the data we need from CDC so Congress can direct resources and support to close this unacceptable disparity.  https://t.co/scVr9YA13j,2020-05-06 22:18:55
The Supreme Court heard oral arguments today over the Trump Administration's attempt to gut the protections of the ACA's birth control guarantee. We cannot go back to a time when women's employers got to decide whether they had coverage for birth control. https://t.co/jlrIToqBDi,2020-05-06 21:54:37
"Roughly $70 billion has been distributed to health care providers under the #CARESAct, but the Trump Admin is discriminating against Medicaid providers. @RonWyden and I wrote to Secretary Azar urging support for safety net health care providers. https://t.co/noE6DxTGRY",2020-05-06 20:28:51
"Important Update: Governor Murphy announced the NJ Department of Consumer Affairs will begin a program to grant temporary emergency licenses to recent graduates of nursing, physician assistant, pharmacy and respiratory care therapy programs.
https://t.co/8pIpALxH2w",2020-05-06 18:44:47
Today is #NationalNursesDay! Thank you to our nurses and front line health care workers who are working around the clock to keep us healthy and safe throughout this pandemic. America is grateful for your sacrifice and dedication. https://t.co/STIhkPvyBj,2020-05-06 15:44:17
Today's COVID-19 update. https://t.co/dN1oG4RIje,2020-05-06 02:12:27
"My @EnergyCommerce Committee is pushing a nationwide program to track, identify, and isolate COVID-19 cases, so we can safely reopen America.
https://t.co/0ScgaCadqh",2020-05-05 22:15:18
"New Jersey’s fishers are facing tough times with decreased demand. That’s why my colleagues and I secured $300 million in funding in the CARES Act for fishing communities who have incurred economic losses during the pandemic.
https://t.co/WBXY6uMytI",2020-05-05 20:33:05
"This new coalition shows growing support for securing the domestic and international communications supply chains from threats like @Huawei.

Their support is crucial as @EnergyCommerce continues bipartisan work to fund viable 5G equipment alternatives. https://t.co/dnOGsW5lo5",2020-05-05 20:01:37
"Tomorrow the Supreme Court will hear arguments on the Affordable Care Act's birth control protections.

Coverage for birth control shouldn't depend on where you live, work or go to school. The Trump Admin needs to keep its hands off access to birth control. https://t.co/Vzod2ipaNf",2020-05-05 19:24:39
"ICYMI: Sandy Hook will reopen this Saturday, but with some restrictions. More info ⬇️
https://t.co/BPlxEL9ScV",2020-05-05 18:39:31
"Congress continues to make telehealth more widespread by eliminating both regulatory and health care provider reimbursement barriers.  
https://t.co/YBZToGmYRl",2020-05-05 18:16:17
"Reminder: If you are a non- tax filer who receives SSI or VA benefits and have an eligible dependent, you must update your information today with the IRS to receive your full Economic Impact Payment. https://t.co/PloieelstK",2020-05-05 15:53:54
Today's COVID-19 update. https://t.co/RCOXCHEtJf,2020-05-05 00:21:45
Testing is essential to reducing the spread of this horrible virus. Today my Committee got an update from @HHS_ASH.  We stressed expanding testing capacity to the communities with the greatest need. https://t.co/ydTUHcEK27,2020-05-04 22:42:29
May 4th is #InternationalFirefightersDay. We thank firefighters around the globe who risk their lives to keep us safe. We also remember those who lost their lives protecting our communities and families. https://t.co/F8YzbJBkQC,2020-05-04 20:39:20
"Good news: The @RutgersU saliva test has the potential to increase testing capacity nationwide, particularly if it can be manufactured and moved without supply chain problems. 
https://t.co/x5EXeMIGma",2020-05-04 19:44:21
"Over $2 million in funding from the CARES Act has been awarded to support public housing and operations in NJ’s 6th Congressional District during the pandemic. This funding will go a long way to help prevent homelessness during this crisis. More info ⬇️
https://t.co/siEoxOLdZr",2020-05-04 18:56:29
"Congress’ latest coronavirus relief bill included $25 billion for a national testing program, but more needs to be done. That’s why my @EnergyCommerce Committee is developing a comprehensive testing plan with coordinated contact tracing and isolation. 
https://t.co/kqfs0a4iyW",2020-05-04 18:15:30
