tweet,dates
"""I think the people are going to reflect back on this and say President @realDonaldTrump led us into good times. When adversity struck...he showed leadership then and took decisive action to make sure Americans were safe.""

More from my appearance on This Week in Pennsylvania 🔽 https://t.co/mAyzTv0G1y",2020-05-10 16:15:00
"I joined @Owens_abc27 for This Week in Pennsylvania where we talked a number of #COVID19 issues. It airs tomorrow at the following times on the following networks:

WBRE - 6:30AM 
WHTM - 11:00AM 
WTAJ - 6:30AM 
WJET - 10:00AM 
WHAT - 7:00AM 
WETM - 7:00AM",2020-05-09 21:00:00
"""Keller also attributed the rate, highest since 1940, to what he called lack of a 'cogent plan' for the state under Gov. Tom Wolf. Uncertainty, Keller said, characterized state policies with regards to economic recovery.""

More ⬇

https://t.co/ZdCTYrDYhS",2020-05-09 18:07:15
"“The small business owners, their employees, have really built this economy that we had before the invisible enemy struck...If we give them the guidance and the guidelines, they’ll be able to do it and make sure they are operating safely.”

https://t.co/Oz5weFMQMV",2020-05-09 15:07:25
"“There is no reason to keep hardworking Pennsylvanians from supporting themselves and their families.”

@GovernorTomWolf, it’s time to re-open Pennsylvania!

https://t.co/b6K5LuaKRb",2020-05-08 23:54:49
I’ll be on Tipping Point with @Liz_Wheeler on @OANN tonight in the 9:00 p.m. ET hour talking about the D.C. swamp being exposed for trying to tear down President @realDonaldTrump by any means necessary just because he wanted to take their power and return it to the people! 🇺🇸🇺🇸🇺🇸,2020-05-08 22:05:50
"🚨About to talk with @WilkowMajority on @SiriusXMPatriot to discuss the release of the Russia investigation transcripts and the attempt by the D.C. swamp to take down President @realDonaldTrump without cause, facts, or evidence! Tune in!",2020-05-08 18:04:09
"Today’s jobs numbers hit home the clear fact that it’s time for Pennsylvania’s economy to safely and quickly re-open and get people back to work.

Full statement 🔽 https://t.co/wEC95iiUoc",2020-05-08 16:40:21
"Last month, I asked USPS to produce a financial sustainability plan, but one has yet to be furnished. An unrestricted bailout of the Postal Service would be an irresponsible use of taxpayer funds. Any assistance must be accompanied by significant structural reform. https://t.co/vwsVVDQ0eD",2020-05-08 16:14:37
"For today's #NationalDayOfPrayer I was proud to join folks from across our region in offering prayers for those in need during this time and thanksgiving for our many blessings, including our outstanding healthcare workers and first responders. https://t.co/rJB8u7ws9j",2020-05-07 20:45:00
