tweet,dates
My thoughts are with the 112 #ChibokGirls who were abducted 6 years ago and all the families that Boko Haram has torn apart. #BringBackOurGirls #MothersDay https://t.co/5IENn7Jj4U,2020-05-10 15:58:56
"To all the mothers who inspire, teach, and support us, #HappyMothersDay! https://t.co/tow2XRI1ul",2020-05-10 15:54:35
"My dear @RepMaxineWaters, I am so sorry for the loss of your beloved sister to #COVID19. You and your family are in my prayers.",2020-05-10 00:38:11
"Your ZIP code should not determine whether you live or die during this #COVID19 pandemic!
https://t.co/SNDGyQkpz0",2020-05-08 22:15:38
"Thank you to all of the teachers in Florida and across the nation who are staying connected to their students during this challenging time. If you know any teachers, please let them know how much they’re appreciated. #TeacherAppreciationWeek https://t.co/RpAyxo6c1b",2020-05-08 18:52:51
"Thank you, to all my colleagues who have stood shoulder to shoulder with me in this fight for the past six years. #BringBackALLOurGirls https://t.co/M529OCFheN",2020-05-08 18:50:00
"Schools are closed, but teachers across the U.S. are showing up for their students in every way possible—just one of many reasons we need to tell them how much they’re appreciated. #SendTeachersLove with a message, photo, or video about why they matter to you. https://t.co/6JPXhcEAH5",2020-05-08 18:47:16
"It’s #TeacherAppreciationWeek! Make sure you #ThankATeacher today and every day.
Schools may be closed, but teachers are working harder than ever. Please let them know how much you appreciate their efforts. #SendTeachersLove https://t.co/aQg3HzL14N",2020-05-08 18:15:00
"This #TeacherAppreciationWeek, I am grateful to District 24 teachers who have so valiantly switched to #DistanceLearning classrooms with little time to prepare for this daunting new challenge. #ThankATeacher https://t.co/QB7pnKINge",2020-05-08 18:07:00
The #COVID19 pandemic has taught us how invaluable teachers are. Their jobs are challenging under the best circumstances. Please thank them by making sure your children are #DistanceLearning. https://t.co/OMShPFc4PX,2020-05-08 18:00:00
Legal Services of Miami Inc. is offering free #COVID19 counsel to small businesses and nonprofits. Register today! https://t.co/9JLYDW7Opb,2020-05-08 15:19:51
SMH https://t.co/Qavmm6PNx3,2020-05-08 14:29:46
"Nationwide #COVID19testing is imperative, but it can't be done without the federal government's help. https://t.co/8ZIASYv4a9",2020-05-08 14:26:53
"The U.S. lost an historic 20.5 million jobs in April. Congress must do everything in its power to help struggling Americans. We also need to massively increase #COVID19 testing so we can safely reopen our economy. #JobsReport 
https://t.co/d9g9A9vOQM",2020-05-08 14:21:37
"This arrest should have happened on February 23, the day #AhmaudArbery was murdered for no reason.
https://t.co/by5wN1yRoc",2020-05-08 13:57:48
"We have another black boy murdered in America by a vigilante, racist neighborhood play cop! God help us all. Not again! Nooooo! #AhmaudAubrey https://t.co/bDU18rPByv",2020-05-07 23:26:15
People should not have to put their lives on the line during a public health crisis to exercise the precious right to vote. RT if you agree. #COVID19 https://t.co/uEx8MBQPWn,2020-05-07 22:30:24
"ICYMI: I was on @Hot105 for my weekly #COVID19 update to discuss #TestingTestingTesting with the Florida Dept. of Health's deputy secretary.

https://t.co/OKYc0raz9s",2020-05-07 15:27:39
"Hey there, Miami Gardens. Here's a list of helpful #COVID19 resources in your community. Please share. https://t.co/xzr9EgEEV1",2020-05-07 14:52:27
Boko Haram's #ReignOfTerror must be stopped and we must continue fighting to #BringBackOurGirls. https://t.co/nXpTDQHXum,2020-05-07 14:34:47
"Without more emergency relief, hundreds of thousands of teachers and school staff will be laid off in the months ahead. We must honor #TeacherAppreciationWeek by giving schools and states the resources they need to avert devastating cuts to public education. https://t.co/XJoGulk1wi",2020-05-06 19:15:32
"Our nation’s nurses have shown us time and time again what true dedication, compassion and hard work really mean. This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/EeqXXCr4NP",2020-05-06 17:34:35
HAPPENING NOW! https://t.co/grQlsMKufX,2020-05-06 17:08:37
"This is not only incredibly cruel, it's also dangerous! RT if you agree. https://t.co/M1nTKjLGnX",2020-05-06 14:36:47
Please don't forget to tune in to @Hot105 this afternoon for my weekly #COVID19 update. Today's hot topic is #TestingTestingTesting and will feature the Florida Dept. of Health's deputy secretary. Spread the word! https://t.co/4Qfjj1vhu7,2020-05-06 14:00:52
"Here's an update on food distribution sites for the rest of the week.

https://t.co/GENmZz9geE",2020-05-05 21:35:07
Set your alarms for 1 pm tomorrow to ensure you don't miss my latest #COVID19 relief update on @Hot105. This week's focus is testing. https://t.co/d28elJU5t7,2020-05-05 21:24:46
"#DearBetsy, in the middle of this GLOBAL HEALTH CRISIS, students need you to:
✅ Distribute emergency cash Congress appropriated (like you are legally required to)

We do NOT need you to
🚫 Create a system to FAVOR sexual abusers. #HandsOffIX https://t.co/mX2QvZBNSr",2020-05-05 17:43:34
"If you receive SSI or VA benefits, have qualifying children under the age of 17 and did not file a tax return in 2018 or 2019, today is the LAST day to register to have $500 per child added to your#COVID19 economic impact payment. For more info click here: https://t.co/RW7R6y5JzM",2020-05-05 17:39:35
"🚨Alert: @BetsyDeVosED and @usedgov could release their harmful Title IX rule any day now. Yes, in the middle of a global pandemic, DeVos’ priority is attacking survivors’ rights.

#DearBetsy, a global pandemic is threatening lives. Now is not the time to upend survivors' rights. https://t.co/wQbZGLc6cj",2020-05-05 17:29:30
"These challenging times have reminded us of the incredible value of our nation’s teachers. This #TeacherAppreciationDay, we say thank you to the teachers who continue to shape students’ lives. #ThankATeacher https://t.co/yDEpOB1Ssv",2020-05-05 16:45:05
This fight still matters! #BringBackOurGirls. https://t.co/V32ij7uxup,2020-05-05 15:13:49
We will always be grateful for his support. RIP. https://t.co/vIOBuC7Pmm,2020-05-04 21:03:45
Tune in Wednesday for a discussion on #TestingTestingTesting! https://t.co/mP7lCOW1QH,2020-05-04 20:59:38
Facts save lives! https://t.co/c85lv7TbMG,2020-05-04 20:39:47
"#HappyTeacherAppreciationWeek! Teachers instruct, love, console, inspire, mentor, counsel, discipline, support, protect, feed, clothe, motivate, finance, guide, and parent the nation’s children for at least 8 hours a day. Oh, how we miss them! https://t.co/LUYI2hEdnn",2020-05-04 18:33:14
I refuse to allow the 112 still missing victims of the brutal #ChibokGirls kidnapping in Nigeria to be forgotten. #BringBackOurGirls https://t.co/jw0YzEN1Bg,2020-05-04 15:46:08
"Please visit my website today for an update on this week's free food distribution sites. 
https://t.co/GLHd4aWzLR",2020-05-04 15:19:56
"The #COVID19 pandemic is quickly dwindling our state's budget as more people than ever seek aid. We must all do our part by filling out our #Census2020 forms to ensure that Florida gets its fair share of federal funding. Trust me, we're going to need it! https://t.co/C1m9DyOiT5",2020-05-04 15:02:23
"ICYMI: On Friday, I participated in an @EdLaborCmte virtual member forum on the impact of #COVID19 and solutions for safely reopening schools when the time comes. I'm fighting to ensure they have the necessary funding to help children learn and heal in a healthy environment.",2020-05-04 15:02:14
"A new testing site has opened up at the Walmart at 3200 NW 79th Street. You must be 18 or older and exhibit symptoms. All health-care providers and responders also can be tested at the site. Click here to learn about additional requirements.
https://t.co/wBDsx7m5cS",2020-05-04 14:32:04
"The #COVID19  crisis has only intensified the fundamental inequalities of our nation. Today, as we honor the #FreedomRiders and all the heroes of the civil rights movement, we must recommit ourselves to their fight for justice and equality. https://t.co/MHyKvFPGL1",2020-05-04 14:24:39
"“When we wear red, we’re not just advocating for the #ChibokGirls, we’re advocating for women and girls all across the world because we know that education is the key to moving girls forward.”  #BringBackOurGirls https://t.co/AmOqxAa3DX",2020-05-03 12:44:00
"112 #ChibokGirls remain missing. More than six years have passed since they were abducted, but I remain hopeful that one day soon they will be reunited with their loved ones. https://t.co/2gH5WsNXT0",2020-05-02 14:46:19
Broward County banks and credit unions are working with small business owners seeking a #PPPloan. Visit https://t.co/pACUqVbM5d for more information about the process. https://t.co/nsQ8EjDKf6,2020-05-01 18:42:15
https://t.co/w2En2aMnMu,2020-05-01 18:37:48
Miami-Dade County banks and credit unions are working with small business owners seeking a #PPPloan. Visit https://t.co/pACUqVbM5d for more information about the process. https://t.co/ejeqtGkmS5,2020-05-01 18:36:59
"For the first time ever, the #2020Census is available online! Complete your household’s Census form safely from your home by going to https://t.co/JEpvRO58p8. It only takes a few minutes to #ShapeYourFuture. https://t.co/9P2OW7DKxv",2020-05-01 18:34:37
Boko Haram has single-handedly created a humanitarian crisis that will take generations to repair. We must #BringBackOurGirls. https://t.co/hKa8DylQ9S,2020-05-01 18:28:23
These workers are relieving a lot of pressure on families by helping to make sure that children are fed and I am grateful to them for their hard work. Thank you!#SchoolLunchHeroDay https://t.co/jN19Q4OMMi,2020-05-01 18:25:26
"Responding to the 2020 Census is one of  the most effective  ways you can help our community get the critical resources and funding it needs to prepare for future crises. 

There's still time to respond:

✉️By mail
📞By phone 
💻Online at https://t.co/JEpvRO58p8",2020-05-01 18:22:27
"More than 2,000 residents in nursing homes and assisted living facilities in Florida have tested positive for #COVID19. Here are some questions you can ask if you have a loved one in a facility.

https://t.co/mrfElyr2bB",2020-04-30 22:53:02
"District 24 small business owners: Please visit my website for guidance on applying for #PPPLoans.

https://t.co/lywwItboB1",2020-04-30 22:43:21
Holding out hope! My colleagues and I are still fighting to #BringBackOurGirls. https://t.co/CYoM2ZJENa,2020-04-30 17:46:02
"ICYMI
https://t.co/b2qSx7cWvr",2020-04-30 15:49:52
"Happy 94th birthday, Congresswoman Carrie Meek. District 24 loves you! https://t.co/0MptroiGVK",2020-04-29 23:41:34
Happening now! https://t.co/j2069YaNxF,2020-04-29 17:00:00
"For more information, visit https://t.co/FY4FAmOAt7 https://t.co/9df8ZuSx9Y",2020-04-29 15:47:05
I have hope that all 112 missing #ChibokGirls will be reunited with their loved ones and allowed to rebuild their lives. #BringBackOurGirls https://t.co/HCgFIK6GsP,2020-04-29 14:36:32
Please join me today at 1pm on @Hot105 for my weekly #COVID19 update. Today's topic is education. Spread the word! https://t.co/MlrZRhzjfE,2020-04-29 13:50:07
"Something to think about.
https://t.co/hqoNPgCgrM",2020-04-29 13:48:04
Too true! https://t.co/QX14MB7igq,2020-04-28 21:30:55
Please be sure to tune in tomorrow afternoon at 1:00 for my weekly #COVID19 update on @Hot105. https://t.co/66z1xagAGG,2020-04-28 21:04:31
"We must protect health care workers, first responders, and other essential workers on the frontlines of the fight against #COVID19. #WorkersMemorialDay https://t.co/J0QuRIfvm6",2020-04-28 19:08:58
"ICYMI: Voting by mail can save lives! 
https://t.co/Cm70OfOMCw",2020-04-28 19:08:03
"ICYMI: Hard Rock Stadium #COVID19 testing site is now open to asymptomatic patients. 
https://t.co/tUxb2Z5DeY",2020-04-28 17:50:35
"District 24 small business owners: To find local lenders to help you secure a #PPPLoan, click here: https://t.co/ZPQ4BVOgUo",2020-04-28 16:54:03
"Today is #WorkersMemorialDay. We are in the middle of a global pandemic. Workers are falling ill and dying from #COVID19. 

But OSHA is *still* refusing to issue an emergency standard to keep our workers safe. https://t.co/WZdx2NeACx",2020-04-28 16:25:28
