tweet,dates
The Paycheck Protection Program needs to be replenished as soon as possible to protect our small businesses -- it has helped support an estimated 30 million jobs. https://t.co/A13PxBg24A,2020-04-20 20:28:33
"The IRS has launched a new website to track the status of your economic impact payment. You can check yours here:

https://t.co/4bmZ46l1Lr",2020-04-15 17:31:03
"For most folks, economic impact payments will be automatic. Nothing is needed by those who filed tax returns in 2018 and 2019, and for most seniors and retirees. You can learn about how you are eligible here:

https://t.co/zMqH5Pd0Cc",2020-04-14 14:46:15
"VETERANS: The VA has expanded virtual mental health care services during the coronavirus crisis so that you can now access your healthcare provider from your computer, tablet, or phone. You can learn more here:

https://t.co/9aqyZHNvCq",2020-04-14 12:48:22
"From my family to yours, Happy Easter!",2020-04-12 12:31:38
The Saudi-led coalition fighting the Iranian-backed rebels in Yemen announced a 2 week cease-fire to battle the spread of coronavirus.,2020-04-10 22:44:04
"If you have questions about receiving an economic impact payment, be sure to check the link below.

It's important to remember that the IRS will not call, text, email, or contact you on social media asking for personal banking information.

https://t.co/D4mGxFo7Ks",2020-04-09 13:34:46
"Veterans can learn how the VA has implemented an aggressive public health response to the coronavirus crisis here:

https://t.co/G7PvlXaFKi",2020-04-08 20:08:43
"Here are some frequently asked questions related to coronavirus and unemployment insurance for folks in North Carolina:

https://t.co/2hPlPhHOa0",2020-04-08 14:01:48
"You can learn more about how the IRS is trying to help taxpayers, businesses and others affected by the coronavirus here.

https://t.co/8Bx0HWUxUy",2020-04-06 14:23:35
"SMALL BUSINESS OWNERS: The Paycheck Protection Program authorizes up to $349 billion in forgivable loans to small businesses to pay their employees during the coronavirus crisis. You can learn more about that program here.

https://t.co/ubp4Hsg4v3",2020-04-03 15:00:56
"“Social Security recipients who are not typically required to file a tax return need to take no action, and will receive their payment directly to their bank account,” said Treasury Secretary Steven T. Mnuchin

https://t.co/OvC7BBdXsk",2020-04-03 13:48:29
"The U.S. Small Business Administration is offering low-interest federal disaster loans to small businesses suffering as a result of the Coronavirus. You can learn more here.

https://t.co/mZm9AiJ1Hu",2020-04-02 21:38:58
"The IRS plans to send out economic impact payments in the next three weeks. Learn more about how that works here.

https://t.co/UapsEtBaBE",2020-04-02 18:38:15
"""The Wake County school system has posted information on where families can get free food at https://t.co/pGdu5facy1. The district is offering curbside pickup on weekdays from 11 a.m. to 1 p.m. at more than 30 sites.""

https://t.co/XuzirdRUKZ",2020-04-01 17:58:36
"I want to reassure folks that North Carolina is prepared to fight coronavirus. And Congress will be working with the administration and the CDC to ensure our state has every resource needed.

https://t.co/1D3dkSAiUf",2020-03-03 20:48:09
Last night’s State of the Union highlighted President Trump’s commitment to delivering on his promises to the country. Renegotiating trade deals and reforming our tax code has made our economy strong.,2020-02-05 14:35:29
"Qasem Soleimani was one of the world's most ruthless terrorists. 

He is directly responsible for the deaths of hundreds of Americans &amp; thousands of civilians across the globe.

Tonight, justice was served. The world is a safer place because Soleimani is no longer in it.",2020-01-03 03:27:08
Lucy and I wish you and yours a happy New Year! https://t.co/MJyN2Bfr8N,2020-01-01 01:38:03
"From my family to yours, Merry Christmas! https://t.co/NnP5QRXKRQ",2019-12-25 15:39:29
Happy Hanukkah to all those in North Carolina and across the country celebrating the Festival of Lights. https://t.co/Ob12CjJEO8,2019-12-22 23:26:44
