tweet,dates
"Happy #MothersDay to all! 

Even if you can’t be with your mom today, make sure to call and say thank you. Grateful for the chance to chat with my mom this morning — 93 years old and going strong!",2020-05-10 16:58:45
"Today is #AhmaudArbery's birthday. He should be celebrating like every other 26 year old would.
 
Instead, Ahmaud is dead at the hands of the same racism that for generations has robbed countless black Americans of countless birthdays.
 
We demand #JusticeForAhmaud.",2020-05-08 21:47:42
Listening to Vera Lynn singing “we’ll meet again some sunny day.” There will be sunny days again.,2020-05-08 19:24:08
"Even in normal times, teachers have challenging jobs – and these are not normal times. To teachers across VA-11, a grateful community thanks you for your passion, your patience, and your unfailing optimism.
 
Happy #TeacherAppreciationWeek!",2020-05-08 17:35:49
"The Justice Department dropped its case against Gen Michael Flynn despite the fact that he plead guilty. Atty Gen Barr has besmirched the rule of law and revealed himself to be nothing but an obsequious toady to a lawless President. 

A day of shame in for justice in America.",2020-05-08 00:34:49
"Michael Flynn betrayed the oaths he took as a military officer and a public servant. We know this because he pled guilty to it. Twice. 

He is not a patriot. He is a criminal. And now he walks free.

Is this what you mean by “tough on crime,” @realDonaldTrump?",2020-05-07 21:19:14
"Trump rewards a partisan donor by installing him at #USPS. The Postal Service is in crisis and needs real leadership and someone with knowledge of the issues. 

This crony doesn’t cut it. https://t.co/V3mGOIcnRW",2020-05-07 01:02:28
"Proud to receive an A on @CDACN’s latest legislative report card. Children and families need support now more than ever, and I will fight to make sure they have it. https://t.co/5Lw3NMRTso",2020-05-06 22:41:37
"Nurses have always deserved our thanks. But now they’re on the frontlines of the fight against COVID-19, and our thanks are not enough. 

We owe them the equipment and support they need to protect their lives as they save ours. 

Signed, the son of a nurse.

#NationalNursesDay",2020-05-06 20:12:13
"We know how aggressively the #coronavirus can hit crowded living facilities. Nursing homes, college dorms, prisons, etc. 

Why would immigrant detention facilities be any different? 

We cannot forget our shared humanity. #ICE detainees must be released -- now.",2020-05-06 19:32:32
"Our death toll reaches an all time high every single day.

Do your job, @realDonaldTrump. Or get out of the way. https://t.co/UGxwU7kHN9",2020-05-06 15:36:43
"Even through a devastating pandemic, our federal workforce continues to serve our nation — delivering mail, providing healthcare, protecting our food supply, researching cures. 

We thank them always, and particularly now. #PublicServiceRecognitionWeek #PSRW",2020-05-05 20:54:32
"1,000+ American deaths have been announced every day for 33 consecutive days. 70,000 will be dead by tomorrow. 

1.1 million sick, and 30 million out of work.

If you're hearing that nothing you've done has been good enough, it's because nothing you've done has been good enough. https://t.co/2l6k3Es95G",2020-05-05 19:03:56
"The University of Washington's model doubles the number of projected deaths attributed to #coronavirus, largely because of premature reopening of businesses in states that are relaxing stay-at-home guidance. 

@realDonaldTrump's recklessness is costing lives.",2020-05-05 17:24:52
"Calling all high school artists! My office is still accepting applications for the 2020 Congressional Art Competition. Make sure your submission is in by May 8. 

More info here: https://t.co/Z29bWmKJas https://t.co/uhpL9ESDAM",2020-05-04 20:22:04
"Got some hard-hitting questions at my first virtual Kids Town Hall today. 

My friends in the Capitol press corps better watch out -- you've got some competition.

ICYMI, watch the full Q&amp;A here: https://t.co/2Bxw6c9rAp https://t.co/iOr7FlIZGT",2020-05-01 19:31:10
"We’re live on Facebook for my Kids Town Hall! Tune in here:

https://t.co/CnlaRHGZhq",2020-05-01 16:09:49
"My Kids Q&amp;A starts in 15 minutes on Facebook Live! 

Tune in here: https://t.co/hLPy3p9Ogo",2020-05-01 15:44:16
"My Kids Q&amp;A is TODAY at Noon on Facebook Live! 

Submit your questions here and I'll get to as many as I can:

https://t.co/peGKDCTLfQ",2020-05-01 12:48:31
