tweet,dates
"Today and every day, we celebrate our incredible mothers who guide us, inspire us and push us forward.

This #MothersDay, let us remember to hold our loved ones extra close during this difficult time. https://t.co/x1r03nL1Yd",2020-05-10 16:51:46
"This Monday at 4 PM PT, I am holding my second #CisnerosInYourCity for the residents of #Placentia to discuss and answer any questions you may have regarding the #coronavirus. 

RSVP is required, space is limited: https://t.co/59x4i44L42 https://t.co/oX8ufBtYoU",2020-05-09 23:00:00
".@SecondHarvestFB and its volunteers have been tirelessly serving our community every day—providing food to families during this difficult time. 

Grateful to join them again for their Mother’s Day pop-up drive thru food distribution this morning. #CA39 https://t.co/QibM5kDgh0",2020-05-09 18:30:00
"On Thursday, I held the first #CisnerosInYourCity Town Hall with #Fullerton and talked about the latest info on #COVID_19.

Next week, I’ll be hosting ones for #Placentia, #LaHabraHeights, #Walnut, #CityofIndustry, #YorbaLinda &amp; #AnaheimHills.

Stay tuned for times &amp; RSVP links. https://t.co/NIabASyuB4",2020-05-09 16:35:55
"This #NursesWeek, I stand with @NationalNurses and nurses across the country as they demand the protections they need to do their jobs safely during the #COVID19 pandemic.

Frontline workers are putting their lives at risk to fight this and they need PPE.",2020-05-08 22:00:00
"#CA39 is home to one of the largest AAPI communities in the country. I want to celebrate #AsianPacificAmericanHeritageMonth by recognizing exceptional leaders and students from our #AAPI community. 

Nominate an outstanding AAPI trailblazer here: https://t.co/vg4PhqPsxc https://t.co/okhHnneezi",2020-05-08 21:13:03
"From the most recent coronavirus response bill—PPP and Health Care Enhancement Act—nearly $800,000 is coming back to #CA39 health centers to expand their #coronavirus testing capabilities.

We need to continue to make sure we have the necessary testing supply to meet our demand. https://t.co/8RWV10OeMa",2020-05-08 20:00:00
"Yesterday, I was grateful to talk with Councilmember Gomez and Marie about our efforts to combat the #coronavirus in #LaHabra and all of #CA39.

Thank you both for inviting me to ""Two on the Town with James &amp; Marie."" https://t.co/Zw9WV0xY7u",2020-05-08 18:01:33
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

The country is thankful for the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75 https://t.co/hJBV24nesq",2020-05-08 16:03:15
"Thanks to everyone in #Fullerton who joined my first ""#CisnerosInYourCity"" Town Hall. I was grateful to provide a federal update on the #coronavirus and answer your questions.

I'll be hosting more city-specific town halls soon, so stay tuned for more dates and cities. https://t.co/T4EopOY0YO",2020-05-08 01:42:25
"Right now, essential workers &amp; their families rely on child care as they continue to serve our communities. Yet our child care sector has been hit hard by the pandemic, causing businesses to shut down &amp; lay off workers.

Congress needs to provide relief to our child care sector. https://t.co/HeLtksp7O7",2020-05-07 21:00:01
"While the demand for city and states services has increased dramatically, the lack of revenue has wreaked havoc on their budgets—jeopardizing fire &amp; police departments.

Congress needs to step up and support our cities and states. https://t.co/IxlrlYkt7o",2020-05-07 18:30:00
"California restaurants and food providers interested in participating in the Great Plates Delivered: Home Meals for Senior Program can fill out this form below.

Intent letters are due tomorrow, May 8th, and the program will run through June 10th.
https://t.co/XOyDS3spte https://t.co/UARU1og2fm",2020-05-07 16:00:47
"Today, I introduced bipartisan legislation today to ensure our #CA39 chambers of commerce, associations and nonprofits can access #PPP loans. 

While they've been at the forefront of helping our small businesses weather this storm, they need relief too.
https://t.co/5F8vra2zmk",2020-05-06 21:40:55
"Tomorrow, I'm beginning my ""Cisneros In Your City"" virtual town hall series. I'll be hosting a town hall for each #CA39 city to provide updates &amp; answer questions on #COVID_19.

Tomorrow is for Fullerton residents. RSVP is required, space is limited: https://t.co/F3obCqN95Q https://t.co/Be5wSAaqKj",2020-05-06 19:02:00
"Our nation’s nurses have shown us time and time again what true dedication, compassion, and hard work really mean. 
 
This #NationalNursesDay, we can honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/LuFChG8SLU",2020-05-06 17:30:29
"Today, I'm joining @CalNonprofits, @QuirkSilva65th, and @AsmCottie for a town hall to discuss resources for nonprofits during #COVID_19. Register below: https://t.co/l1NmSl7BWF",2020-05-06 15:52:05
"""Orange County taxpayers will shoulder the burden of the coronavirus crisis for years, if not decades, absent any federal assistance.""

@RepHarley and I are advocating for more federal funding for our cities and states. Read our op-ed: https://t.co/IxlrlY2SfQ",2020-05-05 23:47:33
"Yesterday, I joined nearly 100 of my colleagues in urging @SBAgov to provide current #EIDL applicants with an update on their loan status and to begin accepting new applicants. Our small businesses cannot be kept in the dark. https://t.co/KrAkbYeQV5",2020-05-05 20:41:32
"In times like these, we must remember that our mental health is just as important as our physical health.

We must reject the stigma around mental health &amp; remind everyone that it is okay to ask for help. You are not alone. #MentalHealthAwarenessMonth https://t.co/RC0kVW7dp8",2020-05-05 19:32:13
".@CoveredCA has a special-enrollment period going on right now for those who have lost their healthcare coverage. If you need health insurance, sign up below. https://t.co/FzKvwAhUL4",2020-05-05 17:35:51
"Thank you to our courageous #CA39 firefighters for their tireless service &amp; sacrifice.

In February, I visited &amp; hosted a roundtable with firefighters from the Chino Valley Fire District @cvifd. I’m fighting for them &amp; all our firefighters in CA-39. #InternationalFirefightersDay https://t.co/GW0wQXV525",2020-05-05 03:57:19
"From our galaxy to yours, #MayThe4thBeWithYou! #StarWarsDay https://t.co/AEymZtxaRa",2020-05-05 00:40:56
"In the middle of a pandemic and Permanent Change of Station, military families are bearing a financial burden by having to pay for 2 housing payments. While the DOD’s stop movement order was the correct response to this crisis, they cannot leave these military families behind. https://t.co/LJ0P9ILoBx",2020-05-04 22:30:30
"URGENT: If you receive SSI or VA benefits, do not normally file taxes, &amp; have a dependent under 17, you must fill out the IRS form by TOMORROW, May 5th to receive the additional $500 stimulus for each dependent. https://t.co/yONN0Fcj5c",2020-05-04 21:30:30
"This week is #TeacherAppreciationWeek. During these unprecedented times, our dedicated teachers have found creative ways to continuously support &amp; educate our students.

Take some time this week to show your appreciation &amp; #ThankATeacher. https://t.co/sPkhx4vXls",2020-05-04 20:30:49
"Our cities and states not only need funding for coronavirus related healthcare needs, but also proper funding for our firefighters, police officers, and city services.

@RepHarley &amp; I wrote an op-ed calling on Congress to support our cities &amp; states. #CA39 https://t.co/IxlrlY2SfQ",2020-05-04 19:30:00
"59 years ago today, 13 #FreedomRiders began a dangerous journey through the segregated South to stand up for justice.

As we honor their sacrifice, we must continue their fight for justice and equality for all, especially as we face a global crisis. https://t.co/LPUkfKNh99",2020-05-04 18:00:30
Important deadline ⬇️ https://t.co/T85oJguwzv,2020-05-04 15:58:17
"I’m proud to have worked with my Republican and Democratic colleagues to secure priority CDC #coronavirus testing status for our first responders.

This is a step in the right direction, but we must ensure all essential workers and everyone who needs a test, can get one. https://t.co/IppjlJ5ZnM",2020-05-03 16:45:17
"Thank you to the United Across Borders Foundation and all of the volunteers who made today’s food drive possible. Your tireless hard-work and service mean so much to #CA39.

By coming together as a community, we will get through this crisis. https://t.co/Nio7UzFv7A",2020-05-02 20:19:18
"Great Plates Delivered is designed to help seniors in California &amp; those at high risk from #Covid_19 get 3 meals from local restaurants delivered a day. 

For more info, or if you you’re a restaurant that wants to participate, click below.
https://t.co/f4Jbpt0RpZ",2020-05-02 15:30:54
"Our heroic workers on the frontlines deserve PPE, hazard pay, and workplace protections They have been supporting our communities throughout this crisis and they deserve better.

Today and everyday, I stand with our workers. #MayDay",2020-05-02 01:09:31
"Our cities and states are struggling to stay afloat. Today, I'm proud to work with my Republican &amp; Democratic colleagues to introduce the FLEX Act which helps local and state governments offset lost revenue during this crisis—providing much-needed flexibility and assurance. https://t.co/SDy2XHYPvD",2020-05-01 21:21:35
Thank you to the #Placentia Chamber of Commerce @PlacentiaChambe for inviting me to your meeting today and allowing me to answer some of your questions. Please don't hesitate to reach out if you need more info or resources. I'm fighting for all our small businesses in #CA39. https://t.co/JOStlxhpC1,2020-05-01 21:05:29
