tweet,dates
"Happy #MothersDay to my mom, Joan. Thank you for all of your love and support, I’m lucky to have you! https://t.co/f0ouP2lYmX",2020-05-10 17:04:53
"Today is the 75th anniversary of Victory in Europe Day (#VEDay), which marked the end of WWII in Europe. Today, we celebrate this victory for freedom and honor those who courageously served in our armed forces. https://t.co/z2neoejgcd",2020-05-08 16:01:50
Today is National #MilitarySpouseAppreciationDay. Thank you to those who make countless sacrifices to support our Nation’s Armed Forces. https://t.co/o0xgcaWNpx,2020-05-08 14:37:14
I hope you’ll join me in continuing to support #WI06’s local businesses during the #COVID19 outbreak. https://t.co/mGUChsFMpW,2020-05-07 19:55:52
"Today is the #NationalDayofPrayer. May we continuously trust God in prayer with the health, safety and prosperity of our nation for future generations, and remember He is with us always. https://t.co/SzLTueCyWx",2020-05-07 18:55:43
"Taiwan has pledged another 2.28 million surgical masks to the U.S., 100,000 of them coming to #Wisconsin. This is on top of the 2 million they sent our country last month. Thank you, #Taiwan!

https://t.co/ZOLSc0AP5j",2020-05-07 16:37:03
Happy National #NursesWeek! Many thanks to #WI06’s heroic nurses who are on the frontlines today and every day. https://t.co/rORJTSNRDO,2020-05-06 17:30:14
I cosigned a letter to @SBAgov to ensure Planned Parenthood is excluded from the Paycheck Protection Program. I will always work to protect your taxpayer dollars from abortion giants and defend our unborn children. https://t.co/fCzrks83NX,2020-05-05 17:15:35
"China is spreading propaganda and (likely) false information about #COVID19. The World Health Organization seems to be complacent. We need to find out why.

https://t.co/DTjVbBHd3L",2020-05-05 15:52:42
May is #TeacherAppreciationMonth. Thanks to #WI06’s incredible teachers who dedicate their lives to teaching our students. #SendTeachersLove https://t.co/BAnbP6dhZX,2020-05-05 15:41:05
Thank you to the firefighters who keep us safe. The work of these brave first responders has not gone unnoticed! #InternationalFirefightersDay https://t.co/phCUUXrFtg,2020-05-04 21:10:23
"May is Asian Pacific American Heritage Month. This includes honoring my friends in the Hmong community, who have a rich history and vibrant culture throughout #Wisconsin. #APAHM https://t.co/ukoOXyEkdC",2020-05-04 15:37:07
"Did you miss my interview on @newstalkwtaq? We discussed the latest #COVID19 relief bill and getting our country on track to safely reopen. Click below to listen!

https://t.co/adSErPJnIl",2020-05-01 19:38:27
"The @Packers have teamed up with @RedCross to hold a blood drive each Friday in May. Click below to find out how to schedule an appointment. #GoPackGo

https://t.co/xWqinNCliu",2020-05-01 18:32:59
Looking for a Summer internship? Click the link below to find out how to apply to my Fond du Lac office! https://t.co/7V98pRASQw,2020-05-01 16:06:00
"I look forward to working with the Reopen Fond du Lac Task Force to safely and effectively begin reopening our community. @EnvisionGrtrFDL 

https://t.co/yfidvscE0I",2020-05-01 15:06:00
"Please visit my website for answers to your #COVID19 questions. I’ve compiled resources for everything from Economic Impact Payments to small business assistance.  

Don’t see the information you need? Let me know!

https://t.co/Q9i08BjcCA",2020-04-30 15:11:40
I spoke with @EmergencyDocs about the state of the COVID19 outbreak in #WI and how we can continue to keep health care workers and first responders safe while treating patients. https://t.co/sIwgH0xzWr,2020-04-29 21:14:37
"I am glad to see @GovEvers reopening state parks this Friday so we can enjoy fresh air and exercise in our beautiful #WI parks. 

https://t.co/Lw0ky3ib2G",2020-04-29 18:42:59
"Last night we were told the House would return to Washington next week. Today @SpeakerPelosi reversed her decision. Construction workers, factories, food processors, farmers, grocery store employees &amp; more are working. Congress should join them and begin to re-open safely!",2020-04-28 20:09:29
Thanks to the patriotic Americans who are working overtime to get our country through this crisis. See some of their stories here: https://t.co/0k8a5W1eUR #AmericaWorksTogether. https://t.co/9sY7k1cTYd,2020-04-28 20:02:03
"I was happy to support @realdonaldtrump’s decision to withhold funds to the World Health Org. If the WHO was complacent in the Chinese cover-up during the early stages of #COVID19, it puts their credibility in question. We need answers. https://t.co/a8gOIaneGU",2020-04-27 22:42:29
Thank you to the men and women working to secure our border and protect the lives of both Americans and those seeking to immigrate to our country! https://t.co/7Mdw5vh0vu,2020-04-27 19:45:01
Thank you to the brave men and women who are keeping our country healthy and safe! https://t.co/Y9Tg0x20i2,2020-04-23 17:24:45
Thank you to the @USArmyReserve for 112 years of service! https://t.co/pZFMigL4cw,2020-04-23 15:06:40
"If you don’t file taxes (including veterans and retirees), qualify for Economic Impact Payments and have children under 17, click below to secure your $500 payment per child before April 22 at noon. Otherwise, you’ll receive this payment next year.

https://t.co/6WHfMQujSN",2020-04-21 18:41:59
"Today, we remember those who were persecuted for their Jewish faith and honor their memory by recognizing those who survived. #HolocaustRemembranceDay #NeverAgain https://t.co/imlefVyqLb",2020-04-21 18:33:50
"#Wisconsin’s small businesses have received over $8 billion in critical relief to keep paying employees through the Paycheck Protection Program, but some are still hurting. Democrats have delayed additional funding for weeks. We need to finalize a deal today!",2020-04-21 14:46:52
Happy #NationalVolunteerWeek! Thank you for the heartfelt initiative shown by volunteers in all places and spaces who make #WI06 a better place to live. https://t.co/MMxd8Gkk36,2020-04-20 19:33:31
"I signed onto this bipartisan letter to @SecretarySonny, requesting he quickly and adequately assist our cranberry farmers with the funds appropriated in the CARES Act.

https://t.co/4uh5gn7tuI",2020-04-20 15:29:00
"Happy #NationalLibraryWeek! My sister Patty is a librarian, and I know how dedicated she is to helping others. Thank you to her and all #Wisconsin librarians and libraries for always being there when we need them. https://t.co/mth1fOS12X",2020-04-20 13:14:00
"Today is #NationalLinemanAppreciationDay. Please take a moment to #ThankaLineman, as they risk life and limb to provide power to our communities. https://t.co/3gfVbsGpNE",2020-04-18 13:53:00
"The @realdonaldtrump Administration and @SecretarySonny are planning to buy $15 billion of milk and meat to help our farmers. Please prioritize this much needed relief for our #WI farmers quickly!

https://t.co/mZ5rBJ9T9F",2020-04-16 19:53:25
I signed this letter because the #COVID19 outbreak should not be hijacked to advance the abortion agenda. Aborted fetal tissue has never been used to create a vaccine. We should always protect the sanctity of life- even during a crisis. https://t.co/y3NAdrEhcp,2020-04-16 14:55:11
"In an effort to provide relief for Americans affected by #COVID19, the IRS is sending direct payments to individuals. Click below to see if you qualify, if the IRS needs more information from you and the status of your check.

https://t.co/hBAiHSvcov",2020-04-15 20:59:43
