tweet,dates
"As a thank you to front line employees, SERVPRO of Ebensburg has been providing free disinfecting and sanitizing services for EMS and fire department vehicles. #PA15Cares https://t.co/stfPkiJUXT",2020-05-08 17:06:57
"Today, 24 counties move from the red to yellow phase of reopneing, including Cameron, Centre, Clarion, Clearfield, Elk, Forest, Jefferson, McKean, Venango, and Warren. More information: https://t.co/giREkxKS2A #COVID19 https://t.co/EV3UG7RBSj",2020-05-08 16:39:35
How awesome is this? That better be whole milk! #TBT https://t.co/IuNoudqJnV,2020-05-07 13:28:57
"The positive impact nurses have on our communities cannot be overstated. They risk exposure to care for our loved ones and we are indebted to them for their sacrifice. I’m grateful for their service always, particularly during #COVID19. #NursesWeek2020 https://t.co/TXGXKQVIPx",2020-05-06 14:58:09
Grateful for the opportunity to talk energy at this week's @Energy_Briefing. Great conversation with my friends @GReschenthaler &amp; @RepFredKeller! https://t.co/ATkKH2hRue,2020-05-06 14:51:11
🚨 Small agribusinesses are now eligible for the @SBAgov economic injury disaster loans 🚨 https://t.co/UPiIDoFwZs,2020-05-04 20:32:23
"Looking forward to this conversation with @Energy_Briefing, @GReschenthaler, and @RepFredKeller! https://t.co/UvWhchigKT",2020-05-03 16:42:22
"While I’m pleased the Governor is moving many counties from red to yellow status, there needs to be a concerted effort to reopen businesses in those counties that have not experienced new #COVID19 cases in weeks. https://t.co/giREkxKS2A",2020-05-01 18:50:47
"Isolation can be difficult, especially for our seniors. Check out this @celocal article about a @SeniorCorps volunteer from Punxsutawney who is going above &amp; beyond during the #COVID19 crisis to ensure seniors in her community don't feel alone. #PA15Cares
https://t.co/uipp8qqLm8",2020-05-01 16:14:17
"Have a few minutes? Complete the #2020Census today! It's quick, easy, secure, and extremely important. Click the link and make sure you and your family are counted. https://t.co/lUqdDSzI3N https://t.co/nAIUkCRv0c",2020-05-01 14:01:08
I cannot thank our dedicated truckers enough for quite literally moving the American economy forward 365 days a year. THANK YOU for your continued commitment during #COVID19! https://t.co/9dUpJJPdSl,2020-04-30 20:38:05
"It has been an incredible honor to serve on the House Agriculture Committee since my first day in Washington. Today, we're celebrating 200 years! Read my statement here: https://t.co/lskaUOvveT https://t.co/S7PxSzOyYV",2020-04-29 19:43:31
"The GROCER Act is a simple way to say ""thank you"" to these front line workers who play a valuable role in our food supply chain. Happy to fight for these folks with my colleague @RepDwightEvans. https://t.co/5158hQPh6o",2020-04-28 14:22:29
Thank you to our friends in Taiwan! https://t.co/AXxM5vD3x1,2020-04-27 21:39:39
"🚨 VETERANS — To ensure you receive the $500 credit for dependents in your economic impact payment, register before May 5! Details in the link below for those receiving VA or SSI benefits. https://t.co/2Nri4EUthM",2020-04-27 17:22:52
"The Paycheck Protection Program &amp; Health Care Enhancement Act:

🏥 Critical relief &amp; resources for hospitals
🩺Investments to expand testing
💰 Additional $350 billion for small businesses

As of 10:30am today, PPP is available again. Find a lender: https://t.co/DUodfpYkGg https://t.co/H7uENHCep8",2020-04-27 15:37:30
"“Faith, hope and charity are three key words I was taught my entire life.” Rik-n-Nik's is truly showing that #PA15Cares by providing free meals to those in need. Thank you for giving back to our community during #COVID19! https://t.co/ieD8HKewek",2020-04-24 16:22:39
Too many people have lost their jobs through no fault of their own due to #COVID19. I wholeheartedly supported today's legislation to let these individuals know we’re going to make sure they can pay their bills and support their families. https://t.co/ypVeNUcG0u,2020-04-23 22:16:53
I knew I liked this guy! #SteelersNation #DairyNeverStops https://t.co/UZvhTtRUVJ,2020-04-22 14:48:56
"Today, I introduced H.R. 6567, the GROCER Act, alongside my colleague @RepDwightEvans. This bill would establish a federal tax holiday for grocery and convenience store workers so these front line employees can keep more of their hard earned money earned during #COVID19. https://t.co/JrNfy7TCwM",2020-04-21 19:02:14
"Now is not the time for game playing and grandstanding. The #PaycheckProtectionProgram is working and will continue to work, but only if we put politics aside and replenish the fund immediately. Our nation's small businesses deserve better! https://t.co/JA2OXgUjY2",2020-04-21 13:15:42
"Today is #NationalVolunteerRecognitionDay. To those sewing masks, supporting our food banks, and helping our neighbors in need, THANK YOU for helping us fight the #COVID19 battle. Your selfless acts of kindness will help us defeat this virus. #InItTogether",2020-04-20 13:10:06
"Our agricultural producers are on the frontlines every day to ensure we have the food, fiber, and energy to combat #COVID19. We WILL defeat this virus. #NoFarmersNoFood https://t.co/xEcyGWiwFe",2020-04-18 00:19:14
Teachers from @ValleyGroveSD are truly going above and beyond! I want to say THANK YOU to these dedicated educators for going the extra mile to support their students during #COVID19. #PA15Cares https://t.co/wZkBhhYhQO,2020-04-17 17:20:48
"My office alternates between my desk and my kitchen table these days. On Tuesday, I hosted a telephone town hall with constituents to talk #COVID19 and how we’re going to defeat this virus. Click the link in my bio for Coronavirus resources. https://t.co/8CyJDbmNLX",2020-04-16 18:29:49
