tweet,dates
"Teachers help shape the future. The more we do to support and invest in them, the brighter our children’s futures will be. Schools may be closed, but our region’s teachers are showing up for their students in every way possible, working harder than ever. #TeacherAppreciationWeek https://t.co/TMET5poq5n",2020-05-08 21:47:37
"The President’s #DirtyWaterRule puts both the health of our nation’s waters and our American families at risk, which is why I am proud to introduce the Clean Water For All Act to stop it from taking effect. https://t.co/9HUplzuQvJ",2020-05-08 15:33:10
"Moms are our brave health care workers, janitors, grocery store workers/cashiers &amp; delivery service people, child care and home care workers. They are ESSENTIAL to our country &amp; community and MUST have the support they need! #MothersDay #FrontlineMoms",2020-05-07 19:46:49
"Trump's proposed payroll tax cut will harm Social Security and greatly benefit large corporations. We should be putting money into the hands of those who need it most during #COVID19: seniors, communities of color, and people with disabilities - NOT corporations.",2020-05-07 19:02:36
"Asian American and Pacific Islanders in our San Gabriel Valley and across the U.S. continue to bless our great country, a proud nation of immigrants.",2020-05-01 20:43:30
"Good news! @CMSGov has approved phone-only telehealth coverage for Medicare recipients during the #COVID19 pandemic, a decision that will expand access to life-saving mental health services to more populations in need!",2020-05-01 16:45:35
"While you’re taking steps to protect others and #Flattenthecurve, please take time to check in with yourself and your loved ones about #EmotionalWellness.",2020-04-30 19:25:23
"As hospitals throughout LA County seek ways to contain the spread of COVID-19 and handle the influx of patients to be tested and treated, we cannot overlook the ongoing mental health crisis unfolding during this pandemic.",2020-04-29 00:54:37
#COVID19 has highlighted the injustice of health inequity in our society. We must learn the lessons of this crisis and use a data-driven approach to improve health outcomes for all Americans. https://t.co/sgVqtyh59e,2020-04-28 19:00:33
"As a proud cosponsor of the #HealthEquity and Accountability Act, I am standing with the @HispanicCaucus, @TheBlackCaucus, and @CAPAC to fight systemic health injustices in our communities. https://t.co/m2Fntv1CSR",2020-04-28 18:59:26
"Today marks 105 years since the beginning of the Armenian Genocide, one of the darkest chapters in history. We remember the victims and survivors, many of whose descendants have created the strong, vibrant &amp; patriotic Armenian-American community our nation is blessed with today.",2020-04-24 18:27:34
"While this is not the last round of Coronavirus relief packages, this funding is badly needed &amp; will strengthen PPP to help local businesses. As we look toward other measures, I will continue to focus on meeting the needs of all SGV families &amp; businesses. https://t.co/8OmM3VBc7O",2020-04-23 23:25:05
"ATTN: This free webinar is taking place tomorrow (4/23) at 11am PT. Pre-registration is required, and you can do that here: https://t.co/0wD1yNau8u. https://t.co/Ks7wLO3rdc",2020-04-22 18:57:14
"#OTD 50 years ago, 20 million Americans celebrated the first #EarthDay in coast-to-coast rallies in support of a healthier planet. As we celebrate #EarthDayatHome, we are still united in the fight for a clean environment and a sustainable future. https://t.co/PZxdLTcasx",2020-04-22 15:08:27
"As #COVID19 continues to affect communities across the nation, workers in the transportation and infrastructure sectors are stepping up and doing their part in helping us battle this global pandemic.

#ToThoseWhoKeepUsMoving, we are with you, we support you, and we thank you! https://t.co/aHezDYkX1o",2020-04-21 17:03:59
"Nearly 1.7 million immigrants are health care workers and millions more are essential workers, risking their lives every day to save others. We must ensure that everyone can access critical coronavirus relief benefits and health services. #DiversityIsOurStrength",2020-04-20 18:37:41
"What does the Coronavirus Immigrant Families Protection Act do?
1) Ensures access to testing, treatment, and relief benefits
2) Suspends immigration policies that deter immigrants from seeking medical care
3) Provides $ to CDC for language access
We’re a proud #NationofImmigrants",2020-04-20 18:11:27
