tweet,dates
"Happy #MothersDay to my amazing mom, and to my beautiful wife Denise, the mother of our wonderful children! I send my love and endless admiration to all the moms out there - you are superheroes! https://t.co/iWitfrsl3u",2020-05-10 14:40:12
"Today we honor the #WWII heroes whose sacrifices led to Allied Victory in Europe 75 years ago. #VEDay75  

Pictured here: Cpt. Wilson &amp; his brother Cpl. Wilson standing by a German 88 mm gun in France on VE Day, 1945.

Cpt. Wilson lived in the Hoosier State after his service. 🇺🇸 https://t.co/WKC7r63t51",2020-05-08 16:41:34
".@SpeakerPelosi &amp; House Dems are in the middle of an historic power-grab. 

Congress has met in person for 231 yrs, but w/ Congress no longer meeting in person, it’s clear Pelosi is using this crisis to bypass Republican input so she can push her agenda &amp; attack @realDonaldTrump.",2020-05-07 18:48:18
"On this #NationalDayofPrayer, Americans find strength in faith and are reminded of God’s love for us all. I ask you to join me in prayer for our great Nation and our leaders as we unite in defeating COVID-19. https://t.co/1kfmyJztoo",2020-05-07 15:41:29
"As we celebrate National Nurses Day, I want to extend my deepest gratitude to Hoosier nurses on behalf of the Sixth District of Indiana. You are heroes to us all. #ThankYouNurses 🙏🏼  and a special hello and thank you to the nurses of @crhwire in this photo! https://t.co/sj8HD3rs5s",2020-05-06 20:48:52
"NEW: @SBAgov and @USTreasury have extended the deadline to repay #PPP loans by one week. The safe harbor deadline for borrowers who applied before April 24 is now May 14. Borrowers do not need to apply for the extension.  

More info here ⬇️ 

https://t.co/IJTofmRA38",2020-05-06 16:44:48
"President @realDonaldTrump has taken unprecedented action to support our nation's farmers. 

Farmers, ranchers &amp; ag businesses now have access to emergency relief $$ in the form of Economic Injury Disaster Loans.

Learn more about this historic action ➡️ https://t.co/RRxSQ78EHO",2020-05-04 17:35:13
"We have doctors, nurses &amp; grocery store workers out there working safely &amp; securely to support our nation through this unprecedented challenge, but I guess @SpeakerPelosi and the Democrats don’t think the House of Representatives has a duty to serve the people. https://t.co/yP0wtgKmAV",2020-05-01 16:02:53
"As our nation faces this unprecedented challenge, agricultural production is the definition of essential. @realDonaldTrump always puts our nation’s farmers first - I applaud his leadership in bolstering our nation’s food supply. 

My full statement: https://t.co/DOuI3LPAMj",2020-04-29 00:56:08
"As leaders in corn and soybean production for our nation, Hoosier farmers are an invaluable part of our society and economy. I want to wish Hoosier farmers in #IN06 good weather as they hit the fields and begin the planting season. We are all with you. #StillFarming 🌽🌱🌾",2020-04-27 20:46:54
"Hoosiers, I'm proud to be here in our nation’s capital today representing YOU &amp; voting to secure billions more in relief funds for our small businesses, hospitals, &amp; hard working Americans. We will get through this as a nation united against an invisible enemy. #PPP #InItTogether https://t.co/QYuGMLMeCy",2020-04-23 19:36:50
"THREAD:

(1/4) Throughout our nation's history, Representatives in the People's House have voted in person through national crises like the Civil War, both World Wars, and 9/11 just to name a few.",2020-04-22 16:50:54
"To the truck drivers, equipment operators, flight crews, and all other essential personnel in transportation &amp; infrastructure: God bless you, our country thanks you! As our nation battles #COVID19, your work and sacrifice is noticed and appreciated. #ToThoseWhoKeepUsMoving https://t.co/CfXU72ncUx",2020-04-21 17:03:22
"Important announcement for Hoosiers with dependents under the age of 17: if you did not file a tax return in 2018 or 2019, please go to the IRS Non-filer tool by Wednesday to receive the $500 payment for each dependent ➡️ https://t.co/p5fEbFfZ3W",2020-04-21 14:41:25
"Hoosier Farmers: @USDA is supporting YOU w/ the #Coronavirus Food Assistance Program. 

Thanks to @realDonaldTrump for unwavering support of the ag community 🇺🇸 

➡️ $9.5B to cattle, dairy &amp; hog farmers 
➡️ $3.9B to row crops 
➡️ $2.1B to specialty crops

https://t.co/tSySuVC551",2020-04-20 17:33:45
Hoosier business owners &amp; employers are suffering because of #COVID19. They rely on #PPP to help them stay afloat during this unprecedented challenge our country faces. D.C. Democrats must STOP blocking funding to #PPP - the political games are unacceptable.,2020-04-18 17:25:48
"Good news for our nation’s brave veterans: VA recipients and their beneficiaries automatically get the Economic Impact Payment from the IRS, no further action needed. 🇺🇸

https://t.co/1i04j4v28I",2020-04-17 21:37:28
"“Every life is precious.” Except innocent unborn babies right, Nancy Pelosi? https://t.co/GVB01y5qCS",2020-04-16 18:19:29
"According to @USTreasury, over 80 million Americans will receive their economic impact payment through direct deposit by the end of TODAY. 

Great news! 

https://t.co/Y8zb3RQsWI",2020-04-15 16:21:14
"Hoosier communities are coming together to help out our brave front line heroes: local organizations are providing meals to our nurses, doctors and health care workers in an amazing display of Hoosier kindness and generosity. 🙏

#InItTogether 

https://t.co/2GLHUAgKI4",2020-04-15 14:25:47
"Applications for the #COVID19 telehealth program are OPEN ✅ 

Without access to broadband or telehealth infrastructure, rural communities can be left behind. This program is a big step from @FCC in supporting rural America. 

https://t.co/tkQgfg2SOD",2020-04-14 19:18:35
