tweet,dates
"A special shout out this #MothersDay to the moms who are holding it down for their families at home and also taking care of our community at work. To the moms who are nurses, doctors, physician assistants, and health care professionals—thank you. https://t.co/68Gi29Nfxw",2020-05-10 14:27:31
"In Arizona, air conditioning isn't just an amenity, it's a necessity. Thanks to CARES Act funding, our state will get $17.27 million for LIHEAP—the Low Income Housing Energy Assistance Program—to ensure families struggling to pay their energy bills get the support they need.",2020-05-10 00:15:37
"CARES Act dollars continue to make a difference in our community. The @CityofPhoenixAZ will receive $198 million in CARES Act transit funds to ensure @ValleyMetro can continue to safely and efficiently provide bus, rail and dial-a-ride services during the COVID-19 crisis.",2020-05-07 19:03:00
"These @EPA grants will put $1.4 million into invigorating Rio Reimagined, a bold environmental and economic development project that was the vision of the late Sen. John McCain and Rep. Ed Pastor. I’m proud to have worked on this project during my time as mayor. https://t.co/fNYY8qap18",2020-05-07 00:00:22
"Thank you to our nurses, especially those on the frontlines of the fight against COVID-19, for your selfless dedication. I'll continue to work to make sure our health care professionals have the resources they need to keep themselves and their patients safe. #NationalNursesDay https://t.co/N5Td3dNHuR",2020-05-06 18:03:11
"HAPPENING SOON: today at 8 a.m. MST, my colleagues and I will be hosting a press call to highlight the need for additional resources for Western communities in the next COVID-19 relief package. ⬇️ https://t.co/apXqVpHo9s",2020-05-06 14:56:17
"During this crisis, teachers and administrators are finding new and innovative ways to engage with their students outside of the classroom. We can't thank them enough. On #TeacherAppreciationDay, and every day, #SendTeachersLove. https://t.co/NuHdGi9Noo",2020-05-05 20:33:31
"🚨DEADLINE: If you receive SSI or VA benefits, have qualifying children under the age of 17 and did not file a tax return in 2018 or 2019, today is the LAST day to register to have $500 per child added to your COVID-19 Economic Impact Payment. https://t.co/O6N6qHJQDY",2020-05-05 19:20:26
Rates of violence against women and girls in Indian Country are 10 times higher than the national average. I'm a proud cosponsor of the #NotInvisible Act and #SavannasAct to address the #SilentCrisis of missing and murdered indigenous women. #MMIW https://t.co/xc1u3RiKl0,2020-05-05 17:02:52
"It’s unfortunate the @USTreasury took this long to get funding to tribal communities. Congress approved these desperately needed funds for tribes more than five weeks ago, and lives were lost every day that passed without resources. Tribes deserve better, faster action. https://t.co/fzDx4kAdO6",2020-05-05 16:16:47
It is a moral failing that the President will visit Arizona during a time he has ignored the urgent pleas from Navajo leadership. Read my full statement ahead of his visit: https://t.co/0fqUwLvxcF https://t.co/7KR8kHKMYg,2020-05-04 22:29:49
"Today, I joined my colleagues in urging @SecAzar to suspend any efforts by @HHSgov to strip health care nondiscrimination protections away from the LGBTQ+ community. This move would be reprehensible at any point, but it's especially irresponsible during a pandemic. https://t.co/Zgn1h7RkUE",2020-05-04 20:48:12
"Have you completed the #Census2020 yet? I joined @MayorGallego to talk about why a complete count is so important to get Arizona the resources and representation it needs. Respond online at https://t.co/eOoG0Tt4K2, by phone or by mail. https://t.co/MnwlFGINol",2020-05-01 21:38:12
"At a time when anti-Asian sentiment is on the rise, it's more important than ever to recognize and celebrate the history, culture and contributions of Arizona's AAPI communities. #AAPIHM https://t.co/UsOr0tWQwk",2020-05-01 18:04:06
