tweet,dates
"I'll be joining the @LarsLarsonShow at about 2:30 PT today to discuss my letter to Governor Brown. Listen online here: https://t.co/MSv3dMehGL

ICYMI - You can read my letter to Governor Brown here: https://t.co/vIXFW89gWS",2020-05-08 21:11:26
"Godspeed to Pendleton's Bravo Company of the 1st Battalion, 168th Aviation Regiment. Thank you for putting your lives on the line to keep our country and your fellow soldiers safe. Oregon is already looking forward to welcoming you back home a year from now. https://t.co/D2gx1FvMWu",2020-05-08 19:53:54
"The Oregon Air National Guard is planning numerous F-15 Eagle flyovers today across Oregon in honor of healthcare workers, first responders and other essential workers for their work to combat #coronavirus. #inItTogether Learn when and where here: https://t.co/A1AiSCJhcM",2020-05-08 14:23:04
"Today, on #NationalDayofPrayer, I pray for all Oregonians &amp; Americans but especially those who are suffering from the  coronavirus, our health care workers and first responders taking care of the sick, and the many unemployed and facing financial insecurity. #InItTogether",2020-05-07 23:33:44
"Thank you @realDonaldTrump &amp;  Project Airbridge, which has already provided OR hospitals w/ 140 ventilators, 3.6k coveralls, 596k gloves, 138k surgical gowns, 319k surgical masks, 130k face shields, and 357k N95 respirators. This critical PPE is helping save lives every day.",2020-05-07 21:18:33
This week is #TeacherAppreciationWeek - Oregon's teachers are showing incredible commitment to help keep our students learning during this challenging time. Thank you for your creativity and leadership.,2020-05-07 16:16:47
".@EPA announced $1.7m in Brownfields grants to OR02. These funds will help spur economic growth &amp; improve &amp; protect the environment. As our nation works to combat #COVID19, providing opportunities for future economic growth is more important than ever! https://t.co/k2q8keFeRA",2020-05-06 20:17:10
"#ThankYouNurses for the work you do every day to keep America safe and healthy. As our nation combats #COVID19, we are especially grateful for your selfless service on the #frontlines of this pandemic. Thank you! #NationalNursesDay",2020-05-06 17:07:14
Rural communities in OR-02 are asking for financial help. Every county faces costs to comply w/ the state’s plan to reopen. Many states - including our neighbors in WA &amp; ID - have already moved to make funds available to their local government partners. Oregon has not done so.,2020-05-05 21:43:04
"With all of the fear surrounding #COVID19, it's good to know that the CARES Act and #PaycheckProtectionProgram are helping small businesses in Oregon stay afloat. Here's a story from the Second District... (1/4)",2020-05-05 18:47:52
.@HHSGov is awarding an additional $172 million to health care facilities in Oregon. This money provides a life-line to our rural doctors and will allow them to provide amazing routine and #COVID19 related care. Help is on the way!  https://t.co/AGKnjzaBXJ,2020-05-05 14:20:22
"As we're all staying home to help #FlattenTheCurve, the national food supply chain is adjusting to new needs. @US_FDA &amp; @USDA are working to help us adapt quickly and are soliciting ideas from the ag industry to fortify our food supply. Suggestions? Email foodsupplychain@usda.gov",2020-05-01 18:37:19
"For rural healthcare providers, #COVID19 and the ban on elective procedures have been a financial one-two punch. I'm grateful to @HHSGov for pushing out $394,606,116 from the CARES Act to Oregon hospitals and providers. https://t.co/CiR1fTWWvt",2020-04-30 14:10:09
"These are unprecedented times, but this is unacceptable. Oregonians are struggling to feed their families and waiting too long to have their claims processed. Congress &amp; @realDonaldTrump provided states w/ the resources. Oregon needs to deliver. https://t.co/bpLS8wUL9l",2020-04-29 16:09:26
"This #WorldImmunizationWeek, as brilliant scientists work around the clock to develop a vaccine for COVID-19, it's important to remember that deadly pandemics like this one used to be commonplace. Immunization has made the world a safer and healthier place!",2020-04-28 16:26:50
.@USDOL has issued guidance expanding the availability of unemployment insurance to workers affected by #COVID19. Find answers to more frequently asked questions at https://t.co/YAko9kl69D https://t.co/ofYQgMvd0J,2020-04-27 18:44:46
"Check out all of the parked @AlaskaAir planes at @flypdx! Glad to be home, but this tells you all you need to know about how shutdown we are. https://t.co/2HUlF092ia",2020-04-24 19:43:04
"Thank you @realDonaldTrump for swiftly signing this relief funding into law. Now, more help is on the way for Oregonians in need. https://t.co/CMTtvChGFf",2020-04-24 18:36:53
"Today’s vote was long overdue, but I am glad that we finally passed funding for the PPP. I want all Americans to know that we are with you. More help is on the way &amp; we will continue to fight alongside you as we work towards safely reopening our country. https://t.co/BszU1pQqGX",2020-04-23 22:34:23
"Earlier today, I expressed my support of the Paycheck Protection Program and Health Care Enhancement Act on the House Floor. Watch my remarks here: https://t.co/qL7IOzlKsw",2020-04-23 18:59:43
