tweet,dates
"Today we celebrate the 75th anniversary of V-E Day, which marks the defeat of the Nazi regime in WWII. The bravery and patriotism displayed by WWII Veterans reminds us that good triumphs over evil when the cause is just. We are forever grateful for their service and sacrifice. https://t.co/0PADX8m9O6",2020-05-08 19:51:55
May 8th will mark the 75th Anniversary of V-E Day. The Library of Congress has released a collection of stories of Veterans who served in WWII. This is a wonderful opportunity to be reminded of the challenges and triumphs that our nation has experienced. https://t.co/x76XVEUMzT,2020-05-06 19:11:35
"Every day I am receiving new reports from local small business owners who have finally received their PPP loans, which is great news!  However, many of these business owners have very specific questions about how the loans/loan forgiveness will work. (1/2)",2020-05-04 15:00:57
"At 10:30 this morning banks can continue submitting Paycheck Protection Program (PPP) funding. You can have more than one application in with a lender at a time, and many community banks and credit unions are processing applications for non-customers. (1/2) https://t.co/r6YKWGRmoB",2020-04-27 16:47:02
"ICYMI- This week, my colleagues and I filed bipartisan legislation to help advance research into better treatments and a possible cure for childhood cancer.
https://t.co/VltBKkVf3l",2020-04-24 13:32:41
"I know many of you have questions about the status of your stimulus check.  The IRS just released this FAQ document, which may answer some of your questions.  However, I know it doesn't answer all of your questions...",2020-04-17 14:22:48
"April is Autism Awareness month. While we are all are adjusting to changes in our daily routines as a result of the Coronavirus, parents of children with autism are grappling with unique circumstances. We must ensure these families have the resources they need during this time.",2020-04-13 19:07:19
"Ensuring access to quality mental healthcare treatment for Veterans is more important than ever. Click below to learn more about how to access this treatment if you or a Veteran you know needs help.  
 https://t.co/rNPemuu0wb",2020-04-13 16:36:33
"I will be holding a live telephone town hall today. We plan to start at 4:00 p.m to discuss the Coronavirus updates. While the phone system will automatically dial more than 100,000 constituents, anyone wishing to participate can call in 1-888-480-3641. https://t.co/1q5XYz51IQ",2020-04-13 15:54:05
"While this may be a different type of celebration than previous years, the truth of the cross still brings us hope for a brighter tomorrow.  Wishing you and your family a happy and healthy Easter! https://t.co/TILtE2Xejj",2020-04-13 01:09:26
"Glad to see @UnitedHealthGrp helping Floridians with basic food needs during this difficult time.  We are #Inthistogether 
https://t.co/GOtXvSfyGt",2020-04-09 17:25:08
"Community Health Centers are an essential part of our healthcare system. Today, the Community Health Centers of Pinellas County received $1.79 million &amp; Premier Community Health Center in Pasco received $1.46 million in federal funding to continue essential front line operations.",2020-04-08 19:34:59
Florida unemployment update: https://t.co/dgSZJqYp7P,2020-04-08 18:49:50
"State officials have just informed me that due to widespread technical issues Floridians have had accessing the website to apply for unemployment benefits, the state will ensure these benefits are retroactive. I will share more specific details as they become available. https://t.co/STtGTVAxaK",2020-04-08 16:38:34
"Wishing all my Jewish friends peace, prosperity and good health as they celebrate Passover. https://t.co/nSMfeu2gVZ",2020-04-08 14:15:07
"As we work to ensure all medical workers have resources needed, the private sector has stepped up in a big way. Apple has made more than 20 million face shields for frontline medical professionals. Over 100,000 of those were delivered to FL last week alone. We are #inthistogether https://t.co/LgFgCWUeTs",2020-04-07 20:26:41
A special congratulations to Jill and Jack Mann. Jill has served as a valued member of my team for the past two years. Jill and Jack were married this past weekend in their backyard with the pastor officiating via video conference. (1/2) https://t.co/1DJBZ620my,2020-04-07 18:58:08
"In light of the current threat to the health of all Americans and people around the globe, it is more important than ever to appreciate the service of those in the medical field. We will continue to work to ensure you have the tools and supplies needed to do your job safely. https://t.co/3ZunqwFiK0",2020-04-07 17:21:16
"The Department of Treasury just released this updated FAQ about the Paycheck Protection Program.  Many of the questions I have been receiving are answered in this document.  Please feel free to share with anyone who may benefit.
https://t.co/E8pzDk8dAP",2020-04-07 14:07:53
"Just finished an outstanding teletown hall with local Veterans. I was fortunate to be joined by VA leaders to help answer questions about the steps being taken to keep our heroes safe. If I didn’t have a chance to answer your call directly, please contact my office 727.232.2921 https://t.co/nw77qCVbE9",2020-04-03 20:04:55
"The writer makes an interesting point.  We must continually look for ways to take care of one another-even from a distance.
https://t.co/pDAxluKKar",2020-04-02 15:49:48
Join me in celebrating #NationalDoctorAppreciation Day!  The brave men and women who are working on the front lines in all medical positions in order to keep us safe are nothing short of heroes! https://t.co/lhfXTtzaGb,2020-03-30 17:38:17
Very thankful for this amazing crew from @AmericanAir who made my trip back from the Capitol this afternoon safe and comfortable. I was proud to support them and all Americans during this difficult time by supporting the #CARESAct #InItTogether https://t.co/yzF5sWcGWM,2020-03-28 02:24:32
"I've received many questions about the stimulus checks that Americans will be receiving.  Here is a FAQ Guide.
https://t.co/2XHksneKlX",2020-03-28 01:57:18
Headed to DC this morning to vote in favor of the 3rd stimulus package.  It is vital that we get Americans and small businesses immediate relief!  #InItTogether,2020-03-27 10:40:48
Now is not the time to play politics.   The American people are counting on us to work together to pass immediate relief to individuals and small businesses while helping to stabilize our economy.  I encourage my colleagues to work together and pass a 3rd stimulus package. https://t.co/qghRPeE83h,2020-03-23 22:29:41
"The FCC is warning all Americans about new scams related to Coronavirus.  Check out its website for safety tips in order to avoid becoming a victim of fraud. #Inittogether
https://t.co/gH7Q3M5IRg",2020-03-20 19:48:18
"This partnership is a positive step as we work to expand options and accessibility for testing.
https://t.co/SeUsL7tCch",2020-03-20 17:44:25
"According to health experts, our nation's blood supply is reaching critically-low levels.  If you are healthy and able to donate, please click on the link below to locate a blood drive near you.  #Inittogether
https://t.co/Vey1eR3s8K",2020-03-20 16:25:43
