tweet,dates
"I am so thankful for all of the love and support from my mother, especially today. I’m wishing all mothers a wonderful Mother’s Day today. https://t.co/PRT4flZM4w",2020-05-10 16:26:27
"Pennsylvania’s fight against the #COVID19 pandemic has upended our economy and rendered one in four workers jobless, all while putting our seniors in care homes at greater risk because of a serious policy flaws by Gov. Tom Wolf. https://t.co/Wu9wCcaqwI",2020-05-09 20:27:42
COMING UP: I will be joining America’s News Headquarters with @LelandVittert to discuss reopening Pennsylvania’s economy and China’s role in #COVID19. Tune in at noon on @FoxNews.,2020-05-09 14:54:23
"Today I joined @RealDonaldTrump, @GOPLeader &amp; other @HouseGOP members at the White House. I thanked him for holding China and WHO accountable for their role in #COVID19. Additionally, I spoke to the problems we're having with Gov Wolf’s one-size-fits-all shutdown of our economy. https://t.co/aUCRnTYIME",2020-05-08 19:04:47
"Today, I introduced the TRAP Act to repeal the 1799 Logan Act, a law recently used by @Comey’s politicized FBI to set up General Flynn.
 
The Logan Act is an archaic &amp; useless law. In 221 years of existence, only 2 people have been prosecuted under the Act &amp; both were acquitted. https://t.co/czy8aWVZ3D",2020-05-08 15:37:39
"The House needs to get back to work. If we’re asking our frontline workers to go to work every day, Congress should be doing its job too.

@SpeakerPelosi needs to bring the House back to session so we can work with the Senate to help Americans get through this crisis. https://t.co/eoUxIFw385",2020-05-07 22:00:22
"Michael Flynn was an innocent man set up by @Comey &amp; Strzok. Their hatred for @realdonaldtrump led them to overstep their boundaries in search of taking down the president.

After 3 years of Democrats destroying Flynn’s reputation, I'm glad there's finally vindication &amp; justice. https://t.co/WNi551pnf2",2020-05-07 19:22:50
"Pittsburgh sports teams came together to donate $800,000 to the University of Pittsburgh’s Center for Vaccine Research. 65 years ago, Jonas Salk found the cure for polio at @PittTweet. #InItTogether https://t.co/9sWFJJr6he",2020-05-07 17:01:34
"This week, I led a letter with @RepMcCaul &amp; @MarioDB requesting updated @StateDept guidelines for U.S.-Taiwan diplomatic relations. Our strategic relationship with Taiwan is critical to supporting a vibrant democracy in Asia and our efforts to counter Communist China. https://t.co/zSU5Tmo0Gi",2020-05-07 15:34:11
"It’s an honor to be selected by @GOPleader to serve on the China Task Force. This task force was created to counter current &amp; future threats posed by China. 
 
Pelosi refuses to take action against China, our task force will firmly hold the CCP accountable.https://t.co/B8wZ6PzW1T",2020-05-07 14:36:06
"TODAY AT 3:20pm: I will be hosting another tele-townhall, where I’ll be answering constituent questions regarding #COVID19. If you want to ask a question or just listen, use the info below:

Phone number: 877-229-8493

PIN: 118621",2020-05-07 13:30:12
"A newly released version of the 2017 Rosenstein “Scope Memo” shows Mueller had nearly unlimited reach in his search to find an impeachable offense against @realdonaldtrump. 

This proves just how right we were to exonerate the president. 
https://t.co/ut3VRAXXfU",2020-05-07 01:09:29
"Nurses - we could not do this without you. Thank you for all of your hard work, dedication and sacrifice. We will get through this because of you. #nursesweek2020 https://t.co/TwTwubCznk",2020-05-06 21:28:16
"The 1799 Logan Act, recently used by Jim @Comey’s politicized FBI to set up @realdonaldtrump’s former NSA Michael Flynn, is nothing more than a political weapon. I will be introducing legislation to repeal the Logan Act and end abuse of this unconstitutional statute.",2020-05-06 18:40:29
President Trump put our nation on a testing path that is heads and shoulders above the rest. The United States is performing millions more tests than any other nation. Thank you @realdonaldtrump for your leadership and helping us fight #COVID19. https://t.co/O6ycQPd0lN,2020-05-06 17:02:41
"It’s past time Congress gets to the bottom of how this pandemic began &amp; China’s failed response. Speaker Pelosi sat on the CCP’s misdeeds &amp; refuses to condemn them for their role in the spread of #COVID19. I’m glad @gopleader is holding China accountable.
https://t.co/fzca2rmArp",2020-05-06 15:00:19
"I’m proud to introduce the Petfax Act, which requires pet stores to provide breeding history for all dogs. This will help prevent the poor and inhumane treatment of dogs at puppy mills. Buying a puppy should be no different than buying a car. https://t.co/sl89YSKH9I",2020-05-06 14:04:46
"I wrote a letter to Secretary Esper requesting answers as to whether or not DoD funding went to the Wuhan Institute of Virology through EcoHealth Alliance. 

Hard-earned American tax dollars should not be funding a CCP lab where we don't have access or oversight. https://t.co/ZeGXwWjaLa",2020-05-05 22:00:00
Not sure @Politico realizes that twitter is banned for essentially all Chinese citizens. “Chinese twitter” is purely CCP propaganda and Politico is playing right into their hands. https://t.co/HwiaD40E5y https://t.co/4aZtKc3ivX,2020-05-05 19:11:18
"As the Senate begins its confirmation process for John Ratcliffe’s nomination, I look forward to seeing my @JudiciaryGOP colleague become our next DNI. Our nation needs a leader like John to protect our national security in these challenging times.
 
https://t.co/DrO1q8tC8E",2020-05-05 17:47:14
"The bottom line of the Democrats’ behavior is this: They hate @realDonaldTrump so badly that they would rather side with the Chinese Communist Party than defend Americans and defend our spending. 
https://t.co/GiIqBunwEb",2020-05-05 15:08:01
