tweet,dates
"I’ve been blessed with wonderful children, grandchildren, and an amazing family. I'm wishing every mother a happy #MothersDay! https://t.co/0S7oszMiiw",2020-05-10 13:35:00
"I’m thinking about all the graduates in Milwaukee who didn't get the special ending to the incredible accomplishment of earning a diploma. Though we didn't get to celebrate your acheivement in person, know that we’re all so proud of you. https://t.co/hqHY8Ee18V",2020-05-09 22:06:40
I joined @RepAndyLevin in leading 95 of my colleagues in calling on the @USDA to allow WIC recipients to use their benefits online or over the phone. This is one of many commonsense improvements that I believe we need to make this program work better during these trying times. https://t.co/mP8W7oe0k5,2020-05-09 14:53:07
"Communities of color have been forced to bear the brunt of COVID-19, it’s why I’m proud to join @TheBlackCaucus, @CAPAC, the Native American Caucus &amp; the @HispanicCaucus in a letter, outlining our priorities to protect our workers, small businesses &amp; support our most vulnerable. https://t.co/MVHxVRcQ6W",2020-05-08 21:36:53
Tune in here: https://t.co/vbUCnW1UM4 https://t.co/h6yQo98W7b,2020-05-08 20:15:50
"It's not too late to sign-up for my 3 pm town hall today!

Register here ⬇️
https://t.co/1gezduAQe3",2020-05-08 16:32:36
"Flynn is guilty. He confessed his guilt (twice). 

Barr asking for charges dropped for a Trump crony is flat-out corrupt. 

If Mitch McConnell and the GOP-controlled Senate weren’t complicit in the Admin’s corruption, they would demand his resignation. https://t.co/1m2uUnMCjU",2020-05-07 23:44:10
"I joined with colleagues to push for the inclusion of financial support for Family Justice Centers all around the country in future relief packages. 
 
These centers bring the services that survivors need into one place to ensure resources are accessible as possible. https://t.co/sSsgJZQp76",2020-05-07 23:21:57
"Tomorrow at 3 pm, I am hosting a town hall, where I'll answer your stimulus check questions and you'll receive information on how to avoid COVID-19 scams. I hope you can join!

Register here: https://t.co/1gezdujePt",2020-05-07 21:31:46
"How can someone keep themselves healthy and safe during COVID-19 when they can't wash their hands?
 
We need a national moratorium on water, electricity, and broadband shutoffs in the #CARES2 bill to guarantee no one is denied access to the resources they need.",2020-05-07 19:23:33
"Trump's proposed payroll tax cut will harm #SocialSecurity and greatly benefit big corporations.

I support expanding #SocialSecurity because during this pandemic, it's crucial that we put money in the hands of those who need it most.",2020-05-07 17:55:30
"I have two Black sons and my heart aches for #AhmaudArbery’s family. There is no safe space to be Black in America. You can be running, buying skittles, or be sitting on a park bench &amp; lose your life. Systematic violence cannot keep stealing innocent lives.

Justice must prevail. https://t.co/Q4n8ZNud5n",2020-05-07 16:04:38
Tune in here: https://t.co/POPrL00Ugr https://t.co/hSUqlaMh43,2020-05-06 20:14:10
"I joined @SenatorBaldwin, @repmarkpocan, and @RepRonKind in efforts to ensure #SNAP can meet the needs of Wisconsinites during these challenging times. https://t.co/caJ1OZgnHx",2020-05-06 19:17:25
"I hope you all can join me this Friday at 3 pm for my town hall. 

Sign-up here: https://t.co/1gezduAQe3",2020-05-06 18:33:34
Birth control is *essential* health care. No employer has the right to determine your care. #HandsOffMyBC https://t.co/TWvYqZk0Q0,2020-05-06 18:06:32
"In times of crisis, true heroes rise to help those in need.
  
Thank you to the dedicated nurses who are working hard to protect our community. #NationalNursesDay",2020-05-06 17:37:29
🚨UPDATE🚨 Join me this Friday at *3pm* for my town hall! https://t.co/zDnKhAhaXC,2020-05-05 20:30:43
I refuse to let my Native American sisters’ struggles be ignored. I am proudly joining @RepDavids and @RepDebHaaland in raising awareness about the #MMIW crisis by supporting the #NotInvisibleAct. https://t.co/MOswYVtFEC,2020-05-05 17:56:12
Act today! https://t.co/eKITVa8nRq,2020-05-05 17:05:39
".@RepMarkPocan, @SenatorBaldwin, @RepRonKind, and I called on @DHSgov &amp; @fema to acknowledge the long-standing economic &amp; health disparities being exacerbated in Milwaukee &amp; around the country by COVID-19 to ensure their federal response meets the needs of vulnerable communities. https://t.co/X4Vtd7tZZK",2020-05-05 15:18:47
"If staying home puts your safety in jeopardy, know that you are not alone; there is help is available. https://t.co/ryrOsCnteL",2020-05-04 22:45:00
"59 years ago today, 13 courageous Americans started a dangerous journey through the segregated south.
 
As COVID-19 magnifies the inequities in our country, we must recommit to their fight for justice and equality. https://t.co/rvizPWLWCy",2020-05-04 21:44:18
"If you are a SSI and VA beneficiary who didn't file a tax return and have qualifying dependents, you should act before tomorrow's deadline to receive your $500 per child payment quickly! https://t.co/36KelZKNOW",2020-05-04 20:18:31
"I hope you all can join me this Friday at 12pm for my town hall!

Sign-up here: https://t.co/1gezduAQe3 https://t.co/IMxflJI9LQ",2020-05-04 19:09:31
I thank our teachers in Milwaukee and around the country who are adapting to these times and remain strongly committed to educating young people. #SendTeachersLove #TeacherAppreciationWeek,2020-05-04 14:26:27
Another reason why I’m #MilwaukeeProud. Our community always steps up to help those in need. https://t.co/NABLWABurS,2020-05-03 14:54:34
The Post Office is essential. Period. https://t.co/cPKV7cWt3X,2020-05-02 14:48:12
"I’m alarmed that Patrick Cudahy plant employees had to work in close proximity to each other &amp; reportedly weren’t provided masks until mid-April. And even as workers tested positive for COVID-19, the facility remained partially opened!

I’m demanding a thorough investigation. https://t.co/e0lP8ypcti",2020-05-01 21:53:04
"This #MayDay, I am reflecting on the Wisconsin pioneers who led our country's labor movement and how critical rebuilding workers’ rights are to expanding access to good-paying jobs that honor the dignity of every worker.",2020-05-01 19:37:41
"If you need emergency care, don’t delay going to the hospital out of fear of contracting the virus. Hospitals are equipped to keep all patients safe and delaying or avoiding care can exacerbate a medical emergency. https://t.co/wxmzV9Sdtb",2020-05-01 18:57:54
"Six years ago, Dontre Hamilton was shot and killed by a police officer after resting on a park bench in Milwaukee. 

In his legacy, we must expand de-escalation training for police officers to prevent tragedies and build more trust between communities and the police. https://t.co/2A0ukz6iuS",2020-05-01 01:24:44
"This #MinorityHealthMonth, we cannot afford to ignore the long-standing disparities that leave communities of color at risk for COVID-19. We must prioritize access to health care resources, and especially PPE and testing, to marginalized communities.
https://t.co/n6YJIPfkCV",2020-04-30 22:36:53
"As we face a public health crisis with more than 30 million Americans filing for unemployment in the past six weeks, providing additional support for those struggling to pay for health care is critically urgent. https://t.co/KxExUGC2gm",2020-04-30 21:43:35
"I am seriously concerned about the rollout process of the Economic Impact Payments for the most vulnerable. And now, more Americans are being forced to shoulder the burden of another rushed deadline.",2020-04-30 21:07:16
"Today, I’m joining a town hall hosted by Wisconsin’s Legislative Black Caucus at 3pm to discuss the policies and initiatives we need to address the toll of COVID-19 on communities of color. https://t.co/bJlPB7wvhg",2020-04-30 19:28:37
THREAD: The disproportionate outcomes of COVID-19 in Milwaukee and around the country demand action. (1/5) https://t.co/T9udzl2RKg,2020-04-29 21:30:27
"On the 9th annual #DenimDayMKE, I stand with survivors of sexual abuse and assault and remember those who lost their lives to such brutality. https://t.co/CdJq5DXws2",2020-04-29 20:47:32
"Too often, our most vulnerable lack access to health care, which is harmful during COVID-19. I’m pleased that members of our community who don't have a primary health care provider can receive COVID-19 testing through Community Health Centers in Milwaukee. https://t.co/DRmF75tM4J",2020-04-29 18:56:49
We need more COVID-19 testing to safely return to normalcy. https://t.co/XwlnuhTTVN,2020-04-29 16:50:20
"As the financial hardships grow for many Americans, we must inform them of the resources available. I joined my colleagues in urging the fed. gov. to inform families who newly qualify for SNAP or Medicaid that they are also eligible for the Lifeline Program. https://t.co/TVqlkkiVnb",2020-04-28 22:11:34
I’m postponing today’s town hall. Stay tuned for additional updates! https://t.co/TlfTjEyDYN,2020-04-28 20:07:56
A9: We need to usher more low-income and minority women into health care professions. The need is there. We can achieve this by expanding educational opportunities for women who are normally locked out of these careers. (1/2) #MaternalJustice https://t.co/jiyD7UkElZ,2020-04-28 00:59:35
A8: That’s what my legislation aims to do. I hope that devoting more attention and resources towards expanding the perinatal workforce will create a more diverse sector along with more opportunity for career growth. #MaternalJustice https://t.co/hihg0bIp2g,2020-04-28 00:48:19
A7: It is my deepest hope that we will have healthier outcomes for mothers and their babies. I hope that every woman can fully trust their maternal care provider and receive the support they need during their pregnancy. #MaternalJustice https://t.co/TMmO8kR1O0,2020-04-28 00:41:43
"A6: As we are experiencing a public health crisis, our country is facing a maternal mortality crisis where Black mothers are dying at 3-4 times the rate of white mothers. (1/2) #MaternalJustice https://t.co/xVuReaW7gk",2020-04-28 00:40:29
"A5: Now more than ever, we need to eliminate barriers to quality care. I was inspired by the growing number of women of color returning to the perinatal workforce and wanted to ensure that more women had the tools and resources to pursue these careers. #MaternalJustice (1/3) https://t.co/vImXfA5DZq",2020-04-28 00:35:08
A4: Absolutely. The Momnibus makes investments in community-based organizations who are already working to provide culturally competent care for mothers. #MaternalJustice https://t.co/q6Lrn4xnx7,2020-04-28 00:26:25
"A3: To address the inequities in maternal health care, we need to understand the challenges facing each vulnerable group. (1/2) #MaternalJustice https://t.co/myxRIu6GrM",2020-04-28 00:22:45
"A2: The Momnibus takes a comprehensive approach towards addressing the challenges mothers of color face. From the research, we will have the data necessary to close the gaps in quality of care and better  support women during and after their pregnancies. (1/2) #MaternalJustice https://t.co/XrRFUn5BRq",2020-04-28 00:17:58
"A1: COVID-19 has strained the maternal health care system even more. Now, hospitals are taking additional safety precautions which means many women will have less support in the delivery room. And right now, there is an increased demand for midwives. #MaternalJustice (1/3) https://t.co/IxgwpiHBDs",2020-04-28 00:13:21
"Republicans blocked ACA payments, which caused your premium to increase. 

Now, the SCOTUS ruled that their efforts to undermine the ACA were wrong.

Do you trust Republicans with your health care? https://t.co/9F2jVal5n8",2020-04-27 22:25:52
"I’ve known many who have lost their lives to COVID-19. 

We need to commit resources to long-neglected communities of color. It’s the only way we can heal our communities from these tragedies and fully address the pandemic. https://t.co/BEkoCCFMnp",2020-04-27 20:26:14
WI-04: hope you all can join me for tomorrow’s town hall. Sign-up here: https://t.co/1gezduAQe3 https://t.co/UKjMaDjuCB,2020-04-27 18:38:50
"I am heartbroken to learn that five members of our community are gone.

Sending my prayers to the victim's families and everyone else impacted by this tragedy. https://t.co/7HsXfO84xZ",2020-04-27 18:21:10
"🚨CORRECTED UPDATE 🚨 SSI and VA benefit recipients who didn’t file a 2018 or 2019 return &amp; have qualifying dependents should apply by May 5th to receive their $500 per child payments quickly. If you qualify, apply soon! ⬇️ https://t.co/kTmEBhfS31",2020-04-26 15:55:41
"If you are struggling to pay your car payment, some lenders will let you defer your payments. https://t.co/0c6UxjRHKl",2020-04-26 14:09:13
Filling out your Census form only takes a few minutes but can make a big difference in your community. https://t.co/D16xtPLQAL,2020-04-25 15:17:32
"Trump is attacking a public service that was written in our Constitution and is now one of the highest employers of veterans in our country. 

Postal workers are doing heroic work during this pandemic.

It's not a ""joke."" https://t.co/2fW1SiGi8L",2020-04-24 21:25:38
"Everyday LGBTQ youth throughout our country experience verbal, emotional and physical abuse because of their identities - both at school and at home. I stand in solidarity with @GLSEN to make their voices heard and build a more inclusive future for our children. #DayofSilence",2020-04-24 16:58:08
"Wishing a blessed month to all observing #Ramadan in Milwaukee and around the world.
 
During these difficult times, let us remember the values that faith teaches so many: hope, compassion and community.",2020-04-23 23:23:40
